time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;LOAD_load_PPu;LOAD_load_QPu;LOAD_load_motors_0__PPu;LOAD_load_motors_0__QPu;LOAD_load_motors_0__cePu;LOAD_load_motors_0__clPu;LOAD_load_motors_0__omegaRPu;LOAD_load_motors_0__s;LOAD_load_motors_0__EdPPu;LOAD_load_motors_0__EqPPu;LOAD_load_motors_0__EdPPPu;LOAD_load_motors_0__EqPPPu;LOAD_load_motors_0__idPu;LOAD_load_motors_0__iqPu;LOAD_load_motors_1__PPu;LOAD_load_motors_1__QPu;LOAD_load_motors_1__cePu;LOAD_load_motors_1__clPu;LOAD_load_motors_1__omegaRPu;LOAD_load_motors_1__s;LOAD_load_motors_1__EdPPu;LOAD_load_motors_1__EqPPu;LOAD_load_motors_1__EdPPPu;LOAD_load_motors_1__EqPPPu;LOAD_load_motors_1__idPu;LOAD_load_motors_1__iqPu;
0.212992;1.020918;0.983948;1.000002;605.619673;225.286927;1.039971;2.439016;6.000640;2.000214;1.199984;0.749448;0.942557;0.942561;0.930260;0.069742;0.838404;-0.238666;0.851752;-0.224933;0.896732;-0.794745;1.199940;0.872324;0.952592;0.952655;0.964589;0.035413;0.772161;-0.302295;0.818262;-0.259658;0.879406;-0.897361;
0.344064;1.020903;0.983930;1.000003;605.613559;225.293075;1.039958;2.439287;6.000578;2.000213;1.199987;0.749439;0.942558;0.942561;0.930258;0.069746;0.838403;-0.238603;0.851750;-0.224868;0.896810;-0.794686;1.200003;0.872346;0.952638;0.952651;0.964588;0.035416;0.772156;-0.302245;0.818256;-0.259602;0.879537;-0.897338;
0.606208;1.020904;0.983929;1.000006;605.615943;225.298759;1.039959;2.439269;6.000601;2.000251;1.199993;0.749447;0.942562;0.942561;0.930259;0.069747;0.838421;-0.238530;0.851767;-0.224794;0.896885;-0.794616;1.200029;0.872377;0.952657;0.952653;0.964589;0.035417;0.772175;-0.302181;0.818273;-0.259533;0.879634;-0.897292;
1.000000;1.020919;0.983944;1.000010;605.628522;225.302085;1.039973;2.438975;6.000726;2.000302;1.199994;0.749464;0.942563;0.942561;0.930264;0.069745;0.838450;-0.238484;0.851795;-0.224748;0.896913;-0.794569;1.200044;0.872400;0.952670;0.952661;0.964593;0.035417;0.772205;-0.302139;0.818301;-0.259489;0.879680;-0.897251;
1.000000;0.601221;0.542010;1.000010;1029.625489;635.394531;0.697853;5.000000;-3.311390;-1.176356;-2.648337;-0.528896;-2.896574;0.942561;0.930264;0.069745;0.838450;-0.238484;0.851795;-0.224748;-2.532325;3.290591;-1.755648;-0.762294;-1.722833;0.952661;0.964593;0.035417;0.772205;-0.302139;0.818301;-0.259489;-1.262446;2.658194;
1.000001;0.601203;0.541989;1.000010;1029.597405;635.401006;0.697838;5.000000;-3.310563;-1.176204;-2.647758;-0.528885;-2.895853;0.942561;0.930245;0.069764;0.838378;-0.238545;0.851692;-0.224834;-2.531528;3.290302;-1.755316;-0.762144;-1.722477;0.952656;0.964590;0.035419;0.772176;-0.302157;0.818204;-0.259547;-1.262071;2.657878;
1.000002;0.601185;0.541968;1.000010;1029.569324;635.407479;0.697824;5.000000;-3.309736;-1.176052;-2.647179;-0.528874;-2.895134;0.942561;0.930226;0.069783;0.838305;-0.238605;0.851588;-0.224921;-2.530731;3.290013;-1.754983;-0.761994;-1.722121;0.952651;0.964587;0.035422;0.772147;-0.302174;0.818107;-0.259606;-1.261696;2.657562;
1.000004;0.601148;0.541926;1.000010;1029.513175;635.420415;0.697794;5.000000;-3.308083;-1.175749;-2.646021;-0.528853;-2.893694;0.942561;0.930188;0.069821;0.838161;-0.238727;0.851382;-0.225094;-2.529137;3.289435;-1.754318;-0.761694;-1.721410;0.952640;0.964582;0.035427;0.772090;-0.302208;0.817913;-0.259723;-1.260947;2.656929;
1.000008;0.601074;0.541842;1.000010;1029.400927;635.446250;0.697735;5.000000;-3.304781;-1.175144;-2.643708;-0.528810;-2.890819;0.942561;0.930111;0.069898;0.837872;-0.238969;0.850969;-0.225441;-2.525953;3.288279;-1.752990;-0.761096;-1.719989;0.952619;0.964571;0.035438;0.771976;-0.302277;0.817526;-0.259956;-1.259450;2.655666;
1.000016;0.600927;0.541674;1.000010;1029.176639;635.497770;0.697617;5.000000;-3.298192;-1.173939;-2.639090;-0.528726;-2.885079;0.942561;0.929958;0.070051;0.837294;-0.239453;0.850144;-0.226132;-2.519595;3.285966;-1.750342;-0.759904;-1.717155;0.952577;0.964550;0.035459;0.771747;-0.302415;0.816754;-0.260421;-1.256464;2.653145;
