Time (s),Ip lower (pu),Ip upper (pu)
-0.20499999999999996,0.95,0.95
-0.19999999999999996,0.95,0.95
-0.19499999999999995,0.95,0.95
-0.18999999999999995,0.95,0.95
-0.18499999999999994,0.95,0.95
-0.17999999999999994,0.95,0.95
-0.17499999999999993,0.95,0.95
-0.16999999999999993,0.95,0.95
-0.16500000000000004,0.95,0.95
-0.16000000000000003,0.95,0.95
-0.15500000000000003,0.95,0.95
-0.15000000000000002,0.95,0.95
-0.14500000000000002,0.95,0.95
-0.14,0.95,0.95
-0.135,0.95,0.95
-0.13,0.95,0.95
-0.125,0.95,0.95
-0.12,0.95,0.95
-0.11499999999999999,0.95,0.95
-0.10999999999999999,0.95,0.95
-0.10499999999999998,0.95,0.95
-0.09999999999999998,0.95,0.95
-0.09499999999999997,0.95,0.95
-0.08999999999999997,0.95,0.95
-0.08499999999999996,0.95,0.95
-0.07999999999999996,0.95,0.95
-0.07499999999999996,0.95,0.95
-0.06999999999999995,0.95,0.95
-0.06499999999999995,0.95,0.95
-0.05999999999999994,0.95,0.95
-0.05499999999999994,0.95,0.95
-0.04999999999999993,0.95,0.95
-0.04499999999999993,0.95,0.95
-0.040000000000000036,0.95,0.95
-0.03500000000000003,0.95,0.95
-0.030000000000000027,0.95,0.95
-0.025000000000000022,0.95,0.95
-0.020000000000000018,0.95,0.95
-0.015000000000000013,0.95,0.95
-0.010000000000000009,0.95,0.95
-0.0050000000000000044,0.95,0.95
0.0,0.9479318776231561,0.060323725995627166
0.0050000000000001155,0.9484619048861856,0.06675305929488455
0.010000000000000009,0.9489831715691223,0.07313684086273298
0.015000000000000124,0.9494958224716188,0.07947534976420668
0.020000000000000018,0.95,0.08576886414973717
0.02499999999999991,0.9504958442068212,0.09201766124141332
0.030000000000000027,0.7048275532868313,0.09822201731969012
0.03499999999999992,0.7130682148481771,0.10438220771054098
0.040000000000000036,0.7212737535795697,0.11049850677304655
0.04499999999999993,0.7294445470026517,0.1165711878874051
0.050000000000000044,0.7375783478385849,0.12260052344336338
0.05499999999999994,0.7456716237527894,0.12858678482905067
0.06000000000000005,0.7537202513560683,0.13453024242021738
0.06499999999999995,0.7617198756188349,0.140431165569859
0.07000000000000006,0.7696660958962526,0.14628982259822945
0.07499999999999996,0.7775545620751454,0.1521064807832232
0.08000000000000007,0.7853810241074373,0.15788140635112985
0.08499999999999996,0.7931413573451719,0.16361486446774373
0.09000000000000008,0.8008315752908893,0.16930711922982952
0.09499999999999997,0.8084478357814642,0.1749584336569283
0.10000000000000009,0.8159864437246488,0.18056906968350522
0.10499999999999998,0.8234438520057894,0.18613928815142236
0.1100000000000001,0.8308166614041742,0.19166934880274017
0.11499999999999999,0.8381016199554174,0.19715951027282896
0.1200000000000001,0.8452956219874665,0.20261003008379583
0.125,0.8523957069496371,0.20802116463820924
0.13000000000000012,0.8593990580980235,0.21339316921312404
0.135,0.8663030010715838,0.21872629795439247
0.14000000000000012,0.8731050023781352,0.22402080387126247
0.14500000000000002,0.8806706701902162,0.22927693883125022
0.15000000000000013,0.8920559400487422,0.23449495355528635
0.15500000000000003,0.9030714068531238,0.23967509761312533
0.15999999999999992,0.9137216438478446,0.2448176194190172
0.16500000000000004,0.9240113712433697,0.2499227662276309
0.16999999999999993,0.9339454463980901,0.25499078413022586
0.17500000000000004,0.9435288542549332,0.2600219180510687
0.17999999999999994,0.9527666980313992,0.26501641174408375
0.18500000000000005,0.9616641901615921,0.2699745077897387
0.18999999999999995,0.970226643488641,0.2748964475921546
0.19500000000000006,0.980455171540086,0.27978247137643975
0.19999999999999996,0.9920880306739108,0.2846328181862378
0.20500000000000007,1.0033903105971285,0.2894477258814904
0.20999999999999996,1.0143584594052484,0.29422743113640326
0.21500000000000008,1.0249893793314322,0.2989721694376183
0.21999999999999997,1.035280418425279,0.3036821750825795
0.2250000000000001,1.0452293619578426,0.3083576811780948
0.22999999999999998,1.0548344235694123,0.31299891963908355
0.2350000000000001,1.064094236176468,0.31760612118751114
0.24,1.0730078426540308,0.32217951535149997
0.2450000000000001,1.081574686309473,0.326719330464619
0.25,1.089794601163657,0.33122579366534194
0.2550000000000001,1.09766780205507,0.33569913089667536
0.26,1.1051948745824125,0.3401395669059472
0.2650000000000001,1.112376764900869,0.34454732524475706
0.27,1.119631060453166,0.34892262826908005
0.27500000000000013,1.13494781826479,0.35326569713952405
0.28,1.1498735682195125,0.3575767518217334
0.2849999999999999,1.164401789720499,0.3618560110869381
0.29000000000000004,1.1785264087763048,0.3661036925126433
0.29499999999999993,1.1922417961793326,0.37032001248345575
0.30000000000000004,1.2,0.37450518619204515
0.30499999999999994,1.2,0.37865942764023414
0.31000000000000005,1.2,0.3827829496402184
0.31499999999999995,1.2,0.3868759638159075
0.32000000000000006,1.2,0.390938680604389
0.32499999999999996,1.2,0.3949713092575085
0.33000000000000007,1.2,0.39897405784356577
0.33499999999999996,1.2,0.4029471332491214
0.3400000000000001,1.2,0.4068907411809128
0.345,1.2,0.41080508616787526
0.3500000000000001,1.2,0.41469037156326777
0.355,1.2,0.4185467995468963
0.3600000000000001,1.2,0.42237457112743715
0.365,1.2,0.4261738861448538
0.3700000000000001,1.2,0.42994494327290667
0.375,1.2,0.43368794002175143
0.3800000000000001,1.2,0.43740307274062656
0.385,1.2,0.44109053662062303
0.3900000000000001,1.2,0.4447505256975392
0.395,1.2,0.4483832328548124
0.40000000000000013,1.2,0.45198884982653176
0.405,1.2,0.4555675672005228
0.4099999999999999,1.2,0.4591195744215084
0.41500000000000004,1.2,0.4626450597943389
0.41999999999999993,1.2,0.46614421048729027
0.42500000000000004,1.2,0.46961721253543237
0.42999999999999994,1.2,0.47306425084405757
0.43500000000000005,1.2,0.476485509192176
0.43999999999999995,1.2,0.47988117023606863
0.44500000000000006,1.2,0.4832514155129009
0.44999999999999996,1.2,0.486596425444392
0.45500000000000007,1.2,0.489916379340541
0.45999999999999996,1.2,0.49321145540340333
0.4650000000000001,1.2,0.4964818307309228
0.47,1.2,0.49972768132080836
0.4750000000000001,1.2,0.5029491820744642
0.48,1.2,0.5061465068009613
0.4850000000000001,1.2,0.5093198282210575
0.49,1.2,0.512469317971258
0.4950000000000001,1.2,0.5155951466079204
0.5,1.2,0.5186974836113952
0.5050000000000001,1.2,0.5217764973902098
0.51,1.2,0.5248323552852865
0.5150000000000001,1.2,0.5278652235741966
0.52,1.2,0.5308752674754492
0.5250000000000001,1.2,0.5338626511528131
0.53,1.2,0.5368275377196683
0.5350000000000001,1.2,0.5397700892433911
0.54,1.2,0.5426904667497633
0.5449999999999999,1.2,0.5455888302274139
0.55,1.2,0.5484653386322839
0.5549999999999999,1.2,0.5513201498921164
0.56,1.2,0.5541534209109731
0.565,1.2,0.55696530757377
0.5700000000000001,1.2,0.5597559647508381
0.575,1.2,0.5625255463025021
0.5800000000000001,1.2,0.5652742050836805
0.585,1.2,0.5680020929485021
0.5900000000000001,1.2,0.5707093607549416
0.595,1.2,0.5733961583694704
0.6000000000000001,1.2,0.5760626346717235
0.605,1.2,0.5787089375591794
0.6100000000000001,1.2,0.581335213951856
0.615,1.2,0.5839416097970154
0.6200000000000001,1.2,0.5865282700738836
0.625,1.2,0.5890953387983787
0.6300000000000001,1.2,0.5916429590278502
0.635,1.2,0.5941712728658257
0.6400000000000001,1.2,0.5966804214667681
0.645,1.2,0.5991705450408374
0.6500000000000001,1.2,0.6016417828586611
0.655,1.2,0.6040942732561093
0.6600000000000001,1.2,0.6065281536390758
0.665,1.2,0.608943560488261
0.6699999999999999,1.2,0.6113406293639625
0.675,1.2,0.6137194949108642
0.6799999999999999,1.2,0.61608029086283
0.685,1.2,0.618423150047699
0.69,1.2,0.6207482043920799
0.6950000000000001,1.2,0.623055584926148
0.7,1.2,0.6253454217884391
0.7050000000000001,1.1977159421320502,0.6276178442306445
0.71,1.1909240658989988,0.6298729806224028
0.7150000000000001,1.184042822012101,0.6321109584560914
0.72,1.1770780422181466,0.6343319043516125
0.7250000000000001,1.1700355621003737,0.6365359440611784
0.73,1.1629212168636507,0.6387232024740914
0.7350000000000001,1.155740837159821,0.6408938036215196
0.74,1.1485002449558281,0.6430478706812683
0.7450000000000001,1.141205249447179,0.6451855259825452
0.75,1.1338616430192605,0.6473068910107203
0.7550000000000001,1.126475197258947,0.6494120864120795
0.76,1.1190516590188964,0.6515012319985706
0.7650000000000001,1.1115967465368515,0.6535744467525434
0.77,1.1041161456122253,0.6556318488314805
0.7750000000000001,1.0966155058421612,0.6576735555727211
0.78,1.0891004369192165,0.6596996834981764
0.7850000000000001,1.0815765049927395,0.6617103483190351
0.79,1.0740492290959494,0.6637056649404597
0.7949999999999999,1.0665240776406666,0.6656857474662744
0.8,1.0590064649815634,0.667650709203642
0.8049999999999999,1.0515017480517457,0.6696006626677288
0.81,1.0440152230714075,0.6715357195863625
0.815,1.0386791549613246,0.6734559909046752
0.8200000000000001,1.0343120287055192,0.6753615867897372
0.825,1.0299763113606726,0.6772526166351777
0.8300000000000001,1.0256744228539691,0.6791291890657951
0.835,1.0214087218790022,0.6809914119421528
0.8400000000000001,1.017181505296628,0.6828393923651642
0.845,1.0129950075864502,0.6846732366806627
0.8500000000000001,1.0088514003485023,0.6864930504839618
0.855,1.0047527918546713,0.6882989386243971
0.8600000000000001,1.0007012266493718,0.6900910052098584
0.865,0.9966986851989672,0.6918693536113064
0.8700000000000001,0.9927470835893937,0.6936340864672751
0.875,0.9888482732714355,0.6953853056883585
0.8800000000000001,0.9850040408530661,0.6971231124616857
0.885,0.9812161079382496,0.6988476072553775
0.8900000000000001,0.9774861310115814,0.7005588898229907
0.895,0.9766284456844608,0.7022570592079449
0.9000000000000001,0.9758167962448273,0.7039422137479352
0.905,0.9750885616367996,0.7056144510793282
0.9100000000000001,0.9746963685641874,0.7072738681415431
0.915,0.9743231869731968,0.7089205611814152
0.9199999999999999,0.97396863152269,0.7105546257575445
0.925,0.9736323148668642,0.7121761567446271
0.9299999999999999,0.9733138480814565,0.7137852483377701
0.935,0.9730128410748959,0.7153819940567897
0.94,0.9727289029846197,0.716966486750493
0.9450000000000001,0.9724616425587684,0.7185388186009414
0.95,0.9722106685234873,0.7200990811276978
0.9550000000000001,0.9719755899360549,0.7216473651920567
0.96,0.9717560165240784,0.723183761001256
0.9650000000000001,0.9715515590109818,0.7247083581126714
0.97,0.9713618294280316,0.7262212454379936
0.9750000000000001,0.9711864414131371,0.7277225112473876
0.98,0.9710250104966693,0.7292122431736334
0.9850000000000001,0.9708771543745441,0.7306905282162494
0.99,0.9707424931688173,0.7321574527455973
0.9950000000000001,0.9706206496760401,0.7336131025069691
1.0,0.9705112496036239,0.7350575626246559
1.005,0.97041392179447,0.7364909176059976
1.0100000000000002,0.9703282984401101,0.7379132513454151
1.0150000000000001,0.9702540152826172,0.7393246471284226
1.02,0.9701907118055316,0.7407251876356237
1.025,0.9701380314140648,0.7421149549466863
1.0300000000000002,0.9700956216048244,0.7397722770106522
1.0350000000000001,0.9700631341253195,0.7370856775004702
1.04,0.9700402251234944,0.7345567996982327
1.045,0.9700265552875432,0.7321859454476768
1.0499999999999998,0.9700217899762552,0.7299733005009921
1.0550000000000002,0.9700255993401394,0.7279189354854851
1.06,0.9700376584335755,0.7260228069437705
1.065,0.9700576473182381,0.7242847584460392
1.0699999999999998,0.9700852511580371,0.7227045217729245
1.0750000000000002,0.9701201603058179,0.7212817181674388
1.08,0.9701620703820607,0.7200158596544274
1.085,0.9702106823458185,0.7189063504259477
1.0899999999999999,0.9702657025581273,0.7179524882909545
1.0950000000000002,0.9703268428381258,0.7171534661876316
1.1,0.9703938205121118,0.7165083737566955
1.105,0.970466358455767,0.7160161989739537
1.1099999999999999,0.9705441851297749,0.7156758298403866
1.1150000000000002,0.9706270346090532,0.7154860561279877
1.12,0.9707146466058233,0.7154455711795807
1.125,0.9708067664867328,0.7155529737608054
1.13,0.9709031452842456,0.7158067699624455
1.1350000000000002,0.9710035397025092,0.7162053751512553
1.1400000000000001,0.9711077121179085,0.7167471159674205
1.145,0.9712154305745107,0.717430232366775
1.15,0.9713264687746,0.7182528797058828
1.1550000000000002,0.9714406060645034,0.7192131308680778
1.1600000000000001,0.9715576274158991,0.7203089784285451
1.165,0.9716773234027999,0.7215383368565192
1.17,0.9717994901743979,0.7228990447526618
1.1750000000000003,0.9725171577724929,0.7243888671196792
1.1800000000000002,0.9734774277344104,0.7260054976642323
1.185,0.9744193354970959,0.7277465611281874
1.19,0.9753423350842415,0.729609615647255
1.1949999999999998,0.976245915249441,0.731592155135063
1.2000000000000002,0.9771295991378155,0.733691611690707
1.205,0.9779929439186865,0.7359053580278293
1.21,0.9788355403904511,0.7382307099232754
1.2149999999999999,0.9796570125588147,0.7406649286833817
1.2200000000000002,0.9804570171895369,0.7432052236259582
1.225,0.9812352433368398,0.7458487545760328
1.23,0.9819914118486304,0.7485926343734344
1.2349999999999999,0.9827252748496811,0.7514339313902996
1.2400000000000002,0.9834366152039066,0.7543696720566054
1.245,0.9841252459568707,0.7573968433918311
1.25,0.9847910097596464,0.7605123955408779
1.255,0.9854337782751472,0.7637132443123835
1.2600000000000002,0.9860534515680334,0.7669962737175836
1.2650000000000001,0.98664995747929,0.7703583385078957
1.27,0.9872232509865613,0.7737962667094108
1.275,0.9877733135513105,0.777306862152506
1.2800000000000002,0.9883001524538644,0.7808869069948047
1.2850000000000001,0.9888038001173873,0.7845331642357376
1.29,0.9892843134218104,0.7882423802209783
1.295,0.9897417730087325,0.7920112871350492
1.3000000000000003,0.9901762825782857,0.7958366054804256
1.3050000000000002,0.9905879681789505,0.7997150465414766
1.31,0.990976977491275,0.8036433148316292
1.315,0.9913434791064499,0.8068081234182704
1.3199999999999998,0.9916876618006563,0.8076880098305794
1.3250000000000002,0.9920097338060978,0.8085610871507446
1.33,0.9923099220795991,0.8094274075642204
1.335,0.992588471569637,0.8102870228649657
1.3399999999999999,0.992845644482648,0.8111399844582382
1.3450000000000002,0.9930817195494364,0.8119863433633716
1.35,0.9932969912924843,0.8128261502165349
1.355,0.9954700063331329,0.8136594552734758
1.3599999999999999,0.998251012562136,0.8144863084122441
1.3650000000000002,1.0009713489464152,0.8153067591359013
1.37,1.0036296285843964,0.8161208565752099
1.375,1.0062245405958814,0.8169286494913078
1.38,1.0087548500452799,0.8177301862783642
1.3850000000000002,1.011219397800083,0.8185255149662195
1.3900000000000001,1.0136171003257333,0.8193146832230074
1.395,1.0159469494180884,0.8200977383577619
1.4,1.0182080118747099,0.8208747273230053
1.4050000000000002,1.0203994291062455,0.8216456967173209
1.4100000000000001,1.0225204166891961,0.8224106927879088
1.415,1.0245702638613987,0.8231697614331254
1.42,1.0265483329615812,0.8239229482050062
1.4250000000000003,1.0284540588143651,0.8246702983117716
1.4300000000000002,1.0302869480621342,0.8254118566203178
1.435,1.0320465784451902,0.82614766765869
1.44,1.0337325980316545,0.8268777756185405
1.4449999999999998,1.0353447243985896,0.8276022243575705
1.4500000000000002,1.0368827437658301,0.8283210574019549
1.455,1.0383465100840326,0.8290343179487527
1.46,1.0397359440784741,0.8297420488683003
1.4649999999999999,1.0410510322501338,0.8304442927065896
1.4700000000000002,1.0422918258356104,0.8311410916876305
1.475,1.0434584397274407,0.831832487715797
1.48,1.0445510513563867,0.8325185223781589
1.4849999999999999,1.0455698995372773,0.8331992369467968
1.4900000000000002,1.0465152832799827,0.8338746723811022
1.495,1.0473875605671203,0.8345448693300633
1.5,1.048187147100083,0.8352098681345328
1.505,1.048914515014986,0.835869708829484
1.5100000000000002,1.0495701915701299,0.8365244311462489
1.5150000000000001,1.0501547578065784,0.8371740745147428
1.52,1.050668847183441,0.8378186780656739
1.525,1.051113144189453,0.8384582806327373
1.5300000000000002,1.0514883829324406,0.8390929207547944
1.5350000000000001,1.0517953457082463,0.839722636678038
1.54,1.0520348615506907,0.8403474663581428
1.545,1.0522078047641292,0.8409674474624007
1.5500000000000003,1.0523150934401646,0.8415826173718421
1.5550000000000002,1.0526480483492702,0.8421930131833425
1.56,1.0553460483209274,0.8427986717117146
1.565,1.0579641505459318,0.8433996294917878
1.5699999999999998,1.0605012375029244,0.8439959227804704
1.5750000000000002,1.0629562604215927,0.8445875875588008
1.58,1.0653282393825803,0.845174659533982
1.585,1.0676162633670063,0.845757174141405
1.5899999999999999,1.0698194902560367,0.8463351665466561
1.5950000000000002,1.0719371467809784,0.8469086716475106
1.6,1.073968528424409,0.8474777240759139
1.605,1.0759129992728744,0.8480423581999483
1.6099999999999999,1.0777699918217236,0.8486026081257863
1.6150000000000002,1.0795390067326738,0.8491585076996297
1.62,1.0812196125447293,0.8497100905096371
1.625,1.0828114453391098,0.850257389887836
1.63,1.0843142083588597,0.8508004389120226
1.6350000000000002,1.0857276715838489,0.8513392704076493
1.6400000000000001,1.087051671261887,0.851873916949697
1.645,1.0882861093967156,0.852404410864536
1.65,1.0894309531936441,0.8529307842317736
1.6550000000000002,1.0904862344636412,0.8534530688860887
1.6600000000000001,1.0914520489866966,0.8539712964190531
1.665,1.0923285558353018,0.854485498180941
1.67,1.0931159766589167,0.8549957052825253
1.6750000000000003,1.0938145949302995,0.8555019485968611
1.6800000000000002,1.0944247551546127,0.8560042587610573
1.685,1.0949468620422205,0.8565026661780355
1.69,1.09538137964612,0.8569972010182759
1.6949999999999998,1.0957288304649622,0.857487893221552
1.7000000000000002,1.0959897945126305,0.8579747724986528
1.705,1.0961649083553695,0.8584578683330919
1.71,1.096254864117455,0.8589372099828059
1.7149999999999999,1.0962604084564276,0.8594128264818396
1.7200000000000002,1.0961823415089085,0.8598847466420205
1.725,1.096021515808038,0.8603529990546206
1.73,1.09577883517358,0.8608176120920061
1.7349999999999999,1.095455253575756,0.8612786139092765
1.7400000000000002,1.0950517739738657,0.8617360324458914
1.745,1.0945694471307752,0.8621898954272855
1.75,1.0940093704043488,0.8626402303664731
1.755,1.0933726865169144,0.8630870645656396
1.7600000000000002,1.0926605823038535,0.8635304251177234
1.7650000000000001,1.0918742874424117,0.8639703389079851
1.77,1.091015073161834,0.8644068326155666
1.775,1.0900842509359259,0.8648399327150382
1.7800000000000002,1.0890831711591442,0.8652696654779352
1.7850000000000001,1.0880132218073335,0.8656960569742826
1.79,1.0868758270842025,0.8661191330741109
1.795,1.0856724460546607,0.8665389194489586
1.8000000000000003,1.0844045712661128,0.8669554415733651
1.8050000000000002,1.0830737273588193,0.8673687247263536
1.81,1.081681469666425,0.8677787939929016
1.815,1.0802293828077512,0.8681856742654022
1.8199999999999998,1.0787190792709493,0.8685893902451144
1.8250000000000002,1.0771521979911018,0.8689899664436033
1.83,1.075530402922356,0.8693874271841687
1.835,1.073855381605669,0.8697817966032655
1.8399999999999999,1.0721288437332293,0.8701730986519118
1.8450000000000002,1.0703525197106227,0.8705613570970878
1.85,1.0685281592177953,0.8709465955231247
1.855,1.0666575297698528,0.8713288373330831
1.8599999999999999,1.0647424152787401,0.8717081057501217
1.8650000000000002,1.0627846146168178,0.8720844238188561
1.87,1.060785940183353,0.8724578144067073
1.875,1.0587482164749242,0.8728283002052412
1.88,1.0566732786607318,0.8731959037314975
1.8850000000000002,1.054562971163786,0.8735606473293097
1.8900000000000001,1.0524191462489403,0.873922553170615
1.895,1.050243662618717,0.8742816432567546
1.9,1.0480383840178555,0.8746379394197654
1.9050000000000002,1.04580517784751,0.8749914633236612
1.9100000000000001,1.0435459137899907,0.8753422364657046
1.915,1.041262462444944,0.8756902801776711
1.92,1.0389566939778374,0.876035615627102
1.9250000000000003,1.0366304767816021,0.8763782638185491
1.9300000000000002,1.0342856761522732,0.8767182455948105
1.935,1.0319241529794396,0.8770555816381572
1.94,1.0295477624523097,0.8773902924715505
1.9449999999999998,1.0271583527821673,0.8777223984598502
1.9500000000000002,1.0247577639419825,0.8780519198110148
1.955,1.022347826423919,0.8783788765772924
1.96,1.0199303600154583,0.8787032886564025
1.9649999999999999,1.0175071725948457,0.87902517579271
1.9700000000000002,1.0150800589465347,0.8793445575783901
1.975,1.0126507995972946,0.8796614534545841
1.98,1.010221159673618,0.8799758827125477
1.9849999999999999,1.0077928877810447,0.88028786449479
1.9900000000000002,1.0053677149060039,0.880597417796205
1.995,1.0029473533407414,0.880904561465194
2.0,1.0005334956318912,0.8812093142047797
2.005,0.9981278135532157,0.8815116945737127
2.0100000000000002,0.9972405238193276,0.8818117209875694
2.015,0.996643679715525,0.882109411719842
2.02,0.9960451416397574,0.88240478490302
2.025,0.9954453362299511,0.8826978585296645
2.0300000000000002,0.9948446842150342,0.8829886504534737
2.035,0.9942436002277519,0.8832771783903413
2.04,0.993642492624509,0.8835634599194059
2.045,0.993041763312248,0.8838475124840945
2.0500000000000003,0.992441807582367,0.8841293533931567
2.055,0.9918430139516768,0.8844089998216911
2.06,0.9912457640103931,0.8846864688121657
2.065,0.9906504322771524,0.8849617772754291
2.0700000000000003,0.990057386061038,0.8852349419917152
2.075,0.989466985330598,0.8855059796116391
2.08,0.9888795825898308,0.8857749066571882
2.085,0.9882955227611127,0.8860417395227025
2.09,0.9877151430750326,0.8863064944758511
2.095,0.9871387729671025,0.886569187658598
2.1,0.9865667339812998,0.8868298350881643
2.105,0.9859993396804015,0.8870884526579792
2.11,0.985436895563059,0.8873450561386281
2.115,0.9848796989875654,0.8875996611787905
2.12,0.9843280391022585,0.8878522833061724
2.125,0.9837821967825021,0.8867928847378423
2.13,0.9832424445741833,0.8850553622817358
2.1350000000000002,0.9827090466436589,0.8833594725874524
2.14,0.9821822587340858,0.8817060369937562
2.145,0.9816623281280605,0.880095838555504
2.15,0.9811494936164935,0.8785296218453726
2.1550000000000002,0.980643985473642,0.8770080927851038
2.16,0.9801460254382193,0.8755319185061016
2.165,0.980030114881886,0.8741017272392094
2.17,0.9800261634848215,0.872718108233465
2.1750000000000003,0.9800223280231635,0.871381611703615
2.18,0.9800186076567228,0.8700927488061581
2.185,0.9800150014716893,0.8688519916436562
2.19,0.9800115084843347,0.8676597732970476
2.1950000000000003,0.9800081276446336,0.8665164878856689
2.2,0.980004857839804,0.8654224906546806
2.205,0.980001697897765,0.8643780980895728
2.21,0.9799986465905163,0.8633835880574114
2.215,0.9799957026374343,0.862439199974468
2.22,0.9799928647084886,0.861545134999865
2.225,0.9799901314273777,0.8607015562548452
2.23,0.9799875013745842,0.8599085890672699
2.235,0.9799849730903513,0.8591663212409247
2.24,0.9799849923448312,0.8584748033492092
2.245,0.9800388394345597,0.8578340490527628
2.25,0.980091228806903,0.8572440354405746
2.255,0.980142141158241,0.8567047033941068
2.2600000000000002,0.9801915592999747,0.8562159579739539
2.265,0.9802394681225499,0.8557776688285431
2.27,0.9802858545581377,0.8553896706243734
2.275,0.9803307075420395,0.8550517634972825
2.2800000000000002,0.9803740179729035,0.854763713524213
2.285,0.9804157786718152,0.8545252532149477
2.29,0.9804559843403451,0.8543360820232708
2.295,0.980494631517622,0.8541958668770004
2.3000000000000003,0.9805317185365051,0.8541042427263366
2.305,0.9805672454789273,0.854060813109953
2.31,0.9806012141304793,0.8540651507382601
2.315,0.9806336279343036,0.8541167980932566
2.3200000000000003,0.9806644919443686,0.8542152680443801
2.325,0.9806938127781877,0.854360044479763
2.33,0.9807215985690522,0.8545505829522962
