time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
1;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
1;0.918602;0.140390;0.000000;0.000000;0.296201;0.128962;1.000000;3.000000;1.000000;
1;0.918603;0.140395;0.000000;0.000000;0.296174;0.128967;1.000000;3.000000;1.000000;
1;0.918604;0.140416;0.000000;0.000000;0.296219;0.128986;1.000000;3.000000;1.000000;
1;0.918607;0.140458;0.000000;0.000000;0.296311;0.129025;1.000000;3.000000;1.000000;
1.00001;0.918613;0.140539;0.000000;0.000000;0.296484;0.129101;1.000000;3.000000;1.000000;
1.00002;0.918625;0.140703;0.000000;0.000000;0.296838;0.129253;1.000000;3.000000;1.000000;
1.00003;0.918648;0.141031;0.000000;0.000000;0.297546;0.129558;1.000000;3.000000;1.000000;
1.00006;0.918695;0.141687;0.000000;0.000000;0.298961;0.130168;1.000000;3.000000;1.000000;
1.00013;0.918788;0.142999;0.000000;0.000000;0.301789;0.131385;1.000000;3.000000;1.000000;
1.00026;0.918975;0.145616;0.000000;0.000000;0.307437;0.133817;1.000000;3.000000;1.000000;
1.00051;0.919346;0.150829;0.000000;0.000000;0.318701;0.138664;1.000000;3.000000;1.000000;
1.00102;0.920084;0.161173;0.000000;0.000000;0.341105;0.148293;1.000000;3.000000;1.000000;
1.00205;0.921540;0.181533;0.000000;0.000000;0.385411;0.167290;1.000000;3.000000;1.000000;
1.0041;0.924372;0.220977;0.000000;0.000000;0.472042;0.204265;1.000000;3.000000;1.000000;
1.00819;0.929730;0.295016;0.000000;0.000000;0.637529;0.274286;1.000000;3.000000;1.000000;
1.01229;0.934694;0.362924;0.000000;0.000000;0.792663;0.339219;1.000000;3.000000;1.000000;
1.01638;0.939282;0.425143;0.000000;0.000000;0.937678;0.399321;1.000000;3.000000;1.000000;
1.02048;0.943519;0.482103;0.000000;0.000000;1.072911;0.454861;1.000000;3.000000;1.000000;
1.02458;0.947425;0.534215;0.000000;0.000000;1.198742;0.506114;1.000000;3.000000;1.000000;
1.02867;0.951021;0.581863;0.000000;0.000000;1.315590;0.553348;1.000000;3.000000;1.000000;
1.03277;0.954330;0.625407;0.000000;0.000000;1.423895;0.596826;1.000000;3.000000;1.000000;
1.03686;0.957370;0.665180;0.000000;0.000000;1.524111;0.636804;1.000000;3.000000;1.000000;
1.04096;0.960160;0.701493;0.000000;0.000000;1.616699;0.673526;1.000000;3.000000;1.000000;
1.04506;0.962720;0.734633;0.000000;0.000000;1.702117;0.707226;1.000000;3.000000;1.000000;
1.04915;0.965065;0.764866;0.000000;0.000000;1.780816;0.738127;1.000000;3.000000;1.000000;
1.05325;0.967214;0.792438;0.000000;0.000000;1.853237;0.766438;1.000000;3.000000;1.000000;
1.05671;0.968889;0.813861;0.000000;0.000000;1.909934;0.788522;1.000000;3.000000;1.000000;
1.05671;0.968889;0.813866;0.000000;0.000000;1.909947;0.788527;1.000000;3.000000;1.000000;
1.05671;0.968889;0.813866;0.000000;0.000000;1.909947;0.788527;1.000000;3.000000;1.000000;
1.05734;0.969180;0.817575;0.000000;0.000000;1.919808;0.792359;1.000000;3.000000;1.000000;
1.06144;0.970978;0.840485;0.000000;0.000000;1.980940;0.816075;1.000000;3.000000;1.000000;
1.06554;0.972621;0.861360;0.000000;0.000000;2.037025;0.837761;1.000000;3.000000;1.000000;
1.06963;0.974123;0.880377;0.000000;0.000000;2.088435;0.857580;1.000000;3.000000;1.000000;
1.07782;0.976761;0.913641;0.000000;0.000000;2.179175;0.892409;1.000000;3.000000;1.000000;
1.0852;0.978754;0.938681;0.000000;0.000000;2.248048;0.918738;1.000000;3.000000;1.000000;
1.09257;0.980443;0.959833;0.000000;0.000000;2.306629;0.941058;1.000000;3.000000;1.000000;
1.09994;0.981871;0.977664;0.000000;0.000000;2.356324;0.959936;1.000000;3.000000;1.000000;
1.10732;0.983077;0.992684;0.000000;0.000000;2.398403;0.975880;1.000000;3.000000;1.000000;
1.11469;0.984095;1.005330;0.000000;0.000000;2.433982;0.989334;1.000000;3.000000;1.000000;
1.12158;0.984901;1.015336;0.000000;0.000000;2.462238;1.000000;1.000000;3.000000;1.000000;
1.12158;0.984901;1.015336;0.000000;0.000000;2.462238;1.000000;1.000000;3.000000;1.000000;
1.12158;0.984902;1.015337;0.000000;0.000000;2.462271;1.000007;1.000000;3.000000;1.000000;
1.12158;0.984902;1.015338;0.000000;0.000000;2.462275;1.000008;1.000000;3.000000;1.000000;
1.12158;0.984902;1.015341;0.000000;0.000000;2.462280;1.000011;1.000000;3.000000;1.000000;
1.12159;0.984902;1.015346;0.000000;0.000000;2.462297;1.000017;1.000000;3.000000;1.000000;
1.12159;0.984903;1.015356;0.000000;0.000000;2.462327;1.000028;1.000000;3.000000;1.000000;
1.12161;0.984905;1.015378;0.000000;0.000000;2.462387;1.000050;1.000000;3.000000;1.000000;
1.12164;0.984908;1.015420;0.000000;0.000000;2.462506;1.000095;1.000000;3.000000;1.000000;
1.12171;0.984915;1.015504;0.000000;0.000000;2.462744;1.000185;1.000000;3.000000;1.000000;
1.12183;0.984929;1.015672;0.000000;0.000000;2.463219;1.000365;1.000000;3.000000;1.000000;
1.12209;0.984956;1.016007;0.000000;0.000000;2.464166;1.000722;1.000000;3.000000;1.000000;
1.1226;0.985009;1.016670;0.000000;0.000000;2.466043;1.001429;1.000000;3.000000;1.000000;
1.12363;0.985114;1.017974;0.000000;0.000000;2.469732;1.002820;1.000000;3.000000;1.000000;
1.12567;0.985318;1.020491;0.000000;0.000000;2.476860;1.005507;1.000000;3.000000;1.000000;
