time;BusPDR_bus_terminal_V_re;BusPDR_bus_terminal_V_im;StepUp_Xfmr_transformer_terminal1_V_re;StepUp_Xfmr_transformer_terminal1_V_im;StepUp_Xfmr_transformer_terminal1_i_re;StepUp_Xfmr_transformer_terminal1_i_im;Synch_Gen_generator_omegaPu;Synch_Gen_generator_thetaInternal;Synch_Gen_voltageRegulator_UsRefPu;Synch_Gen_generator_UStatorPu;Synch_Gen_generator_omegaRefPu;
20.090879;1.043772;0.050209;1.043772;0.050209;-4.303529;-0.178150;1.000101;0.878604;1.064569;1.053386;1.000117;
20.091391;1.043772;0.050221;1.043772;0.050221;-4.303558;-0.178111;1.000102;0.878590;1.064569;1.053390;1.000118;
20.092415;1.043773;0.050244;1.043773;0.050244;-4.303619;-0.178034;1.000103;0.878562;1.064569;1.053397;1.000119;
20.094463;1.043776;0.050290;1.043776;0.050290;-4.303745;-0.177878;1.000105;0.878506;1.064569;1.053411;1.000122;
20.098559;1.043781;0.050380;1.043781;0.050380;-4.304018;-0.177562;1.000110;0.878396;1.064569;1.053440;1.000127;
20.102655;1.043786;0.050466;1.043786;0.050466;-4.304317;-0.177244;1.000115;0.878288;1.064569;1.053468;1.000132;
20.110847;1.043798;0.050629;1.043798;0.050629;-4.304972;-0.176601;1.000124;0.878077;1.064569;1.053525;1.000143;
20.119039;1.043810;0.050781;1.043810;0.050781;-4.305683;-0.175955;1.000133;0.877871;1.064569;1.053582;1.000153;
20.127231;1.043824;0.050921;1.043824;0.050921;-4.306428;-0.175311;1.000142;0.877672;1.064569;1.053638;1.000164;
20.135423;1.043838;0.051052;1.043838;0.051052;-4.307184;-0.174672;1.000151;0.877478;1.064569;1.053693;1.000174;
20.143615;1.043853;0.051173;1.043853;0.051173;-4.307933;-0.174039;1.000160;0.877288;1.064569;1.053747;1.000185;
20.151807;1.043869;0.051285;1.043869;0.051285;-4.308659;-0.173415;1.000169;0.877103;1.064569;1.053801;1.000196;
