time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
0.0353621276;0.7038454587;0.3048678952;1.0557741287;-0.7038454587;0.1759628189;0.2230946709;1.0000000020;
0.0353721276;0.7038481843;0.3048766815;1.0557752673;-0.7038481843;0.1759635003;0.2230992255;1.0000000020;
0.0353821276;0.7038505897;0.3048820762;1.0557764124;-0.7038505897;0.1759641016;0.2231038057;1.0000000020;
0.0354021276;0.7038553696;0.3048926004;1.0557786900;-0.7038553696;0.1759652966;0.2231129160;1.0000000020;
0.0354421276;0.7038649293;0.3049139708;1.0557831763;-0.7038649293;0.1759676866;0.2231308613;1.0000000019;
0.0355221276;0.7038837786;0.3049551185;1.0557918852;-0.7038837786;0.1759723990;0.2231656967;1.0000000019;
0.0356821276;0.7039205490;0.3050326910;1.0558082420;-0.7039205490;0.1759815916;0.2232311233;1.0000000019;
0.0360021276;0.7039904413;0.3051693682;1.0558368079;-0.7039904413;0.1759990648;0.2233453857;1.0000000017;
0.0366421276;0.7041161538;0.3053722292;1.0558781164;-0.7041161538;0.1760304932;0.2235106184;1.0000000015;
0.0379221276;0.7043154182;0.3055221969;1.0559033890;-0.7043154182;0.1760803097;0.2236117080;1.0000000011;
0.0404821276;0.7045361149;0.3049893629;1.0557676165;-0.7045361149;0.1761354844;0.2230686224;1.0000000005;
0.0417554431;0.7045833978;0.3044621878;1.0556417111;-0.7045833978;0.1761473052;0.2225650051;1.0000000002;
0.0417554431;0.7045833978;0.3044621878;1.0556417111;-0.7045833978;0.1761473052;0.2225650051;1.0000000002;
0.0417654431;0.7045833985;0.3044560293;1.0556402942;-0.7045833985;0.1761473054;0.2225593376;1.0000000002;
0.0417754431;0.7045833956;0.3044499748;1.0556388755;-0.7045833956;0.1761473047;0.2225536626;1.0000000002;
0.0417954431;0.7045833837;0.3044378470;1.0556360322;-0.7045833837;0.1761473017;0.2225422898;1.0000000002;
0.0418354431;0.7045833287;0.3044134406;1.0556303168;-0.7045833287;0.1761472879;0.2225194282;1.0000000002;
0.0419154431;0.7045830945;0.3043641272;1.0556187714;-0.7045830945;0.1761472294;0.2224732468;1.0000000002;
0.0420754431;0.7045821297;0.3042634547;1.0555952252;-0.7045821297;0.1761469882;0.2223790631;1.0000000001;
0.0423954431;0.7045782653;0.3040542194;1.0555463776;-0.7045782653;0.1761460221;0.2221836741;1.0000000001;
0.0430354431;0.7045631947;0.3036064693;1.0554421748;-0.7045631947;0.1761422544;0.2217668663;1.0000000000;
0.0443154431;0.7045067332;0.3026110757;1.0552116153;-0.7045067332;0.1761281389;0.2208446359;0.9999999998;
0.0468754431;0.7043103147;0.3003402134;1.0546887502;-0.7043103147;0.1760790339;0.2187531928;0.9999999995;
0.0519954431;0.7037199768;0.2953806891;1.0535537440;-0.7037199768;0.1759314482;0.2142132056;0.9999999991;
0.0571154431;0.7030006777;0.2905029281;1.0524427160;-0.7030006777;0.1757516219;0.2097691303;0.9999999990;
0.0622354431;0.7022907698;0.2863017002;1.0514891295;-0.7022907698;0.1755741434;0.2059548159;0.9999999991;
0.0673554431;0.7016745038;0.2830576250;1.0507556634;-0.7016745038;0.1754200757;0.2030209756;0.9999999992;
0.0724754431;0.7011900028;0.2808093968;1.0502499183;-0.7011900028;0.1752989494;0.2009980119;0.9999999994;
0.0775954431;0.7008424437;0.2794426362;1.0499449769;-0.7008424437;0.1752120589;0.1997782564;0.9999999996;
0.0827154431;0.7006170561;0.2787690911;1.0497973495;-0.7006170561;0.1751557116;0.1991877518;0.9999999998;
0.0878354431;0.7004895387;0.2785839913;1.0497600234;-0.7004895387;0.1751238320;0.1990384486;0.9999999999;
0.0980754431;0.7003997176;0.2788338849;1.0498232300;-0.7003997176;0.1751013765;0.1992912730;1.0000000000;
0.1083154431;0.7004388719;0.2794263101;1.0499610307;-0.7004388719;0.1751111652;0.1998424714;1.0000000001;
0.1185554431;0.7005158459;0.2799308089;1.0500761872;-0.7005158459;0.1751304088;0.2003030936;1.0000000001;
