time;WT4A_WT_controlMeasurements_PGenNomPu;WT4A_WT_controlMeasurements_QGenNomPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
6.002880;0.369406;-0.128872;0.738837;0.732275;0.098249;-0.472347;-0.239364;1.000016;0.330000;
6.003067;0.369614;-0.127836;0.739217;0.732655;0.098279;-0.472576;-0.237875;1.000014;0.330000;
6.003067;0.369611;-0.127836;0.739217;0.732655;0.098278;-0.472573;-0.237874;1.000014;0.330000;
6.003447;0.370005;-0.125874;0.739937;0.733373;0.098334;-0.473007;-0.235060;1.000009;0.330000;
6.003839;0.370480;-0.123537;0.740791;0.734226;0.098403;-0.473530;-0.231718;1.000004;0.338633;
6.003839;0.370476;-0.123537;0.740791;0.734226;0.098402;-0.473526;-0.231718;1.000004;0.330000;
6.004232;0.370957;-0.121180;0.741650;0.735084;0.098471;-0.474056;-0.228356;1.000000;0.358363;
6.004676;0.371566;-0.118240;0.742719;0.736150;0.098561;-0.474727;-0.224179;1.000000;0.557511;
6.004676;0.371563;-0.118240;0.742719;0.736150;0.098560;-0.474723;-0.224178;1.000000;0.557511;
6.005084;0.372131;-0.115511;0.743708;0.737137;0.098645;-0.475350;-0.220314;1.000000;0.739239;
6.005345;0.372524;-0.113656;0.744378;0.737805;0.098705;-0.475785;-0.217698;1.000000;0.806075;
6.005345;0.372521;-0.113657;0.744378;0.737805;0.098704;-0.475781;-0.217697;1.000000;0.845234;
6.005358;0.372540;-0.113569;0.744410;0.737837;0.098707;-0.475801;-0.217574;1.000000;0.848298;
6.005358;0.372540;-0.113569;0.744410;0.737837;0.098707;-0.475801;-0.217573;1.000000;0.850367;
6.005358;0.372540;-0.113566;0.744411;0.737838;0.098707;-0.475802;-0.217569;1.000000;0.850470;
6.005358;0.372540;-0.113566;0.744411;0.737838;0.098707;-0.475802;-0.217569;1.000000;0.850549;
6.005358;0.372540;-0.113566;0.744411;0.737838;0.098707;-0.475802;-0.217569;1.000000;0.850551;
6.005358;0.372540;-0.113566;0.744411;0.737838;0.098707;-0.475802;-0.217569;1.000000;0.850551;
6.005721;0.373085;-0.110996;0.745337;0.738761;0.098790;-0.476404;-0.213953;1.000000;0.935199;
6.005721;0.373085;-0.110996;0.745337;0.738761;0.098790;-0.476403;-0.213953;1.000000;0.949399;
6.005721;0.373085;-0.110996;0.745337;0.738761;0.098790;-0.476403;-0.213953;1.000000;0.949398;
6.005721;0.373085;-0.110996;0.745337;0.738761;0.098790;-0.476403;-0.213953;1.000000;0.949398;
6.006126;0.373890;-0.106870;0.746822;0.740244;0.098901;-0.477282;-0.208139;1.000000;0.947225;
6.006934;0.375704;-0.097550;0.750152;0.743570;0.099151;-0.479255;-0.195098;1.000000;0.943168;
6.008551;0.379771;-0.076981;0.757391;0.750797;0.099728;-0.483672;-0.166779;1.000000;0.936196;
6.010168;0.384019;-0.056206;0.764553;0.757938;0.100360;-0.488283;-0.138811;1.000000;0.930173;
6.013402;0.391596;-0.022105;0.775998;0.769317;0.101603;-0.496562;-0.094314;1.000000;0.921883;
6.014317;0.393389;-0.015075;0.778307;0.771603;0.101935;-0.498551;-0.085401;1.000000;0.920187;
6.014317;0.393375;-0.015076;0.778307;0.771604;0.101931;-0.498534;-0.085397;1.000000;0.920213;
6.014824;0.394551;-0.009980;0.779976;0.773261;0.102132;-0.499819;-0.078923;1.000000;0.919068;
6.015839;0.396953;0.000467;0.783376;0.776636;0.102543;-0.502439;-0.065738;1.000000;0.917110;
6.017868;0.401726;0.020958;0.789957;0.783164;0.103371;-0.507641;-0.040243;1.000000;0.914337;
6.021926;0.410255;0.055019;0.800642;0.793733;0.104948;-0.516995;0.000959;1.000000;0.911862;
6.025984;0.417531;0.080669;0.808481;0.801446;0.106418;-0.525079;0.030933;1.000000;0.911264;
6.030042;0.423553;0.098258;0.813742;0.806575;0.107763;-0.531906;0.050755;1.000000;0.911591;
6.034100;0.428537;0.109203;0.816948;0.809644;0.109003;-0.537703;0.062487;1.000000;0.912291;
6.038158;0.432751;0.115229;0.818661;0.811216;0.110162;-0.542740;0.068341;1.000000;0.913034;
6.042216;0.436443;0.117925;0.819374;0.811785;0.111266;-0.547263;0.070256;1.000000;0.913664;
6.046274;0.439810;0.118564;0.819472;0.811736;0.112336;-0.551466;0.069745;1.000000;0.914125;
6.050332;0.442996;0.118066;0.819229;0.811344;0.113386;-0.555490;0.067889;1.000000;0.914419;
6.058448;0.449179;0.115929;0.818396;0.810210;0.115464;-0.563348;0.062802;1.000000;0.914565;
6.066563;0.455375;0.113907;0.817591;0.809098;0.117544;-0.571215;0.057799;1.000000;0.914461;
6.074679;0.461622;0.112284;0.816899;0.808093;0.119626;-0.579126;0.053218;1.000000;0.914249;
6.090911;0.474246;0.110017;0.815791;0.806342;0.123800;-0.595066;0.045077;1.000000;0.913741;
6.112569;0.491105;0.107601;0.814469;0.804120;0.129356;-0.616313;0.034667;1.000000;0.913071;
6.112569;0.491131;0.107669;0.814478;0.804140;0.129362;-0.616342;0.034743;1.000000;0.913071;
6.118841;0.494171;0.106746;0.814083;0.803574;0.130382;-0.620193;0.032212;1.000000;0.912876;
6.131385;0.496972;0.104863;0.813398;0.802721;0.131356;-0.623783;0.028559;1.000000;0.912509;
6.143929;0.498276;0.103035;0.812783;0.802019;0.131843;-0.625493;0.025645;1.000000;0.912172;
6.169017;0.499083;0.099473;0.811648;0.800805;0.132228;-0.626652;0.020744;1.000000;0.911564;
6.194105;0.499333;0.095965;0.810547;0.799655;0.132431;-0.627111;0.016152;1.000000;0.910986;
6.244282;0.499441;0.089191;0.808427;0.797461;0.132701;-0.627524;0.007421;1.000000;0.909879;
6.249999;0.499444;0.088473;0.808202;0.797229;0.132727;-0.627557;0.006497;1.000000;0.909760;
6.249999;0.681051;0.086763;1.093953;1.086555;0.127007;-0.627558;0.006497;1.000000;0.909761;
6.250075;0.681031;0.086923;1.093993;1.086597;0.126997;-0.627533;0.006652;1.000000;0.910879;
6.250228;0.680881;0.086947;1.094002;1.086610;0.126958;-0.627395;0.006713;1.000000;0.913051;
6.250380;0.680627;0.086686;1.093942;1.086557;0.126901;-0.627171;0.006532;1.000000;0.915151;
6.250685;0.679735;0.085088;1.093562;1.086196;0.126719;-0.626408;0.005257;1.000000;0.919119;
6.250990;0.678488;0.082487;1.092939;1.085596;0.126477;-0.625355;0.003127;1.000000;0.922830;
6.251601;0.674792;0.073789;1.090840;1.083563;0.125786;-0.622272;-0.004138;1.000000;0.929471;
6.252211;0.670105;0.062103;1.088000;1.080804;0.124930;-0.618386;-0.014019;1.000000;0.935310;
6.252682;0.665430;0.049726;1.084971;1.077850;0.124097;-0.614533;-0.024619;1.000000;0.938913;
6.252682;0.665397;0.049729;1.084972;1.077853;0.124088;-0.614502;-0.024608;1.000000;0.939013;
6.252964;0.662896;0.043398;1.083418;1.076340;0.123635;-0.612431;-0.030028;1.000000;0.941306;
6.253529;0.657571;0.030185;1.080162;1.073175;0.122662;-0.608006;-0.041367;1.000000;0.945445;
6.254013;0.652666;0.018279;1.077213;1.070309;0.121759;-0.603919;-0.051623;1.000000;0.877494;
6.254013;0.652640;0.018282;1.077214;1.070311;0.121752;-0.603895;-0.051614;1.000000;0.948411;
6.254022;0.652551;0.018064;1.077160;1.070259;0.121736;-0.603821;-0.051803;1.000000;0.948136;
6.254022;0.652551;0.018064;1.077160;1.070259;0.121736;-0.603821;-0.051803;1.000000;0.948468;
6.254022;0.652550;0.018062;1.077159;1.070258;0.121736;-0.603820;-0.051805;1.000000;0.948465;
6.254022;0.652550;0.018062;1.077159;1.070258;0.121736;-0.603820;-0.051805;1.000000;0.948468;
6.254022;0.652550;0.018062;1.077159;1.070258;0.121736;-0.603820;-0.051805;1.000000;0.948468;
6.254022;0.652550;0.018062;1.077159;1.070258;0.121736;-0.603820;-0.051805;1.000000;0.948468;
6.254171;0.651086;0.014485;1.076270;1.069393;0.121467;-0.602601;-0.054902;1.000000;0.941836;
6.254171;0.651084;0.014485;1.076270;1.069394;0.121466;-0.602599;-0.054901;1.000000;0.949399;
6.254171;0.651084;0.014484;1.076270;1.069393;0.121466;-0.602599;-0.054902;1.000000;0.949392;
6.254171;0.651084;0.014484;1.076270;1.069393;0.121466;-0.602599;-0.054902;1.000000;0.949399;
6.254458;0.648222;0.007514;1.074532;1.067704;0.120940;-0.600214;-0.060950;1.000000;0.869410;
6.255032;0.642339;-0.006672;1.070979;1.064251;0.119856;-0.595303;-0.073312;1.000000;0.627599;
6.256181;0.630319;-0.035299;1.063737;1.057212;0.117633;-0.585248;-0.098508;1.000003;0.330000;
6.257330;0.618405;-0.063512;1.056499;1.050174;0.115430;-0.575262;-0.123708;1.000012;0.330000;
6.259627;0.596185;-0.115874;1.042785;1.036825;0.111324;-0.556594;-0.171519;1.000024;0.330000;
6.261925;0.576546;-0.162419;1.030263;1.024615;0.107716;-0.540062;-0.215293;1.000033;0.330000;
6.264222;0.559660;-0.202689;1.019157;1.013770;0.104633;-0.525821;-0.254207;1.000038;0.330000;
6.266520;0.545478;-0.236800;1.009538;1.004363;0.102061;-0.513844;-0.287986;1.000042;0.330000;
6.268020;0.537853;-0.255396;1.004206;0.999143;0.100689;-0.507401;-0.306749;1.000043;0.330000;
6.268020;0.537659;-0.255377;1.004213;0.999157;0.100639;-0.507222;-0.306682;1.000043;0.329995;
6.268431;0.535592;-0.260109;1.002849;0.997825;0.100258;-0.505465;-0.311463;1.000043;0.330000;
6.269253;0.532040;-0.267201;1.000805;0.995840;0.099572;-0.502412;-0.318553;1.000044;0.330000;
6.270896;0.526858;-0.273804;0.998931;0.994068;0.098456;-0.497838;-0.324745;1.000045;0.330000;
6.272539;0.523200;-0.274638;0.998752;0.993977;0.097549;-0.494491;-0.324831;1.000045;0.330000;
6.274182;0.520646;-0.271352;0.999785;0.995089;0.096796;-0.492034;-0.320553;1.000046;0.330000;
6.275826;0.518920;-0.265345;1.001611;0.996983;0.096171;-0.490256;-0.313439;1.000047;0.330000;
6.279112;0.516923;-0.250101;1.006166;1.001653;0.095192;-0.487934;-0.296059;1.000048;0.330000;
6.282398;0.515399;-0.236016;1.010328;1.005910;0.094372;-0.486081;-0.280232;1.000051;0.330000;
6.285685;0.513871;-0.225149;1.013519;1.009182;0.093650;-0.484322;-0.268044;1.000053;0.330000;
6.288971;0.512214;-0.217936;1.015635;1.011367;0.093007;-0.482559;-0.259864;1.000055;0.330000;
6.295544;0.508915;-0.213151;1.017069;1.012897;0.092021;-0.479360;-0.253986;1.000057;0.330000;
6.302117;0.506074;-0.212816;1.017211;1.013107;0.091287;-0.476728;-0.253019;1.000059;0.330000;
6.308689;0.503951;-0.213760;1.016974;1.012915;0.090776;-0.474799;-0.253585;1.000060;0.330000;
6.321835;0.501823;-0.214909;1.016677;1.012662;0.090269;-0.472873;-0.254373;1.000061;0.330000;
6.334980;0.500841;-0.215188;1.016613;1.012618;0.090027;-0.471976;-0.254468;1.000061;0.330000;
6.361272;0.500268;-0.215019;1.016670;1.012690;0.089876;-0.471442;-0.254165;1.000061;0.330000;
6.387563;0.500099;-0.214753;1.016750;1.012774;0.089825;-0.471277;-0.253843;1.000061;0.330000;
6.440145;0.500033;-0.214403;1.016852;1.012879;0.089797;-0.471205;-0.253451;1.000061;0.330000;
6.545309;0.500019;-0.213736;1.017044;1.013074;0.089774;-0.471170;-0.252731;1.000061;0.330000;
6.755638;0.500013;-0.212718;1.017337;1.013371;0.089741;-0.471132;-0.251633;1.000062;0.330000;
7.176295;0.500008;-0.211521;1.017681;1.013720;0.089703;-0.471088;-0.250344;1.000062;0.330000;
8.017609;0.500003;-0.210574;1.017953;1.013995;0.089673;-0.471053;-0.249325;1.000062;0.330000;
8.858924;0.500001;-0.210197;1.018061;1.014105;0.089661;-0.471039;-0.248920;1.000062;0.330000;
10.541552;0.500000;-0.210046;1.018104;1.014149;0.089657;-0.471033;-0.248757;1.000062;0.330000;
11.999998;0.500000;-0.210028;1.018110;1.014154;0.089656;-0.471032;-0.248739;1.000062;0.330000;
11.999998;0.288618;-0.110583;0.580236;0.576067;0.069437;-0.471032;-0.248739;1.000062;0.330000;
12.000099;0.288585;-0.110637;0.580222;0.576053;0.069429;-0.470980;-0.248825;1.000059;0.330000;
12.000302;0.288588;-0.110593;0.580235;0.576066;0.069429;-0.470984;-0.248744;1.000053;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069443;-0.471089;-0.248439;1.000048;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069443;-0.471089;-0.248439;1.000048;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069444;-0.471089;-0.248439;1.000048;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069444;-0.471089;-0.248439;1.000048;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069444;-0.471089;-0.248439;1.000048;0.330000;
12.000494;0.288653;-0.110415;0.580284;0.576114;0.069444;-0.471089;-0.248439;1.000048;0.330000;
12.000672;0.288723;-0.110154;0.580357;0.576185;0.069458;-0.471201;-0.247980;1.000043;0.330000;
12.001029;0.288909;-0.109251;0.580611;0.576437;0.069493;-0.471496;-0.246370;1.000034;0.330000;
12.001386;0.289139;-0.107994;0.580964;0.576788;0.069535;-0.471861;-0.244119;1.000025;0.330000;
12.002101;0.289757;-0.104270;0.582011;0.577829;0.069643;-0.472840;-0.237441;1.000008;0.330000;
12.002717;0.290413;-0.100168;0.583160;0.578972;0.069756;-0.473878;-0.230104;1.000002;0.644504;
12.002717;0.290413;-0.100168;0.583160;0.578972;0.069756;-0.473877;-0.230104;1.000000;0.560454;
12.002797;0.290501;-0.099620;0.583313;0.579125;0.069771;-0.474017;-0.229125;1.000000;0.629381;
12.002797;0.290501;-0.099620;0.583313;0.579125;0.069771;-0.474016;-0.229125;1.000000;0.629381;
12.003036;0.290773;-0.097921;0.583787;0.579597;0.069818;-0.474446;-0.226099;1.000000;0.836566;
12.003235;0.291021;-0.096355;0.584223;0.580031;0.069860;-0.474838;-0.223311;1.000000;0.882045;
12.003235;0.291020;-0.096355;0.584223;0.580031;0.069860;-0.474836;-0.223311;1.000000;0.949399;
12.003235;0.291020;-0.096355;0.584223;0.580031;0.069860;-0.474836;-0.223311;1.000000;0.949399;
12.003235;0.291020;-0.096355;0.584223;0.580031;0.069860;-0.474836;-0.223311;1.000000;0.949399;
12.003420;0.291303;-0.094440;0.584756;0.580563;0.069907;-0.475281;-0.219900;1.000000;0.947317;
12.003420;0.291303;-0.094441;0.584756;0.580563;0.069907;-0.475281;-0.219900;1.000000;0.947323;
12.003655;0.291688;-0.091803;0.585489;0.581293;0.069970;-0.475886;-0.215212;1.000000;0.944669;
12.004126;0.292574;-0.085619;0.587200;0.582999;0.070114;-0.477277;-0.204260;1.000000;0.939426;
12.005067;0.294716;-0.070429;0.591359;0.587147;0.070460;-0.480629;-0.177628;1.000000;0.929261;
12.005378;0.295522;-0.064722;0.592906;0.588689;0.070590;-0.481888;-0.167726;1.000000;0.925931;
12.005378;0.295515;-0.064722;0.592906;0.588689;0.070589;-0.481877;-0.167724;1.000000;0.926045;
12.005408;0.295590;-0.064198;0.593048;0.588831;0.070601;-0.481993;-0.166816;1.000000;0.925715;
12.005408;0.295590;-0.064198;0.593048;0.588831;0.070601;-0.481993;-0.166816;1.000000;0.925724;
12.005408;0.295591;-0.064188;0.593051;0.588833;0.070601;-0.481995;-0.166800;1.000000;0.925718;
12.005408;0.295591;-0.064188;0.593051;0.588833;0.070601;-0.481995;-0.166800;1.000000;0.925718;
12.005408;0.295591;-0.064188;0.593051;0.588833;0.070601;-0.481995;-0.166800;1.000000;0.925718;
12.005408;0.295591;-0.064188;0.593051;0.588833;0.070601;-0.481995;-0.166800;1.000000;0.925718;
12.005630;0.296147;-0.060262;0.594109;0.589889;0.070691;-0.482861;-0.160024;1.000000;0.923260;
12.006074;0.297320;-0.051950;0.596338;0.592111;0.070881;-0.484687;-0.145758;1.000000;0.918444;
12.006960;0.299846;-0.034041;0.601083;0.596840;0.071290;-0.488605;-0.115398;1.000000;0.909246;
12.008734;0.305170;0.003374;0.610754;0.606477;0.072159;-0.496814;-0.053547;1.000000;0.892719;
12.010156;0.309428;0.032624;0.618103;0.613793;0.072864;-0.503341;-0.006601;1.000000;0.880493;
12.010156;0.309403;0.032621;0.618102;0.613793;0.072857;-0.503300;-0.006595;1.000000;0.880799;
12.010382;0.310100;0.037450;0.619299;0.614985;0.072972;-0.504364;0.001049;1.000000;0.878839;
12.010834;0.311525;0.047370;0.621743;0.617418;0.073207;-0.506537;0.016662;1.000000;0.874966;
12.011738;0.314460;0.067917;0.626746;0.622398;0.073690;-0.510995;0.048621;1.000000;0.867873;
12.013545;0.320411;0.109756;0.636697;0.632304;0.074668;-0.519983;0.112177;1.000000;0.856194;
12.015353;0.326295;0.151060;0.646235;0.641793;0.075638;-0.528806;0.173051;1.000000;0.846613;
12.017161;0.331946;0.190593;0.655117;0.650626;0.076574;-0.537230;0.229710;1.000000;0.839217;
12.018969;0.337264;0.227460;0.663199;0.658660;0.077460;-0.545119;0.281230;1.000000;0.833833;
12.020777;0.342186;0.261067;0.670408;0.665821;0.078288;-0.552396;0.327146;1.000000;0.830173;
12.022585;0.346683;0.291081;0.676726;0.672092;0.079055;-0.559035;0.367341;1.000000;0.827923;
12.024392;0.350752;0.317382;0.682171;0.677493;0.079760;-0.565040;0.401945;1.000000;0.826779;
12.028008;0.357319;0.356126;0.690043;0.685279;0.080945;-0.574786;0.451788;1.000000;0.827135;
12.031262;0.362216;0.381485;0.695097;0.690259;0.081873;-0.582117;0.483624;1.000000;0.828398;
12.034516;0.366274;0.399009;0.698541;0.693630;0.082686;-0.588269;0.505122;1.000000;0.830111;
12.037770;0.369683;0.410289;0.700727;0.695745;0.083411;-0.593516;0.518556;1.000000;0.831860;
12.041025;0.372620;0.417125;0.702032;0.696980;0.084072;-0.598109;0.526329;1.000000;0.833441;
12.044279;0.375226;0.420770;0.702707;0.697586;0.084688;-0.602244;0.530066;1.000000;0.834770;
12.047533;0.377605;0.422253;0.702959;0.697768;0.085274;-0.606065;0.531082;1.000000;0.835855;
12.050787;0.379842;0.422278;0.702925;0.697664;0.085841;-0.609692;0.530258;1.000000;0.836650;
12.054041;0.381989;0.421417;0.702717;0.697386;0.086397;-0.613196;0.528314;1.000000;0.837202;
12.060549;0.386170;0.418503;0.702066;0.696592;0.087494;-0.620048;0.522907;1.000000;0.837647;
12.067057;0.390342;0.415465;0.701387;0.695770;0.088590;-0.626889;0.517310;1.000000;0.837685;
12.073566;0.394542;0.412689;0.700758;0.694994;0.089690;-0.633767;0.512013;1.000000;0.837493;
12.086582;0.403057;0.408240;0.699708;0.693646;0.091906;-0.647680;0.502727;1.000000;0.836810;
12.099598;0.411620;0.404450;0.698780;0.692412;0.094127;-0.661651;0.494173;1.000000;0.836055;
12.125631;0.428775;0.397733;0.697072;0.690068;0.098564;-0.689607;0.477869;1.000000;0.834549;
12.149998;0.444735;0.391772;0.695526;0.687888;0.102690;-0.715596;0.462703;1.000000;0.833165;
12.149998;0.801915;0.662543;1.220426;1.212165;0.141761;-0.715689;0.462879;1.000000;0.833171;
12.150090;0.801845;0.662489;1.220416;1.212157;0.141744;-0.715627;0.462855;1.000000;0.837390;
12.150275;0.801560;0.661450;1.220211;1.211955;0.141700;-0.715409;0.462127;1.000000;0.845365;
12.150460;0.801137;0.659516;1.219826;1.211574;0.141644;-0.715102;0.460744;1.000000;0.852806;
12.150830;0.799787;0.652340;1.218391;1.210147;0.141494;-0.714166;0.455555;1.000000;0.866206;
12.151200;0.797981;0.642132;1.216343;1.208107;0.141310;-0.712938;0.448128;1.000000;0.877943;
12.151486;0.796007;0.630300;1.213960;1.205729;0.141128;-0.711625;0.439460;1.000000;0.885447;
12.151486;0.795997;0.630298;1.213960;1.205729;0.141126;-0.711617;0.439461;1.000000;0.885820;
12.151639;0.794964;0.624779;1.212847;1.204621;0.141012;-0.710900;0.435434;1.000000;0.889979;
12.151947;0.792293;0.611965;1.210261;1.202057;0.140679;-0.708985;0.426125;1.000000;0.897654;
12.152561;0.784937;0.580365;1.203853;1.195724;0.139664;-0.703547;0.403190;1.000000;0.910775;
12.153175;0.775970;0.543948;1.196400;1.188371;0.138372;-0.696819;0.376589;1.000000;0.921646;
12.153278;0.774100;0.536693;1.194906;1.186900;0.138094;-0.695401;0.371272;1.000000;0.923036;
12.153278;0.774090;0.536692;1.194906;1.186900;0.138092;-0.695391;0.371274;1.000000;0.923234;
