time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.005951;0.479962;0.922705;0.853913;-0.959924;0.527958;0.643477;1.092089;
4.005952;0.479977;0.922682;0.853879;-0.959954;0.527975;0.643416;1.092084;
4.005953;0.479995;0.922654;0.853849;-0.959990;0.527994;0.643362;1.092082;
4.005955;0.480030;0.922599;0.853790;-0.960061;0.528033;0.643255;1.092078;
4.005959;0.480101;0.922490;0.853672;-0.960202;0.528111;0.643040;1.092069;
4.005967;0.480242;0.922270;0.853436;-0.960484;0.528266;0.642610;1.092052;
4.005983;0.480524;0.921831;0.852963;-0.961048;0.528577;0.641751;1.092017;
4.006015;0.481087;0.920955;0.852018;-0.962173;0.529195;0.640032;1.091946;
4.006079;0.482206;0.919205;0.850129;-0.964412;0.530426;0.636598;1.091801;
4.006207;0.484419;0.915721;0.846358;-0.968838;0.532861;0.629741;1.091498;
4.006463;0.488746;0.908805;0.838842;-0.977491;0.537620;0.616076;1.090845;
4.006975;0.496989;0.895176;0.823931;-0.993978;0.546688;0.588966;1.089353;
4.007999;0.511798;0.868626;0.794719;-1.023596;0.562978;0.535853;1.085718;
4.009023;0.524377;0.842872;0.766491;-1.048754;0.576815;0.484528;1.081332;
4.010047;0.534757;0.817746;0.739451;-1.069515;0.588233;0.435366;1.076331;
4.011071;0.543010;0.793109;0.713777;-1.086019;0.597311;0.388686;1.070842;
4.012095;0.549231;0.768860;0.689608;-1.098461;0.604154;0.344742;1.064988;
4.013119;0.553543;0.744928;0.667045;-1.107087;0.608898;0.303719;1.058885;
4.014143;0.556088;0.721272;0.646155;-1.112175;0.611696;0.265736;1.052636;
4.015167;0.557014;0.697872;0.626967;-1.114028;0.612715;0.230848;1.046333;
4.016191;0.556477;0.674733;0.609481;-1.112953;0.612124;0.199056;1.040060;
4.017215;0.554631;0.651872;0.593669;-1.109262;0.610094;0.170307;1.033891;
4.018239;0.551628;0.629324;0.579479;-1.103256;0.606791;0.144508;1.027892;
4.019263;0.547614;0.607128;0.566840;-1.095228;0.602375;0.121527;1.022118;
4.020287;0.542728;0.585332;0.555664;-1.085456;0.597001;0.101208;1.016621;
4.021311;0.537101;0.563986;0.545853;-1.074202;0.590811;0.083369;1.011443;
4.022069;0.532542;0.548523;0.539406;-1.065084;0.585796;0.071647;1.007840;
4.022069;0.532514;0.548556;0.539401;-1.065028;0.585765;0.071637;1.007852;
4.022070;0.532508;0.548536;0.539392;-1.065015;0.585758;0.071623;1.007848;
4.022071;0.532501;0.548515;0.539384;-1.065003;0.585752;0.071608;1.007843;
4.022073;0.532489;0.548475;0.539368;-1.064978;0.585738;0.071579;1.007834;
4.022077;0.532464;0.548394;0.539336;-1.064928;0.585710;0.071520;1.007815;
4.022085;0.532414;0.548232;0.539272;-1.064827;0.585655;0.071404;1.007778;
4.022101;0.532313;0.547908;0.539144;-1.064627;0.585545;0.071170;1.007704;
4.022133;0.532113;0.547261;0.538888;-1.064225;0.585324;0.070705;1.007557;
4.022197;0.531709;0.545968;0.538380;-1.063418;0.584880;0.069781;1.007262;
