time;NETWORK_b1_Upu_value;NETWORK_b2_Upu_value;NETWORK_b3_Upu_value;NETWORK_b4_Upu_value;g1_generator_omegaPu;g1_generator_PGen;g1_generator_QGen;g1_generator_UStatorPu;g1_voltageRegulator_EfdPu;g2_generator_omegaPu;g2_generator_PGen;g2_generator_QGen;g2_generator_UStatorPu;g2_voltageRegulator_EfdPu;g3_generator_omegaPu;g3_generator_PGen;g3_generator_QGen;g3_generator_UStatorPu;g3_voltageRegulator_EfdPu;l4_load_PPu;l4_load_QPu;
0.000064;0.973222;0.965896;0.998935;0.929827;0.999999;105.623792;84.911405;0.980468;1.605649;1.000000;88.081007;90.359621;0.974283;1.598339;1.000000;75.238853;1.304958;0.999075;1.102510;2.686241;1.667383;
0.000128;0.973216;0.965890;0.998932;0.929822;0.999999;105.627329;84.908943;0.980462;1.605764;0.999999;88.075945;90.352802;0.974276;1.598483;0.999999;75.238189;1.311607;0.999072;1.102558;2.686219;1.667360;
0.000256;0.973205;0.965877;0.998926;0.929812;0.999998;105.634380;84.904025;0.980450;1.605992;0.999998;88.065842;90.339200;0.974262;1.598769;0.999999;75.236873;1.324874;0.999067;1.102654;2.686176;1.667315;
0.000512;0.973183;0.965850;0.998914;0.929792;0.999996;105.648391;84.894209;0.980428;1.606447;0.999997;88.045720;90.312141;0.974233;1.599340;0.999997;75.234284;1.351289;0.999058;1.102845;2.686089;1.667225;
0.001024;0.973139;0.965798;0.998891;0.929752;0.999992;105.676047;84.874655;0.980382;1.607351;0.999994;88.005810;90.258597;0.974176;1.600470;0.999995;75.229275;1.403637;0.999039;1.103225;2.685917;1.667048;
0.002048;0.973053;0.965696;0.998844;0.929674;0.999983;105.729914;84.835864;0.980293;1.609132;0.999987;87.927306;90.153775;0.974065;1.602692;0.999989;75.219930;1.506441;0.999001;1.103976;2.685579;1.666698;
0.004096;0.972885;0.965498;0.998753;0.929523;0.999967;105.832017;84.759553;0.980120;1.612590;0.999974;87.775412;89.952909;0.973851;1.606984;0.999978;75.203879;1.704671;0.998928;1.105439;2.684924;1.666020;
0.008192;0.972569;0.965129;0.998581;0.929239;0.999934;106.014801;84.612078;0.979795;1.619107;0.999949;87.490986;89.584218;0.973451;1.614987;0.999956;75.181951;2.073133;0.998789;1.108217;2.683693;1.664748;
0.016384;0.972010;0.964486;0.998274;0.928739;0.999868;106.302319;84.337921;0.979217;1.630666;0.999899;86.991882;88.964140;0.972755;1.628893;0.999913;75.176061;2.708971;0.998539;1.113218;2.681527;1.662509;
0.032768;0.971139;0.963515;0.997786;0.927967;0.999736;106.611959;83.871817;0.978312;1.648754;0.999799;86.224233;88.097253;0.971711;1.649770;0.999826;75.298867;3.648363;0.998136;1.121286;2.678187;1.659059;
0.049152;0.970547;0.962892;0.997443;0.927453;0.999604;106.614911;83.511849;0.977694;1.661113;0.999700;85.714760;87.626411;0.971050;1.663002;0.999740;75.582159;4.222311;0.997844;1.127116;2.675960;1.656760;
0.065536;0.970177;0.962535;0.997216;0.927139;0.999474;106.362354;83.250675;0.977304;1.668916;0.999603;85.408068;87.437285;0.970678;1.670446;0.999654;76.005293;4.521175;0.997644;1.131119;2.674599;1.655356;
0.081920;0.969978;0.962376;0.997081;0.926978;0.999345;105.891813;83.078660;0.977092;1.673152;0.999506;85.262501;87.442548;0.970520;1.673592;0.999567;76.551966;4.616880;0.997517;1.133653;2.673902;1.654637;
0.114688;0.969916;0.962418;0.996990;0.926945;0.999092;104.422857;82.946167;0.977018;1.674643;0.999315;85.319456;87.756724;0.970591;1.672171;0.999394;77.951127;4.445561;0.997413;1.135747;2.673763;1.654493;
0.147456;0.970178;0.962796;0.997076;0.927190;0.998847;102.336596;83.044401;0.977285;1.669306;0.999125;85.762985;88.327798;0.971020;1.663603;0.999218;79.701981;3.935373;0.997454;1.134929;2.674822;1.655586;
0.180224;0.970630;0.963356;0.997265;0.927592;0.998611;99.754578;83.307268;0.977754;1.659926;0.998936;86.497744;89.003599;0.971637;1.651257;0.999041;81.725855;3.244848;0.997582;1.132360;2.676559;1.657379;
0.212992;0.971181;0.963998;0.997509;0.928071;0.998385;96.798665;83.679797;0.978331;1.648385;0.998747;87.447889;89.702587;0.972339;1.637213;0.998860;83.942523;2.472026;0.997758;1.128847;2.678636;1.659523;
0.278528;0.972347;0.965303;0.998028;0.929068;0.997966;90.444619;84.564838;0.979559;1.623819;0.998368;89.658412;91.030327;0.973758;1.608837;0.998490;88.525527;0.906698;0.998140;1.121193;2.682955;1.663984;
0.344064;0.973502;0.966562;0.998542;0.930044;0.997588;84.150406;85.513622;0.980784;1.599327;0.997988;91.991388;92.258137;0.975121;1.581575;0.998108;92.918117;-0.601361;0.998522;1.113558;2.687181;1.668356;
0.409600;0.974566;0.967716;0.999013;0.930939;0.997248;78.769908;86.406384;0.981915;1.576701;0.997606;94.061598;93.378367;0.976369;1.556622;0.997716;96.625066;-1.981403;0.998872;1.106561;2.691064;1.672375;
0.475136;0.975518;0.968754;0.999436;0.931743;0.996940;74.970772;87.178181;0.982924;1.556526;0.997226;95.567182;94.398001;0.977493;1.534144;0.997319;99.274383;-3.215772;0.999187;1.100268;2.694552;1.675989;
0.540672;0.976359;0.969685;0.999817;0.932461;0.996653;73.135851;87.792122;0.983807;1.538850;0.996849;96.330494;95.330111;0.978502;1.513950;0.996923;100.662327;-4.306168;0.999472;1.094568;2.697668;1.679221;
0.606208;0.977096;0.970522;1.000162;0.933103;0.996377;73.338539;88.238945;0.984574;1.523513;0.996479;96.308324;96.186400;0.979411;1.495783;0.996531;100.762287;-5.262246;0.999733;1.089341;2.700453;1.682111;
0.671744;0.977738;0.971272;1.000475;0.933675;0.996104;75.361758;88.529357;0.985233;1.510336;0.996119;95.584417;96.977466;0.980227;1.479451;0.996151;99.710460;-6.095011;0.999972;1.084557;2.702933;1.684686;
0.802816;0.978763;0.972542;1.001000;0.934621;0.995532;82.199810;88.763688;0.986276;1.489475;0.995439;93.132092;98.411751;0.981614;1.451710;0.995442;95.730746;-7.444088;1.000372;1.076556;2.707044;1.688959;
0.915566;0.979403;0.973395;1.001327;0.935234;0.995010;89.034352;88.762942;0.986915;1.476695;0.994897;90.769000;99.477595;0.982555;1.432901;0.994887;91.520510;-8.337293;1.000617;1.071652;2.709707;1.691729;
1.028315;0.979867;0.974052;1.001540;0.935685;0.994465;94.253817;88.728756;0.987376;1.467487;0.994389;89.151210;100.390189;0.983288;1.418230;0.994382;88.111893;-9.067517;1.000763;1.068733;2.711668;1.693770;
1.141065;0.980212;0.974551;1.001653;0.936013;0.993919;96.614283;88.771047;0.987717;1.460660;0.993908;88.691150;101.144567;0.983851;1.406981;0.993914;86.353381;-9.717867;1.000821;1.067589;2.713080;1.695241;
1.253815;0.980472;0.974932;1.001705;0.936252;0.993390;96.078095;88.872400;0.987986;1.455279;0.993446;89.305026;101.761682;0.984283;1.398331;0.993470;86.380808;-10.288100;1.000818;1.067634;2.714122;1.696325;
1.366564;0.980673;0.975223;1.001713;0.936426;0.992897;93.492871;89.034001;0.988205;1.450892;0.992994;90.549410;102.262248;0.984616;1.391682;0.993039;87.799817;-10.798340;1.000776;1.068486;2.714887;1.697123;
1.479314;0.980831;0.975444;1.001690;0.936553;0.992449;90.163350;89.235373;0.988384;1.447317;0.992552;91.841357;102.669651;0.984873;1.386535;0.992612;89.895770;-11.256208;1.000710;1.069799;2.715446;1.697705;
1.592063;0.980957;0.975617;1.001653;0.936648;0.992044;87.368115;89.434273;0.988528;1.444446;0.992121;92.678002;103.005691;0.985077;1.382456;0.992188;91.898989;-11.656868;1.000638;1.071239;2.715862;1.698139;
1.704813;0.981059;0.975755;1.001613;0.936722;0.991672;85.966561;89.593987;0.988639;1.442220;0.991703;92.794435;103.284962;0.985242;1.379154;0.991769;93.218918;-11.998284;1.000570;1.072594;2.716185;1.698475;
1.817563;0.981138;0.975866;1.001573;0.936779;0.991322;86.210735;89.695169;0.988719;1.440625;0.991304;92.214980;103.518129;0.985375;1.376495;0.991361;93.580459;-12.283186;1.000509;1.073819;2.716432;1.698733;
1.930312;0.981192;0.975950;1.001530;0.936820;0.990980;87.781806;89.737487;0.988768;1.439644;0.990926;91.199080;103.714934;0.985478;1.374449;0.990969;93.042593;-12.516707;1.000450;1.075002;2.716600;1.698908;
2.043062;0.981220;0.976008;1.001481;0.936840;0.990639;90.000342;89.737541;0.988790;1.439201;0.990571;90.116050;103.882876;0.985550;1.373007;0.990600;91.915065;-12.707153;1.000386;1.076273;2.716682;1.698994;
2.155812;0.981225;0.976042;1.001422;0.936842;0.990298;92.110298;89.721660;0.988792;1.439151;0.990236;89.303060;104.025428;0.985594;1.372119;0.990253;90.617626;-12.866386;1.000314;1.077723;2.716686;1.698997;
2.268561;0.981214;0.976056;1.001355;0.936829;0.989959;93.532269;89.715401;0.988785;1.439310;0.989918;88.957090;104.143200;0.985616;1.371685;0.989928;89.534838;-13.007144;1.000232;1.079363;2.716628;1.698936;
2.381311;0.981197;0.976055;1.001281;0.936807;0.989629;94.012091;89.735261;0.988774;1.439518;0.989614;89.091297;104.236996;0.985621;1.371571;0.989623;88.910326;-13.139353;1.000143;1.081136;2.716532;1.698837;
2.494060;0.981179;0.976046;1.001205;0.936780;0.989313;93.638270;89.785595;0.988766;1.439679;0.989320;89.559547;104.309905;0.985618;1.371643;0.989332;88.804062;-13.268120;1.000053;1.082948;2.716420;1.698720;
2.719560;0.981157;0.976020;1.001063;0.936730;0.988740;92.129234;89.952035;0.988758;1.439839;0.988756;90.419114;104.405634;0.985606;1.371877;0.988778;89.432842;-13.517864;0.999889;1.086223;2.716211;1.698502;
2.922509;0.981142;0.976001;1.000952;0.936691;0.988283;91.162134;90.085910;0.988754;1.439927;0.988281;90.619259;104.484882;0.985594;1.372116;0.988309;90.184376;-13.715763;0.999761;1.088789;2.716043;1.698327;
3.125458;0.981124;0.975985;1.000861;0.936658;0.987865;91.301416;90.161263;0.988743;1.440139;0.987841;90.196729;104.559839;0.985585;1.372308;0.987869;90.453745;-13.868117;0.999656;1.090883;2.715899;1.698177;
3.328408;0.981103;0.975968;1.000785;0.936628;0.987474;92.226722;90.197684;0.988725;1.440508;0.987439;89.524648;104.621560;0.985574;1.372525;0.987460;90.187126;-13.985471;0.999569;1.092611;2.715765;1.698038;
3.531357;0.981079;0.975949;1.000717;0.936597;0.987103;93.216152;90.217131;0.988702;1.440962;0.987073;89.042751;104.671916;0.985559;1.372811;0.987084;89.666063;-14.080824;0.999493;1.094141;2.715632;1.697899;
3.734306;0.981056;0.975930;1.000655;0.936569;0.986754;93.745409;90.237889;0.988681;1.441378;0.986735;88.939808;104.714204;0.985544;1.373119;0.986741;89.226955;-14.164647;0.999423;1.095541;2.715508;1.697769;
3.937256;0.981037;0.975915;1.000600;0.936545;0.986429;93.749275;90.266691;0.988666;1.441683;0.986420;89.109455;104.751322;0.985531;1.373370;0.986426;89.042653;-14.241602;0.999361;1.096786;2.715402;1.697659;
4.140205;0.981023;0.975905;1.000554;0.936526;0.986133;93.509329;90.297246;0.988656;1.441884;0.986126;89.306818;104.787385;0.985525;1.373505;0.986134;89.077100;-14.311104;0.999308;1.097832;2.715321;1.697575;
4.546104;0.981006;0.975899;1.000490;0.936502;0.985609;93.459585;90.330092;0.988641;1.442182;0.985598;89.254623;104.861900;0.985527;1.373464;0.985607;89.169196;-14.420586;0.999234;1.099310;2.715220;1.697470;
4.952002;0.980994;0.975906;1.000453;0.936492;0.985161;93.856526;90.318299;0.988628;1.442434;0.985147;88.939809;104.939311;0.985541;1.373188;0.985153;89.082487;-14.490468;0.999191;1.100181;2.715174;1.697421;
5.357901;0.980986;0.975918;1.000433;0.936488;0.984774;94.255712;90.288182;0.988618;1.442643;0.984763;88.733093;105.008192;0.985559;1.372819;0.984766;88.888473;-14.533709;0.999167;1.100655;2.715159;1.697406;
5.763800;0.980982;0.975935;1.000425;0.936491;0.984442;94.438347;90.255188;0.988612;1.442768;0.984434;88.691192;105.068733;0.985581;1.372390;0.984436;88.748662;-14.561745;0.999157;1.100865;2.715169;1.697417;
6.169698;0.980982;0.975954;1.000426;0.936497;0.984158;94.521132;90.219947;0.988609;1.442827;0.984152;88.674559;105.123446;0.985604;1.371914;0.984153;88.685284;-14.578334;0.999156;1.100881;2.715198;1.697447;
6.981496;0.980986;0.975992;1.000440;0.936515;0.983702;94.747416;90.145311;0.988606;1.442881;0.983697;88.555267;105.215657;0.985651;1.370980;0.983698;88.585799;-14.589070;0.999170;1.100605;2.715274;1.697526;
7.793293;0.980992;0.976028;1.000464;0.936534;0.983367;94.951799;90.073762;0.988606;1.442878;0.983363;88.447976;105.285689;0.985692;1.370153;0.983363;88.497111;-14.580660;0.999194;1.100114;2.715359;1.697615;
8.605090;0.980999;0.976057;1.000489;0.936552;0.983123;95.089305;90.014094;0.988608;1.442841;0.983120;88.386768;105.336004;0.985726;1.369479;0.983120;88.428581;-14.565000;0.999221;1.099587;2.715438;1.697697;
10.000000;0.981009;0.976094;1.000525;0.936576;0.982838;95.240580;89.940039;0.988612;1.442764;0.982837;88.318943;105.392566;0.985768;1.368646;0.982836;88.355501;-14.538955;0.999258;1.098836;2.715543;1.697806;
