time;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_VL1_BUS1_U;NETWORK_VL2_BUS1_U;
10.1290239998;0.0407982361;0.0052015502;-0.0407981914;0.0409766282;-0.0052015393;0.0060334242;2.0049791459;1.0093444841;
10.1327103998;0.0408047608;0.0052032141;-0.0408047192;0.0409831601;-0.0052032040;0.0060350900;2.0052999476;1.0095052668;
10.1363967998;0.0408113863;0.0052049039;-0.0408113474;0.0409897924;-0.0052048945;0.0060367817;2.0056256810;1.0096685212;
10.1400831998;0.0408180867;0.0052066131;-0.0408180502;0.0409964994;-0.0052066044;0.0060384927;2.0059550852;1.0098336153;
10.1437695998;0.0408248396;0.0052083360;-0.0408248050;0.0410032585;-0.0052083278;0.0060402173;2.0062870449;1.0099999903;
10.1511423998;0.0408383673;0.0052117883;-0.0408383673;0.0410168292;-0.0052117883;0.0060436800;2.0069537535;1.0103341368;
10.1577779198;0.0408505896;0.0052149083;-0.0408505861;0.0410290557;-0.0052149074;0.0060468013;2.0075542178;1.0106350838;
10.1644134398;0.0408629316;0.0052180599;-0.0408627472;0.0410412245;-0.0052180119;0.0060499083;2.0081513962;1.0109343857;
10.1710489598;0.0408749466;0.0052211289;-0.0408747613;0.0410532461;-0.0052210815;0.0060529800;2.0087417136;1.0112302480;
10.1776844798;0.0408867550;0.0052241461;-0.0408865933;0.0410650856;-0.0052241052;0.0060560058;2.0093231764;1.0115216719;
10.1843199998;0.0408983749;0.0052271158;-0.0408982135;0.0410767131;-0.0052270759;0.0060589786;2.0098941855;1.0118078570;
10.1909555198;0.0409097575;0.0052300258;-0.0409095934;0.0410881002;-0.0052299863;0.0060618910;2.0104533948;1.0120881282;
10.1975910398;0.0409208776;0.0052328694;-0.0409207136;0.0410992273;-0.0052328311;0.0060647379;2.0109998632;1.0123620138;
10.2042265598;0.0409317274;0.0052356447;-0.0409315619;0.0411100824;-0.0052356073;0.0060675159;2.0115329756;1.0126292054;
10.2108620798;0.0409422994;0.0052383496;-0.0409421304;0.0411206576;-0.0052383128;0.0060702233;2.0120523444;1.0128895091;
10.2174975998;0.0409525884;0.0052409828;-0.0409524150;0.0411309486;-0.0052409465;0.0060728589;2.0125577698;1.0131428245;
10.2241331198;0.0409625934;0.0052435439;-0.0409624148;0.0411409548;-0.0052435082;0.0060754223;2.0130492058;1.0133891287;
10.2307686398;0.0409723157;0.0052460333;-0.0409721314;0.0411506774;-0.0052459981;0.0060779139;2.0135267247;1.0136284578;
10.2374041598;0.0409817587;0.0052484517;-0.0409815679;0.0411601199;-0.0052484171;0.0060803346;2.0139904896;1.0138608936;
10.2506751998;0.0409996025;0.0052530231;-0.0409996025;0.0411781657;-0.0052530231;0.0060849431;2.0148774702;1.0143054299;
10.2639462398;0.0410180829;0.0052577598;-0.0410166201;0.0411951940;-0.0052574092;0.0060893323;2.0157137228;1.0147245646;
10.2772172798;0.0410345459;0.0052619811;-0.0410326424;0.0412112264;-0.0052615589;0.0060934850;2.0165011357;1.0151192295;
10.2904883198;0.0410497349;0.0052658773;-0.0410477200;0.0412263135;-0.0052654691;0.0060973978;2.0172424152;1.0154907720;
10.3037593598;0.0410640560;0.0052695522;-0.0410619125;0.0412405150;-0.0052691614;0.0061010924;2.0179404591;1.0158406478;
10.3170303998;0.0410775591;0.0052730183;-0.0410752760;0.0412538868;-0.0052726499;0.0061045829;2.0185980337;1.0161702433;
10.3303014398;0.0410902911;0.0052762876;-0.0410878627;0.0412664813;-0.0052759478;0.0061078824;2.0192177366;1.0164808602;
10.3435724798;0.0411023010;0.0052793723;-0.0410997205;0.0412783465;-0.0052790673;0.0061110030;2.0198019609;1.0167736978;
10.3568435198;0.0411136326;0.0052822837;-0.0411108927;0.0412895255;-0.0052820192;0.0061139557;2.0203528791;1.0170498446;
10.3701145598;0.0411243256;0.0052850317;-0.0411214182;0.0413000574;-0.0052848132;0.0061167501;2.0208724527;1.0173102835;
10.3833855998;0.0411344158;0.0052876255;-0.0411313318;0.0413099768;-0.0052874578;0.0061193946;2.0213624442;1.0175558972;
10.3966566398;0.0411439354;0.0052900732;-0.0411406641;0.0413193146;-0.0052899605;0.0061218967;2.0218244274;1.0177874741;
10.4099276798;0.0411529129;0.0052923820;-0.0411494427;0.0413280982;-0.0052923276;0.0061242625;2.0222598123;1.0180057204;
10.4231987198;0.0411613743;0.0052945585;-0.0411576921;0.0413363522;-0.0052945646;0.0061264976;2.0226698647;1.0182112697;
10.4364697598;0.0411693429;0.0052966087;-0.0411654339;0.0413440983;-0.0052966760;0.0061286065;2.0230557132;1.0184046870;
10.4497407998;0.0411768390;0.0052985377;-0.0411726877;0.0413513559;-0.0052986655;0.0061305928;2.0234183752;1.0185864811;
10.4630118398;0.0411838816;0.0053003503;-0.0411794716;0.0413581430;-0.0053005362;0.0061324594;2.0237587824;1.0187571183;
