time;Generator_generator_PGenPu;Generator_generator_QGenPu;HvdcVSCDanglingUdc_hvdc_Conv1_UPu;HvdcVSCDanglingUdc_hvdc_Conv1_UPhase;HvdcVSCDanglingUdc_hvdc_Conv1_PInjPu;HvdcVSCDanglingUdc_hvdc_Conv1_QInjPu;HvdcVSCDanglingUdc_hvdc_Conv2_PInjPu;HvdcVSCDanglingUdc_hvdc_Conv2_QInjPu;HvdcVSCDanglingUdc_hvdc_dCLine_U1dcPu;HvdcVSCDanglingUdc_hvdc_dCLine_U2dcPu;
1.112288;8.977291;-2.389687;1.024791;0.061067;1.023351;2.392897;0.000000;0.000000;0.999950;1.000197;
1.120480;8.993464;-2.281772;1.023589;0.060869;1.007175;2.284972;0.000000;0.000000;0.999914;1.000158;
1.127853;9.000071;-2.164037;1.021670;0.060590;1.000566;2.167222;0.000000;0.000000;0.999902;1.000146;
1.135225;9.003034;-2.036441;1.019216;0.060178;0.997600;2.039611;0.000000;0.000000;0.999901;1.000145;
1.142598;9.004351;-1.906176;1.016439;0.059640;0.996304;1.909339;0.000000;0.000000;0.999905;1.000149;
1.149971;9.004850;-1.777933;1.013489;0.059003;0.995779;1.781080;0.000000;0.000000;0.999911;1.000155;
1.157344;9.005015;-1.655336;1.010493;0.058294;0.995614;1.658477;0.000000;0.000000;0.999919;1.000162;
1.164717;9.005012;-1.540769;1.007550;0.057545;0.995644;1.543921;0.000000;0.000000;0.999926;1.000169;
1.179462;9.004773;-1.340919;1.002102;0.056043;0.995853;1.344053;0.000000;0.000000;0.999941;1.000184;
1.184925;9.004629;-1.276896;1.000267;0.055504;0.995987;1.280028;0.000000;0.000000;0.999946;1.000189;
1.184925;9.004631;-1.276893;1.000267;0.055504;0.995997;1.280028;0.000000;0.000000;0.999946;1.000189;
1.184926;9.004630;-1.276882;1.000266;0.055504;0.995997;1.280018;0.000000;0.000000;0.999946;1.000189;
1.184926;9.004630;-1.276882;1.000266;0.055504;0.995997;1.280018;0.000000;0.000000;0.999946;1.000189;
1.184927;9.004630;-1.276871;1.000266;0.055504;0.995998;1.280006;0.000000;0.000000;0.999946;1.000189;
1.184928;9.004630;-1.276860;1.000266;0.055504;0.995998;1.279995;0.000000;0.000000;0.999946;1.000189;
1.184930;9.004629;-1.276837;1.000265;0.055504;0.995998;1.279972;0.000000;0.000000;0.999946;1.000189;
1.184934;9.004629;-1.276792;1.000264;0.055503;0.995998;1.279927;0.000000;0.000000;0.999946;1.000189;
1.184942;9.004629;-1.276701;1.000261;0.055502;0.995998;1.279837;0.000000;0.000000;0.999946;1.000189;
1.184958;9.004628;-1.276521;1.000256;0.055501;0.995999;1.279656;0.000000;0.000000;0.999946;1.000189;
1.184990;9.004627;-1.276159;1.000245;0.055498;0.996000;1.279295;0.000000;0.000000;0.999946;1.000189;
1.185054;9.004625;-1.275437;1.000224;0.055491;0.996002;1.278572;0.000000;0.000000;0.999946;1.000189;
1.185182;9.004621;-1.273995;1.000181;0.055478;0.996006;1.277131;0.000000;0.000000;0.999946;1.000189;
1.185438;9.004612;-1.271121;1.000096;0.055452;0.996015;1.274256;0.000000;0.000000;0.999946;1.000190;
1.185950;9.004594;-1.265411;0.999927;0.055401;0.996033;1.268547;0.000000;0.000000;0.999947;1.000190;
1.186974;9.004558;-1.254146;0.999592;0.055298;0.996069;1.257282;0.000000;0.000000;0.999948;1.000191;
1.189022;9.004484;-1.232229;0.998936;0.055096;0.996143;1.235365;0.000000;0.000000;0.999949;1.000193;
1.193118;9.004331;-1.190791;0.997677;0.054700;0.996297;1.193929;0.000000;0.000000;0.999953;1.000197;
1.201310;9.004010;-1.117024;0.995374;0.053952;0.996618;1.120165;0.000000;0.000000;0.999960;1.000203;
1.217694;9.003359;-1.001576;0.991572;0.052638;0.997271;1.004726;0.000000;0.000000;0.999971;1.000215;
1.234078;9.002739;-0.922936;0.988757;0.051569;0.997892;0.926094;0.000000;0.000000;0.999980;1.000224;
1.250462;9.002195;-0.873223;0.986780;0.050735;0.998438;0.876387;0.000000;0.000000;0.999987;1.000231;
1.266846;9.001749;-0.845037;0.985478;0.050107;0.998884;0.848206;0.000000;0.000000;0.999991;1.000235;
1.283230;9.001411;-0.831997;0.984689;0.049651;0.999203;0.835154;0.000000;0.000000;0.999994;1.000238;
1.299614;9.001166;-0.828852;0.984267;0.049328;0.999449;0.832011;0.000000;0.000000;0.999996;1.000240;
1.315998;9.001000;-0.831637;0.984093;0.049107;0.999619;0.834798;0.000000;0.000000;0.999997;1.000241;
1.332382;9.000897;-0.837491;0.984075;0.048957;0.999726;0.840656;0.000000;0.000000;0.999997;1.000241;
1.348766;9.000839;-0.844489;0.984143;0.048856;0.999788;0.847657;0.000000;0.000000;0.999997;1.000241;
1.381534;9.000793;-0.857127;0.984345;0.048724;0.999842;0.860304;0.000000;0.000000;0.999997;1.000241;
1.414302;9.000806;-0.866755;0.984556;0.048647;0.999829;0.869931;0.000000;0.000000;0.999996;1.000240;
1.479838;9.000849;-0.876795;0.984804;0.048512;0.999786;0.879971;0.000000;0.000000;0.999996;1.000240;
1.545374;9.000883;-0.879151;0.984880;0.048378;0.999752;0.882327;0.000000;0.000000;0.999996;1.000240;
1.610910;9.000895;-0.878569;0.984865;0.048234;0.999740;0.881745;0.000000;0.000000;0.999996;1.000240;
1.676446;9.000894;-0.877748;0.984828;0.048087;0.999741;0.880925;0.000000;0.000000;0.999996;1.000240;
1.807518;9.000890;-0.878116;0.984789;0.047821;0.999745;0.881292;0.000000;0.000000;0.999996;1.000240;
1.938590;9.000888;-0.879044;0.984766;0.047574;0.999748;0.882220;0.000000;0.000000;0.999997;1.000241;
2.000000;9.000887;-0.879525;0.984756;0.047463;0.999748;0.882702;0.000000;0.000000;0.999997;1.000241;
