time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;
0.0119959;0.946976;0.946978;0.949998;0.95;0.000773267;1.11432;1;0.996982;4.73489;1.55149;473.489;155.149;0.99081;5.02882;2.49094;0.99081;1.55149;0.836656;1.00454;0.00133841;0.99081;0.0475;1;0.95;
0.0157997;0.945963;0.945967;0.949996;0.95;0.000800498;1.15356;1;0.996987;4.72984;1.54656;472.984;154.656;0.99055;5.02374;2.48612;0.99055;1.54656;0.836905;1.00454;0.00213128;0.99055;0.0475;1;0.95;
0.0196036;0.94495;0.944957;0.949993;0.949999;0.000829103;1.19478;1.00001;0.996995;4.72478;1.54163;472.478;154.163;0.990289;5.01867;2.48163;0.990289;1.54163;0.837156;1.00454;0.00298036;0.990289;0.0475;1.00001;0.949999;
0.0272113;0.942947;0.942959;0.949986;0.949998;0.000889453;1.28174;1.00001;0.99702;4.7148;1.53181;471.48;153.181;0.989769;5.00864;2.4734;0.989769;1.53181;0.837659;1.00454;0.00473044;0.989769;0.0475;1.00001;0.949998;
0.034819;0.940999;0.941018;0.949978;0.949997;0.000954387;1.37532;1.00002;0.99706;4.70509;1.52218;470.509;152.218;0.989256;4.9989;2.46629;0.989256;1.52218;0.838161;1.00454;0.00649315;0.989256;0.0475;1.00002;0.949997;
0.0424267;0.939151;0.939179;0.949966;0.949995;0.00102316;1.47443;1.00003;0.99712;4.6959;1.51291;469.59;151.291;0.988761;4.98967;2.46031;0.988761;1.51291;0.838654;1.00454;0.00815178;0.988761;0.0475;1.00003;0.949995;
0.0500344;0.937439;0.937477;0.949953;0.949992;0.0010944;1.57708;1.00004;0.997205;4.68738;1.50414;468.738;150.414;0.988289;4.98114;2.45541;0.988289;1.50414;0.839133;1.00454;0.00963259;0.988289;0.0475;1.00004;0.949992;
0.0576421;0.935886;0.935936;0.949937;0.949987;0.00116668;1.68124;1.00005;0.997318;4.67968;1.49597;467.968;149.597;0.987845;4.97343;2.45152;0.987845;1.49597;0.839595;1.00454;0.0108927;0.987845;0.0475;1.00005;0.949987;
0.0652499;0.934518;0.934581;0.949918;0.949982;0.00123827;1.78441;1.00007;0.997463;4.6729;1.48847;467.29;148.847;0.987435;4.96665;2.44854;0.987435;1.48847;0.840036;1.00454;0.011904;0.987435;0.0475;1.00007;0.949982;
0.0728576;0.933455;0.933532;0.949896;0.949975;0.00130543;1.88119;1.00008;0.997661;4.66766;1.48209;466.766;148.209;0.987079;4.96142;2.44676;0.987079;1.48209;0.840443;1.00454;0.0125392;0.987079;0.0475;1.00008;0.949975;
0.0787813;0.932751;0.932841;0.949877;0.949968;0.00135509;1.95274;1.0001;0.997839;4.6642;1.47757;466.42;147.757;0.986823;4.95798;2.44578;0.986823;1.47757;0.840748;1.00454;0.012893;0.986823;0.0475;1.0001;0.949968;
0.084705;0.932174;0.932275;0.949858;0.949961;0.00140165;2.01984;1.00011;0.998041;4.66138;1.4735;466.138;147.35;0.986589;4.95518;2.44518;0.986589;1.4735;0.841041;1.00454;0.0131135;0.986589;0.0475;1.00011;0.949961;
0.0900364;0.931752;0.931865;0.949839;0.949954;0.00144086;2.07635;1.00012;0.998242;4.65932;1.47017;465.932;147.017;0.986394;4.95316;2.4449;0.986394;1.47017;0.841296;1.00454;0.0132123;0.986394;0.0475;1.00012;0.949954;
0.0953678;0.931428;0.931552;0.949819;0.949946;0.00147717;2.12867;1.00013;0.998465;4.65776;1.46718;465.776;146.718;0.986216;4.95163;2.44488;0.986216;1.46718;0.841543;1.00454;0.0132183;0.986216;0.0475;1.00013;0.949946;
0.100699;0.931197;0.931333;0.949799;0.949937;0.00151045;2.17663;1.00015;0.998708;4.65666;1.4645;465.666;146.45;0.986052;4.95057;2.44507;0.986052;1.4645;0.841784;1.00454;0.0131396;0.986052;0.0475;1.00015;0.949937;
0.111362;0.930944;0.931103;0.949756;0.949918;0.00156965;2.26194;1.00017;0.999243;4.65551;1.45982;465.551;145.982;0.985757;4.94952;2.44587;0.985757;1.45982;0.842252;1.00454;0.0128094;0.985757;0.0475;1.00017;0.949918;
0.122025;0.931005;0.931187;0.949711;0.949896;0.00161705;2.33025;1.0002;0.999859;4.65594;1.45614;465.594;145.614;0.985507;4.95007;2.44724;0.985507;1.45614;0.842705;1.00454;0.0122352;0.985507;0.0475;1.0002;0.949896;
0.132687;0.931355;0.93156;0.949663;0.949872;0.00165259;2.38147;1.00022;1.00055;4.6578;1.45332;465.78;145.332;0.985297;4.95208;2.44905;0.985297;1.45332;0.84315;1.00454;0.0114638;0.985297;0.0475;1.00022;0.949872;
0.154013;0.932724;0.932972;0.949563;0.949816;0.0016919;2.43811;1.00027;1.00218;4.66486;1.44941;466.486;144.941;0.984949;4.95949;2.45324;0.984949;1.44941;0.844062;1.00454;0.00958913;0.984949;0.0475;1.00027;0.949816;
0.172422;0.934472;0.934754;0.949472;0.94976;0.00169638;2.44457;1.0003;1.00382;4.67377;1.44727;467.377;144.727;0.984695;4.96877;2.45707;0.984695;1.44727;0.844896;1.00454;0.00777494;0.984695;0.0475;1.0003;0.94976;
0.190832;0.936538;0.936851;0.949381;0.949698;0.00168081;2.42213;1.00033;1.00566;4.68426;1.44547;468.426;144.547;0.984442;4.97968;2.46062;0.984442;1.44547;0.845807;1.00454;0.00597402;0.984442;0.0475;1.00033;0.949698;
0.207377;0.938533;0.93887;0.949299;0.949639;0.00165533;2.38541;1.00036;1.00746;4.69435;1.44366;469.435;144.366;0.984192;4.9902;2.46337;0.984192;1.44366;0.846708;1.00454;0.00446714;0.984192;0.0475;1.00036;0.949639;
0.223923;0.940552;0.940908;0.949218;0.949578;0.00162419;2.34054;1.00038;1.00937;4.70454;1.44129;470.454;144.129;0.983904;5.00086;2.46559;0.983904;1.44129;0.847696;1.00454;0.00312731;0.983904;0.0475;1.00038;0.949578;
0.238814;0.942329;0.9427;0.949147;0.949521;0.00159462;2.29793;1.00039;1.01117;4.7135;1.43853;471.35;143.853;0.983605;5.01027;2.46713;0.983605;1.43853;0.848661;1.00454;0.00208333;0.983605;0.0475;1.00039;0.949521;
0.253705;0.944029;0.94441;0.949079;0.949463;0.00156622;2.257;1.0004;1.01303;4.72205;1.43509;472.205;143.509;0.983264;5.01931;2.46828;0.983264;1.43509;0.849693;1.00454;0.00119378;0.983264;0.0475;1.0004;0.949463;
0.268596;0.945576;0.945965;0.949015;0.949405;0.00154256;2.22291;1.00041;1.01495;4.72982;1.43065;472.982;143.065;0.982866;5.0276;2.46895;0.982866;1.43065;0.850814;1.00454;0.000505944;0.982866;0.0475;1.00041;0.949405;
0.280706;0.94676;0.947152;0.948965;0.949358;0.00152627;2.19943;1.00041;1.01653;4.73576;1.42665;473.576;142.665;0.982521;5.03397;2.46936;0.982521;1.42665;0.851756;1.00454;1.61602e-05;0.982521;0.0475;1.00041;0.949358;
0.292816;0.94787;0.948264;0.948917;0.949312;0.00151299;2.18029;1.00042;1.01811;4.74132;1.42232;474.132;142.232;0.982157;5.03999;2.46967;0.982157;1.42232;0.852722;1.00454;-0.00041615;0.982157;0.0475;1.00042;0.949312;
0.304925;0.948913;0.949307;0.948872;0.949267;0.00150259;2.1653;1.00042;1.01969;4.74654;1.41771;474.654;141.771;0.981779;5.04567;2.46992;0.981779;1.41771;0.853706;1.00454;-0.000802409;0.981779;0.0475;1.00042;0.949267;
0.329145;0.950848;0.95124;0.948789;0.949179;0.00148798;2.14425;1.00041;1.02283;4.7562;1.40802;475.62;140.802;0.981;5.05631;2.47034;0.981;1.40802;0.855699;1.00454;-0.00149469;0.981;0.0475;1.00041;0.949179;
0.350943;0.952401;0.952786;0.948722;0.949105;0.00148254;2.13641;1.0004;1.02562;4.76393;1.39881;476.393;139.881;0.980277;5.06494;2.47066;0.980277;1.39881;0.857511;1.00454;-0.00203106;0.980277;0.0475;1.0004;0.949105;
0.372741;0.953787;0.954161;0.948664;0.949036;0.00148334;2.13756;1.00039;1.02834;4.77081;1.38937;477.081;138.937;0.979548;5.07275;2.47101;0.979548;1.38937;0.859316;1.00454;-0.00251194;0.979548;0.0475;1.00039;0.949036;
0.394539;0.955024;0.955383;0.948616;0.948973;0.00148896;2.14566;1.00038;1.03097;4.77692;1.37992;477.692;137.992;0.978827;5.07979;2.47142;0.978827;1.37992;0.861089;1.00454;-0.00295796;0.978827;0.0475;1.00038;0.948973;
0.416336;0.956122;0.956464;0.948577;0.948916;0.001498;2.15868;1.00036;1.03347;4.78232;1.37066;478.232;137.066;0.978127;5.08612;2.4719;0.978127;1.37066;0.862808;1.00454;-0.00337827;0.978127;0.0475;1.00036;0.948916;
0.438134;0.957089;0.95741;0.948548;0.948867;0.00150929;2.17496;1.00034;1.03584;4.78705;1.36174;478.705;136.174;0.977457;5.09175;2.47245;0.977457;1.36174;0.864454;1.00454;-0.0037726;0.977457;0.0475;1.00034;0.948867;
0.459932;0.957926;0.958225;0.94853;0.948825;0.00152199;2.19326;1.00031;1.03805;4.79112;1.35325;479.112;135.325;0.976825;5.09669;2.47303;0.976825;1.35325;0.866013;1.00454;-0.00413483;0.976825;0.0475;1.00031;0.948825;
0.48173;0.958632;0.958905;0.948521;0.948791;0.00153556;2.21281;1.00028;1.04009;4.79453;1.34527;479.453;134.527;0.976235;5.10091;2.4736;0.976235;1.34527;0.867472;1.00454;-0.00445608;0.976235;0.0475;1.00028;0.948791;
0.525325;0.959638;0.959856;0.948531;0.948747;0.00156418;2.25406;1.00023;1.04359;4.79928;1.3311;479.928;133.11;0.975204;5.10709;2.47462;0.975204;1.3311;0.870044;1.00454;-0.00493501;0.975204;0.0475;1.00023;0.948747;
0.568921;0.960103;0.960263;0.948578;0.948736;0.00159457;2.29785;1.00017;1.04628;4.80132;1.31944;480.132;131.944;0.974379;5.11024;2.47538;0.974379;1.31944;0.872127;1.00454;-0.00517914;0.974379;0.0475;1.00017;0.948736;
0.656112;0.959632;0.959678;0.948751;0.948797;0.00165773;2.38886;1.00005;1.04922;4.79839;1.30423;479.839;130.423;0.97338;5.10847;2.47612;0.97338;1.30423;0.874749;1.00454;-0.00501905;0.97338;0.0475;1.00005;0.948797;
0.734584;0.957921;0.957878;0.948978;0.948934;0.00171356;2.46932;0.999954;1.0493;4.78939;1.29968;478.939;129.968;0.973195;5.09929;2.47608;0.973195;1.29968;0.87542;1.00454;-0.0042868;0.973195;0.0475;0.999954;0.948934;
0.813056;0.955474;0.955361;0.949235;0.949123;0.0017627;2.54013;0.999882;1.04739;4.77681;1.30313;477.681;130.313;0.973608;5.08558;2.4757;0.973608;1.30313;0.874699;1.00454;-0.00321984;0.973608;0.0475;0.999882;0.949123;
0.883681;0.953015;0.952862;0.949469;0.949317;0.00179743;2.59018;0.99984;1.04442;4.76431;1.31205;476.431;131.205;0.974392;5.07155;2.47532;0.974392;1.31205;0.873111;1.00454;-0.00213941;0.974392;0.0475;0.99984;0.949317;
0.954306;0.950652;0.950481;0.949682;0.949512;0.00182075;2.62378;0.99982;1.04077;4.75241;1.32503;475.241;132.503;0.97544;5.05789;2.47509;0.97544;1.32503;0.870938;1.00454;-0.00109187;0.97544;0.0475;0.99982;0.949512;
1.02493;0.948633;0.948463;0.949862;0.949692;0.00183209;2.64013;0.999821;1.0369;4.74232;1.34049;474.232;134.049;0.976628;5.04607;2.47513;0.976628;1.34049;0.868479;1.00454;-0.000182471;0.976628;0.0475;0.999821;0.949692;
1.09556;0.947122;0.946969;0.949998;0.949844;0.00183244;2.64063;0.999838;1.03321;4.73484;1.35681;473.484;135.681;0.977835;5.03706;2.4755;0.977835;1.35681;0.86601;1.00454;0.00051721;0.977835;0.0475;0.999838;0.949844;
1.16618;0.946195;0.946069;0.950088;0.949962;0.0018237;2.62804;0.999867;1.03001;4.73034;1.37259;473.034;137.259;0.97896;5.03132;2.47619;0.97896;1.37259;0.863754;1.00454;0.000972429;0.97896;0.0475;0.999867;0.949962;
1.23681;0.945851;0.945758;0.950135;0.950041;0.00180853;2.60618;0.999901;1.02749;4.72879;1.38667;472.879;138.667;0.97993;5.02884;2.47714;0.97993;1.38667;0.861866;1.00454;0.00118137;0.97993;0.0475;0.999901;0.950041;
1.30743;0.946003;0.945943;0.950145;0.950086;0.00179012;2.57965;0.999937;1.02571;4.72972;1.39834;472.972;139.834;0.980701;5.02917;2.47828;0.980701;1.39834;0.860431;1.00454;0.00117886;0.980701;0.0475;0.999937;0.950086;
1.37805;0.946569;0.94654;0.950127;0.950098;0.00177065;2.55159;0.99997;1.02467;4.7327;1.40722;473.27;140.722;0.981259;5.03179;2.47952;0.981259;1.40722;0.859464;1.00454;0.000996801;0.981259;0.0475;0.99997;0.950098;
1.44868;0.947396;0.947393;0.95009;0.950087;0.0017527;2.52572;0.999997;1.02428;4.73697;1.41335;473.697;141.335;0.981614;5.03591;2.48078;0.981614;1.41335;0.858933;1.00454;0.000700688;0.981614;0.0475;0.999997;0.950087;
1.5193;0.948346;0.948361;0.950044;0.950059;0.00173809;2.50468;1.00002;1.02438;4.7418;1.41703;474.18;141.703;0.981796;5.04077;2.48201;0.981796;1.41703;0.85876;1.00454;0.000348698;0.981796;0.0475;1.00002;0.950059;
1.58993;0.949292;0.949316;0.949998;0.950023;0.00172788;2.48996;1.00003;1.02479;4.74658;1.41875;474.658;141.875;0.981849;5.04567;2.48315;0.981849;1.41875;0.858844;1.00454;-7.79969e-06;0.981849;0.0475;1.00003;0.950023;
1.66055;0.95013;0.950157;0.94996;0.949987;0.00172236;2.482;1.00003;1.02536;4.75079;1.41916;475.079;141.916;0.98182;5.05003;2.48418;0.98182;1.41916;0.859071;1.00454;-0.000325621;0.98182;0.0475;1.00003;0.949987;
1.8018;0.951207;0.951223;0.949919;0.949935;0.00172299;2.48291;1.00002;1.0262;4.75612;1.4191;475.612;141.91;0.981745;5.05561;2.48585;0.981745;1.4191;0.859468;1.00454;-0.000722437;0.981745;0.0475;1.00002;0.949935;
1.92893;0.951519;0.951515;0.949923;0.94992;0.00173239;2.49646;0.999996;1.02634;4.75758;1.41984;475.758;141.984;0.981775;5.05709;2.48699;0.981775;1.41984;0.859518;1.00454;-0.000817598;0.981775;0.0475;0.999996;0.94992;
2.05605;0.951307;0.951284;0.949958;0.949934;0.00174474;2.51425;0.999975;1.02572;4.75642;1.42281;475.642;142.281;0.98199;5.05572;2.48788;0.98199;1.42281;0.859101;1.00454;-0.000699229;0.98199;0.0475;0.999975;0.949934;
2.17047;0.950838;0.9508;0.950003;0.949966;0.00175489;2.52888;0.999961;1.02458;4.754;1.42767;475.4;142.767;0.982348;5.05294;2.48857;0.982348;1.42767;0.85833;1.00454;-0.000475951;0.982348;0.0475;0.999961;0.949966;
2.28488;0.950328;0.950287;0.950046;0.950004;0.00175995;2.53617;0.999957;1.02302;4.75143;1.43463;475.143;143.463;0.982848;5.04991;2.48925;0.982848;1.43463;0.857232;1.00454;-0.00023557;0.982848;0.0475;0.999957;0.950004;
2.37773;0.950012;0.949971;0.950072;0.950031;0.00176149;2.53839;0.999957;1.02177;4.74986;1.4405;474.986;144.05;0.983261;5.04798;2.48985;0.983261;1.4405;0.856327;1.00454;-8.12879e-05;0.983261;0.0475;0.999957;0.950031;
2.47058;0.949809;0.949771;0.950089;0.950051;0.00176108;2.5378;0.999961;1.02062;4.74886;1.44623;474.886;144.623;0.983657;5.04667;2.49048;0.983657;1.44623;0.855461;1.00454;2.51063e-05;0.983657;0.0475;0.999961;0.950051;
2.56343;0.949711;0.949678;0.950098;0.950065;0.00175945;2.53545;0.999965;1.0196;4.74839;1.45156;474.839;145.156;0.984019;5.04594;2.49114;0.984019;1.45156;0.85467;1.00454;8.62766e-05;0.984019;0.0475;0.999965;0.950065;
2.65629;0.949696;0.949668;0.950102;0.950073;0.00175724;2.53227;0.99997;1.01872;4.74834;1.45637;474.834;145.637;0.984341;5.04567;2.49181;0.984341;1.45637;0.853964;1.00454;0.00011085;0.984341;0.0475;0.99997;0.950073;
2.84199;0.949818;0.949796;0.950098;0.950075;0.00175333;2.52664;0.999977;1.01735;4.74898;1.46419;474.898;146.419;0.984854;5.046;2.49308;0.984854;1.46419;0.85282;1.00454;8.99781e-05;0.984854;0.0475;0.999977;0.950075;
3.0277;0.949963;0.949945;0.950091;0.950072;0.00175075;2.52292;0.999981;1.01619;4.74972;1.4709;474.972;147.09;0.98529;5.04651;2.49429;0.98529;1.4709;0.851828;1.00454;5.49888e-05;0.98529;0.0475;0.999981;0.950072;
3.2134;0.950069;0.950051;0.950087;0.950069;0.00174979;2.52153;0.999982;1.01512;4.75026;1.47679;475.026;147.679;0.985675;5.04681;2.49538;0.985675;1.47679;0.850922;1.00454;2.95641e-05;0.985675;0.0475;0.999982;0.950069;
3.58481;0.950124;0.950107;0.950086;0.950069;0.00174957;2.52121;0.999982;1.01298;4.75054;1.48789;475.054;148.789;0.986409;5.04668;2.49732;0.986409;1.48789;0.849154;1.00454;3.53131e-05;0.986409;0.0475;0.999982;0.950069;
3.95622;0.950069;0.950052;0.950088;0.950072;0.00174964;2.52132;0.999983;1.01098;4.75026;1.4977;475.026;149.77;0.987063;5.04605;2.4989;0.987063;1.4977;0.847522;1.00454;7.11136e-05;0.987063;0.0475;0.999983;0.950072;
4.69903;0.950047;0.950035;0.950084;0.950071;0.00174834;2.51945;0.999986;1.00781;4.75017;1.51312;475.017;151.312;0.988086;5.04546;2.50141;0.988086;1.51312;0.844903;1.00454;8.41296e-05;0.988086;0.0475;0.999986;0.950071;
5.44185;0.950047;0.950037;0.950078;0.950067;0.00174715;2.51772;0.999989;1.0053;4.75019;1.52523;475.019;152.523;0.988885;5.04513;2.5034;0.988885;1.52523;0.842814;1.00454;7.70281e-05;0.988885;0.0475;0.999989;0.950067;
6.18467;0.950048;0.95004;0.950071;0.950063;0.00174621;2.51638;0.999991;1.0033;4.7502;1.53479;475.02;153.479;0.989516;5.04489;2.50498;0.989516;1.53479;0.841142;1.00454;6.45912e-05;0.989516;0.0475;0.999991;0.950063;
7.6703;0.950046;0.950041;0.950059;0.950055;0.00174478;2.51431;0.999995;1.00018;4.7502;1.54957;475.02;154.957;0.990489;5.04454;2.50742;0.990489;1.54957;0.838531;1.00454;3.90484e-05;0.990489;0.0475;0.999995;0.950055;
9.15594;0.950042;0.950039;0.95005;0.950047;0.00174387;2.513;0.999997;0.998184;4.75019;1.55888;475.019;155.888;0.991102;5.04432;2.50895;0.991102;1.55888;0.836861;1.00454;1.68249e-05;0.991102;0.0475;0.999997;0.950047;
12.1272;0.950033;0.950032;0.950035;0.950034;0.00174289;2.51159;0.999999;0.996014;4.75016;1.56899;475.016;156.899;0.991766;5.04411;2.51062;0.991766;1.56899;0.835042;1.00454;-6.3298e-06;0.991766;0.0475;0.999999;0.950034;
14.7889;0.950026;0.950026;0.950026;0.950026;0.00174261;2.51119;1;0.995362;4.75013;1.57197;475.013;157.197;0.991962;5.04402;2.51111;0.991962;1.57197;0.834496;1.00454;-1.0508e-05;0.991962;0.0475;1;0.950026;
17.4507;0.95002;0.95002;0.95002;0.95002;0.00174254;2.51109;1;0.995187;4.7501;1.57273;475.01;157.273;0.992013;5.04397;2.51122;0.992013;1.57273;0.83435;1.00454;-7.831e-06;0.992013;0.0475;1;0.95002;
20.1124;0.950015;0.950015;0.950015;0.950015;0.00174254;2.51108;1;0.995179;4.75008;1.57275;475.008;157.275;0.992014;5.04395;2.51122;0.992014;1.57275;0.834345;1.00454;-3.81667e-06;0.992014;0.0475;1;0.950015;
22.7742;0.950012;0.950012;0.950011;0.950012;0.00174255;2.5111;1;0.995211;4.75006;1.57259;475.006;157.259;0.992004;5.04394;2.51119;0.992004;1.57259;0.834372;1.00454;-1.10378e-06;0.992004;0.0475;1;0.950012;
28.0977;0.950008;0.950008;0.950008;0.950008;0.00174256;2.51112;1;0.995249;4.75004;1.5724;475.004;157.24;0.991991;5.04392;2.51115;0.991991;1.5724;0.834405;1.00454;-1.74835e-07;0.991991;0.0475;1;0.950008;
38.0977;0.950004;0.950004;0.950004;0.950004;0.00174257;2.51112;1;0.995264;4.75002;1.57231;475.002;157.231;0.991986;5.04391;2.51113;0.991986;1.57231;0.834419;1.00454;1.08729e-08;0.991986;0.0475;1;0.950004;
40.1;0.950003;0.950003;0.950003;0.950003;0.00174257;2.51112;1;0.995265;4.75002;1.5723;475.002;157.23;0.991985;5.0439;2.51113;0.991985;1.5723;0.834419;1.00454;1.10768e-08;0.991985;0.0475;1;0.950003;
