time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;WTG4B_WTG4B_measurements_UPu;
1.020386;0.640208;0.352226;0.875079;-0.771335;0.115702;0.300523;1.001672;0.830001;
1.021263;0.642823;0.356858;0.875715;-0.774486;0.116175;0.304760;1.001636;0.830001;
1.021263;0.642818;0.356860;0.875715;-0.774479;0.116174;0.304763;1.001636;0.830001;
1.021264;0.642826;0.356864;0.875715;-0.774489;0.116175;0.304765;1.001636;0.830001;
1.021265;0.642829;0.356869;0.875716;-0.774493;0.116176;0.304770;1.001636;0.830001;
1.021267;0.642835;0.356879;0.875718;-0.774500;0.116177;0.304779;1.001636;0.830001;
1.021271;0.642847;0.356900;0.875720;-0.774514;0.116179;0.304798;1.001636;0.830001;
1.021279;0.642870;0.356941;0.875726;-0.774543;0.116183;0.304836;1.001635;0.830001;
1.021295;0.642918;0.357024;0.875737;-0.774600;0.116192;0.304911;1.001635;0.830001;
1.021327;0.643012;0.357188;0.875760;-0.774713;0.116209;0.305061;1.001633;0.830001;
1.021391;0.643200;0.357516;0.875805;-0.774940;0.116243;0.305359;1.001630;0.830001;
1.021519;0.643576;0.358168;0.875894;-0.775393;0.116311;0.305953;1.001625;0.830001;
1.021775;0.644322;0.359457;0.876069;-0.776292;0.116445;0.307124;1.001613;0.830001;
1.022287;0.645793;0.361971;0.876411;-0.778063;0.116711;0.309401;1.001589;0.830001;
1.023311;0.648647;0.366750;0.877056;-0.781502;0.117227;0.313705;1.001539;0.830001;
1.025359;0.654006;0.375355;0.878205;-0.787959;0.118195;0.321362;1.001435;0.830001;
1.027407;0.658901;0.382752;0.879175;-0.793857;0.119080;0.327829;1.001326;0.830001;
1.029455;0.663342;0.389040;0.879984;-0.799207;0.119883;0.333221;1.001217;0.830001;
1.031503;0.667348;0.394332;0.880650;-0.804034;0.120607;0.337660;1.001111;0.830001;
1.033551;0.670945;0.398744;0.881191;-0.808368;0.121257;0.341270;1.001008;0.830001;
1.035599;0.674161;0.402389;0.881626;-0.812242;0.121838;0.344168;1.000912;0.830001;
1.037647;0.677028;0.405377;0.881970;-0.815696;0.122356;0.346465;1.000821;0.830001;
1.039695;0.679577;0.407807;0.882240;-0.818768;0.122817;0.348260;1.000738;0.830001;
1.041743;0.681840;0.409769;0.882447;-0.821494;0.123226;0.349642;1.000662;0.830001;
1.045839;0.685657;0.412680;0.882731;-0.826093;0.123916;0.351538;1.000529;0.830001;
1.049525;0.688384;0.414369;0.882872;-0.829378;0.124408;0.352472;1.000430;0.830001;
1.053211;0.690572;0.415464;0.882942;-0.832015;0.124804;0.352940;1.000349;0.830001;
1.056898;0.692332;0.416171;0.882970;-0.834135;0.125122;0.353129;1.000283;0.830001;
1.060584;0.693750;0.416636;0.882976;-0.835843;0.125378;0.353168;1.000229;0.830001;
1.064271;0.694901;0.416962;0.882972;-0.837230;0.125586;0.353145;1.000186;0.830001;
1.067957;0.695837;0.417210;0.882967;-0.838358;0.125755;0.353107;1.000150;0.830001;
1.075330;0.697265;0.417643;0.882967;-0.840078;0.126013;0.353107;1.000098;0.830001;
1.082703;0.698234;0.418056;0.882986;-0.841245;0.126189;0.353234;1.000062;0.830001;
1.090075;0.698893;0.418500;0.883025;-0.842039;0.126308;0.353494;1.000039;0.830001;
1.097448;0.699344;0.418985;0.883081;-0.842583;0.126389;0.353866;1.000024;0.830001;
1.104821;0.699654;0.419506;0.883149;-0.842957;0.126445;0.354320;1.000013;0.830001;
1.112194;0.699869;0.420051;0.883226;-0.843216;0.126484;0.354833;1.000006;0.830001;
1.119567;0.700018;0.420613;0.883308;-0.843396;0.126511;0.355385;1.000001;0.830001;
1.121263;0.700046;0.420744;0.883328;-0.843429;0.126516;0.355515;1.000000;0.830001;
1.121264;0.700046;0.420744;0.883328;-0.843429;0.126516;0.355515;1.000000;0.830001;
1.121265;0.700046;0.420744;0.883328;-0.843429;0.126516;0.355516;1.000000;0.830001;
1.121267;0.700046;0.420744;0.883328;-0.843429;0.126516;0.355516;1.000000;0.830001;
1.121271;0.700046;0.420745;0.883328;-0.843429;0.126516;0.355516;1.000000;0.830001;
1.121279;0.700046;0.420745;0.883328;-0.843429;0.126516;0.355517;1.000000;0.830001;
1.121295;0.700047;0.420747;0.883328;-0.843430;0.126516;0.355518;1.000000;0.830001;
1.121327;0.700047;0.420749;0.883329;-0.843430;0.126516;0.355520;1.000000;0.830001;
1.121391;0.700048;0.420754;0.883330;-0.843431;0.126516;0.355525;1.000000;0.830001;
1.121519;0.700050;0.420764;0.883331;-0.843434;0.126517;0.355535;1.000000;0.830001;
1.121775;0.700053;0.420784;0.883334;-0.843438;0.126517;0.355555;1.000000;0.830001;
1.122287;0.700061;0.420824;0.883340;-0.843446;0.126519;0.355596;1.000000;0.830001;
1.123311;0.700074;0.420904;0.883352;-0.843463;0.126521;0.355676;1.000000;0.830001;
1.125359;0.700100;0.421064;0.883377;-0.843494;0.126526;0.355839;0.999999;0.830001;
1.129455;0.700145;0.421386;0.883426;-0.843548;0.126534;0.356168;0.999997;0.830001;
1.137647;0.700214;0.422038;0.883527;-0.843631;0.126546;0.356842;0.999995;0.830001;
1.154031;0.700298;0.423370;0.883736;-0.843733;0.126562;0.358236;0.999992;0.830001;
1.170415;0.700337;0.424739;0.883953;-0.843780;0.126569;0.359683;0.999991;0.830001;
1.171263;0.700339;0.424810;0.883965;-0.843781;0.126569;0.359759;0.999991;0.830001;
1.171263;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.647089;0.830000;
1.171264;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.647360;0.830000;
1.171265;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.647631;0.830000;
1.171267;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.648171;0.830000;
1.171271;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.649250;0.830000;
1.171279;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.651398;0.830000;
1.171295;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.655655;0.830000;
1.171327;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.664018;0.830000;
1.171378;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.677036;0.830000;
1.171379;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.677285;0.830000;
1.171380;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.677533;0.830000;
1.171382;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.678028;0.830000;
1.171386;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.679017;0.830000;
1.171394;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.680986;0.830000;
1.171410;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.684888;0.830000;
1.171442;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.692553;0.830000;
1.171506;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.707342;0.830000;
1.171634;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.734891;0.830000;
1.171762;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.759894;0.830000;
1.171890;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.782566;0.830000;
1.172018;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.803115;0.830000;
1.172146;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.821735;0.830000;
1.172274;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.838602;0.830000;
1.172402;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.853881;0.830000;
1.172426;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.856553;0.830000;
1.172427;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.856665;0.830000;
1.172428;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.856776;0.830000;
1.172430;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.856997;0.830000;
1.172434;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.857440;0.830000;
1.172442;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.858320;0.830000;
1.172458;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.860065;0.830000;
1.172490;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.863491;0.830000;
1.172554;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.870096;0.830000;
1.172682;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.882386;0.830000;
1.172810;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.893525;0.830000;
1.172938;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.903614;0.830000;
1.173048;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.911519;0.830000;
1.173048;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.911520;0.830000;
1.173049;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.911588;0.830000;
1.173050;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.911657;0.830000;
1.173052;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.911793;0.830000;
1.173056;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.912067;0.830000;
1.173064;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.912610;0.830000;
1.173080;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.913688;0.830000;
1.173112;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.915803;0.830000;
1.173176;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.919881;0.830000;
1.173304;-0.000000;0.000000;0.830000;0.000000;0.000000;0.000000;0.927467;0.830000;
