time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
6.003205;0.366817;-0.147567;0.731860;0.725256;0.098097;-0.469663;-0.266995;
6.003205;0.366816;-0.147567;0.731860;0.725256;0.098097;-0.469661;-0.266994;
6.003523;0.366948;-0.147132;0.732021;0.725415;0.098123;-0.469815;-0.266374;
6.003987;0.367243;-0.145930;0.732469;0.725860;0.098175;-0.470150;-0.264634;
6.003987;0.367242;-0.145931;0.732469;0.725860;0.098175;-0.470148;-0.264634;
6.004325;0.367476;-0.144960;0.732831;0.726220;0.098215;-0.470413;-0.263227;
6.005001;0.368071;-0.142368;0.733796;0.727181;0.098312;-0.471082;-0.259470;
6.005340;0.368455;-0.140682;0.734421;0.727803;0.098375;-0.471514;-0.257036;
6.005340;0.368449;-0.140687;0.734421;0.727803;0.098373;-0.471507;-0.257034;
6.005367;0.368477;-0.140565;0.734466;0.727848;0.098378;-0.471538;-0.256858;
6.005367;0.368477;-0.140565;0.734466;0.727848;0.098378;-0.471538;-0.256858;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005368;0.368478;-0.140562;0.734467;0.727849;0.098378;-0.471539;-0.256853;
6.005531;0.368649;-0.139815;0.734744;0.728125;0.098406;-0.471731;-0.255776;
6.005531;0.368648;-0.139816;0.734744;0.728125;0.098405;-0.471731;-0.255776;
6.005531;0.368648;-0.139815;0.734744;0.728125;0.098405;-0.471731;-0.255775;
6.005531;0.368648;-0.139815;0.734744;0.728125;0.098405;-0.471731;-0.255775;
6.005958;0.369166;-0.137437;0.735626;0.729003;0.098486;-0.472308;-0.252334;
6.006811;0.370480;-0.131150;0.737947;0.731319;0.098682;-0.473767;-0.243262;
6.008518;0.373736;-0.115620;0.743614;0.736971;0.099170;-0.477369;-0.221122;
6.009766;0.376352;-0.103572;0.747938;0.741279;0.099580;-0.480265;-0.204261;
6.009766;0.376333;-0.103591;0.747937;0.741279;0.099574;-0.480243;-0.204257;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.009768;0.376337;-0.103572;0.747944;0.741286;0.099575;-0.480247;-0.204229;
6.010258;0.377428;-0.098470;0.749762;0.743098;0.099744;-0.481451;-0.197136;
6.011237;0.379845;-0.087032;0.753806;0.747128;0.100114;-0.484105;-0.181357;
6.013195;0.385175;-0.061761;0.762580;0.755871;0.100933;-0.489931;-0.147130;
6.015153;0.390719;-0.035838;0.771365;0.764617;0.101806;-0.495967;-0.112905;
6.019068;0.400945;0.009895;0.786365;0.779523;0.103506;-0.507092;-0.054639;
6.022593;0.409058;0.043697;0.797076;0.790136;0.104953;-0.515949;-0.013228;
6.026117;0.415897;0.069308;0.804981;0.797934;0.106281;-0.523498;0.017126;
6.029641;0.421552;0.087349;0.810435;0.803275;0.107491;-0.529853;0.037825;
6.033165;0.426230;0.099132;0.813932;0.806654;0.108601;-0.535233;0.050819;
6.036690;0.430166;0.106168;0.815974;0.808575;0.109635;-0.539880;0.058086;
6.040214;0.433579;0.109863;0.817005;0.809482;0.110615;-0.544011;0.061370;
6.047262;0.439453;0.111202;0.817247;0.809470;0.112473;-0.551333;0.060771;
6.054311;0.444996;0.110445;0.816855;0.808819;0.114296;-0.558330;0.057665;
6.068407;0.456055;0.108939;0.816053;0.807486;0.117935;-0.572281;0.051329;
6.096601;0.478621;0.108918;0.815304;0.805625;0.125258;-0.600601;0.041816;
6.112493;0.491402;0.109522;0.815031;0.804686;0.129387;-0.616602;0.036892;
6.112493;0.491415;0.109512;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491415;0.109512;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
6.112493;0.491416;0.109522;0.815039;0.804703;0.129391;-0.616622;0.036954;
