"time","line01.P2Pu","shiftController01.tap.value","tfo01.alphaTfo","tfo01.tap.value","PPuLine01.value"
172,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
173,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
174,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
175,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
176,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
177,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
178,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
179,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
180,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
181,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
182,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
183,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
184,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
185,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
186,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
187,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
188,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
189,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
190,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
191,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
192,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
193,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
194,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
195,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
196,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
197,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
198,-0.6655768640949683,4,-0.1308996938995747,3,0.6655768640949683
199,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
200,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
200,-0.6655768640949682,4,-0.1308996938995747,3,0.6655768640949682
