time;WPP4B_WPP_wPPControl2015_qControl_PWPPu;WPP4B_WPP_wPPControl2015_qControl_QWPPu;WPP4B_WPP_wPPControl2015_qControl_UWPPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
2.283749;0.777817;-0.209981;1.010796;0.997952;0.160619;-0.726733;-0.327360;-1.000000;
2.313214;0.748423;-0.209879;1.011895;1.000248;0.153086;-0.699745;-0.316904;-1.000000;
2.342680;0.718930;-0.209807;1.012916;1.002406;0.145533;-0.672648;-0.306946;-1.000000;
2.372145;0.689375;-0.209758;1.013860;1.004428;0.137971;-0.645479;-0.297486;-1.000000;
2.401611;0.659794;-0.209723;1.014729;1.006315;0.130408;-0.618269;-0.288521;-1.000000;
2.431076;0.630209;-0.209703;1.015526;1.008067;0.122849;-0.591040;-0.280047;-1.000000;
2.460541;0.600636;-0.209691;1.016251;1.009689;0.115299;-0.563808;-0.272058;-1.000000;
2.462881;0.598288;-0.209690;1.016305;1.009812;0.114700;-0.561645;-0.271444;-1.000000;
2.462881;0.598290;-0.209686;1.016305;1.009812;0.114700;-0.561645;-0.271443;-1.000000;
2.462924;0.598248;-0.209686;1.016306;1.009814;0.114689;-0.561606;-0.271432;-1.000000;
2.462966;0.598205;-0.209686;1.016307;1.009816;0.114678;-0.561566;-0.271421;-1.000000;
2.463051;0.598120;-0.209686;1.016309;1.009821;0.114656;-0.561488;-0.271399;-1.000000;
2.463220;0.597950;-0.209686;1.016313;1.009830;0.114613;-0.561332;-0.271355;-1.000000;
2.463559;0.597610;-0.209686;1.016321;1.009848;0.114526;-0.561018;-0.271266;-1.000000;
2.463898;0.597270;-0.209686;1.016329;1.009865;0.114439;-0.560705;-0.271177;-1.000000;
2.463995;0.597173;-0.209686;1.016331;1.009870;0.114415;-0.560615;-0.271152;-1.000000;
2.463995;0.597173;-0.209686;1.016331;1.009870;0.114415;-0.560615;-0.271152;-1.000000;
2.463995;0.597173;-0.209686;1.016331;1.009870;0.114415;-0.560615;-0.271152;-1.000000;
2.464056;0.597111;-0.209686;1.016332;1.009874;0.114399;-0.560559;-0.271136;-1.000000;
2.464118;0.597050;-0.209686;1.016334;1.009877;0.114383;-0.560502;-0.271120;-1.000000;
2.464240;0.596927;-0.209686;1.016337;1.009883;0.114352;-0.560389;-0.271088;-1.000000;
2.464485;0.596681;-0.209686;1.016342;1.009896;0.114289;-0.560163;-0.271024;-1.000000;
2.464974;0.596190;-0.209686;1.016354;1.009921;0.114164;-0.559711;-0.270897;-1.000000;
2.465464;0.595699;-0.209686;1.016365;1.009947;0.114039;-0.559258;-0.270769;-1.000000;
2.466443;0.594717;-0.209686;1.016387;1.009998;0.113788;-0.558353;-0.270515;-1.000000;
2.467147;0.594011;-0.209686;1.016404;1.010034;0.113608;-0.557703;-0.270332;-1.000000;
2.467147;0.594011;-0.209686;1.016404;1.010034;0.113608;-0.557703;-0.270332;-1.000000;
2.467147;0.594011;-0.209686;1.016404;1.010034;0.113608;-0.557703;-0.270332;-1.000000;
2.467147;0.594011;-0.209686;1.016404;1.010034;0.113608;-0.557703;-0.270332;-1.000000;
2.467227;0.593930;-0.209686;1.016405;1.010038;0.113587;-0.557629;-0.270312;-1.000000;
2.467307;0.593850;-0.209685;1.016407;1.010043;0.113567;-0.557554;-0.270291;-1.000000;
2.467468;0.593689;-0.209685;1.016411;1.010051;0.113526;-0.557406;-0.270249;-1.000000;
2.467789;0.593366;-0.209685;1.016418;1.010068;0.113443;-0.557109;-0.270166;-1.000000;
2.468432;0.592721;-0.209685;1.016433;1.010101;0.113279;-0.556515;-0.269999;-1.000000;
2.469718;0.591432;-0.209685;1.016462;1.010167;0.112950;-0.555327;-0.269668;-1.000000;
2.472289;0.588853;-0.209685;1.016520;1.010299;0.112292;-0.552951;-0.269006;-1.000000;
2.474860;0.586274;-0.209685;1.016578;1.010430;0.111634;-0.550575;-0.268349;-1.000000;
2.477431;0.583695;-0.209685;1.016635;1.010559;0.110976;-0.548199;-0.267695;-1.000000;
2.480002;0.581116;-0.209684;1.016691;1.010688;0.110318;-0.545823;-0.267044;-1.000000;
2.482573;0.578538;-0.209684;1.016747;1.010816;0.109660;-0.543447;-0.266398;-1.000000;
2.485144;0.575960;-0.209684;1.016802;1.010943;0.109003;-0.541071;-0.265754;-1.000000;
2.487716;0.573382;-0.209684;1.016857;1.011069;0.108345;-0.538695;-0.265115;-1.000000;
2.490287;0.570804;-0.209684;1.016911;1.011194;0.107688;-0.536319;-0.264479;-1.000000;
2.495429;0.565648;-0.209684;1.017019;1.011440;0.106373;-0.531568;-0.263217;-1.000000;
2.499000;0.562069;-0.209684;1.017092;1.011610;0.105461;-0.528269;-0.262350;-1.000000;
2.499000;0.562069;-0.209684;1.017092;1.011610;0.105461;-0.528269;-0.262350;-1.000000;
2.499199;0.561869;-0.209684;1.017096;1.011619;0.105410;-0.528084;-0.262302;-1.000000;
2.499399;0.561669;-0.209684;1.017100;1.011628;0.105359;-0.527900;-0.262253;-1.000000;
2.499798;0.561269;-0.209684;1.017108;1.011647;0.105257;-0.527532;-0.262157;-1.000000;
2.500595;0.560470;-0.209684;1.017124;1.011685;0.105053;-0.526794;-0.261965;-1.000000;
2.502191;0.558870;-0.209684;1.017156;1.011759;0.104645;-0.525320;-0.261580;-1.000000;
2.503787;0.557271;-0.209684;1.017188;1.011833;0.104237;-0.523845;-0.261198;-1.000000;
2.505383;0.555671;-0.209684;1.017220;1.011907;0.103829;-0.522371;-0.260816;-1.000000;
2.508575;0.552473;-0.209685;1.017283;1.012054;0.103014;-0.519422;-0.260058;-1.000000;
2.514958;0.546078;-0.209685;1.017407;1.012343;0.101384;-0.513526;-0.258558;-1.000000;
2.521342;0.539683;-0.209687;1.017527;1.012626;0.099754;-0.507630;-0.257079;-1.000000;
2.524754;0.536266;-0.209687;1.017589;1.012772;0.098883;-0.504478;-0.256306;-1.000000;
2.524754;0.536267;-0.209687;1.017590;1.012774;0.098884;-0.504479;-0.256298;-1.000000;
2.524959;0.536062;-0.209687;1.017594;1.012783;0.098831;-0.504290;-0.256251;-1.000000;
2.525164;0.535857;-0.209687;1.017598;1.012792;0.098779;-0.504101;-0.256204;-1.000000;
2.525573;0.535447;-0.209687;1.017605;1.012810;0.098675;-0.503723;-0.256111;-1.000000;
2.525826;0.535194;-0.209687;1.017610;1.012821;0.098610;-0.503489;-0.256053;-1.000000;
2.525826;0.535194;-0.209687;1.017610;1.012821;0.098610;-0.503489;-0.256053;-1.000000;
2.525826;0.535194;-0.209687;1.017610;1.012821;0.098610;-0.503489;-0.256053;-1.000000;
2.525857;0.535162;-0.209687;1.017610;1.012822;0.098602;-0.503460;-0.256046;-1.000000;
2.525857;0.535162;-0.209687;1.017610;1.012822;0.098602;-0.503460;-0.256046;-1.000000;
2.525857;0.535162;-0.209687;1.017610;1.012822;0.098602;-0.503460;-0.256046;-1.000000;
2.525923;0.535096;-0.209687;1.017612;1.012825;0.098585;-0.503399;-0.256031;-1.000000;
2.525989;0.535030;-0.209687;1.017613;1.012828;0.098568;-0.503338;-0.256016;-1.000000;
2.526122;0.534897;-0.209687;1.017615;1.012834;0.098534;-0.503215;-0.255986;-1.000000;
2.526387;0.534631;-0.209687;1.017620;1.012845;0.098467;-0.502970;-0.255926;-1.000000;
2.526917;0.534100;-0.209687;1.017630;1.012868;0.098332;-0.502481;-0.255805;-1.000000;
2.527447;0.533569;-0.209687;1.017639;1.012891;0.098196;-0.501991;-0.255685;-1.000000;
2.528507;0.532507;-0.209687;1.017659;1.012936;0.097926;-0.501011;-0.255445;-1.000000;
2.529567;0.531445;-0.209687;1.017678;1.012982;0.097655;-0.500032;-0.255205;-1.000000;
2.530627;0.530383;-0.209687;1.017697;1.013027;0.097384;-0.499052;-0.254966;-1.000000;
2.531687;0.529321;-0.209687;1.017716;1.013072;0.097114;-0.498073;-0.254727;-1.000000;
2.533807;0.527197;-0.209688;1.017754;1.013161;0.096573;-0.496114;-0.254252;-1.000000;
2.535927;0.525074;-0.209688;1.017791;1.013250;0.096032;-0.494155;-0.253779;-1.000000;
2.538047;0.522950;-0.209688;1.017828;1.013339;0.095491;-0.492196;-0.253309;-1.000000;
2.540167;0.520826;-0.209688;1.017865;1.013426;0.094950;-0.490237;-0.252841;-1.000000;
2.542287;0.518703;-0.209688;1.017901;1.013514;0.094409;-0.488278;-0.252375;-1.000000;
2.544407;0.516580;-0.209688;1.017937;1.013600;0.093868;-0.486319;-0.251912;-1.000000;
2.548647;0.512333;-0.209689;1.018008;1.013771;0.092786;-0.482401;-0.250992;-1.000000;
2.552887;0.508087;-0.209689;1.018078;1.013939;0.091705;-0.478483;-0.250082;-1.000000;
2.557127;0.503841;-0.209689;1.018146;1.014105;0.090624;-0.474565;-0.249181;-1.000000;
2.561367;0.499594;-0.209690;1.018213;1.014268;0.089542;-0.470647;-0.248290;-1.000000;
2.565607;0.495349;-0.209690;1.018279;1.014429;0.088461;-0.466728;-0.247408;-1.000000;
2.574087;0.486857;-0.209691;1.018406;1.014743;0.086300;-0.458890;-0.245671;-1.000000;
2.582567;0.478365;-0.209692;1.018528;1.015047;0.084138;-0.451051;-0.243972;-1.000000;
2.591047;0.469873;-0.209694;1.018644;1.015340;0.081977;-0.443210;-0.242310;-1.000000;
2.608007;0.452888;-0.209696;1.018862;1.015898;0.077656;-0.427524;-0.239095;-1.000000;
2.624967;0.435900;-0.209698;1.019058;1.016416;0.073336;-0.411830;-0.236026;-1.000000;
2.658887;0.401913;-0.209702;1.019388;1.017333;0.064698;-0.380418;-0.230323;-1.000000;
2.665967;0.394817;-0.209703;1.019446;1.017504;0.062895;-0.373858;-0.229205;-1.000000;
2.665967;0.394817;-0.209703;1.019446;1.017504;0.062895;-0.373857;-0.229205;-1.000000;
2.666059;0.394724;-0.209703;1.019447;1.017506;0.062872;-0.373772;-0.229191;-1.000000;
2.666152;0.394632;-0.209703;1.019448;1.017509;0.062848;-0.373686;-0.229176;-1.000000;
2.666337;0.394446;-0.209703;1.019449;1.017513;0.062801;-0.373514;-0.229147;-1.000000;
2.666707;0.394076;-0.209703;1.019452;1.017522;0.062707;-0.373172;-0.229090;-1.000000;
2.666738;0.394044;-0.209703;1.019452;1.017522;0.062699;-0.373143;-0.229085;-1.000000;
2.666738;0.394044;-0.209703;1.019452;1.017522;0.062699;-0.373143;-0.229085;-1.000000;
2.666831;0.393952;-0.209703;1.019453;1.017525;0.062675;-0.373057;-0.229070;-1.000000;
2.666924;0.393859;-0.209703;1.019454;1.017527;0.062652;-0.372971;-0.229056;-1.000000;
2.667109;0.393673;-0.209703;1.019455;1.017531;0.062604;-0.372799;-0.229027;-1.000000;
2.667480;0.393302;-0.209703;1.019458;1.017540;0.062510;-0.372456;-0.228969;-1.000000;
2.668223;0.392562;-0.209703;1.019464;1.017557;0.062322;-0.371772;-0.228855;-1.000000;
2.669707;0.391097;-0.209701;1.019476;1.017592;0.061950;-0.370417;-0.228627;-1.000000;
2.672676;0.388259;-0.209692;1.019500;1.017660;0.061229;-0.367793;-0.228182;-1.000000;
2.678614;0.383115;-0.209646;1.019551;1.017789;0.059921;-0.363034;-0.227355;-1.000000;
2.684552;0.378787;-0.209590;1.019604;1.017906;0.058823;-0.359041;-0.226629;-1.000000;
2.690490;0.375393;-0.209481;1.019656;1.018007;0.057957;-0.355895;-0.226023;-1.000000;
2.696428;0.372930;-0.209356;1.019704;1.018091;0.057326;-0.353605;-0.225545;-1.000000;
2.702366;0.371348;-0.209233;1.019746;1.018156;0.056920;-0.352132;-0.225194;-1.000000;
2.708304;0.370581;-0.209121;1.019782;1.018203;0.056721;-0.351416;-0.224969;-1.000000;
2.714241;0.370553;-0.209022;1.019809;1.018231;0.056710;-0.351386;-0.224863;-1.000000;
2.720179;0.371189;-0.208939;1.019829;1.018242;0.056869;-0.351972;-0.224867;-1.000000;
2.726117;0.372419;-0.208872;1.019840;1.018236;0.057180;-0.353108;-0.224973;-1.000000;
2.732055;0.374176;-0.208821;1.019844;1.018215;0.057624;-0.354732;-0.225172;-1.000000;
2.737993;0.376401;-0.208783;1.019840;1.018179;0.058189;-0.356790;-0.225456;-1.000000;
2.743931;0.379042;-0.208758;1.019830;1.018130;0.058859;-0.359232;-0.225818;-1.000000;
2.749869;0.382051;-0.208745;1.019813;1.018068;0.059622;-0.362015;-0.226250;-1.000000;
2.755807;0.385386;-0.208741;1.019790;1.017996;0.060469;-0.365100;-0.226746;-1.000000;
2.761745;0.389010;-0.208746;1.019762;1.017912;0.061390;-0.368452;-0.227301;-1.000000;
2.768564;0.393459;-0.208762;1.019724;1.017805;0.062521;-0.372568;-0.228000;-1.000000;
2.768564;0.393456;-0.208767;1.019724;1.017805;0.062521;-0.372568;-0.228000;-1.000000;
2.768792;0.393612;-0.208767;1.019722;1.017802;0.062561;-0.372712;-0.228024;-1.000000;
2.769019;0.393767;-0.208767;1.019721;1.017798;0.062600;-0.372855;-0.228049;-1.000000;
2.769474;0.394079;-0.208768;1.019718;1.017790;0.062679;-0.373144;-0.228099;-1.000000;
2.770384;0.394705;-0.208771;1.019712;1.017774;0.062838;-0.373722;-0.228199;-1.000000;
2.772204;0.395957;-0.208778;1.019700;1.017743;0.063157;-0.374880;-0.228402;-1.000000;
2.774024;0.397192;-0.208789;1.019687;1.017710;0.063471;-0.376022;-0.228607;-1.000000;
2.775844;0.398391;-0.208804;1.019673;1.017677;0.063776;-0.377132;-0.228812;-1.000000;
2.779484;0.400584;-0.208852;1.019641;1.017610;0.064334;-0.379161;-0.229209;-1.000000;
2.783124;0.402540;-0.208915;1.019607;1.017544;0.064833;-0.380971;-0.229586;-1.000000;
2.786763;0.404244;-0.208989;1.019571;1.017480;0.065268;-0.382549;-0.229938;-1.000000;
2.790403;0.405778;-0.209071;1.019534;1.017418;0.065661;-0.383970;-0.230272;-1.000000;
2.797683;0.408153;-0.209250;1.019462;1.017306;0.066270;-0.386171;-0.230847;-1.000000;
2.804235;0.409580;-0.209418;1.019401;1.017221;0.066637;-0.387497;-0.231258;-1.000000;
2.810786;0.410460;-0.209577;1.019348;1.017153;0.066866;-0.388315;-0.231570;-1.000000;
2.817338;0.410950;-0.209716;1.019304;1.017100;0.066995;-0.388773;-0.231797;-1.000000;
2.823890;0.411217;-0.209826;1.019270;1.017061;0.067066;-0.389023;-0.231959;-1.000000;
2.830441;0.411405;-0.209906;1.019246;1.017033;0.067116;-0.389200;-0.232075;-1.000000;
2.836993;0.411631;-0.209958;1.019229;1.017013;0.067175;-0.389410;-0.232166;-1.000000;
2.843545;0.411970;-0.209984;1.019218;1.016996;0.067262;-0.389724;-0.232250;-1.000000;
2.850096;0.412461;-0.209992;1.019211;1.016981;0.067387;-0.390179;-0.232340;-1.000000;
2.856648;0.413114;-0.209986;1.019207;1.016966;0.067553;-0.390782;-0.232442;-1.000000;
2.863200;0.413912;-0.209974;1.019203;1.016948;0.067755;-0.391519;-0.232560;-1.000000;
2.869752;0.414823;-0.209960;1.019198;1.016928;0.067986;-0.392361;-0.232696;-1.000000;
2.882855;0.416796;-0.209939;1.019186;1.016882;0.068487;-0.394184;-0.233002;-1.000000;
2.895958;0.418820;-0.209933;1.019168;1.016829;0.069001;-0.396054;-0.233334;-1.000000;
2.909062;0.420747;-0.209941;1.019147;1.016775;0.069491;-0.397836;-0.233667;-1.000000;
2.922165;0.422520;-0.209957;1.019124;1.016721;0.069942;-0.399474;-0.233985;-1.000000;
2.935269;0.424149;-0.209976;1.019103;1.016671;0.070357;-0.400981;-0.234282;-1.000000;
2.948372;0.425681;-0.209991;1.019083;1.016624;0.070747;-0.402397;-0.234560;-1.000000;
2.974579;0.428657;-0.210006;1.019047;1.016536;0.071504;-0.405148;-0.235089;-1.000000;
3.000786;0.431568;-0.210009;1.019016;1.016452;0.072244;-0.407837;-0.235598;-1.000000;
3.026992;0.434413;-0.210009;1.018985;1.016369;0.072968;-0.410467;-0.236096;-1.000000;
3.053199;0.437152;-0.210001;1.018955;1.016289;0.073663;-0.412992;-0.236580;-1.000000;
3.105613;0.442212;-0.210016;1.018896;1.016136;0.074951;-0.417673;-0.237488;-1.000000;
3.158026;0.446815;-0.210017;1.018842;1.015995;0.076122;-0.421925;-0.238323;-1.000000;
3.210440;0.451040;-0.210017;1.018792;1.015863;0.077196;-0.425828;-0.239096;-1.000000;
3.262854;0.454944;-0.210014;1.018745;1.015740;0.078189;-0.429434;-0.239817;-1.000000;
3.315267;0.458558;-0.210012;1.018701;1.015624;0.079108;-0.432771;-0.240491;-1.000000;
3.420094;0.464992;-0.210011;1.018618;1.015413;0.080745;-0.438713;-0.241709;-1.000000;
3.524921;0.470444;-0.210010;1.018546;1.015229;0.082132;-0.443748;-0.242759;-1.000000;
3.629749;0.475036;-0.210009;1.018484;1.015071;0.083301;-0.447988;-0.243654;-1.000000;
3.734576;0.478905;-0.210008;1.018430;1.014936;0.084285;-0.451559;-0.244417;-1.000000;
3.839403;0.482174;-0.210006;1.018384;1.014820;0.085117;-0.454578;-0.245067;-1.000000;
3.944230;0.484942;-0.210005;1.018344;1.014721;0.085822;-0.457133;-0.245621;-1.000000;
