time;IBG_ibg_injector_PInjPu;IBG_ibg_injector_QInjPu;IBG_ibg_iPLimiter_u;IBG_ibg_iPLimiter_y;IBG_ibg_iQLimiter_u;IBG_ibg_iQLimiter_y;
0.026384;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
0.042768;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
0.075536;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
0.141072;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
0.272144;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
0.534288;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
1.000000;0.700000;0.200000;0.466666;0.466666;0.133333;0.133333;
1.000000;0.420000;0.120000;0.466666;0.466666;0.133333;0.133333;
1.000000;0.420000;0.120000;0.466667;0.466667;0.133333;0.133333;
1.000001;0.420000;0.120000;0.466685;0.466685;0.133333;0.133333;
1.000002;0.420000;0.120000;0.466704;0.466704;0.133333;0.133333;
1.000004;0.420000;0.120000;0.466741;0.466741;0.133333;0.133333;
1.000008;0.420000;0.120000;0.466816;0.466816;0.133333;0.133333;
1.000016;0.420000;0.120000;0.466965;0.466965;0.133333;0.133333;
1.000032;0.420000;0.120000;0.467264;0.467264;0.133333;0.133333;
1.000064;0.420000;0.120000;0.467861;0.467861;0.133333;0.133333;
1.000128;0.420001;0.120000;0.469053;0.469053;0.133333;0.133333;
1.000256;0.420006;0.120000;0.471433;0.471433;0.133333;0.133333;
1.000512;0.420022;0.120000;0.476174;0.476174;0.133333;0.133333;
1.001024;0.420087;0.120000;0.485578;0.485578;0.133333;0.133333;
1.001623;0.420217;0.120000;0.496442;0.496442;0.133333;0.133333;
1.001623;0.420217;0.120000;0.496454;0.496454;0.133334;0.133334;
1.001624;0.420217;0.120000;0.496472;0.496472;0.133419;0.133419;
1.001625;0.420217;0.120000;0.496490;0.496490;0.133504;0.133504;
1.001627;0.420218;0.120000;0.496526;0.496526;0.133674;0.133674;
1.001631;0.420219;0.120000;0.496598;0.496598;0.134014;0.134014;
1.001639;0.420221;0.120000;0.496741;0.496741;0.134693;0.134693;
1.001655;0.420225;0.120001;0.497028;0.497028;0.136049;0.136049;
1.001687;0.420234;0.120002;0.497602;0.497602;0.138756;0.138756;
1.001751;0.420252;0.120006;0.498748;0.498748;0.144144;0.144144;
1.001879;0.420290;0.120025;0.501035;0.501035;0.154818;0.154818;
1.002135;0.420374;0.120098;0.505582;0.505582;0.175762;0.175762;
1.002391;0.420467;0.120219;0.510095;0.510095;0.196177;0.196177;
1.002903;0.420685;0.120595;0.519016;0.519016;0.235490;0.235490;
1.003360;0.420913;0.121079;0.526855;0.526855;0.268935;0.268935;
1.003817;0.421171;0.121694;0.534569;0.534569;0.300888;0.300888;
1.004275;0.421460;0.122435;0.542151;0.542151;0.331413;0.331413;
1.004696;0.421752;0.123223;0.549018;0.549018;0.358333;0.358333;
1.004696;0.421752;0.123223;0.549022;0.549022;0.358345;0.358345;
1.004697;0.421753;0.123225;0.549039;0.549039;0.358408;0.358408;
1.004698;0.421754;0.123227;0.549055;0.549055;0.358470;0.358470;
1.004700;0.421755;0.123231;0.549087;0.549087;0.358595;0.358595;
1.004704;0.421758;0.123239;0.549152;0.549152;0.358845;0.358845;
1.004712;0.421764;0.123255;0.549281;0.549281;0.359344;0.359344;
1.004728;0.421776;0.123287;0.549539;0.549539;0.360342;0.360342;
1.004760;0.421799;0.123352;0.550055;0.550055;0.362332;0.362332;
1.004824;0.421846;0.123483;0.551084;0.551084;0.366294;0.366294;
1.004952;0.421942;0.123751;0.553135;0.553135;0.374142;0.374142;
1.005208;0.422141;0.124313;0.557203;0.557203;0.389542;0.389542;
1.005720;0.422564;0.125536;0.565208;0.565208;0.419196;0.419196;
1.006232;0.423022;0.126885;0.573030;0.573030;0.447375;0.447375;
1.006744;0.423513;0.128353;0.580665;0.580665;0.474148;0.474148;
1.007256;0.424035;0.129933;0.588110;0.588110;0.499584;0.499584;
1.007688;0.424500;0.131348;0.594235;0.594235;0.520035;0.520035;
1.007689;0.424500;0.131351;0.594252;0.594252;0.520081;0.520081;
1.007690;0.424500;0.131354;0.594266;0.594266;0.520127;0.520127;
1.007692;0.424500;0.131361;0.594294;0.594294;0.520220;0.520220;
1.007696;0.424500;0.131375;0.594350;0.594350;0.520405;0.520405;
1.007704;0.424500;0.131402;0.594462;0.594462;0.520775;0.520775;
1.007720;0.424500;0.131456;0.594686;0.594686;0.521515;0.521515;
1.007752;0.424500;0.131564;0.595134;0.595134;0.522990;0.522990;
1.007816;0.424500;0.131782;0.596027;0.596027;0.525927;0.525927;
1.007944;0.424500;0.132222;0.597804;0.597804;0.531745;0.531745;
1.008200;0.424500;0.133120;0.601321;0.601321;0.543160;0.543160;
1.008712;0.424500;0.134987;0.608212;0.608212;0.565143;0.565143;
1.009224;0.424500;0.136942;0.614908;0.614908;0.586031;0.586031;
1.009736;0.424500;0.138980;0.621408;0.621408;0.605878;0.605878;
1.010248;0.424505;0.141097;0.627712;0.627712;0.624734;0.624734;
1.010760;0.424554;0.143288;0.633820;0.633820;0.642648;0.642648;
1.011272;0.424641;0.145548;0.639735;0.639735;0.659667;0.659667;
1.011784;0.424762;0.147873;0.645458;0.645458;0.675836;0.675836;
1.012808;0.425144;0.152696;0.656356;0.656356;0.705842;0.705842;
1.013729;0.425622;0.157218;0.665529;0.665529;0.730340;0.730340;
1.014651;0.426221;0.161892;0.674121;0.674121;0.752688;0.752688;
1.015572;0.426942;0.166700;0.682151;0.682151;0.773064;0.773064;
1.016494;0.427774;0.171625;0.689641;0.689641;0.791642;0.791642;
1.016904;0.428177;0.173849;0.692807;0.692807;0.799381;0.799381;
1.016905;0.428177;0.173850;0.692822;0.692822;0.799399;0.799399;
1.016906;0.428178;0.173853;0.692830;0.692830;0.799418;0.799418;
1.016908;0.428180;0.173859;0.692844;0.692844;0.799454;0.799454;
1.016912;0.428184;0.173871;0.692875;0.692875;0.799528;0.799528;
1.016920;0.428192;0.173896;0.692935;0.692935;0.799675;0.799675;
1.016936;0.428209;0.173945;0.693056;0.693056;0.799968;0.799968;
1.016968;0.428241;0.174044;0.693298;0.693298;0.800554;0.800554;
1.017032;0.428307;0.174242;0.693778;0.693778;0.801720;0.801720;
1.017160;0.428438;0.174637;0.694733;0.694733;0.804030;0.804030;
1.017416;0.428708;0.175458;0.696613;0.696613;0.808563;0.808563;
1.017928;0.429000;0.177169;0.700262;0.700262;0.817291;0.817291;
1.018952;0.429000;0.180905;0.707137;0.707137;0.833489;0.833489;
1.019976;0.429003;0.184975;0.713463;0.713463;0.848118;0.848118;
1.021000;0.429095;0.189350;0.719270;0.719270;0.861324;0.861324;
1.022024;0.429352;0.194006;0.724593;0.724593;0.873241;0.873241;
1.023048;0.429769;0.198876;0.729465;0.729465;0.883995;0.883995;
1.023236;0.429862;0.199791;0.730317;0.730317;0.885862;0.885862;
1.023237;0.429867;0.199803;0.730325;0.730325;0.885872;0.885856;
1.023238;0.429867;0.199808;0.730330;0.730330;0.885882;0.885850;
1.023240;0.429868;0.199817;0.730339;0.730339;0.885901;0.885839;
1.023244;0.429870;0.199837;0.730357;0.730357;0.885940;0.885816;
1.023252;0.429875;0.199876;0.730392;0.730392;0.886018;0.885770;
1.023268;0.429883;0.199955;0.730463;0.730463;0.886174;0.885678;
1.023300;0.429899;0.200112;0.730605;0.730605;0.886484;0.885494;
1.023364;0.429933;0.200426;0.730888;0.730888;0.887102;0.885126;
1.023492;0.429999;0.201054;0.731449;0.731449;0.888326;0.884393;
1.023748;0.430134;0.202313;0.732552;0.732552;0.890727;0.882933;
1.024260;0.430467;0.204910;0.734685;0.734685;0.895352;0.880043;
1.025284;0.431217;0.210195;0.738678;0.738678;0.903935;0.874388;
1.026308;0.432106;0.215631;0.742321;0.742321;0.911687;0.868908;
1.027332;0.433119;0.220188;0.745640;0.745640;0.918684;0.863613;
1.028356;0.433500;0.223730;0.748661;0.748661;0.924998;0.858513;
1.029380;0.433501;0.227606;0.751409;0.751409;0.930696;0.853614;
1.030404;0.433541;0.231803;0.753905;0.753905;0.935838;0.848920;
1.031428;0.433702;0.236295;0.756172;0.756172;0.940477;0.844433;
1.032452;0.434026;0.241041;0.758229;0.758229;0.944664;0.840155;
1.033476;0.434491;0.245976;0.760095;0.760095;0.948441;0.836084;
1.034500;0.435143;0.251149;0.761787;0.761787;0.951849;0.832220;
1.036548;0.436844;0.261699;0.764729;0.764729;0.957738;0.825078;
1.038391;0.438003;0.268870;0.766920;0.766920;0.962096;0.819315;
1.040234;0.438037;0.276102;0.768747;0.768747;0.965713;0.814145;
1.042078;0.438404;0.284303;0.770271;0.770271;0.968715;0.809532;
1.043921;0.439274;0.293224;0.771539;0.771539;0.971205;0.805435;
1.045764;0.440690;0.302671;0.772596;0.772596;0.973275;0.801812;
1.047607;0.442012;0.310825;0.773475;0.773475;0.974989;0.798616;
1.049450;0.442525;0.318025;0.774205;0.774205;0.976411;0.795813;
1.051294;0.442746;0.325811;0.774811;0.774811;0.977590;0.793360;
1.053137;0.443402;0.334429;0.775315;0.775315;0.978568;0.791220;
1.054980;0.444583;0.343665;0.775733;0.775733;0.979381;0.789359;
1.058666;0.446806;0.359963;0.776384;0.776384;0.980640;0.786298;
1.062353;0.447623;0.375763;0.776832;0.776832;0.981507;0.784006;
1.064721;0.448824;0.386855;0.777045;0.777045;0.981919;0.782848;
1.064721;0.448917;0.386855;0.777045;0.777045;0.981919;0.782846;
1.064722;0.448918;0.386859;0.777045;0.777045;0.981919;0.782845;
1.064723;0.448918;0.386862;0.777045;0.777045;0.981919;0.782845;
1.064725;0.448919;0.386868;0.777045;0.777045;0.981919;0.782844;
1.064729;0.448922;0.386881;0.777046;0.777046;0.981920;0.782842;
1.064737;0.448927;0.386906;0.777046;0.777046;0.981921;0.782839;
1.064753;0.448937;0.386957;0.777047;0.777047;0.981923;0.782832;
1.064785;0.448958;0.387059;0.777050;0.777050;0.981928;0.782819;
1.064849;0.448999;0.387262;0.777054;0.777054;0.981937;0.782792;
1.064977;0.449081;0.387668;0.777063;0.777063;0.981955;0.782738;
1.065233;0.449235;0.388478;0.777081;0.777081;0.981989;0.782633;
1.065745;0.449544;0.390090;0.777116;0.777116;0.982056;0.782430;
1.066769;0.450162;0.393289;0.777180;0.777180;0.982180;0.782047;
1.068817;0.451340;0.399579;0.777292;0.777292;0.982395;0.781369;
1.072913;0.452407;0.411753;0.777460;0.777460;0.982720;0.780299;
1.077009;0.454800;0.423407;0.777572;0.777572;0.982936;0.779540;
1.081105;0.456436;0.434570;0.777645;0.777645;0.983077;0.779009;
1.085201;0.458244;0.445268;0.777692;0.777692;0.983168;0.778641;
1.089297;0.460214;0.455525;0.777722;0.777722;0.983226;0.778389;
1.097489;0.463845;0.474823;0.777758;0.777758;0.983295;0.778074;
1.105681;0.467543;0.492590;0.777772;0.777772;0.983322;0.777932;
1.113873;0.471227;0.508951;0.777776;0.777776;0.983330;0.777875;
1.118818;0.473452;0.518202;0.777777;0.777777;0.983332;0.777860;
1.118819;0.473455;0.518204;0.777777;0.777777;0.983332;0.777860;
1.118820;0.473455;0.518206;0.777777;0.777777;0.983332;0.777860;
1.118822;0.473456;0.518210;0.777777;0.777777;0.983332;0.777860;
1.118826;0.473458;0.518217;0.777777;0.777777;0.983332;0.777860;
1.118834;0.473461;0.518231;0.777777;0.777777;0.983332;0.777860;
1.118850;0.473469;0.518260;0.777777;0.777777;0.983332;0.777860;
1.118882;0.473483;0.518319;0.777777;0.777777;0.983332;0.777860;
1.118946;0.473512;0.518435;0.777777;0.777777;0.983332;0.777860;
1.119074;0.473569;0.518667;0.777777;0.777777;0.983332;0.777860;
1.119330;0.473684;0.519131;0.777777;0.777777;0.983332;0.777860;
1.119842;0.473915;0.520055;0.777777;0.777777;0.983331;0.777860;
1.120866;0.474375;0.521889;0.777777;0.777777;0.983331;0.777859;
1.122914;0.475296;0.525502;0.777776;0.777776;0.983331;0.777859;
1.127010;0.477139;0.532510;0.777776;0.777776;0.983330;0.777859;
1.135202;0.480826;0.545709;0.777776;0.777776;0.983329;0.777859;
1.143394;0.484512;0.557875;0.777775;0.777775;0.983329;0.777859;
1.144696;0.485098;0.559725;0.777775;0.777775;0.983329;0.777859;
1.144696;0.485098;0.559726;0.777775;0.777775;0.983329;0.777859;
1.144697;0.485098;0.559727;0.777775;0.777775;0.983329;0.777859;
1.144698;0.485099;0.559728;0.777775;0.777775;0.983329;0.777859;
1.144700;0.485099;0.559731;0.777775;0.777775;0.983329;0.777859;
1.144704;0.485100;0.559736;0.777775;0.777775;0.983329;0.777859;
1.144712;0.485101;0.559743;0.777775;0.777775;0.983329;0.777859;
1.144728;0.485096;0.559752;0.777775;0.777775;0.983329;0.777859;
1.144760;0.485065;0.559744;0.777775;0.777775;0.983329;0.777859;
1.144824;0.484914;0.559627;0.777775;0.777775;0.983329;0.777859;
1.144952;0.484298;0.559028;0.777775;0.777775;0.983329;0.777859;
1.145156;0.482599;0.557245;0.777775;0.777775;0.983329;0.777859;
1.145157;0.482588;0.557233;0.777775;0.777775;0.983329;0.777859;
1.145158;0.482577;0.557221;0.777775;0.777775;0.983329;0.777859;
1.145160;0.482555;0.557198;0.777775;0.777775;0.983329;0.777859;
1.145164;0.482512;0.557151;0.777775;0.777775;0.983329;0.777859;
1.145172;0.482423;0.557056;0.777775;0.777775;0.983329;0.777859;
1.145188;0.482243;0.556862;0.777775;0.777775;0.983329;0.777859;
1.145220;0.481869;0.556458;0.777775;0.777775;0.983329;0.777859;
1.145284;0.481070;0.555591;0.777775;0.777775;0.983329;0.777859;
1.145325;0.480527;0.554999;0.777775;0.777775;0.983329;0.777859;
1.145412;0.479287;0.553642;0.777775;0.777775;0.983329;0.777859;
1.145668;0.475114;0.549040;0.777775;0.777775;0.983329;0.777859;
1.145924;0.470279;0.543668;0.777775;0.777775;0.983329;0.777859;
1.146180;0.464959;0.537730;0.777775;0.777775;0.983329;0.777859;
1.146436;0.459301;0.531394;0.777775;0.777775;0.983329;0.777859;
1.146692;0.453420;0.524794;0.777775;0.777775;0.983329;0.777859;
1.146948;0.447404;0.518033;0.777775;0.777775;0.983329;0.777859;
1.147204;0.441323;0.511189;0.777775;0.777775;0.983329;0.777859;
1.147716;0.429198;0.497526;0.777775;0.777775;0.983329;0.777859;
1.148228;0.417260;0.484054;0.777775;0.777775;0.983329;0.777859;
1.148740;0.405658;0.470949;0.777775;0.777775;0.983329;0.777859;
1.149252;0.394481;0.458313;0.777775;0.777775;0.983329;0.777859;
1.149764;0.383770;0.446198;0.777775;0.777775;0.983329;0.777859;
1.150788;0.363784;0.423575;0.777775;0.777775;0.983329;0.777859;
1.151812;0.345643;0.403025;0.777776;0.777776;0.983329;0.777859;
1.152836;0.329230;0.384423;0.777776;0.777776;0.983329;0.777859;
1.153860;0.314403;0.367611;0.777776;0.777776;0.983329;0.777859;
1.154884;0.301015;0.352429;0.777776;0.777776;0.983329;0.777859;
1.155908;0.288930;0.338723;0.777776;0.777776;0.983329;0.777859;
1.156932;0.278020;0.326352;0.777776;0.777776;0.983329;0.777859;
1.157956;0.268171;0.315187;0.777776;0.777776;0.983330;0.777859;
1.158980;0.259281;0.305112;0.777776;0.777776;0.983330;0.777859;
1.160004;0.251255;0.296024;0.777776;0.777776;0.983330;0.777859;
1.161028;0.244011;0.287828;0.777776;0.777776;0.983330;0.777859;
1.162052;0.237472;0.280438;0.777776;0.777776;0.983330;0.777859;
1.163076;0.231570;0.273778;0.777776;0.777776;0.983330;0.777859;
1.164100;0.226244;0.267776;0.777776;0.777776;0.983330;0.777859;
1.165124;0.221438;0.262371;0.777776;0.777776;0.983330;0.777859;
1.166148;0.217101;0.257504;0.777776;0.777776;0.983330;0.777859;
1.167172;0.213188;0.253124;0.777776;0.777776;0.983330;0.777859;
1.168196;0.209658;0.249184;0.777776;0.777776;0.983330;0.777859;
1.169220;0.206473;0.245642;0.777776;0.777776;0.983331;0.777859;
1.170244;0.203601;0.242459;0.777776;0.777776;0.983331;0.777859;
1.171268;0.201011;0.239600;0.777776;0.777776;0.983331;0.777859;
1.172292;0.198675;0.237035;0.777776;0.777776;0.983331;0.777859;
1.173316;0.196570;0.234734;0.777776;0.777776;0.983331;0.777859;
1.174340;0.194672;0.232672;0.777776;0.777776;0.983331;0.777859;
1.176388;0.191398;0.229147;0.777777;0.777777;0.983331;0.777859;
1.178231;0.188984;0.226587;0.777777;0.777777;0.983331;0.777859;
1.180074;0.186985;0.224503;0.777777;0.777777;0.983331;0.777859;
1.181917;0.185334;0.222818;0.777777;0.777777;0.983331;0.777859;
1.182336;0.184999;0.222481;0.777777;0.777777;0.983331;0.777859;
1.182337;0.184998;0.222480;0.777777;0.777777;0.983331;0.777859;
1.182338;0.184997;0.222479;0.777777;0.777777;0.983331;0.777859;
1.182339;0.184997;0.222478;0.777777;0.777777;0.983331;0.777859;
1.182340;0.184996;0.222478;0.777777;0.777777;0.983331;0.777859;
1.182342;0.184994;0.222476;0.777777;0.777777;0.983331;0.777859;
1.182346;0.184991;0.222473;0.777777;0.777777;0.983331;0.777859;
1.182354;0.184985;0.222467;0.777777;0.777777;0.983331;0.777859;
1.182370;0.184973;0.222455;0.777777;0.777777;0.983331;0.777859;
1.182402;0.184949;0.222431;0.777777;0.777777;0.983331;0.777859;
1.182466;0.184900;0.222382;0.777777;0.777777;0.983331;0.777859;
1.182594;0.184805;0.222287;0.777777;0.777777;0.983331;0.777859;
1.182850;0.184617;0.222100;0.777777;0.777777;0.983331;0.777859;
1.183362;0.184256;0.221744;0.777777;0.777777;0.983331;0.777858;
1.184386;0.183587;0.221092;0.777777;0.777777;0.983331;0.777858;
1.186434;0.182441;0.220002;0.777777;0.777777;0.983331;0.777858;
1.188482;0.181517;0.219162;0.777777;0.777777;0.983331;0.777858;
1.190530;0.180777;0.218527;0.777777;0.777777;0.983331;0.777858;
1.192578;0.180187;0.218058;0.777777;0.777777;0.983331;0.777858;
1.194626;0.179720;0.217723;0.777777;0.777777;0.983331;0.777858;
1.196674;0.179354;0.217494;0.777777;0.777777;0.983331;0.777858;
1.198722;0.179068;0.217349;0.777777;0.777777;0.983331;0.777858;
1.202818;0.178667;0.217228;0.777777;0.777777;0.983331;0.777858;
1.206914;0.178446;0.217276;0.777777;0.777777;0.983331;0.777858;
1.211010;0.178346;0.217424;0.777777;0.777777;0.983331;0.777858;
1.215106;0.178325;0.217625;0.777777;0.777777;0.983331;0.777858;
1.219202;0.178354;0.217846;0.777777;0.777777;0.983331;0.777858;
1.223298;0.178415;0.218065;0.777777;0.777777;0.983331;0.777858;
1.231490;0.178578;0.218445;0.777777;0.777777;0.983331;0.777858;
1.239682;0.178771;0.218726;0.777777;0.777777;0.983331;0.777858;
1.247874;0.178970;0.218891;0.777777;0.777777;0.983331;0.777858;
1.256066;0.179161;0.218935;0.777777;0.777777;0.983331;0.777858;
1.272450;0.179504;0.218691;0.777777;0.777777;0.983331;0.777858;
1.288834;0.179792;0.218049;0.777777;0.777777;0.983331;0.777858;
1.305218;0.180021;0.217069;0.777777;0.777777;0.983331;0.777858;
1.321602;0.180191;0.215804;0.777777;0.777777;0.983331;0.777858;
1.337986;0.180304;0.214299;0.777777;0.777777;0.983331;0.777858;
1.354370;0.180359;0.212593;0.777777;0.777777;0.983331;0.777858;
1.370754;0.180356;0.210719;0.777777;0.777777;0.983332;0.777858;
1.403522;0.180176;0.206589;0.777777;0.777777;0.983332;0.777858;
1.436290;0.179766;0.202060;0.777777;0.777777;0.983332;0.777858;
1.469058;0.179125;0.197242;0.777777;0.777777;0.983332;0.777858;
1.501826;0.178253;0.192220;0.777777;0.777777;0.983332;0.777858;
1.534594;0.177150;0.187054;0.777777;0.777777;0.983332;0.777858;
1.567362;0.175816;0.181790;0.777777;0.777777;0.983332;0.777858;
1.572130;0.175603;0.181018;0.777777;0.777777;0.983332;0.777858;
1.572131;0.175602;0.181013;0.777777;0.777777;0.983332;0.777858;
1.572132;0.175602;0.181013;0.777777;0.777777;0.983332;0.777858;
1.572134;0.175602;0.181013;0.777777;0.777777;0.983332;0.777858;
1.572138;0.175602;0.181012;0.777777;0.777777;0.983332;0.777858;
1.572146;0.175602;0.181011;0.777777;0.777777;0.983332;0.777858;
1.572162;0.175601;0.181008;0.777777;0.777777;0.983332;0.777858;
1.572194;0.175600;0.181003;0.777777;0.777777;0.983332;0.777858;
1.572258;0.175597;0.180993;0.777777;0.777777;0.983332;0.777858;
1.572386;0.175591;0.180972;0.777777;0.777777;0.983332;0.777858;
1.572642;0.175579;0.180930;0.777777;0.777777;0.983332;0.777858;
1.573154;0.175556;0.180847;0.777777;0.777777;0.983332;0.777858;
1.574178;0.175509;0.180681;0.777777;0.777777;0.983332;0.777858;
1.576226;0.175415;0.180348;0.777777;0.777777;0.983332;0.777858;
1.580322;0.175225;0.179682;0.777777;0.777777;0.983332;0.777858;
1.588514;0.174832;0.178347;0.777777;0.777777;0.983332;0.777858;
1.604898;0.174004;0.175668;0.777777;0.777777;0.983332;0.777858;
1.620981;0.173135;0.173030;0.777777;0.777777;0.983332;0.777858;
1.620982;0.173135;0.173030;0.777777;0.777777;0.983332;0.777858;
1.620983;0.173135;0.173030;0.777777;0.777777;0.983332;0.777858;
1.620985;0.173134;0.173029;0.777777;0.777777;0.983332;0.777858;
1.620989;0.173134;0.173029;0.777777;0.777777;0.983332;0.777858;
1.620997;0.173132;0.173027;0.777777;0.777777;0.983332;0.777858;
1.621013;0.173130;0.173025;0.777777;0.777777;0.983332;0.777858;
1.621045;0.173124;0.173019;0.777777;0.777777;0.983332;0.777858;
1.621109;0.173114;0.173009;0.777777;0.777777;0.983332;0.777858;
1.621237;0.173092;0.172988;0.777777;0.777777;0.983332;0.777858;
1.621493;0.173050;0.172946;0.777777;0.777777;0.983332;0.777858;
1.622005;0.172965;0.172862;0.777777;0.777777;0.983332;0.777858;
1.623029;0.172795;0.172693;0.777777;0.777777;0.983332;0.777858;
1.625077;0.172456;0.172356;0.777777;0.777777;0.983332;0.777858;
1.629173;0.171777;0.171682;0.777777;0.777777;0.983332;0.777858;
1.637365;0.170417;0.170332;0.777777;0.777777;0.983332;0.777858;
1.653749;0.167696;0.167628;0.777777;0.777777;0.983332;0.777858;
1.686517;0.162245;0.162202;0.777777;0.777777;0.983332;0.777858;
1.752053;0.151318;0.151308;0.777777;0.777777;0.983332;0.777858;
1.817589;0.140373;0.140377;0.777777;0.777777;0.983332;0.777858;
1.948661;0.118458;0.118472;0.777777;0.777777;0.983332;0.777858;
2.000000;0.109869;0.109881;0.777777;0.777777;0.983332;0.777858;
2.000000;0.183114;0.183134;0.777777;0.777777;0.983332;0.777858;
2.000001;0.183115;0.183135;0.777725;0.777725;0.983232;0.777858;
2.000002;0.183115;0.183135;0.777673;0.777673;0.983132;0.777858;
2.000004;0.183114;0.183134;0.777570;0.777570;0.982932;0.777858;
2.000008;0.183113;0.183133;0.777363;0.777363;0.982532;0.777858;
2.000016;0.183111;0.183131;0.776949;0.776949;0.981733;0.777858;
2.000032;0.183106;0.183126;0.776124;0.776124;0.980137;0.777860;
2.000064;0.183097;0.183118;0.774483;0.774483;0.976952;0.777868;
2.000101;0.183087;0.183108;0.772604;0.772604;0.973289;0.777884;
2.000102;0.183087;0.183108;0.772554;0.772554;0.973190;0.777884;
2.000103;0.183086;0.183107;0.772503;0.772503;0.973092;0.777885;
2.000105;0.183086;0.183107;0.772402;0.772402;0.972894;0.777886;
2.000109;0.183085;0.183106;0.772200;0.772200;0.972498;0.777888;
2.000117;0.183083;0.183104;0.771796;0.771796;0.971707;0.777893;
2.000133;0.183078;0.183099;0.770990;0.770990;0.970127;0.777903;
2.000165;0.183069;0.183091;0.769387;0.769387;0.966974;0.777927;
2.000229;0.183053;0.183076;0.766216;0.766216;0.960699;0.777990;
2.000357;0.183020;0.183048;0.760011;0.760011;0.948268;0.778174;
2.000613;0.182959;0.183001;0.748123;0.748123;0.923875;0.778761;
2.001125;0.182844;0.182937;0.726249;0.726249;0.876904;0.780707;
2.001637;0.182731;0.182902;0.706614;0.706614;0.832270;0.783559;
2.002149;0.182614;0.182889;0.688916;0.688916;0.789863;0.787160;
2.002179;0.182606;0.182888;0.687911;0.687911;0.787395;0.787394;
2.002180;0.182606;0.182888;0.687885;0.687885;0.787314;0.787314;
2.002181;0.182606;0.182888;0.687853;0.687853;0.787234;0.787234;
2.002183;0.182605;0.182888;0.687787;0.687787;0.787073;0.787073;
2.002187;0.182604;0.182888;0.687657;0.687657;0.786752;0.786752;
2.002195;0.182602;0.182888;0.687397;0.687397;0.786109;0.786109;
2.002211;0.182599;0.182888;0.686878;0.686878;0.784826;0.784826;
2.002243;0.182591;0.182888;0.685844;0.685844;0.782265;0.782265;
2.002307;0.182576;0.182886;0.683795;0.683795;0.777168;0.777168;
2.002435;0.182544;0.182882;0.679772;0.679772;0.767072;0.767072;
2.002691;0.182479;0.182864;0.672014;0.672014;0.747260;0.747260;
2.003192;0.182341;0.182800;0.657859;0.657859;0.709906;0.709906;
2.003193;0.182341;0.182800;0.657833;0.657833;0.709834;0.709834;
2.003194;0.182341;0.182799;0.657806;0.657806;0.709761;0.709761;
2.003196;0.182340;0.182799;0.657752;0.657752;0.709616;0.709616;
2.003200;0.182339;0.182798;0.657645;0.657645;0.709325;0.709325;
2.003208;0.182337;0.182797;0.657429;0.657429;0.708745;0.708745;
