time;PhaseShifter_5_6_phaseShifter_PMonitored;PhaseShifter_5_6_phaseShifter_state;PhaseShifter_5_6_phaseShifter_tap;HVDC_hvdc_P1Pu;HVDC_hvdc_Q1Pu;HVDC_hvdc_Q2Pu;HVDC_hvdc_Theta1;HVDC_hvdc_Theta2;
42.000000;7.850543;4.000000;15.000000;12.324720;-0.515017;-1.506877;-0.109104;-0.148825;
43.000000;7.787627;4.000000;15.000000;12.455896;-0.525079;-1.488055;-0.109926;-0.147956;
44.000000;7.732868;4.000000;15.000000;12.570072;-0.533949;-1.471789;-0.110641;-0.147199;
45.000000;7.685209;4.000000;15.000000;12.669451;-0.541756;-1.457721;-0.111264;-0.146541;
46.000000;7.643727;4.000000;15.000000;12.755951;-0.548615;-1.445543;-0.111806;-0.145968;
47.000000;7.607623;4.000000;15.000000;12.831241;-0.554634;-1.434994;-0.112278;-0.145469;
48.000000;7.576198;4.000000;15.000000;12.896774;-0.559911;-1.425851;-0.112688;-0.145035;
49.000000;7.548847;4.000000;15.000000;12.953815;-0.564532;-1.417922;-0.113045;-0.144657;
50.000000;7.525041;4.000000;15.000000;13.003463;-0.568575;-1.411043;-0.113357;-0.144328;
51.000000;7.504320;4.000000;15.000000;13.046678;-0.572110;-1.405072;-0.113627;-0.144042;
52.000000;7.486285;4.000000;15.000000;13.084292;-0.575200;-1.399888;-0.113863;-0.143793;
53.000000;7.470587;4.000000;15.000000;13.117032;-0.577898;-1.395385;-0.114068;-0.143576;
54.000000;7.456924;4.000000;15.000000;13.145529;-0.580254;-1.391473;-0.114247;-0.143388;
55.000000;7.445031;4.000000;15.000000;13.170333;-0.582310;-1.388074;-0.114402;-0.143223;
56.000000;7.434680;4.000000;15.000000;13.191923;-0.584104;-1.385119;-0.114538;-0.143080;
57.000000;7.425670;4.000000;15.000000;13.210715;-0.585668;-1.382550;-0.114655;-0.142956;
58.000000;7.417828;4.000000;15.000000;13.227072;-0.587031;-1.380317;-0.114758;-0.142848;
59.000000;7.411002;4.000000;15.000000;13.241309;-0.588220;-1.378375;-0.114847;-0.142753;
60.000000;7.405061;4.000000;15.000000;13.253702;-0.589256;-1.376686;-0.114925;-0.142671;
61.000000;7.399890;4.000000;15.000000;13.264488;-0.590159;-1.375216;-0.114992;-0.142600;
62.000000;7.395388;4.000000;15.000000;13.273876;-0.590946;-1.373938;-0.115051;-0.142538;
63.000000;7.391471;4.000000;15.000000;13.282048;-0.591631;-1.372827;-0.115102;-0.142484;
64.000000;7.388060;4.000000;15.000000;13.289161;-0.592228;-1.371859;-0.115147;-0.142436;
65.000000;7.385092;4.000000;15.000000;13.295352;-0.592747;-1.371018;-0.115186;-0.142395;
66.000000;7.382509;4.000000;15.000000;13.300741;-0.593200;-1.370286;-0.115219;-0.142360;
67.000000;7.380260;4.000000;15.000000;13.305432;-0.593594;-1.369648;-0.115249;-0.142329;
68.000000;7.378303;4.000000;15.000000;13.309514;-0.593938;-1.369094;-0.115274;-0.142302;
69.000000;7.376599;4.000000;15.000000;13.313068;-0.594237;-1.368612;-0.115297;-0.142278;
70.000000;7.375116;4.000000;15.000000;13.316161;-0.594497;-1.368192;-0.115316;-0.142258;
71.000000;7.373825;4.000000;15.000000;13.318853;-0.594724;-1.367826;-0.115333;-0.142240;
72.000000;7.372702;4.000000;15.000000;13.321197;-0.594921;-1.367508;-0.115348;-0.142224;
73.000000;7.371724;4.000000;15.000000;13.323237;-0.595093;-1.367232;-0.115360;-0.142211;
74.000000;7.370873;4.000000;15.000000;13.325012;-0.595242;-1.366991;-0.115372;-0.142199;
75.000000;7.370131;4.000000;15.000000;13.326557;-0.595311;-1.366716;-0.115381;-0.142189;
76.000000;7.369486;4.000000;15.000000;13.327902;-0.595432;-1.366543;-0.115390;-0.142180;
77.000000;7.368925;4.000000;15.000000;13.329072;-0.595538;-1.366391;-0.115397;-0.142172;
78.000000;7.368437;4.000000;15.000000;13.330091;-0.595630;-1.366259;-0.115403;-0.142165;
79.000000;7.368012;4.000000;15.000000;13.330978;-0.595710;-1.366145;-0.115409;-0.142160;
80.000000;7.367642;4.000000;15.000000;13.331750;-0.595779;-1.366045;-0.115414;-0.142154;
81.000000;7.367320;4.000000;15.000000;13.332422;-0.595840;-1.365958;-0.115418;-0.142150;
82.000000;7.367039;4.000000;15.000000;13.333007;-0.595893;-1.365882;-0.115422;-0.142146;
83.000000;7.366795;4.000000;15.000000;13.333516;-0.595939;-1.365816;-0.115425;-0.142143;
84.000000;7.366583;4.000000;15.000000;13.333959;-0.595979;-1.365759;-0.115428;-0.142140;
85.000000;7.366398;4.000000;15.000000;13.334345;-0.596013;-1.365709;-0.115430;-0.142137;
86.000000;7.366237;4.000000;15.000000;13.334681;-0.596044;-1.365665;-0.115432;-0.142135;
87.000000;7.366097;4.000000;15.000000;13.334973;-0.596070;-1.365628;-0.115434;-0.142133;
88.000000;7.365975;4.000000;15.000000;13.335228;-0.596093;-1.365595;-0.115436;-0.142131;
89.000000;7.365869;4.000000;15.000000;13.335449;-0.596113;-1.365566;-0.115437;-0.142130;
90.000000;7.365777;4.000000;15.000000;13.335642;-0.596130;-1.365541;-0.115438;-0.142129;
91.000000;7.365696;4.000000;15.000000;13.335810;-0.596145;-1.365519;-0.115439;-0.142128;
92.000000;7.365626;4.000000;15.000000;13.335956;-0.596159;-1.365500;-0.115440;-0.142127;
93.000000;7.365565;4.000000;15.000000;13.336083;-0.596170;-1.365484;-0.115441;-0.142126;
94.000000;7.365512;4.000000;15.000000;13.336194;-0.596180;-1.365470;-0.115442;-0.142125;
95.000000;7.365466;4.000000;15.000000;13.336290;-0.596189;-1.365457;-0.115442;-0.142124;
96.000000;7.365426;4.000000;15.000000;13.336374;-0.596196;-1.365446;-0.115443;-0.142124;
97.000000;7.365391;4.000000;15.000000;13.336447;-0.596203;-1.365437;-0.115443;-0.142123;
98.000000;7.365360;4.000000;15.000000;13.336510;-0.596209;-1.365429;-0.115444;-0.142123;
99.000000;7.365334;4.000000;15.000000;13.336565;-0.596214;-1.365422;-0.115444;-0.142123;
100.000000;7.365311;4.000000;15.000000;13.336614;-0.596218;-1.365415;-0.115444;-0.142122;
101.000000;7.365291;4.000000;15.000000;13.336655;-0.596222;-1.365410;-0.115445;-0.142122;
102.000000;7.365273;4.000000;15.000000;13.336692;-0.596225;-1.365405;-0.115445;-0.142122;
103.000000;7.365258;4.000000;15.000000;13.336724;-0.596228;-1.365401;-0.115445;-0.142122;
104.000000;7.365245;4.000000;15.000000;13.336751;-0.596230;-1.365398;-0.115445;-0.142121;
105.000000;7.365233;4.000000;15.000000;13.336775;-0.596233;-1.365394;-0.115445;-0.142121;
106.000000;7.365223;4.000000;15.000000;13.336796;-0.596234;-1.365392;-0.115445;-0.142121;
107.000000;7.365214;4.000000;15.000000;13.336815;-0.596236;-1.365389;-0.115446;-0.142121;
108.000000;7.365207;4.000000;15.000000;13.336830;-0.596238;-1.365387;-0.115446;-0.142121;
109.000000;7.365200;4.000000;15.000000;13.336844;-0.596239;-1.365386;-0.115446;-0.142121;
110.000000;7.365194;4.000000;15.000000;13.336856;-0.596240;-1.365384;-0.115446;-0.142121;
111.000000;7.365189;4.000000;15.000000;13.336867;-0.596241;-1.365383;-0.115446;-0.142121;
112.000000;7.365185;4.000000;15.000000;13.336876;-0.596242;-1.365381;-0.115446;-0.142121;
113.000000;7.365181;4.000000;15.000000;13.336884;-0.596242;-1.365380;-0.115446;-0.142121;
114.000000;7.365178;4.000000;15.000000;13.336891;-0.596243;-1.365380;-0.115446;-0.142120;
115.000000;7.365175;4.000000;15.000000;13.336897;-0.596244;-1.365379;-0.115446;-0.142120;
116.000000;7.365173;4.000000;15.000000;13.336902;-0.596244;-1.365378;-0.115446;-0.142120;
117.000000;7.365170;4.000000;15.000000;13.336906;-0.596244;-1.365378;-0.115446;-0.142120;
118.000000;7.365169;4.000000;15.000000;13.336910;-0.596245;-1.365377;-0.115446;-0.142120;
119.000000;7.365167;4.000000;15.000000;13.336914;-0.596245;-1.365377;-0.115446;-0.142120;
120.000000;7.365165;4.000000;15.000000;13.336917;-0.596245;-1.365376;-0.115446;-0.142120;
121.000000;7.365164;4.000000;15.000000;13.336919;-0.596246;-1.365376;-0.115446;-0.142120;
122.000000;7.365163;4.000000;15.000000;13.336922;-0.596246;-1.365376;-0.115446;-0.142120;
123.000000;7.365162;4.000000;15.000000;13.336924;-0.596246;-1.365375;-0.115446;-0.142120;
124.000000;7.365161;4.000000;15.000000;13.336925;-0.596246;-1.365375;-0.115446;-0.142120;
125.000000;7.365161;4.000000;15.000000;13.336927;-0.596246;-1.365375;-0.115446;-0.142120;
126.000000;7.365160;4.000000;15.000000;13.336928;-0.596246;-1.365375;-0.115446;-0.142120;
127.000000;7.365159;4.000000;15.000000;13.336929;-0.596246;-1.365375;-0.115446;-0.142120;
128.000000;7.365159;4.000000;15.000000;13.336930;-0.596247;-1.365374;-0.115446;-0.142120;
129.000000;7.365159;4.000000;15.000000;13.336931;-0.596247;-1.365374;-0.115446;-0.142120;
130.000000;7.365158;4.000000;15.000000;13.336932;-0.596247;-1.365374;-0.115446;-0.142120;
131.000000;7.365158;4.000000;15.000000;13.336933;-0.596247;-1.365374;-0.115446;-0.142120;
132.000000;7.365158;4.000000;15.000000;13.336933;-0.596247;-1.365374;-0.115446;-0.142120;
133.000000;7.365157;4.000000;15.000000;13.336934;-0.596247;-1.365374;-0.115446;-0.142120;
134.000000;7.365157;4.000000;15.000000;13.336934;-0.596247;-1.365374;-0.115446;-0.142120;
135.000000;7.365157;4.000000;15.000000;13.336934;-0.596247;-1.365374;-0.115446;-0.142120;
136.000000;7.365157;4.000000;15.000000;13.336935;-0.596247;-1.365374;-0.115446;-0.142120;
137.000000;7.365157;4.000000;15.000000;13.336935;-0.596247;-1.365374;-0.115446;-0.142120;
138.000000;7.365157;4.000000;15.000000;13.336935;-0.596247;-1.365374;-0.115446;-0.142120;
139.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
140.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
141.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
142.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
143.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
144.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
145.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
146.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
147.000000;7.365156;4.000000;15.000000;13.336936;-0.596247;-1.365374;-0.115446;-0.142120;
148.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
149.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
150.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
151.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
152.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
153.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
154.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
155.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
156.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
157.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
158.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
159.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
160.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
161.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
162.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
163.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
164.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
165.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
166.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
167.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
168.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
169.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
170.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
171.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
172.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
173.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
174.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
175.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
176.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
177.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
178.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
179.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
180.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
181.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
182.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
183.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
184.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
185.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
186.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
187.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
188.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
189.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
190.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
191.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
192.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
193.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
194.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
195.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
196.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
197.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
198.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
199.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
200.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
201.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
202.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
203.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
204.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
205.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
206.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
207.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
208.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
209.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
210.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
211.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
212.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
213.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
214.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
215.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
216.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
217.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
218.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
219.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
220.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
221.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
222.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
223.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
224.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
225.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
226.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
227.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
228.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
229.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
230.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
231.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
232.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
233.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
234.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
235.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
236.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
237.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
238.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
239.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
240.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
241.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
242.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
243.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
244.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
245.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
246.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
247.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
248.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
249.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
250.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
251.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
252.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
253.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
254.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
255.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
256.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
257.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
258.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
259.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
260.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
261.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
262.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
263.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
264.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
265.000000;7.365156;4.000000;15.000000;13.336937;-0.596247;-1.365374;-0.115446;-0.142120;
