time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;
0.000079;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000080;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000080;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000082;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000082;0.991871;2.507897;4.751010;1.561896;1.000000;
0.000084;0.991871;2.507897;4.751009;1.561896;1.000000;
0.000084;0.991871;2.507897;4.751009;1.561896;1.000000;
0.000087;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000087;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000091;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000091;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000096;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000096;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000101;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000101;0.991871;2.507898;4.751009;1.561896;1.000000;
0.000105;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000105;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000106;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000106;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000110;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000110;0.991871;2.507899;4.751009;1.561896;1.000000;
0.000119;0.991871;2.507900;4.751009;1.561896;1.000000;
0.000119;0.991871;2.507900;4.751009;1.561896;1.000000;
0.000120;0.991871;2.507900;4.751009;1.561896;1.000000;
0.000120;0.991871;2.507900;4.751009;1.561896;1.000000;
0.000129;0.991871;2.507900;4.751009;1.561895;1.000000;
0.000129;0.991871;2.507900;4.751009;1.561895;1.000000;
0.000138;0.991871;2.507901;4.751009;1.561895;1.000000;
0.000138;0.991871;2.507901;4.751009;1.561895;1.000000;
0.000139;0.991871;2.507901;4.751009;1.561895;1.000000;
0.000139;0.991871;2.507901;4.751009;1.561895;1.000000;
0.000157;0.991871;2.507902;4.751008;1.561895;1.000000;
0.000157;0.991871;2.507902;4.751008;1.561895;1.000000;
0.000158;0.991871;2.507902;4.751008;1.561895;1.000000;
0.000158;0.991871;2.507902;4.751008;1.561895;1.000000;
0.000194;0.991871;2.507905;4.751008;1.561894;1.000000;
0.000194;0.991871;2.507905;4.751008;1.561894;1.000000;
0.000195;0.991871;2.507905;4.751008;1.561894;1.000000;
0.000195;0.991871;2.507905;4.751008;1.561894;1.000000;
0.000269;0.991871;2.507910;4.751007;1.561892;1.000000;
0.000269;0.991871;2.507910;4.751007;1.561892;1.000000;
0.000271;0.991871;2.507910;4.751007;1.561892;1.000000;
0.000271;0.991871;2.507910;4.751007;1.561892;1.000000;
0.000419;0.991871;2.507919;4.751006;1.561889;1.000000;
0.000419;0.991871;2.507919;4.751006;1.561889;1.000000;
0.000422;0.991871;2.507919;4.751006;1.561889;1.000000;
0.000422;0.991871;2.507919;4.751006;1.561889;1.000000;
0.000720;0.991871;2.507938;4.751003;1.561883;1.000000;
0.000720;0.991871;2.507938;4.751003;1.561883;1.000000;
0.000725;0.991871;2.507939;4.751003;1.561883;1.000000;
0.000725;0.991871;2.507939;4.751003;1.561883;1.000000;
0.001320;0.991871;2.507976;4.750996;1.561873;1.000000;
0.001320;0.991871;2.507976;4.750996;1.561873;1.000000;
0.001330;0.991871;2.507976;4.750996;1.561873;1.000000;
0.001330;0.991871;2.507976;4.750996;1.561873;1.000000;
0.001920;0.991871;2.508009;4.750989;1.561863;1.000000;
0.001920;0.991871;2.508009;4.750989;1.561863;1.000000;
0.001936;0.991871;2.508010;4.750989;1.561862;1.000000;
0.001936;0.991871;2.508010;4.750989;1.561862;1.000000;
0.003121;0.991870;2.508071;4.750978;1.561845;1.000000;
0.003121;0.991870;2.508071;4.750978;1.561845;1.000000;
0.003146;0.991870;2.508072;4.750978;1.561845;1.000000;
0.003146;0.991870;2.508072;4.750978;1.561845;1.000000;
0.004321;0.991870;2.508123;4.750965;1.561831;1.000000;
0.004321;0.991870;2.508123;4.750965;1.561831;1.000000;
0.004357;0.991870;2.508124;4.750965;1.561831;1.000000;
0.004357;0.991870;2.508124;4.750965;1.561831;1.000000;
0.005522;0.991869;2.508164;4.750956;1.561819;1.000000;
0.005522;0.991869;2.508164;4.750956;1.561819;1.000000;
0.005567;0.991869;2.508165;4.750956;1.561818;1.000000;
0.005567;0.991869;2.508165;4.750956;1.561818;1.000000;
0.007923;0.991868;2.508229;4.750939;1.561797;1.000000;
0.007923;0.991868;2.508229;4.750939;1.561797;1.000000;
0.007989;0.991868;2.508230;4.750939;1.561796;1.000000;
0.007989;0.991868;2.508230;4.750939;1.561796;1.000000;
0.010324;0.991866;2.508263;4.750923;1.561774;1.000000;
0.010324;0.991866;2.508263;4.750923;1.561774;1.000000;
0.010410;0.991866;2.508264;4.750923;1.561773;1.000000;
0.010410;0.991866;2.508264;4.750923;1.561773;1.000000;
0.013573;0.991864;2.508284;4.750901;1.561753;1.000000;
0.013573;0.991864;2.508284;4.750901;1.561753;1.000000;
0.013676;0.991864;2.508283;4.750900;1.561752;1.000000;
0.013676;0.991864;2.508283;4.750900;1.561752;1.000000;
0.016822;0.991862;2.508282;4.750874;1.561735;1.000000;
0.016822;0.991862;2.508282;4.750874;1.561735;1.000000;
0.016942;0.991862;2.508282;4.750873;1.561733;1.000000;
0.016942;0.991862;2.508282;4.750873;1.561733;1.000000;
0.017536;0.991862;2.508279;4.750869;1.561729;1.000000;
0.017536;0.991862;2.508279;4.750861;1.561722;1.000000;
0.020072;0.991861;2.508269;4.750845;1.561704;1.000000;
0.020072;0.991861;2.508269;4.750845;1.561704;1.000000;
0.020208;0.991861;2.508268;4.750845;1.561703;1.000000;
0.020208;0.991861;2.508268;4.750845;1.561703;1.000000;
0.020455;0.991861;2.508267;4.750844;1.561700;1.000000;
0.020455;0.991861;2.508267;4.750844;1.561700;1.000000;
0.020458;0.991861;2.508267;4.750844;1.561700;1.000000;
0.020458;0.991861;2.508267;4.750844;1.561700;1.000000;
0.020465;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020465;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020468;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020468;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020475;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020475;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020477;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020477;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020495;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020495;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020497;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020497;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020535;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020535;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020537;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020537;0.991861;2.508266;4.750843;1.561700;1.000000;
0.020614;0.991861;2.508266;4.750843;1.561699;1.000000;
0.020614;0.991861;2.508266;4.750843;1.561699;1.000000;
0.020615;0.991861;2.508266;4.750843;1.561699;1.000000;
0.020615;0.991861;2.508266;4.750843;1.561699;1.000000;
0.020773;0.991861;2.508265;4.750842;1.561697;1.000000;
0.020773;0.991861;2.508265;4.750842;1.561697;1.000000;
0.021088;0.991861;2.508263;4.750840;1.561694;1.000000;
0.021088;0.991861;2.508263;4.750840;1.561694;1.000000;
0.021091;0.991861;2.508263;4.750840;1.561694;1.000000;
0.021091;0.991861;2.508263;4.750840;1.561694;1.000000;
0.021718;0.991860;2.508262;4.750843;1.561699;1.000000;
0.021718;0.991860;2.508262;4.750843;1.561699;1.000000;
0.021726;0.991860;2.508262;4.750843;1.561700;1.000000;
0.021726;0.991860;2.508262;4.750843;1.561700;1.000000;
0.022978;0.991860;2.508257;4.750832;1.561687;0.999999;
0.022978;0.991860;2.508257;4.750832;1.561687;0.999999;
0.022997;0.991860;2.508257;4.750832;1.561687;0.999999;
0.022997;0.991860;2.508257;4.750832;1.561687;0.999999;
0.025499;0.991859;2.508251;4.750816;1.561669;0.999999;
0.025499;0.991859;2.508251;4.750816;1.561669;0.999999;
0.025538;0.991859;2.508251;4.750816;1.561668;0.999999;
0.025538;0.991859;2.508251;4.750816;1.561668;0.999999;
0.030512;0.991856;2.508253;4.750800;1.561649;0.999999;
0.030539;0.991856;2.508253;4.750800;1.561648;0.999999;
0.030539;0.991856;2.508253;4.750800;1.561648;0.999999;
0.030621;0.991856;2.508254;4.750800;1.561647;0.999999;
0.030621;0.991856;2.508254;4.750800;1.561647;0.999999;
