time;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_controlAndProtection_control_qControl_voltageDroop;
0.041736;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.043767;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.045799;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.047830;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.051374;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.051748;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.052123;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.052872;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.054371;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.057369;-0.199999;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.060366;-0.199998;1.000000;1.000000;0.000000;0.950000;1.000000;0.950000;
0.066361;-0.199998;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.067378;-0.199997;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.067908;-0.199997;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.068439;-0.199997;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.069501;-0.199997;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.071624;-0.199997;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.075870;-0.199995;1.000000;1.000000;0.000000;0.950000;1.000000;0.950001;
0.081932;-0.199994;1.000000;1.000000;0.000000;0.950000;1.000000;0.950002;
0.082483;-0.199993;1.000000;1.000000;0.000000;0.950000;1.000000;0.950002;
0.083035;-0.199993;1.000000;1.000000;0.000000;0.950000;1.000000;0.950002;
0.084137;-0.199993;1.000000;1.000000;0.000000;0.950000;1.000000;0.950002;
0.086343;-0.199992;1.000000;1.000000;0.000000;0.950000;1.000000;0.950002;
0.090754;-0.199991;1.000000;1.000000;0.000000;0.950000;1.000000;0.950003;
0.099577;-0.199987;1.000000;1.000000;0.000000;0.950000;1.000000;0.950003;
0.117222;-0.199980;1.000000;1.000000;0.000000;0.950000;1.000000;0.950005;
0.134868;-0.199973;1.000001;1.000000;0.000000;0.950000;1.000000;0.950007;
0.170158;-0.199958;1.000001;1.000000;0.000000;0.950000;1.000000;0.950012;
0.205449;-0.199941;1.000001;1.000000;0.000000;0.950000;1.000000;0.950016;
0.273152;-0.199906;1.000002;1.000001;0.000000;0.950000;1.000000;0.950026;
0.273866;-0.199905;1.000002;1.000001;0.000000;0.950000;1.000000;0.950026;
0.274580;-0.199905;1.000002;1.000001;0.000000;0.950000;1.000000;0.950026;
0.276008;-0.199904;1.000002;1.000001;0.000000;0.950000;1.000000;0.950026;
0.278865;-0.199903;1.000002;1.000001;0.000000;0.950000;1.000000;0.950027;
0.284577;-0.199900;1.000003;1.000001;0.000000;0.950000;1.000000;0.950028;
0.296002;-0.199893;1.000003;1.000001;0.000000;0.950000;1.000000;0.950029;
0.318852;-0.199881;1.000003;1.000001;0.000000;0.950000;1.000000;0.950033;
0.364553;-0.199855;1.000004;1.000001;0.000000;0.950000;1.000000;0.950040;
0.455954;-0.199803;1.000005;1.000001;0.000000;0.950000;1.000000;0.950054;
0.547355;-0.199753;1.000006;1.000001;0.000000;0.950000;1.000000;0.950068;
0.638756;-0.199706;1.000007;1.000001;0.000000;0.950000;1.000000;0.950081;
0.730157;-0.199665;1.000008;1.000001;0.000000;0.950000;1.000000;0.950092;
0.821558;-0.199629;1.000009;1.000001;0.000000;0.950000;1.000000;0.950102;
0.912959;-0.199601;1.000010;1.000001;0.000000;0.950000;1.000000;0.950110;
1.000000;-0.199580;1.000011;1.000001;0.000000;0.950000;1.000000;0.950116;
1.000000;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000020;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000061;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000082;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000123;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000144;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000154;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000174;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000185;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000190;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000200;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000221;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000231;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000252;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000262;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000267;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000277;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000282;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000293;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000298;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000308;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000313;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000324;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000329;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000339;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000344;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000354;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000359;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000370;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000375;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000385;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000390;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000401;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000406;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000416;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000421;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000431;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000437;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000447;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000452;-0.199580;1.000011;1.000001;0.000000;0.950000;0.800000;0.950116;
1.000462;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000467;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000478;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000483;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000493;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000498;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000508;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000514;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000524;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000529;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000539;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000560;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000570;-0.199580;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000591;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000601;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000606;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000616;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000622;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000632;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000652;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000663;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000683;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000693;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000699;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000709;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000714;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000724;-0.199579;1.000011;1.000000;0.000000;0.950000;0.800000;0.950116;
1.000745;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000755;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000776;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000786;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000807;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000817;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000837;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000848;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000868;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000878;-0.199579;1.000011;0.999999;0.000000;0.950000;0.800000;0.950116;
1.000899;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000909;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000930;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000940;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000961;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000971;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.000991;-0.199579;1.000011;0.999998;0.000000;0.950000;0.800000;0.950116;
1.001002;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001022;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001033;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001053;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001063;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001084;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001094;-0.199579;1.000011;0.999997;0.000000;0.950000;0.800000;0.950116;
1.001115;-0.199579;1.000011;0.999996;0.000000;0.950000;0.800000;0.950116;
1.001125;-0.199579;1.000011;0.999996;0.000000;0.950000;0.800000;0.950116;
1.001146;-0.199579;1.000011;0.999996;0.000000;0.950000;0.800000;0.950116;
1.001156;-0.199579;1.000011;0.999996;0.000000;0.950000;0.800000;0.950116;
1.001176;-0.199579;1.000011;0.999995;0.000000;0.950000;0.800000;0.950116;
1.001187;-0.199579;1.000011;0.999995;0.000000;0.950000;0.800000;0.950116;
1.001207;-0.199579;1.000011;0.999995;0.000000;0.950000;0.800000;0.950116;
1.001218;-0.199579;1.000011;0.999995;0.000000;0.950000;0.800000;0.950116;
1.001238;-0.199579;1.000011;0.999995;0.000000;0.950000;0.800000;0.950116;
1.001248;-0.199580;1.000011;0.999994;0.000000;0.950000;0.800000;0.950116;
1.001269;-0.199580;1.000011;0.999994;0.000000;0.950000;0.800000;0.950116;
1.001279;-0.199580;1.000011;0.999994;0.000000;0.950000;0.800000;0.950116;
1.001300;-0.199580;1.000011;0.999994;0.000000;0.950000;0.800000;0.950116;
1.001310;-0.199580;1.000011;0.999994;0.000000;0.950000;0.800000;0.950116;
1.001331;-0.199580;1.000011;0.999993;0.000000;0.950000;0.800000;0.950116;
1.001341;-0.199580;1.000011;0.999993;0.000000;0.950000;0.800000;0.950116;
1.001361;-0.199580;1.000011;0.999993;0.000000;0.950000;0.800000;0.950116;
1.001372;-0.199580;1.000011;0.999992;0.000000;0.950000;0.800000;0.950116;
1.001392;-0.199580;1.000011;0.999992;0.000000;0.950000;0.800000;0.950116;
1.001403;-0.199580;1.000011;0.999992;0.000000;0.950000;0.800000;0.950116;
1.001423;-0.199580;1.000011;0.999992;0.000000;0.950000;0.800000;0.950116;
1.001433;-0.199580;1.000011;0.999991;0.000000;0.950000;0.800000;0.950116;
1.001454;-0.199580;1.000011;0.999991;0.000000;0.950000;0.800000;0.950116;
1.001464;-0.199580;1.000011;0.999991;0.000000;0.950000;0.800000;0.950116;
1.001485;-0.199580;1.000011;0.999990;0.000000;0.950000;0.800000;0.950116;
1.001495;-0.199580;1.000011;0.999990;0.000000;0.950000;0.800000;0.950116;
1.001516;-0.199580;1.000011;0.999990;0.000000;0.950000;0.800000;0.950116;
1.001526;-0.199580;1.000011;0.999989;0.000000;0.950000;0.800000;0.950116;
1.001546;-0.199580;1.000011;0.999989;0.000000;0.950000;0.800000;0.950116;
1.001557;-0.199580;1.000011;0.999989;0.000000;0.950000;0.800000;0.950116;
1.001577;-0.199580;1.000011;0.999988;0.000000;0.950000;0.800000;0.950116;
1.001588;-0.199580;1.000011;0.999988;0.000000;0.950000;0.800000;0.950116;
1.001608;-0.199580;1.000011;0.999988;0.000000;0.950000;0.800000;0.950116;
1.001618;-0.199580;1.000011;0.999987;0.000000;0.950000;0.800000;0.950116;
1.001639;-0.199580;1.000011;0.999987;0.000000;0.950000;0.800000;0.950116;
1.001649;-0.199580;1.000011;0.999987;0.000000;0.950000;0.800000;0.950116;
1.001670;-0.199580;1.000011;0.999986;0.000000;0.950000;0.800000;0.950116;
1.001680;-0.199580;1.000011;0.999986;0.000000;0.950000;0.800000;0.950116;
1.001701;-0.199580;1.000011;0.999985;0.000000;0.950000;0.800000;0.950116;
1.001711;-0.199580;1.000011;0.999985;0.000000;0.950000;0.800000;0.950116;
1.001731;-0.199580;1.000011;0.999984;0.000000;0.950000;0.800000;0.950116;
1.001742;-0.199580;1.000011;0.999984;0.000000;0.950000;0.800000;0.950116;
1.001762;-0.199580;1.000011;0.999984;0.000000;0.950000;0.800000;0.950116;
1.001772;-0.199580;1.000011;0.999983;0.000000;0.950000;0.800000;0.950116;
1.001793;-0.199580;1.000011;0.999983;0.000000;0.950000;0.800000;0.950116;
1.001803;-0.199580;1.000011;0.999982;0.000000;0.950000;0.800000;0.950116;
1.001824;-0.199580;1.000011;0.999982;0.000000;0.950000;0.800000;0.950116;
1.001834;-0.199580;1.000011;0.999982;0.000000;0.950000;0.800000;0.950116;
1.001855;-0.199580;1.000011;0.999981;0.000000;0.950000;0.800000;0.950116;
1.001865;-0.199580;1.000011;0.999981;0.000000;0.950000;0.800000;0.950116;
1.001886;-0.199580;1.000011;0.999980;0.000000;0.950000;0.800000;0.950116;
1.001896;-0.199580;1.000011;0.999980;0.000000;0.950000;0.800000;0.950116;
1.001916;-0.199580;1.000011;0.999979;0.000000;0.950000;0.800000;0.950116;
1.001927;-0.199580;1.000011;0.999979;0.000000;0.950000;0.800000;0.950116;
1.001947;-0.199580;1.000011;0.999978;0.000000;0.950000;0.800000;0.950116;
1.001957;-0.199580;1.000011;0.999978;0.000000;0.950000;0.800000;0.950116;
1.001978;-0.199580;1.000011;0.999977;0.000000;0.950000;0.800000;0.950116;
1.001988;-0.199580;1.000011;0.999976;0.000000;0.950000;0.800000;0.950116;
1.002009;-0.199580;1.000011;0.999976;0.000000;0.950000;0.800000;0.950116;
1.002019;-0.199580;1.000011;0.999975;0.000000;0.950000;0.800000;0.950116;
1.002040;-0.199580;1.000011;0.999975;0.000000;0.950000;0.800000;0.950116;
1.002050;-0.199580;1.000011;0.999974;0.000000;0.950000;0.800000;0.950116;
1.002071;-0.199580;1.000011;0.999973;0.000000;0.950000;0.800000;0.950116;
1.002081;-0.199580;1.000011;0.999973;0.000000;0.950000;0.800000;0.950116;
1.002101;-0.199580;1.000011;0.999972;0.000000;0.950000;0.800000;0.950116;
1.002112;-0.199580;1.000011;0.999972;0.000000;0.950000;0.800000;0.950116;
1.002132;-0.199580;1.000011;0.999971;0.000000;0.950000;0.800000;0.950116;
1.002142;-0.199580;1.000011;0.999971;0.000000;0.950000;0.800000;0.950116;
1.002163;-0.199580;1.000011;0.999970;0.000000;0.950000;0.800000;0.950116;
1.002173;-0.199580;1.000011;0.999969;0.000000;0.950000;0.800000;0.950116;
1.002194;-0.199580;1.000011;0.999969;0.000000;0.950000;0.800000;0.950116;
1.002204;-0.199580;1.000011;0.999968;0.000000;0.950000;0.800000;0.950116;
1.002225;-0.199580;1.000011;0.999967;0.000000;0.950000;0.800000;0.950116;
1.002235;-0.199580;1.000011;0.999967;0.000000;0.950000;0.800000;0.950116;
1.002255;-0.199580;1.000011;0.999966;0.000000;0.950000;0.800000;0.950116;
1.002266;-0.199580;1.000011;0.999965;0.000000;0.950000;0.800000;0.950116;
1.002286;-0.199580;1.000011;0.999964;0.000000;0.950000;0.800000;0.950116;
1.002297;-0.199580;1.000011;0.999964;0.000000;0.950000;0.800000;0.950116;
1.002317;-0.199580;1.000011;0.999963;0.000000;0.950000;0.800000;0.950116;
1.002327;-0.199580;1.000011;0.999963;0.000000;0.950000;0.800000;0.950116;
1.002348;-0.199580;1.000011;0.999962;0.000000;0.950000;0.800000;0.950116;
1.002358;-0.199580;1.000011;0.999961;0.000000;0.950000;0.800000;0.950116;
1.002379;-0.199580;1.000011;0.999960;0.000000;0.950000;0.800000;0.950116;
1.002389;-0.199580;1.000011;0.999960;0.000000;0.950000;0.800000;0.950116;
1.002410;-0.199580;1.000011;0.999959;0.000000;0.950000;0.800000;0.950116;
1.002420;-0.199580;1.000011;0.999958;0.000000;0.950000;0.800000;0.950116;
1.002440;-0.199580;1.000011;0.999957;0.000000;0.950000;0.800000;0.950116;
1.002451;-0.199580;1.000011;0.999956;0.000000;0.950000;0.800000;0.950116;
1.002471;-0.199580;1.000011;0.999955;0.000000;0.950000;0.800000;0.950116;
1.002482;-0.199580;1.000011;0.999955;0.000000;0.950000;0.800000;0.950116;
1.002502;-0.199580;1.000011;0.999954;0.000000;0.950000;0.800000;0.950116;
1.002512;-0.199580;1.000011;0.999953;0.000000;0.950000;0.800000;0.950116;
1.002533;-0.199580;1.000011;0.999952;0.000000;0.950000;0.800000;0.950116;
1.002543;-0.199580;1.000011;0.999952;0.000000;0.950000;0.800000;0.950116;
1.002564;-0.199580;1.000011;0.999950;0.000000;0.950000;0.800000;0.950116;
1.002574;-0.199580;1.000011;0.999950;0.000000;0.950000;0.800000;0.950115;
1.002595;-0.199580;1.000011;0.999949;0.000000;0.950000;0.800000;0.950115;
1.002605;-0.199580;1.000011;0.999948;0.000000;0.950000;0.800000;0.950115;
1.002625;-0.199580;1.000011;0.999947;0.000000;0.950000;0.800000;0.950115;
1.002636;-0.199580;1.000011;0.999946;0.000000;0.950000;0.800000;0.950115;
1.002656;-0.199580;1.000011;0.999945;0.000000;0.950000;0.800000;0.950115;
1.002667;-0.199580;1.000011;0.999944;0.000000;0.950000;0.800000;0.950115;
1.002687;-0.199580;1.000011;0.999943;0.000000;0.950000;0.800000;0.950115;
1.002697;-0.199580;1.000011;0.999943;0.000000;0.950000;0.800000;0.950115;
1.002718;-0.199580;1.000011;0.999941;0.000000;0.950000;0.800000;0.950115;
1.002728;-0.199580;1.000011;0.999941;0.000000;0.950000;0.800000;0.950115;
1.002749;-0.199581;1.000011;0.999939;0.000000;0.950000;0.800000;0.950115;
1.002759;-0.199581;1.000011;0.999939;0.000000;0.950000;0.800000;0.950115;
1.002780;-0.199581;1.000011;0.999937;0.000000;0.950000;0.800000;0.950115;
1.002790;-0.199581;1.000011;0.999937;0.000000;0.950000;0.800000;0.950115;
1.002810;-0.199581;1.000011;0.999935;0.000000;0.950000;0.800000;0.950115;
1.002821;-0.199581;1.000011;0.999935;0.000000;0.950000;0.800000;0.950115;
1.002841;-0.199581;1.000011;0.999933;0.000000;0.950000;0.800000;0.950115;
1.002852;-0.199581;1.000011;0.999933;0.000000;0.950000;0.800000;0.950115;
1.002872;-0.199581;1.000011;0.999931;0.000000;0.950000;0.800000;0.950115;
