time;WT4B_WT4B_injector_PInjPu;WT4B_WT4B_injector_QInjPu;WT4B_WT4B_injector_terminal_V_re;WT4B_WT4B_injector_terminal_i_re;WT4B_WT4B_injector_terminal_V_im;WT4B_WT4B_injector_terminal_i_im;
1.010729;0.480949;0.297318;0.646614;-0.801581;0.120239;0.310753;
1.011136;0.484182;0.304192;0.647818;-0.806970;0.121047;0.318779;
1.011136;0.484178;0.304193;0.647818;-0.806963;0.121046;0.318783;
1.011146;0.484258;0.304364;0.647848;-0.807097;0.121066;0.318981;
1.011156;0.484339;0.304534;0.647878;-0.807231;0.121086;0.319180;
1.011176;0.484499;0.304875;0.647937;-0.807498;0.121126;0.319577;
1.011216;0.484819;0.305557;0.648056;-0.808032;0.121206;0.320371;
1.011296;0.485455;0.306920;0.648295;-0.809092;0.121365;0.321959;
1.011456;0.486712;0.309645;0.648771;-0.811187;0.121680;0.325137;
1.011776;0.489168;0.315084;0.649725;-0.815279;0.122294;0.331495;
1.012416;0.493863;0.325905;0.651628;-0.823104;0.123467;0.344181;
1.013696;0.502509;0.347189;0.655382;-0.837515;0.125629;0.369209;
1.014976;0.510309;0.367854;0.659030;-0.850515;0.127579;0.393528;
1.016256;0.517450;0.387726;0.662525;-0.862416;0.129364;0.416830;
1.017536;0.524097;0.406665;0.665832;-0.873495;0.131026;0.438871;
1.018111;0.526967;0.414838;0.667247;-0.878279;0.131744;0.448306;
1.018111;0.526970;0.414836;0.667246;-0.878284;0.131744;0.448301;
1.018111;0.526971;0.414837;0.667246;-0.878284;0.131744;0.448302;
1.018111;0.526971;0.414837;0.667246;-0.878284;0.131744;0.448302;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;
1.018115;0.526990;0.414893;0.667256;-0.878317;0.131749;0.448367;
1.018115;0.526990;0.414893;0.667256;-0.878317;0.131749;0.448367;
1.018125;0.527039;0.415034;0.667280;-0.878398;0.131762;0.448529;
1.018135;0.527088;0.415174;0.667305;-0.878479;0.131774;0.448691;
1.018155;0.527185;0.415455;0.667353;-0.878642;0.131798;0.449015;
1.018195;0.527379;0.416017;0.667451;-0.878964;0.131846;0.449664;
1.018275;0.527763;0.417139;0.667645;-0.879606;0.131943;0.450961;
1.018435;0.528521;0.419382;0.668034;-0.880869;0.132132;0.453556;
1.018755;0.529992;0.423857;0.668813;-0.883321;0.132500;0.458748;
1.019395;0.532766;0.432752;0.670369;-0.887944;0.133193;0.469120;
1.020675;0.537713;0.450267;0.673456;-0.896189;0.134430;0.489701;
1.021955;0.541949;0.467341;0.676490;-0.903248;0.135489;0.509927;
1.024515;0.548889;0.499763;0.682276;-0.914816;0.137224;0.548499;
1.027075;0.554279;0.529575;0.687602;-0.923799;0.138572;0.584005;
1.029635;0.558735;0.556478;0.692378;-0.931225;0.139686;0.615847;
1.032195;0.562724;0.580337;0.696560;-0.937874;0.140683;0.643726;
1.034755;0.566554;0.601160;0.700142;-0.944257;0.141640;0.667601;
1.037315;0.570405;0.619066;0.703144;-0.950675;0.142603;0.687620;
1.039875;0.574364;0.634250;0.705611;-0.957273;0.143593;0.704061;
1.042435;0.578447;0.646959;0.707593;-0.964079;0.144614;0.717277;
1.044995;0.582633;0.657463;0.709150;-0.971055;0.145660;0.727658;
1.047555;0.586875;0.666037;0.710341;-0.978125;0.146721;0.735598;
1.050115;0.591117;0.672952;0.711224;-0.985195;0.147781;0.741481;
1.052675;0.595301;0.678460;0.711850;-0.992169;0.148827;0.745659;
1.057795;0.603251;0.686400;0.712573;-1.005419;0.150815;0.750475;
1.062403;0.609802;0.690715;0.712755;-1.016336;0.152453;0.751691;
1.067011;0.615640;0.693251;0.712674;-1.026066;0.153912;0.751152;
1.071619;0.620717;0.694616;0.712447;-1.034528;0.155181;0.749636;
1.076227;0.625035;0.695260;0.712156;-1.041725;0.156261;0.747699;
1.080835;0.628635;0.695494;0.711857;-1.047725;0.157161;0.745701;
1.085443;0.631584;0.695522;0.711580;-1.052640;0.157898;0.743854;
1.094659;0.635954;0.695451;0.711146;-1.059923;0.158991;0.740963;
1.103875;0.638705;0.695364;0.710864;-1.064508;0.159678;0.739081;
1.113091;0.640350;0.695362;0.710703;-1.067249;0.160090;0.738011;
1.122307;0.641291;0.695433;0.710624;-1.068818;0.160325;0.737485;
1.131523;0.641811;0.695534;0.710592;-1.069685;0.160455;0.737270;
1.140739;0.642093;0.695632;0.710582;-1.070155;0.160525;0.737205;
1.159171;0.642388;0.695759;0.710577;-1.070647;0.160599;0.737167;
1.177603;0.642473;0.695814;0.710578;-1.070789;0.160621;0.737179;
1.196035;0.642488;0.695826;0.710579;-1.070813;0.160624;0.737184;
1.214467;0.642484;0.695821;0.710579;-1.070806;0.160623;0.737181;
1.251331;0.642478;0.695814;0.710578;-1.070797;0.160622;0.737176;
1.288195;0.642472;0.695810;0.710578;-1.070786;0.160620;0.737175;
1.325059;0.642469;0.695810;0.710578;-1.070781;0.160619;0.737177;
1.361923;0.642467;0.695810;0.710578;-1.070779;0.160619;0.737178;
1.435651;0.642467;0.695810;0.710578;-1.070779;0.160619;0.737178;
1.583107;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;
1.878019;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;
2.000000;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;
2.000000;1.000498;1.083567;1.124511;-1.000498;0.150077;0.830063;
2.000010;1.000498;1.083566;1.124511;-1.000498;0.150077;0.830062;
2.000020;1.000500;1.083564;1.124511;-1.000500;0.150077;0.830061;
2.000040;1.000504;1.083559;1.124510;-1.000504;0.150078;0.830056;
2.000080;1.000519;1.083540;1.124507;-1.000519;0.150080;0.830036;
2.000160;1.000581;1.083465;1.124496;-1.000581;0.150089;0.829961;
2.000320;1.000817;1.083167;1.124452;-1.000817;0.150125;0.829667;
2.000457;1.001130;1.082760;1.124392;-1.001130;0.150172;0.829266;
2.000457;1.001130;1.082760;1.124392;-1.001130;0.150172;0.829266;
2.000457;1.001130;1.082760;1.124391;-1.001130;0.150172;0.829265;
2.000457;1.001130;1.082760;1.124391;-1.001130;0.150172;0.829265;
2.000467;1.001157;1.082724;1.124386;-1.001157;0.150176;0.829230;
2.000477;1.001183;1.082688;1.124381;-1.001183;0.150180;0.829195;
2.000497;1.001235;1.082613;1.124370;-1.001235;0.150187;0.829122;
2.000537;1.001335;1.082456;1.124348;-1.001335;0.150202;0.828972;
2.000617;1.001517;1.082108;1.124299;-1.001517;0.150230;0.828650;
2.000777;1.001816;1.081278;1.124189;-1.001816;0.150275;0.827913;
2.001097;1.002162;1.079102;1.123915;-1.002162;0.150326;0.826086;
2.001737;1.001939;1.072827;1.123168;-1.001939;0.150293;0.821109;
2.003017;0.998465;1.053621;1.120978;-0.998465;0.149772;0.806509;
2.004297;0.991647;1.026814;1.117979;-0.991647;0.148749;0.786515;
2.005577;0.982309;0.994033;1.114325;-0.982309;0.147348;0.762157;
2.006857;0.971142;0.956760;1.110160;-0.971142;0.145673;0.734390;
2.008137;0.958706;0.916289;1.105611;-0.958706;0.143808;0.704063;
2.009417;0.945449;0.873723;1.100789;-0.945449;0.141819;0.671918;
2.010598;0.932814;0.833439;1.096187;-0.932814;0.139924;0.641237;
2.010598;0.932804;0.833441;1.096188;-0.932804;0.139922;0.641242;
2.010608;0.932695;0.833096;1.096148;-0.932695;0.139906;0.640977;
2.010618;0.932586;0.832750;1.096108;-0.932586;0.139890;0.640713;
2.010638;0.932368;0.832059;1.096029;-0.932368;0.139857;0.640184;
2.010678;0.931933;0.830678;1.095870;-0.931933;0.139792;0.639128;
2.010758;0.931063;0.827922;1.095554;-0.931063;0.139661;0.637019;
2.010918;0.929324;0.822435;1.094924;-0.929324;0.139401;0.632817;
2.011238;0.925853;0.811556;1.093673;-0.925853;0.138880;0.624477;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;
2.011858;0.919160;0.790841;1.091285;-0.919160;0.137876;0.608559;
2.011868;0.919053;0.790511;1.091247;-0.919053;0.137860;0.608305;
2.011888;0.918837;0.789851;1.091171;-0.918837;0.137828;0.607797;
2.011928;0.918407;0.788533;1.091019;-0.918407;0.137763;0.606782;
2.012008;0.917548;0.785903;1.090715;-0.917548;0.137634;0.604757;
2.012168;0.915832;0.780667;1.090110;-0.915832;0.137377;0.600722;
2.012488;0.912414;0.770292;1.088909;-0.912414;0.136864;0.592718;
2.013128;0.905637;0.749932;1.086547;-0.905637;0.135847;0.576969;
2.014408;0.892369;0.710768;1.081978;-0.892369;0.133857;0.546515;
2.015688;0.879530;0.673656;1.077619;-0.879530;0.131931;0.517454;
2.018248;0.855393;0.605417;1.069518;-0.855393;0.128311;0.463444;
2.020808;0.833417;0.544786;1.062219;-0.833417;0.125014;0.414789;
2.023368;0.813680;0.491245;1.055689;-0.813680;0.122054;0.371257;
2.025928;0.796160;0.444217;1.049883;-0.796160;0.119426;0.332547;
2.027777;0.784829;0.413939;1.046106;-0.784829;0.117726;0.307372;
2.027777;0.784833;0.413939;1.046106;-0.784833;0.117727;0.307371;
2.027778;0.784823;0.413911;1.046103;-0.784823;0.117725;0.307348;
2.027778;0.784823;0.413911;1.046103;-0.784823;0.117725;0.307348;
2.027788;0.784765;0.413756;1.046083;-0.784765;0.117716;0.307219;
2.027798;0.784707;0.413601;1.046064;-0.784707;0.117708;0.307090;
2.027818;0.784591;0.413292;1.046025;-0.784591;0.117690;0.306831;
2.027858;0.784359;0.412676;1.045948;-0.784359;0.117655;0.306317;
2.027938;0.783897;0.411451;1.045795;-0.783897;0.117586;0.305295;
2.028098;0.782980;0.409033;1.045492;-0.782980;0.117449;0.303276;
2.028418;0.781177;0.404321;1.044902;-0.781177;0.117178;0.299343;
2.029058;0.777688;0.395371;1.043781;-0.777688;0.116655;0.291872;
2.030338;0.771150;0.379205;1.041757;-0.771150;0.115674;0.278379;
2.031618;0.765168;0.365147;1.039999;-0.765168;0.114777;0.266658;
2.034178;0.754652;0.342102;1.037124;-0.754652;0.113199;0.247488;
2.036482;0.746680;0.326314;1.035166;-0.746680;0.112004;0.234439;
2.038786;0.739902;0.314141;1.033670;-0.739902;0.110987;0.224464;
2.041090;0.734151;0.304824;1.032538;-0.734151;0.110124;0.216918;
2.043394;0.729273;0.297731;1.031689;-0.729273;0.109392;0.211259;
2.045698;0.725135;0.292360;1.031059;-0.725135;0.108772;0.207055;
2.048002;0.721625;0.288318;1.030595;-0.721625;0.108245;0.203965;
2.050306;0.718644;0.285294;1.030259;-0.718644;0.107798;0.201722;
2.052610;0.716109;0.283049;1.030018;-0.716109;0.107418;0.200119;
2.057218;0.712049;0.280040;1.029715;-0.712049;0.106809;0.198100;
2.061826;0.709076;0.278460;1.029581;-0.709076;0.106363;0.197207;
2.066434;0.706896;0.277710;1.029541;-0.706896;0.106036;0.196936;
2.071042;0.705287;0.277409;1.029546;-0.705287;0.105795;0.196974;
2.075650;0.704087;0.277330;1.029571;-0.704087;0.105615;0.197138;
2.080258;0.703182;0.277348;1.029601;-0.703182;0.105479;0.197336;
2.089474;0.701903;0.277427;1.029650;-0.701903;0.105287;0.197665;
2.098690;0.701141;0.277516;1.029686;-0.701141;0.105173;0.197901;
2.117122;0.700302;0.277605;1.029723;-0.700302;0.105047;0.198151;
2.135554;0.700021;0.277631;1.029735;-0.700021;0.105005;0.198231;
2.153986;0.699957;0.277635;1.029737;-0.699957;0.104995;0.198247;
2.172418;0.699960;0.277638;1.029738;-0.699960;0.104995;0.198250;
2.190850;0.699976;0.277647;1.029739;-0.699976;0.104998;0.198255;
2.227714;0.699993;0.277672;1.029742;-0.699993;0.105000;0.198275;
2.264578;0.700000;0.277699;1.029745;-0.700000;0.105002;0.198299;
2.301442;0.700002;0.277725;1.029749;-0.700002;0.105002;0.198324;
2.338306;0.700002;0.277751;1.029753;-0.700002;0.105002;0.198348;
2.412034;0.700002;0.277801;1.029760;-0.700002;0.105002;0.198396;
2.559490;0.700002;0.277899;1.029774;-0.700002;0.105002;0.198488;
2.854402;0.700002;0.278081;1.029799;-0.700002;0.105002;0.198659;
3.444226;0.700002;0.278394;1.029844;-0.700002;0.105002;0.198955;
4.623874;0.700001;0.278842;1.029907;-0.700001;0.105002;0.199378;
5.803522;0.700001;0.279148;1.029950;-0.700001;0.105002;0.199666;
5.999999;0.700001;0.279170;1.029954;-0.700001;0.105002;0.199688;
5.999999;0.700001;0.279170;1.029954;-0.700001;0.105002;0.199688;
6.000009;0.700001;0.279170;1.029951;-0.700006;0.105030;0.199669;
6.000019;0.700001;0.279170;1.029947;-0.700013;0.105062;0.199647;
6.000039;0.700001;0.279171;1.029941;-0.700025;0.105127;0.199602;
6.000079;0.700001;0.279171;1.029928;-0.700050;0.105257;0.199515;
6.000159;0.700001;0.279171;1.029901;-0.700100;0.105515;0.199339;
6.000319;0.700001;0.279171;1.029848;-0.700200;0.106033;0.198987;
6.000639;0.700001;0.279171;1.029741;-0.700400;0.107068;0.198283;
6.001279;0.700001;0.279171;1.029523;-0.700797;0.109139;0.196874;
6.002559;0.700001;0.279171;1.029076;-0.701583;0.113278;0.194055;
6.005119;0.700001;0.279172;1.028132;-0.703121;0.121550;0.188407;
6.010239;0.700001;0.279173;1.026044;-0.706061;0.138071;0.177075;
6.020479;0.700001;0.279176;1.021073;-0.711391;0.171002;0.154275;
6.040959;0.700001;0.279181;1.007966;-0.719839;0.236298;0.108222;
6.081919;0.700001;0.279190;0.969311;-0.727777;0.363692;0.014963;
6.163839;0.700001;0.279210;0.844820;-0.707626;0.598432;-0.170754;
6.327679;0.700009;0.279279;0.440759;-0.531938;0.936799;-0.496961;
6.409599;0.700003;0.279278;0.187803;-0.387927;1.018131;-0.615981;
6.499999;0.698811;0.278811;-0.098935;-0.203684;1.029685;-0.698236;
6.499999;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500009;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500019;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500039;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500079;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500159;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500319;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.500639;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.501279;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.502559;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.505119;0.700001;0.279286;-0.105002;-0.199797;1.029970;-0.700001;
6.510239;0.700001;0.279287;-0.105002;-0.199798;1.029970;-0.700001;
6.520479;0.700000;0.279289;-0.105002;-0.199800;1.029970;-0.700000;
6.540959;0.700000;0.279293;-0.105002;-0.199804;1.029971;-0.700000;
6.581919;0.700001;0.279301;-0.105002;-0.199811;1.029972;-0.700001;
6.663839;0.700001;0.279316;-0.105002;-0.199826;1.029974;-0.700001;
6.827679;0.700000;0.279344;-0.105002;-0.199852;1.029978;-0.700000;
7.155359;0.700000;0.279393;-0.105002;-0.199897;1.029985;-0.700000;
7.810719;0.700000;0.279463;-0.105001;-0.199964;1.029995;-0.700000;
9.121439;0.700000;0.279534;-0.105001;-0.200031;1.030005;-0.700000;
11.742879;0.700000;0.279561;-0.105001;-0.200056;1.030009;-0.700000;
14.364319;0.700000;0.279549;-0.105001;-0.200046;1.030007;-0.700000;
19.607199;0.700000;0.279521;-0.105001;-0.200019;1.030003;-0.700000;
20.000000;0.700000;0.279519;-0.105001;-0.200017;1.030003;-0.700000;
