time;WTG3_WTG3_injector_PInjPu;WTG3_WTG3_injector_QInjPu;WTG3_WTG3_injector_terminal_V_re;WTG3_WTG3_injector_terminal_i_re;WTG3_WTG3_injector_terminal_V_im;WTG3_WTG3_injector_terminal_i_im;WTG3_WTG3_pll_omegaPLLPu;WTG3_WTG3_wecc_wtgt_PePu;
0.745144;0.699002;0.279495;1.030029;-0.699002;0.104852;0.200191;0.999999;0.699002;
0.798228;0.698939;0.279494;1.030031;-0.698939;0.104842;0.200203;1.000000;0.698939;
0.851313;0.698883;0.279494;1.030033;-0.698883;0.104834;0.200214;1.000000;0.698883;
0.904397;0.698829;0.279493;1.030034;-0.698829;0.104826;0.200225;1.000000;0.698829;
0.957481;0.698773;0.279493;1.030036;-0.698773;0.104817;0.200235;0.999999;0.698773;
1.000000;0.698725;0.279493;1.030037;-0.698725;0.104810;0.200244;0.999999;0.698725;
1.000000;0.419235;0.199395;0.630037;-0.698725;0.104810;0.200244;1.121477;0.419235;
1.000001;0.419240;0.199381;0.630034;-0.698733;0.104811;0.200221;1.121409;0.419240;
1.000002;0.419245;0.199367;0.630030;-0.698741;0.104813;0.200198;1.121342;0.419245;
1.000004;0.419254;0.199340;0.630023;-0.698757;0.104815;0.200151;1.121207;0.419254;
1.000008;0.419273;0.199285;0.630009;-0.698789;0.104820;0.200057;1.120938;0.419273;
1.000016;0.419312;0.199175;0.629981;-0.698853;0.104829;0.199871;1.120401;0.419312;
1.000032;0.419387;0.198958;0.629926;-0.698979;0.104848;0.199502;1.119335;0.419387;
1.000064;0.419537;0.198532;0.629817;-0.699228;0.104886;0.198776;1.117232;0.419537;
1.000128;0.419831;0.197709;0.629606;-0.699718;0.104959;0.197372;1.113139;0.419831;
1.000256;0.420396;0.196176;0.629212;-0.700661;0.105101;0.194745;1.105378;0.420396;
1.000512;0.421456;0.193529;0.628524;-0.702426;0.105365;0.190157;1.091409;0.421456;
1.000560;0.421646;0.193090;0.628408;-0.702744;0.105413;0.189385;1.088994;0.421646;
1.000560;0.421646;0.193090;0.628408;-0.702744;0.105413;0.189385;1.088994;0.421646;
1.000561;0.421650;0.193081;0.628406;-0.702750;0.105414;0.189370;1.088945;0.421650;
1.000562;0.421654;0.193072;0.628404;-0.702756;0.105415;0.189354;1.088896;0.421654;
1.000564;0.421662;0.193054;0.628399;-0.702770;0.105417;0.189323;1.088798;0.421662;
1.000568;0.421677;0.193019;0.628390;-0.702795;0.105421;0.189261;1.088603;0.421677;
1.000576;0.421708;0.192949;0.628371;-0.702847;0.105429;0.189138;1.088213;0.421708;
1.000592;0.421770;0.192810;0.628334;-0.702951;0.105444;0.188894;1.087439;0.421770;
1.000624;0.421894;0.192539;0.628263;-0.703156;0.105475;0.188414;1.085911;0.421894;
1.000688;0.422137;0.192019;0.628124;-0.703562;0.105536;0.187491;1.082938;0.422137;
1.000816;0.422614;0.191065;0.627868;-0.704356;0.105655;0.185781;1.077302;0.422614;
1.001013;0.423324;0.189806;0.627522;-0.705540;0.105833;0.183478;1.069377;0.423324;
1.001013;0.423324;0.189806;0.627522;-0.705540;0.105833;0.183478;1.069377;0.423324;
1.001014;0.423328;0.189800;0.627520;-0.705546;0.105833;0.183467;1.069339;0.423328;
1.001015;0.423331;0.189794;0.627519;-0.705552;0.105834;0.183457;1.069302;0.423331;
1.001017;0.423338;0.189783;0.627516;-0.705564;0.105836;0.183435;1.069226;0.423338;
1.001021;0.423352;0.189760;0.627509;-0.705587;0.105840;0.183393;1.069075;0.423352;
1.001029;0.423381;0.189715;0.627497;-0.705634;0.105847;0.183309;1.068774;0.423381;
1.001045;0.423437;0.189625;0.627472;-0.705728;0.105861;0.183142;1.068176;0.423437;
1.001077;0.423549;0.189452;0.627423;-0.705916;0.105889;0.182816;1.066997;0.423549;
1.001141;0.423773;0.189122;0.627329;-0.706288;0.105945;0.182192;1.064702;0.423773;
1.001269;0.424215;0.188532;0.627158;-0.707025;0.106055;0.181052;1.060353;0.424215;
1.001342;0.424465;0.188233;0.627069;-0.707442;0.106118;0.180460;1.058000;0.424465;
1.001342;0.424465;0.188233;0.627069;-0.707442;0.106118;0.180460;1.058000;0.424465;
1.001343;0.424468;0.188229;0.627068;-0.707447;0.106119;0.180453;1.057969;0.424468;
1.001344;0.424472;0.188226;0.627067;-0.707453;0.106119;0.180445;1.057937;0.424472;
1.001346;0.424479;0.188218;0.627065;-0.707464;0.106121;0.180430;1.057875;0.424479;
1.001350;0.424492;0.188203;0.627060;-0.707487;0.106125;0.180399;1.057750;0.424492;
1.001358;0.424520;0.188173;0.627051;-0.707533;0.106131;0.180338;1.057501;0.424520;
1.001374;0.424574;0.188114;0.627033;-0.707623;0.106145;0.180219;1.057006;0.424574;
1.001406;0.424683;0.188002;0.626999;-0.707805;0.106172;0.179989;1.056029;0.424683;
1.001470;0.424901;0.187801;0.626935;-0.708169;0.106227;0.179564;1.054129;0.424901;
1.001598;0.425339;0.187488;0.626827;-0.708899;0.106336;0.178846;1.050528;0.425339;
1.001854;0.426227;0.187188;0.626686;-0.710378;0.106558;0.177907;1.044054;0.426227;
1.002110;0.427136;0.187302;0.626638;-0.711893;0.106785;0.177587;1.038463;0.427136;
1.002366;0.428072;0.187796;0.626675;-0.713454;0.107020;0.177831;1.033642;0.428072;
1.002622;0.429042;0.188638;0.626789;-0.715071;0.107262;0.178590;1.029492;0.429042;
1.002878;0.430050;0.189801;0.626973;-0.716749;0.107514;0.179817;1.025923;0.430050;
1.003134;0.431097;0.191259;0.627221;-0.718495;0.107776;0.181471;1.022857;0.431097;
1.003390;0.432187;0.192989;0.627528;-0.720312;0.108048;0.183515;1.020227;0.432187;
1.003902;0.434502;0.197163;0.628291;-0.724170;0.108627;0.188604;1.015985;0.434502;
1.004414;0.436997;0.202206;0.629235;-0.728328;0.109251;0.194896;1.012884;0.436997;
1.004926;0.439672;0.208009;0.630332;-0.732787;0.109920;0.202213;1.010650;0.439672;
1.005438;0.442526;0.214476;0.631560;-0.737543;0.110633;0.210399;1.009067;0.442526;
1.005950;0.445540;0.221448;0.632882;-0.742566;0.111386;0.219213;1.007966;0.445540;
1.006462;0.448702;0.228822;0.634276;-0.747836;0.112177;0.228500;1.007220;0.448702;
1.006974;0.452001;0.236524;0.635723;-0.753335;0.113002;0.238147;1.006735;0.452001;
1.007486;0.455427;0.244492;0.637210;-0.759045;0.113858;0.248064;1.006440;0.455427;
1.007998;0.458970;0.252677;0.638727;-0.764951;0.114744;0.258175;1.006280;0.458970;
1.009022;0.466354;0.269474;0.641802;-0.777256;0.116590;0.278675;1.006189;0.466354;
1.010046;0.474077;0.286667;0.644896;-0.790128;0.118521;0.299304;1.006299;0.474077;
1.011070;0.482066;0.304024;0.647965;-0.803444;0.120518;0.319761;1.006496;0.482066;
1.011325;0.484088;0.308346;0.648720;-0.806814;0.121024;0.324796;1.006548;0.484088;
1.011325;0.484089;0.308345;0.648720;-0.806815;0.121024;0.324796;1.006548;0.484089;
1.011326;0.484097;0.308362;0.648723;-0.806828;0.121026;0.324816;1.006548;0.484097;
1.011327;0.484105;0.308380;0.648726;-0.806841;0.121028;0.324836;1.006548;0.484105;
1.011329;0.484121;0.308414;0.648732;-0.806868;0.121032;0.324875;1.006549;0.484121;
1.011333;0.484153;0.308482;0.648744;-0.806921;0.121040;0.324954;1.006550;0.484153;
1.011341;0.484216;0.308618;0.648768;-0.807027;0.121056;0.325112;1.006551;0.484216;
1.011357;0.484344;0.308890;0.648815;-0.807239;0.121088;0.325429;1.006555;0.484344;
1.011389;0.484598;0.309434;0.648910;-0.807663;0.121151;0.326062;1.006561;0.484598;
1.011453;0.485104;0.310521;0.649100;-0.808506;0.121278;0.327326;1.006572;0.485104;
1.011581;0.486107;0.312692;0.649479;-0.810178;0.121528;0.329853;1.006586;0.486107;
1.011837;0.488078;0.317020;0.650235;-0.813464;0.122021;0.334895;1.006586;0.488078;
1.012349;0.491891;0.325619;0.651740;-0.819818;0.122974;0.344926;1.006504;0.491891;
1.013373;0.499042;0.342556;0.654709;-0.831737;0.124762;0.364721;1.006139;0.499042;
1.014397;0.505627;0.359101;0.657613;-0.842711;0.126408;0.384079;1.005630;0.505627;
1.015421;0.511730;0.375193;0.660434;-0.852884;0.127934;0.402887;1.005098;0.511730;
1.016445;0.517436;0.390768;0.663155;-0.862394;0.129361;0.421029;1.004615;0.517436;
1.017469;0.522823;0.405768;0.665762;-0.871372;0.130708;0.438404;1.004214;0.522823;
1.017507;0.523015;0.406310;0.665856;-0.871692;0.130756;0.439031;1.004200;0.523015;
1.017507;0.523016;0.406309;0.665855;-0.871693;0.130756;0.439029;1.004200;0.523016;
1.017507;0.523016;0.406310;0.665856;-0.871694;0.130756;0.439031;1.004200;0.523016;
1.017507;0.523016;0.406310;0.665856;-0.871694;0.130756;0.439031;1.004200;0.523016;
1.017508;0.523021;0.406324;0.665858;-0.871702;0.130757;0.439047;1.004200;0.523021;
1.017509;0.523026;0.406339;0.665860;-0.871711;0.130758;0.439064;1.004199;0.523026;
1.017511;0.523037;0.406367;0.665865;-0.871728;0.130761;0.439097;1.004199;0.523037;
1.017515;0.523057;0.406425;0.665875;-0.871762;0.130766;0.439163;1.004197;0.523057;
1.017523;0.523098;0.406539;0.665895;-0.871829;0.130776;0.439296;1.004194;0.523098;
1.017539;0.523179;0.406769;0.665935;-0.871965;0.130797;0.439560;1.004189;0.523179;
1.017571;0.523342;0.407227;0.666014;-0.872236;0.130837;0.440089;1.004178;0.523342;
1.017635;0.523666;0.408141;0.666173;-0.872777;0.130918;0.441144;1.004156;0.523666;
1.017763;0.524313;0.409961;0.666487;-0.873855;0.131080;0.443243;1.004114;0.524313;
1.018019;0.525595;0.413572;0.667111;-0.875992;0.131401;0.447400;1.004035;0.525595;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018126;0.526124;0.415075;0.667371;-0.876874;0.131533;0.449132;1.004000;0.526124;
1.018127;0.526129;0.415089;0.667373;-0.876882;0.131534;0.449148;1.004000;0.526129;
1.018128;0.526134;0.415103;0.667375;-0.876890;0.131535;0.449164;1.004000;0.526134;
1.018130;0.526144;0.415131;0.667380;-0.876907;0.131538;0.449196;1.003999;0.526144;
1.018134;0.526164;0.415187;0.667390;-0.876940;0.131543;0.449260;1.003998;0.526164;
1.018142;0.526204;0.415298;0.667409;-0.877006;0.131553;0.449388;1.003996;0.526204;
1.018158;0.526283;0.415521;0.667448;-0.877138;0.131573;0.449644;1.003991;0.526283;
1.018190;0.526441;0.415967;0.667524;-0.877402;0.131612;0.450156;1.003982;0.526441;
1.018254;0.526757;0.416857;0.667678;-0.877928;0.131691;0.451179;1.003964;0.526757;
1.018382;0.527381;0.418635;0.667984;-0.878969;0.131847;0.453223;1.003924;0.527381;
1.018638;0.528603;0.422181;0.668597;-0.881005;0.132153;0.457307;1.003835;0.528603;
1.019150;0.530941;0.429233;0.669820;-0.884901;0.132737;0.465459;1.003627;0.530941;
1.020174;0.535223;0.443158;0.672250;-0.892038;0.133807;0.481661;1.003146;0.535223;
1.021198;0.539019;0.456822;0.674653;-0.898365;0.134757;0.497680;1.002632;0.539019;
1.023246;0.545451;0.483196;0.679322;-0.909085;0.136365;0.528805;1.001711;0.545451;
1.025294;0.550605;0.508119;0.683758;-0.917675;0.137653;0.558381;1.001000;0.550605;
1.027342;0.554843;0.531385;0.687902;-0.924739;0.138713;0.586002;1.000535;0.554843;
1.029390;0.558478;0.552842;0.691706;-0.930796;0.139621;0.611363;1.000291;0.558478;
1.031438;0.561755;0.572406;0.695144;-0.936259;0.140441;0.634282;1.000219;0.561755;
1.033486;0.564857;0.590053;0.698205;-0.941429;0.141216;0.654690;1.000269;0.564857;
1.035534;0.567908;0.605810;0.700892;-0.946513;0.141979;0.672607;1.000395;0.567908;
1.037582;0.570983;0.619748;0.703220;-0.951639;0.142748;0.688125;1.000563;0.570983;
1.039630;0.574124;0.631966;0.705209;-0.956873;0.143533;0.701385;1.000746;0.574124;
1.041678;0.577343;0.642585;0.706885;-0.962238;0.144338;0.712559;1.000926;0.577343;
1.043726;0.580634;0.651738;0.708277;-0.967723;0.145160;0.721840;1.001092;0.580634;
1.045774;0.583979;0.659564;0.709415;-0.973298;0.145997;0.729426;1.001235;0.583979;
1.047822;0.587352;0.666203;0.710329;-0.978921;0.146840;0.735516;1.001352;0.587352;
1.049870;0.590726;0.671789;0.711047;-0.984544;0.147684;0.740301;1.001441;0.590726;
1.050502;0.591759;0.673347;0.711238;-0.986264;0.147942;0.741577;1.001464;0.591759;
1.050502;0.591759;0.673347;0.711238;-0.986264;0.147942;0.741577;1.001464;0.591759;
1.050503;0.591759;0.673350;0.711239;-0.986265;0.147942;0.741580;1.001464;0.591759;
1.050504;0.591761;0.673353;0.711239;-0.986268;0.147942;0.741582;1.001464;0.591761;
1.050506;0.591764;0.673357;0.711239;-0.986273;0.147943;0.741586;1.001464;0.591764;
1.050510;0.591771;0.673366;0.711240;-0.986284;0.147945;0.741593;1.001464;0.591771;
1.050518;0.591784;0.673385;0.711243;-0.986306;0.147948;0.741608;1.001464;0.591784;
1.050534;0.591810;0.673422;0.711247;-0.986350;0.147955;0.741637;1.001465;0.591810;
1.050566;0.591862;0.673497;0.711256;-0.986437;0.147968;0.741696;1.001466;0.591862;
1.050630;0.591968;0.673645;0.711274;-0.986613;0.147994;0.741813;1.001468;0.591968;
1.050758;0.592178;0.673938;0.711308;-0.986963;0.148046;0.742044;1.001472;0.592178;
1.051014;0.592597;0.674515;0.711376;-0.987662;0.148151;0.742494;1.001480;0.592597;
1.051526;0.593434;0.675630;0.711503;-0.989056;0.148361;0.743346;1.001494;0.593434;
1.052550;0.595097;0.677711;0.711733;-0.991828;0.148776;0.744874;1.001517;0.595097;
1.053574;0.596743;0.679603;0.711928;-0.994572;0.149188;0.746178;1.001535;0.596743;
1.054598;0.598370;0.681320;0.712093;-0.997283;0.149595;0.747278;1.001546;0.598370;
1.056646;0.601550;0.684291;0.712345;-1.002584;0.150390;0.748954;1.001552;0.601550;
1.058694;0.604622;0.686710;0.712504;-1.007703;0.151157;0.750014;1.001539;0.604622;
1.062790;0.610367;0.690295;0.712627;-1.017278;0.152594;0.750835;1.001470;0.610367;
1.066886;0.615540;0.692544;0.712555;-1.025900;0.153887;0.750358;1.001356;0.615540;
1.070982;0.620110;0.693866;0.712368;-1.033516;0.155030;0.749108;1.001217;0.620110;
1.075078;0.624076;0.694580;0.712124;-1.040127;0.156021;0.747480;1.001066;0.624076;
1.079174;0.627465;0.694920;0.711864;-1.045775;0.156868;0.745747;1.000915;0.627465;
1.083270;0.630321;0.695045;0.711614;-1.050534;0.157582;0.744082;1.000772;0.630321;
1.087366;0.632696;0.695062;0.711389;-1.054494;0.158176;0.742584;1.000641;0.632696;
1.091462;0.634652;0.695036;0.711196;-1.057753;0.158665;0.741297;1.000524;0.634652;
1.095558;0.636246;0.695004;0.711036;-1.060410;0.159064;0.740231;1.000424;0.636246;
1.099654;0.637535;0.694984;0.710908;-1.062559;0.159386;0.739375;1.000339;0.637535;
1.107846;0.639449;0.695000;0.710725;-1.065749;0.159865;0.738154;1.000208;0.639449;
1.115219;0.640563;0.695065;0.710628;-1.067605;0.160143;0.737511;1.000129;0.640563;
1.122592;0.641286;0.695158;0.710575;-1.068810;0.160324;0.737153;1.000076;0.641286;
1.129965;0.641750;0.695258;0.710547;-1.069583;0.160440;0.736973;1.000043;0.641750;
1.137338;0.642048;0.695350;0.710535;-1.070080;0.160514;0.736891;1.000023;0.642048;
1.144710;0.642238;0.695427;0.710531;-1.070397;0.160562;0.736860;1.000010;0.642238;
1.152083;0.642360;0.695487;0.710530;-1.070601;0.160592;0.736855;1.000003;0.642360;
1.159456;0.642439;0.695533;0.710530;-1.070731;0.160612;0.736859;0.999999;0.642439;
1.166829;0.642489;0.695566;0.710531;-1.070815;0.160625;0.736866;0.999996;0.642489;
1.181574;0.642548;0.695610;0.710534;-1.070913;0.160639;0.736882;0.999993;0.642548;
1.194846;0.642567;0.695633;0.710536;-1.070946;0.160644;0.736897;0.999992;0.642567;
1.206159;0.642570;0.695647;0.710538;-1.070951;0.160645;0.736912;0.999992;0.642570;
1.217472;0.642568;0.695659;0.710541;-1.070947;0.160644;0.736928;0.999993;0.642568;
1.228786;0.642563;0.695670;0.710543;-1.070938;0.160643;0.736945;0.999993;0.642563;
1.240099;0.642557;0.695680;0.710546;-1.070928;0.160641;0.736961;0.999993;0.642557;
1.251413;0.642551;0.695689;0.710548;-1.070918;0.160640;0.736977;0.999994;0.642551;
1.262726;0.642545;0.695698;0.710550;-1.070908;0.160638;0.736991;0.999994;0.642545;
1.274040;0.642539;0.695706;0.710552;-1.070899;0.160637;0.737005;0.999995;0.642539;
1.285353;0.642534;0.695714;0.710554;-1.070890;0.160636;0.737017;0.999995;0.642534;
1.296667;0.642529;0.695721;0.710556;-1.070882;0.160635;0.737029;0.999995;0.642529;
1.307980;0.642525;0.695727;0.710558;-1.070875;0.160633;0.737040;0.999996;0.642525;
1.319294;0.642521;0.695733;0.710559;-1.070868;0.160632;0.737050;0.999996;0.642521;
1.330607;0.642517;0.695739;0.710560;-1.070861;0.160631;0.737059;0.999996;0.642517;
1.353234;0.642510;0.695749;0.710563;-1.070850;0.160630;0.737076;0.999997;0.642510;
1.375861;0.642504;0.695757;0.710565;-1.070840;0.160628;0.737090;0.999997;0.642504;
1.398488;0.642499;0.695765;0.710567;-1.070832;0.160627;0.737102;0.999998;0.642499;
1.421115;0.642495;0.695771;0.710568;-1.070825;0.160626;0.737112;0.999998;0.642495;
1.443742;0.642491;0.695776;0.710570;-1.070818;0.160625;0.737121;0.999998;0.642491;
1.466368;0.642488;0.695781;0.710571;-1.070813;0.160624;0.737129;0.999999;0.642488;
1.486733;0.642485;0.695784;0.710572;-1.070809;0.160624;0.737135;0.999999;0.642485;
1.505061;0.642483;0.695787;0.710572;-1.070806;0.160623;0.737140;0.999999;0.642483;
1.523388;0.642482;0.695790;0.710573;-1.070803;0.160623;0.737144;0.999999;0.642482;
1.539883;0.642480;0.695792;0.710574;-1.070801;0.160622;0.737147;0.999999;0.642480;
1.556378;0.642479;0.695794;0.710574;-1.070799;0.160622;0.737150;0.999999;0.642479;
1.572873;0.642478;0.695795;0.710574;-1.070797;0.160622;0.737153;0.999999;0.642478;
1.589368;0.642477;0.695797;0.710575;-1.070795;0.160621;0.737155;0.999999;0.642477;
1.605863;0.642476;0.695798;0.710575;-1.070794;0.160621;0.737157;0.999999;0.642476;
1.622358;0.642475;0.695799;0.710575;-1.070792;0.160621;0.737159;0.999999;0.642475;
1.638853;0.642475;0.695800;0.710576;-1.070791;0.160621;0.737161;1.000000;0.642475;
1.655348;0.642474;0.695801;0.710576;-1.070790;0.160621;0.737162;1.000000;0.642474;
1.671844;0.642474;0.695802;0.710576;-1.070789;0.160621;0.737164;1.000000;0.642474;
1.693036;0.642473;0.695803;0.710576;-1.070788;0.160620;0.737165;1.000000;0.642473;
1.714229;0.642472;0.695803;0.710577;-1.070787;0.160620;0.737167;1.000000;0.642472;
1.735422;0.642472;0.695804;0.710577;-1.070786;0.160620;0.737168;1.000000;0.642472;
1.756615;0.642471;0.695805;0.710577;-1.070786;0.160620;0.737169;1.000000;0.642471;
1.775688;0.642471;0.695805;0.710577;-1.070785;0.160620;0.737170;1.000000;0.642471;
1.792854;0.642471;0.695806;0.710577;-1.070785;0.160620;0.737170;1.000000;0.642471;
1.810020;0.642471;0.695806;0.710577;-1.070784;0.160620;0.737171;1.000000;0.642471;
1.827187;0.642470;0.695806;0.710577;-1.070784;0.160620;0.737171;1.000000;0.642470;
1.844353;0.642470;0.695806;0.710577;-1.070784;0.160620;0.737172;1.000000;0.642470;
1.861519;0.642470;0.695807;0.710577;-1.070784;0.160620;0.737172;1.000000;0.642470;
1.878685;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737172;1.000000;0.642470;
1.895851;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737173;1.000000;0.642470;
1.913017;0.642470;0.695807;0.710577;-1.070783;0.160620;0.737173;1.000000;0.642470;
1.930183;0.642470;0.695807;0.710578;-1.070783;0.160620;0.737173;1.000000;0.642470;
1.947350;0.642470;0.695808;0.710578;-1.070783;0.160620;0.737173;1.000000;0.642470;
1.964516;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988344;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988390;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988390;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988391;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988392;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988394;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988398;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988406;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988422;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988454;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988518;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988646;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.988902;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.989414;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.990438;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.992486;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
1.996582;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
2.000000;0.642469;0.695808;0.710578;-1.070782;0.160620;0.737174;1.000000;0.642469;
2.000000;1.070782;0.990677;1.110578;-1.070782;0.160620;0.737174;0.735424;1.070782;
2.000001;1.070721;0.990766;1.110591;-1.070721;0.160610;0.737263;0.735665;1.070721;
2.000002;1.070660;0.990855;1.110604;-1.070660;0.160601;0.737352;0.735906;1.070660;
2.000004;1.070538;0.991033;1.110631;-1.070538;0.160583;0.737529;0.736388;1.070538;
2.000008;1.070294;0.991386;1.110684;-1.070294;0.160546;0.737883;0.737349;1.070294;
2.000016;1.069809;0.992089;1.110789;-1.069809;0.160474;0.738586;0.739260;1.069809;
2.000032;1.068849;0.993478;1.110998;-1.068849;0.160330;0.739974;0.743042;1.068849;
2.000064;1.066969;0.996186;1.111404;-1.066969;0.160048;0.742683;0.750450;1.066969;
2.000128;1.063364;1.001337;1.112177;-1.063364;0.159507;0.747834;0.764659;1.063364;
2.000256;1.056743;1.010658;1.113575;-1.056743;0.158514;0.757156;0.790823;1.056743;
