time;NETWORK_NGEN_Upu_value;NETWORK_NLOAD_Upu_value;GEN_generator_omegaPu;GEN_generator_PGen;GEN_generator_QGen;GEN_generator_UStatorPu;GEN_voltageRegulator_EfdPu;ElectronicLoad_load_PPu;ElectronicLoad_load_QPu;LOAD_load_PPu;LOAD_load_QPu;
0.008192;1.020952;0.983972;1.000000;605.680655;225.331114;1.040009;2.438272;1.000000;0.000000;5.001241;2.000496;
0.016384;1.020951;0.983971;1.000000;605.679587;225.330731;1.040007;2.438294;1.000000;0.000000;5.001230;2.000492;
0.032768;1.020948;0.983968;1.000000;605.676342;225.329565;1.040004;2.438359;1.000000;0.000000;5.001198;2.000479;
0.065536;1.020939;0.983959;1.000001;605.667502;225.326390;1.039995;2.438537;1.000000;0.000000;5.001110;2.000444;
0.131072;1.020920;0.983941;1.000001;605.648507;225.319567;1.039976;2.438920;1.000000;0.000000;5.000922;2.000369;
0.262144;1.020893;0.983915;1.000003;605.621895;225.310007;1.039949;2.439456;1.000000;0.000000;5.000658;2.000263;
0.393216;1.020884;0.983905;1.000004;605.611950;225.306435;1.039939;2.439657;1.000000;0.000000;5.000559;2.000224;
0.655360;1.020889;0.983910;1.000006;605.617100;225.308285;1.039944;2.439553;1.000000;0.000000;5.000610;2.000244;
1.000000;1.020909;0.983930;1.000010;605.637231;225.315516;1.039965;2.439147;1.000000;0.000000;5.000810;2.000324;
1.000000;0.516994;0.344585;1.000010;751.990029;751.106875;0.640810;5.000000;0.000000;0.000000;0.613356;0.245342;
1.000001;0.516993;0.344590;1.000010;751.993195;751.099208;0.640808;5.000000;0.000000;0.000000;0.613363;0.245345;
1.000002;0.516992;0.344589;1.000010;751.988967;751.094986;0.640806;5.000000;0.000000;0.000000;0.613359;0.245344;
1.000004;0.516989;0.344587;1.000010;751.980059;751.086751;0.640803;5.000000;0.000000;0.000000;0.613352;0.245341;
1.000008;0.516983;0.344583;1.000010;751.963602;751.069651;0.640796;5.000000;0.000000;0.000000;0.613339;0.245335;
1.000016;0.516971;0.344575;1.000010;751.929787;751.035876;0.640781;5.000000;0.000000;0.000000;0.613311;0.245324;
1.000032;0.516948;0.344560;1.000010;751.862175;750.968344;0.640752;5.000000;0.000000;0.000000;0.613256;0.245302;
1.000064;0.516902;0.344529;1.000010;751.727017;750.833347;0.640695;5.000000;0.000000;0.000000;0.613146;0.245258;
1.000128;0.516809;0.344467;1.000010;751.456973;750.563624;0.640580;5.000000;0.000000;0.000000;0.612925;0.245170;
1.000256;0.516624;0.344344;1.000009;750.917966;750.025258;0.640350;5.000000;0.000000;0.000000;0.612486;0.244994;
1.000512;0.516254;0.344097;1.000009;749.844265;748.952833;0.639892;5.000000;0.000000;0.000000;0.611610;0.244644;
1.001024;0.515520;0.343608;1.000008;747.713975;746.825076;0.638982;5.000000;0.000000;0.000000;0.609872;0.243949;
1.002048;0.514073;0.342643;1.000007;743.520802;742.636888;0.637188;5.000000;0.000000;0.000000;0.606452;0.242581;
1.003072;0.512652;0.341696;1.000006;739.416063;738.537028;0.635427;5.000000;0.000000;0.000000;0.603104;0.241242;
1.003373;0.512239;0.341421;1.000006;738.226102;737.348482;0.634915;5.000000;0.000000;0.000000;0.602134;0.240853;
1.003373;0.512239;0.341421;1.000006;738.226102;737.348482;0.634915;5.000000;0.000000;0.000000;0.602134;0.240853;
1.003374;0.512238;0.341420;1.000006;738.222148;737.344533;0.634914;5.000000;0.000000;0.000000;0.602130;0.240852;
1.003375;0.512236;0.341419;1.000006;738.218208;737.340597;0.634912;5.000000;0.000000;0.000000;0.602127;0.240851;
1.003377;0.512234;0.341417;1.000006;738.210321;737.332720;0.634909;5.000000;0.000000;0.000000;0.602121;0.240848;
1.003381;0.512228;0.341414;1.000006;738.194566;737.316983;0.634902;5.000000;0.000000;0.000000;0.602108;0.240843;
1.003389;0.512217;0.341407;1.000006;738.163048;737.285503;0.634888;5.000000;0.000000;0.000000;0.602082;0.240833;
1.003405;0.512195;0.341392;1.000006;738.100028;737.222558;0.634861;5.000000;0.000000;0.000000;0.602031;0.240812;
1.003437;0.512152;0.341363;1.000006;737.974050;737.096730;0.634807;5.000000;0.000000;0.000000;0.601928;0.240771;
1.003501;0.512064;0.341305;1.000006;737.722347;736.845326;0.634699;5.000000;0.000000;0.000000;0.601723;0.240689;
1.003629;0.511890;0.341188;1.000006;737.219944;736.343520;0.634482;5.000000;0.000000;0.000000;0.601313;0.240525;
1.003885;0.511542;0.340957;1.000005;736.219134;735.343901;0.634052;5.000000;0.000000;0.000000;0.600497;0.240199;
1.004397;0.510852;0.340497;1.000005;734.233384;733.360511;0.633196;5.000000;0.000000;0.000000;0.598877;0.239551;
1.005421;0.509490;0.339589;1.000004;730.324389;729.456163;0.631508;5.000000;0.000000;0.000000;0.595689;0.238275;
1.006445;0.508154;0.338698;1.000003;726.497407;725.633731;0.629851;5.000000;0.000000;0.000000;0.592567;0.237027;
1.008493;0.505553;0.336965;1.000001;719.080524;718.225665;0.626628;5.000000;0.000000;0.000000;0.586518;0.234607;
1.009020;0.504899;0.336529;1.000000;717.221231;716.368583;0.625817;5.000000;0.000000;0.000000;0.585001;0.234000;
1.009020;0.504899;0.336529;1.000000;717.221231;716.368583;0.625817;5.000000;0.000000;0.000000;0.585001;0.234000;
1.009021;0.504898;0.336528;1.000000;717.217677;716.365032;0.625816;5.000000;0.000000;0.000000;0.584998;0.233999;
1.009022;0.504897;0.336527;1.000000;717.214171;716.361531;0.625814;5.000000;0.000000;0.000000;0.584995;0.233998;
1.009024;0.504894;0.336525;1.000000;717.207139;716.354507;0.625811;5.000000;0.000000;0.000000;0.584990;0.233996;
1.009028;0.504889;0.336522;1.000000;717.193139;716.340524;0.625805;5.000000;0.000000;0.000000;0.584978;0.233991;
1.009036;0.504879;0.336516;1.000000;717.165101;716.312519;0.625793;5.000000;0.000000;0.000000;0.584955;0.233982;
1.009052;0.504860;0.336502;1.000000;717.109037;716.256522;0.625768;5.000000;0.000000;0.000000;0.584910;0.233964;
1.009084;0.504820;0.336476;1.000000;716.996965;716.144583;0.625720;5.000000;0.000000;0.000000;0.584818;0.233927;
1.009148;0.504741;0.336424;1.000000;716.773044;715.920928;0.625622;5.000000;0.000000;0.000000;0.584635;0.233854;
1.009276;0.504584;0.336319;1.000000;716.326085;715.474501;0.625427;5.000000;0.000000;0.000000;0.584271;0.233708;
1.009532;0.504270;0.336110;1.000000;715.435695;714.585169;0.625038;5.000000;0.000000;0.000000;0.583545;0.233418;
1.010044;0.503647;0.335694;0.999999;713.668911;712.820485;0.624266;5.000000;0.000000;0.000000;0.582104;0.232841;
1.011068;0.502418;0.334875;0.999998;710.190493;709.346202;0.622743;5.000000;0.000000;0.000000;0.579266;0.231707;
1.013116;0.500027;0.333282;0.999996;703.447727;702.611453;0.619779;5.000000;0.000000;0.000000;0.573767;0.229507;
1.017212;0.495501;0.330265;0.999993;690.769332;689.948130;0.614169;5.000000;0.000000;0.000000;0.563426;0.225370;
1.025404;0.487372;0.324847;0.999988;668.291289;667.496810;0.604093;5.000000;0.000000;0.000000;0.545091;0.218037;
1.033596;0.480368;0.320178;0.999984;649.220878;648.449070;0.595412;5.000000;0.000000;0.000000;0.529533;0.211813;
1.041788;0.474344;0.316163;0.999981;633.040525;632.287953;0.587945;5.000000;0.000000;0.000000;0.516331;0.206532;
1.049980;0.469169;0.312714;0.999979;619.301662;618.565422;0.581530;5.000000;0.000000;0.000000;0.505123;0.202049;
1.058172;0.464725;0.309752;0.999977;607.626652;606.904292;0.576023;5.000000;0.000000;0.000000;0.495599;0.198240;
1.066364;0.460913;0.307211;0.999976;597.697837;596.987280;0.571297;5.000000;0.000000;0.000000;0.487500;0.195000;
1.074556;0.457644;0.305032;0.999976;589.249275;588.548762;0.567245;5.000000;0.000000;0.000000;0.480609;0.192244;
1.090940;0.452369;0.301516;0.999977;575.745156;575.060697;0.560707;5.000000;0.000000;0.000000;0.469606;0.187842;
1.100000;0.450059;0.299976;0.999978;569.878909;569.201424;0.557842;5.000000;0.000000;0.000000;0.464812;0.185925;
1.100000;0.893994;0.862257;0.999978;458.197687;170.046023;0.910410;5.000000;0.700000;0.000000;3.840483;1.536193;
1.100001;0.893996;0.862259;0.999978;458.199638;170.046742;0.910413;5.000000;0.700000;0.000000;3.840502;1.536201;
1.100002;0.893998;0.862261;0.999978;458.201594;170.047447;0.910415;5.000000;0.700000;0.000000;3.840521;1.536209;
1.100004;0.894003;0.862266;0.999978;458.205503;170.048863;0.910419;5.000000;0.700000;0.000000;3.840560;1.536224;
1.100008;0.894011;0.862275;0.999979;458.213328;170.051676;0.910428;5.000000;0.700000;0.000000;3.840638;1.536255;
1.100016;0.894029;0.862292;0.999979;458.228972;170.057315;0.910446;5.000000;0.700000;0.000000;3.840793;1.536317;
1.100032;0.894065;0.862327;0.999979;458.260256;170.068591;0.910482;5.000000;0.700000;0.000000;3.841103;1.536441;
1.100064;0.894136;0.862397;0.999979;458.322805;170.091135;0.910554;5.000000;0.700000;0.000000;3.841724;1.536690;
1.100128;0.894278;0.862536;0.999979;458.447827;170.136197;0.910698;5.000000;0.700000;0.000000;3.842965;1.537186;
1.100256;0.894562;0.862814;0.999979;458.697571;170.226215;0.910986;5.000000;0.700000;0.000000;3.845443;1.538177;
1.100512;0.895128;0.863368;0.999979;459.195859;170.405823;0.911559;5.000000;0.700000;0.000000;3.850388;1.540155;
1.100675;0.895487;0.863720;0.999979;459.512144;170.519832;0.911922;5.000000;0.700000;0.000000;3.853527;1.541411;
1.100675;0.895487;0.863720;0.999979;459.512144;170.519832;0.911922;5.000000;0.700000;0.000000;3.853527;1.541411;
1.100676;0.895490;0.863722;0.999979;459.514084;170.520531;0.911924;4.999956;0.700000;0.000000;3.853546;1.541418;
1.100677;0.895492;0.863725;0.999979;459.516023;170.521230;0.911927;4.999912;0.700000;0.000000;3.853565;1.541426;
1.100679;0.895496;0.863729;0.999979;459.519901;170.522628;0.911931;4.999823;0.700000;0.000000;3.853604;1.541442;
1.100683;0.895505;0.863737;0.999979;459.527658;170.525424;0.911940;4.999644;0.700000;0.000000;3.853681;1.541472;
1.100691;0.895523;0.863755;0.999979;459.543170;170.531016;0.911958;4.999288;0.700000;0.000000;3.853835;1.541534;
1.100707;0.895558;0.863789;0.999979;459.574190;170.542197;0.911993;4.998575;0.700000;0.000000;3.854143;1.541657;
1.100739;0.895628;0.863858;0.999979;459.636209;170.564553;0.912065;4.997150;0.700000;0.000000;3.854758;1.541903;
1.100803;0.895769;0.863996;0.999979;459.760166;170.609237;0.912207;4.994302;0.700000;0.000000;3.855988;1.542395;
1.100931;0.896050;0.864271;0.999979;460.007763;170.698490;0.912491;4.988614;0.700000;0.000000;3.858445;1.543378;
1.101187;0.896610;0.864820;0.999980;460.501683;170.876543;0.913058;4.977272;0.700000;0.000000;3.863347;1.545339;
1.101699;0.897724;0.865911;0.999980;461.484443;171.230841;0.914186;4.954727;0.700000;0.000000;3.873100;1.549240;
1.102723;0.899925;0.868066;0.999981;463.429799;171.932254;0.916413;4.910181;0.700000;0.000000;3.892405;1.556962;
1.104771;0.904221;0.872274;0.999983;467.241030;173.306748;0.920761;4.823219;0.700000;0.000000;3.930227;1.572091;
1.108867;0.912408;0.880291;0.999988;474.554895;175.945614;0.929049;4.657471;0.700000;0.000000;4.002807;1.601123;
1.117059;0.927294;0.894864;0.999995;488.020963;180.808006;0.944118;4.356088;0.700000;0.000000;4.136439;1.654576;
1.125251;0.940359;0.907651;1.000002;500.018048;185.143480;0.957345;4.091551;0.700000;0.000000;4.255475;1.702190;
1.141635;0.962034;0.928859;1.000013;520.292325;192.478339;0.979292;3.652612;0.700000;0.000000;4.456680;1.782672;
1.156380;0.977178;0.943671;1.000022;534.730339;197.706604;0.994627;3.345904;0.700000;0.000000;4.599955;1.839982;
1.171126;0.989110;0.955339;1.000029;546.261729;201.883841;1.006711;3.104212;0.700000;0.000000;4.714267;1.885707;
1.185872;0.998483;0.964504;1.000035;555.420811;205.204382;1.016206;2.914326;0.700000;0.000000;4.805106;1.922042;
1.200617;1.005845;0.971701;1.000040;562.674694;207.835345;1.023663;2.765192;0.700000;0.000000;4.877081;1.950833;
1.215363;1.011630;0.977356;1.000045;568.412490;209.917053;1.029522;2.647998;0.700000;0.000000;4.934023;1.973609;
1.230108;1.016183;0.981806;1.000049;572.950993;211.564032;1.034133;2.555775;0.700000;0.000000;4.979072;1.991629;
1.244854;1.019772;0.985314;1.000052;576.543440;212.867895;1.037769;2.483070;0.700000;0.000000;5.014740;2.005896;
1.259600;1.022607;0.988085;1.000055;579.390585;213.901365;1.040641;2.425630;0.700000;0.000000;5.043012;2.017205;
1.274345;1.024852;0.990279;1.000058;581.650907;214.721887;1.042915;2.380143;0.700000;0.000000;5.065458;2.026183;
1.303836;1.028146;0.993498;1.000063;584.976652;215.929030;1.046251;2.313418;0.700000;0.000000;5.098543;2.039417;
1.333328;1.030242;0.995547;1.000068;587.097778;216.699327;1.048375;2.270943;0.700000;0.000000;5.119583;2.047833;
1.362819;1.031557;0.996832;1.000072;588.430409;217.183353;1.049707;2.244305;0.700000;0.000000;5.132800;2.053120;
1.392310;1.032371;0.997626;1.000076;589.255767;217.483036;1.050531;2.227828;0.700000;0.000000;5.140990;2.056396;
1.421801;1.032862;0.998106;1.000079;589.754401;217.664021;1.051028;2.217883;0.700000;0.000000;5.145939;2.058376;
1.480784;1.033347;0.998581;1.000087;590.247580;217.842732;1.051520;2.208037;0.700000;0.000000;5.150846;2.060338;
1.539766;1.033370;0.998603;1.000094;590.271093;217.851397;1.051543;2.207582;0.700000;0.000000;5.151071;2.060429;
1.598748;1.033143;0.998381;1.000101;590.039845;217.767536;1.051312;2.212210;0.700000;0.000000;5.148769;2.059508;
1.657731;1.032779;0.998025;1.000108;589.670182;217.633252;1.050943;2.219586;0.700000;0.000000;5.145101;2.058040;
1.775696;1.031899;0.997165;1.000123;588.777099;217.308811;1.050053;2.237383;0.700000;0.000000;5.136255;2.054502;
1.893660;1.030915;0.996204;1.000138;587.779375;216.946586;1.049055;2.257340;0.700000;0.000000;5.126344;2.050538;
2.011625;1.029943;0.995254;1.000154;586.795080;216.589237;1.048070;2.277046;0.700000;0.000000;5.116568;2.046627;
2.129590;1.029049;0.994380;1.000171;585.889941;216.260592;1.047164;2.295162;0.700000;0.000000;5.107587;2.043035;
2.247555;1.028262;0.993611;1.000189;585.094331;215.971722;1.046367;2.311094;0.700000;0.000000;5.099695;2.039878;
2.365520;1.027591;0.992956;1.000207;584.416445;215.725611;1.045688;2.324677;0.700000;0.000000;5.092971;2.037189;
2.601449;1.026559;0.991947;1.000245;583.373574;215.347077;1.044643;2.345573;0.700000;0.000000;5.082636;2.033055;
2.837379;1.025870;0.991274;1.000284;582.678557;215.094750;1.043945;2.359535;0.700000;0.000000;5.075737;2.030295;
3.073308;1.025434;0.990848;1.000323;582.238980;214.935158;1.043504;2.368370;0.700000;0.000000;5.071373;2.028549;
3.309238;1.025171;0.990590;1.000363;581.973610;214.838836;1.043237;2.373701;0.700000;0.000000;5.068741;2.027496;
3.781097;1.024894;0.990320;1.000442;581.694452;214.737556;1.042957;2.379307;0.700000;0.000000;5.065975;2.026390;
4.252956;1.024869;0.990296;1.000520;581.669611;214.728534;1.042932;2.379806;0.700000;0.000000;5.065728;2.026291;
4.724816;1.024863;0.990290;1.000597;581.663407;214.726291;1.042926;2.379931;0.700000;0.000000;5.065667;2.026267;
5.000000;1.024864;0.990290;1.000641;581.663941;214.726481;1.042926;2.379920;0.700000;0.000000;5.065672;2.026269;
