time;WPP3_WPP3_injector_PInjPu;WPP3_WPP3_injector_QInjPu;WPP3_WPP3_injector_terminal_V_re;WPP3_WPP3_injector_terminal_i_re;WPP3_WPP3_injector_terminal_V_im;WPP3_WPP3_injector_terminal_i_im;WPP3_WPP3_pll_omegaPLLPu;WPP3_WPP3_wecc_wtgt_PePu;
1.007394;0.455633;0.243081;0.636888;-0.759378;0.113913;0.245848;1.006526;0.455627;
1.007906;0.459163;0.251228;0.638399;-0.765261;0.114796;0.255921;1.006337;0.459157;
1.008930;0.466526;0.267972;0.641467;-0.777531;0.116636;0.276372;1.006209;0.466519;
1.009954;0.474236;0.285136;0.644559;-0.790381;0.118564;0.296986;1.006301;0.474229;
1.010978;0.482220;0.302486;0.647630;-0.803687;0.120560;0.317455;1.006492;0.482212;
1.011268;0.484517;0.307396;0.648489;-0.807516;0.121134;0.323180;1.006550;0.484509;
1.011268;0.484517;0.307396;0.648489;-0.807516;0.121134;0.323179;1.006550;0.484510;
1.011269;0.484525;0.307413;0.648492;-0.807530;0.121136;0.323199;1.006550;0.484518;
1.011270;0.484533;0.307430;0.648495;-0.807543;0.121138;0.323219;1.006550;0.484526;
1.011272;0.484549;0.307464;0.648501;-0.807569;0.121142;0.323258;1.006551;0.484542;
1.011276;0.484581;0.307532;0.648513;-0.807623;0.121150;0.323338;1.006552;0.484574;
1.011284;0.484645;0.307668;0.648536;-0.807729;0.121166;0.323496;1.006553;0.484637;
1.011300;0.484772;0.307940;0.648584;-0.807941;0.121198;0.323813;1.006557;0.484765;
1.011332;0.485027;0.308484;0.648679;-0.808365;0.121261;0.324446;1.006563;0.485019;
1.011396;0.485533;0.309572;0.648869;-0.809209;0.121388;0.325711;1.006574;0.485525;
1.011524;0.486536;0.311744;0.649248;-0.810881;0.121639;0.328240;1.006588;0.486529;
1.011780;0.488509;0.316074;0.650005;-0.814169;0.122132;0.333287;1.006588;0.488501;
1.012292;0.492322;0.324678;0.651512;-0.820524;0.123085;0.343330;1.006504;0.492315;
1.013316;0.499471;0.341630;0.654486;-0.832439;0.124872;0.363158;1.006135;0.499463;
1.014340;0.506049;0.358197;0.657397;-0.843400;0.126516;0.382559;1.005620;0.506040;
1.015364;0.512141;0.374316;0.660226;-0.853553;0.128039;0.401420;1.005083;0.512132;
1.016388;0.517832;0.389923;0.662957;-0.863038;0.129462;0.419623;1.004594;0.517823;
