time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
1.011524;0.486532;0.311745;0.649238;-0.810886;0.121635;0.328250;1.006588;
1.011780;0.488504;0.316075;0.649995;-0.814174;0.122128;0.333297;1.006588;
1.012292;0.492318;0.324678;0.651502;-0.820529;0.123081;0.343340;1.006504;
1.013316;0.499466;0.341630;0.654476;-0.832444;0.124868;0.363167;1.006135;
1.014340;0.506043;0.358196;0.657386;-0.843405;0.126513;0.382568;1.005620;
1.015364;0.512135;0.374314;0.660215;-0.853558;0.128035;0.401427;1.005083;
1.016388;0.517826;0.389920;0.662945;-0.863043;0.129458;0.419630;1.004594;
1.017379;0.523026;0.404476;0.665479;-0.871710;0.130758;0.436517;1.004200;
1.017379;0.523026;0.404475;0.665478;-0.871711;0.130758;0.436516;1.004200;
1.017379;0.523027;0.404476;0.665478;-0.871711;0.130759;0.436517;1.004200;
1.017380;0.523032;0.404491;0.665481;-0.871720;0.130760;0.436534;1.004200;
1.017381;0.523037;0.404505;0.665483;-0.871728;0.130761;0.436550;1.004199;
1.017383;0.523047;0.404534;0.665488;-0.871745;0.130764;0.436584;1.004199;
1.017387;0.523068;0.404592;0.665498;-0.871779;0.130769;0.436650;1.004197;
1.017395;0.523108;0.404707;0.665518;-0.871847;0.130779;0.436784;1.004194;
1.017411;0.523190;0.404937;0.665558;-0.871983;0.130799;0.437051;1.004189;
1.017443;0.523352;0.405398;0.665638;-0.872254;0.130840;0.437583;1.004177;
1.017507;0.523677;0.406317;0.665798;-0.872794;0.130921;0.438646;1.004155;
1.017635;0.524323;0.408147;0.666115;-0.873871;0.131082;0.440762;1.004111;
1.017891;0.525604;0.411779;0.666744;-0.876007;0.131403;0.444952;1.004029;
1.017980;0.526046;0.413038;0.666962;-0.876743;0.131513;0.446404;1.004000;
1.017981;0.526051;0.413052;0.666964;-0.876752;0.131515;0.446420;1.004000;
1.017982;0.526056;0.413066;0.666966;-0.876760;0.131516;0.446437;1.004000;
1.017984;0.526066;0.413094;0.666971;-0.876777;0.131518;0.446469;1.003999;
1.017988;0.526086;0.413150;0.666981;-0.876810;0.131523;0.446534;1.003998;
1.017996;0.526125;0.413263;0.667000;-0.876876;0.131533;0.446663;1.003995;
1.018012;0.526205;0.413487;0.667039;-0.877008;0.131553;0.446922;1.003991;
1.018044;0.526363;0.413936;0.667117;-0.877272;0.131593;0.447438;1.003981;
1.018108;0.526679;0.414831;0.667271;-0.877799;0.131672;0.448468;1.003963;
