time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
6.001869;0.368536;-0.133252;0.737224;0.730665;0.098128;-0.471390;-0.245678;1.061069;0.330000;
6.002418;0.368948;-0.131172;0.737991;0.731431;0.098185;-0.471844;-0.242675;1.044906;0.330000;
6.003093;0.369649;-0.127653;0.739285;0.732722;0.098284;-0.472615;-0.237612;1.027182;0.330000;
6.003093;0.369643;-0.127654;0.739285;0.732723;0.098282;-0.472607;-0.237610;1.027182;0.330000;
6.003462;0.370026;-0.125749;0.739982;0.733419;0.098336;-0.473030;-0.234879;1.017444;0.330000;
6.003837;0.370479;-0.123520;0.740797;0.734233;0.098402;-0.473529;-0.231692;1.008572;0.335593;
6.003837;0.370476;-0.123520;0.740797;0.734233;0.098401;-0.473525;-0.231691;1.008294;0.330000;
6.004217;0.370940;-0.121245;0.741627;0.735060;0.098468;-0.474036;-0.228448;1.000000;0.349595;
6.004678;0.371567;-0.118215;0.742728;0.736159;0.098561;-0.474728;-0.224142;1.000000;0.556826;
6.004678;0.371564;-0.118215;0.742728;0.736160;0.098560;-0.474724;-0.224142;1.000000;0.556826;
6.005073;0.372114;-0.115576;0.743684;0.737113;0.098642;-0.475331;-0.220405;1.000000;0.733197;
6.005408;0.372616;-0.113206;0.744541;0.737967;0.098718;-0.475885;-0.217062;1.000000;0.845888;
6.005408;0.372613;-0.113206;0.744541;0.737967;0.098717;-0.475881;-0.217061;1.000000;0.869574;
6.005421;0.372632;-0.113115;0.744574;0.738000;0.098720;-0.475903;-0.216933;1.000000;0.873667;
6.005421;0.372632;-0.113115;0.744574;0.738000;0.098720;-0.475903;-0.216933;1.000000;0.874855;
6.005421;0.372633;-0.113112;0.744575;0.738001;0.098720;-0.475903;-0.216928;1.000000;0.874988;
6.005421;0.372633;-0.113112;0.744575;0.738001;0.098720;-0.475903;-0.216928;1.000000;0.875033;
6.005421;0.372633;-0.113112;0.744575;0.738001;0.098720;-0.475903;-0.216928;1.000000;0.875036;
6.005667;0.373002;-0.111371;0.745202;0.738627;0.098777;-0.476312;-0.214479;1.000000;0.949722;
6.005667;0.373002;-0.111371;0.745202;0.738627;0.098777;-0.476311;-0.214478;1.000000;0.949727;
6.005728;0.373096;-0.110928;0.745362;0.738786;0.098791;-0.476416;-0.213856;1.000000;0.949395;
6.005728;0.373096;-0.110928;0.745362;0.738786;0.098791;-0.476415;-0.213856;1.000000;0.949399;
6.005728;0.373096;-0.110928;0.745362;0.738786;0.098791;-0.476415;-0.213856;1.000000;1.000000;
6.006120;0.373875;-0.106941;0.746796;0.740219;0.098899;-0.477264;-0.208239;1.000000;1.000000;
6.006903;0.375625;-0.097950;0.750010;0.743429;0.099140;-0.479169;-0.195654;1.000000;1.000000;
6.008471;0.379555;-0.078054;0.757017;0.750424;0.099696;-0.483436;-0.168239;1.000000;1.000000;
6.010038;0.383674;-0.057848;0.763993;0.757379;0.100306;-0.487907;-0.140997;1.000000;1.000000;
6.013172;0.391109;-0.024124;0.775331;0.768656;0.101517;-0.496024;-0.096895;1.000000;1.000000;
6.014313;0.393396;-0.014992;0.778335;0.771631;0.101935;-0.498557;-0.085290;1.000000;1.000000;
6.014313;0.393381;-0.014993;0.778335;0.771632;0.101930;-0.498538;-0.085286;1.000000;1.000000;
6.014804;0.394519;-0.010060;0.779951;0.773236;0.102125;-0.499782;-0.079018;1.000000;1.000000;
6.015787;0.396845;0.000056;0.783243;0.776505;0.102522;-0.502319;-0.066249;1.000000;1.000000;
6.017752;0.401477;0.019963;0.789640;0.782851;0.103325;-0.507366;-0.041465;1.000000;1.000000;
6.021683;0.409808;0.053418;0.800147;0.793246;0.104859;-0.516498;-0.000934;1.000000;1.000000;
6.025614;0.416965;0.078978;0.807971;0.800949;0.106293;-0.524439;0.029008;1.000000;1.000000;
6.029544;0.422925;0.096827;0.813320;0.806170;0.107609;-0.531177;0.049205;1.000000;1.000000;
6.033475;0.427872;0.108199;0.816661;0.809379;0.108821;-0.536910;0.061494;1.000000;1.000000;
6.037406;0.432053;0.114674;0.818513;0.811094;0.109955;-0.541887;0.067922;1.000000;1.000000;
6.041337;0.435703;0.117756;0.819344;0.811786;0.111032;-0.546341;0.070331;1.000000;1.000000;
6.045268;0.439014;0.118680;0.819530;0.811831;0.112074;-0.550461;0.070197;1.000000;1.000000;
6.049198;0.442127;0.118365;0.819345;0.811502;0.113094;-0.554385;0.068599;1.000000;1.000000;
6.057060;0.448123;0.116335;0.818551;0.810417;0.115108;-0.562005;0.063724;1.000000;1.000000;
6.064921;0.454117;0.114304;0.817751;0.809320;0.117122;-0.569618;0.058801;1.000000;1.000000;
6.072783;0.460155;0.112641;0.817055;0.808323;0.119138;-0.577270;0.054269;1.000000;1.000000;
6.088506;0.472373;0.110346;0.815954;0.806603;0.123181;-0.592702;0.046289;1.000000;1.000000;
6.104229;0.484619;0.108503;0.814968;0.804977;0.127220;-0.608142;0.038678;1.000000;1.000000;
6.112575;0.491104;0.107590;0.814464;0.804117;0.129357;-0.616313;0.034654;1.000000;1.000000;
6.112575;0.491127;0.107647;0.814472;0.804133;0.129362;-0.616339;0.034716;1.000000;1.000000;
6.118646;0.494109;0.106774;0.814094;0.803589;0.130360;-0.620114;0.032275;1.000000;1.000000;
6.130789;0.496902;0.104962;0.813431;0.802759;0.131330;-0.623691;0.028717;1.000000;1.000000;
6.142932;0.498224;0.103193;0.812834;0.802074;0.131820;-0.625421;0.025870;1.000000;1.000000;
6.167217;0.499058;0.099741;0.811732;0.800893;0.132211;-0.626610;0.021096;1.000000;1.000000;
6.191503;0.499322;0.096339;0.810664;0.799777;0.132415;-0.627082;0.016635;1.000000;1.000000;
6.240074;0.499437;0.089760;0.808605;0.797646;0.132680;-0.627496;0.008154;1.000000;1.000000;
6.249999;0.499443;0.088508;0.808213;0.797240;0.132725;-0.627554;0.006542;1.000000;1.000000;
6.249999;0.681050;0.086811;1.093965;1.086567;0.127005;-0.627555;0.006542;1.000000;1.000000;
6.250073;0.681031;0.086968;1.094004;1.086608;0.126996;-0.627532;0.006694;1.000000;1.000000;
6.250220;0.680891;0.087004;1.094016;1.086624;0.126959;-0.627402;0.006764;1.000000;1.000000;
6.250368;0.680653;0.086772;1.093963;1.086577;0.126905;-0.627191;0.006606;1.000000;1.000000;
6.250664;0.679813;0.085294;1.093612;1.086244;0.126733;-0.626472;0.005431;1.000000;1.000000;
6.250960;0.678637;0.082867;1.093031;1.085686;0.126504;-0.625479;0.003446;1.000000;1.000000;
6.251551;0.675142;0.074692;1.091059;1.083776;0.125849;-0.622561;-0.003374;1.000000;1.000000;
6.252142;0.670697;0.063662;1.088381;1.081175;0.125035;-0.618873;-0.012689;1.000000;1.000000;
6.252683;0.665411;0.049728;1.084971;1.077852;0.124092;-0.614516;-0.024613;1.000000;1.000000;
