time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
4.914643;0.997982;4.021218;0.853852;0.991578;
4.976449;0.997986;4.021253;0.854258;0.991633;
5.038255;0.997990;4.021289;0.854660;0.991692;
5.100061;0.997995;4.021325;0.855061;0.991753;
5.161867;0.997999;4.021361;0.855458;0.991817;
5.223673;0.998004;4.021399;0.855854;0.991884;
5.285479;0.998009;4.021436;0.856246;0.991954;
5.347285;0.998013;4.021474;0.856636;0.992026;
5.409091;0.998018;4.021513;0.857024;0.992102;
5.470897;0.998023;4.021551;0.857409;0.992180;
5.532703;0.998028;4.021591;0.857791;0.992261;
5.594509;0.998033;4.021630;0.858171;0.992345;
5.656315;0.998038;4.021670;0.858549;0.992431;
5.718121;0.998043;4.021710;0.858924;0.992521;
5.779927;0.998048;4.021751;0.859297;0.992612;
5.841733;0.998053;4.021791;0.859667;0.992707;
5.903539;0.998058;4.021832;0.860035;0.992804;
5.965345;0.998063;4.021873;0.860400;0.992904;
6.027150;0.998068;4.021915;0.860763;0.993007;
6.088956;0.998073;4.021957;0.861124;0.993112;
6.150762;0.998078;4.021999;0.861482;0.993219;
6.212568;0.998084;4.022041;0.861839;0.993330;
6.274374;0.998089;4.022083;0.862192;0.993442;
6.336180;0.998094;4.022121;0.862544;0.993558;
6.397986;0.998100;4.022170;0.862893;0.993676;
6.459792;0.998105;4.022209;0.863240;0.993796;
6.521598;0.998110;4.022256;0.863585;0.993919;
6.583404;0.998116;4.022297;0.863927;0.994044;
6.645210;0.998121;4.022343;0.864267;0.994172;
6.707016;0.998127;4.022384;0.864605;0.994302;
6.768822;0.998132;4.022430;0.864941;0.994434;
6.830628;0.998137;4.022474;0.865275;0.994569;
6.864616;0.998190;4.022498;0.865457;0.994644;
6.864616;0.998140;4.022498;0.865457;0.994644;
6.864617;0.998140;4.022498;0.865457;0.994644;
6.864618;0.998140;4.022498;0.865457;0.994644;
6.864620;0.998140;4.022498;0.865457;0.994644;
6.864624;0.998140;4.022498;0.865457;0.994644;
6.864632;0.998140;4.022498;0.865457;0.994644;
6.864648;0.998140;4.022498;0.865457;0.994644;
6.864680;0.998140;4.022498;0.865457;0.994644;
6.864744;0.998140;4.022498;0.865458;0.994644;
6.864872;0.998140;4.022498;0.865458;0.994645;
6.865128;0.998140;4.022498;0.865460;0.994645;
6.865640;0.998141;4.022499;0.865463;0.994646;
6.866664;0.998141;4.022499;0.865468;0.994649;
6.868712;0.998141;4.022501;0.865479;0.994653;
6.872808;0.998141;4.022504;0.865501;0.994662;
6.881000;0.998142;4.022509;0.865545;0.994681;
6.897384;0.998143;4.022521;0.865630;0.994717;
6.913768;0.998145;4.022536;0.865713;0.994754;
6.930152;0.998146;4.022552;0.865791;0.994791;
6.946536;0.998147;4.022567;0.865866;0.994828;
6.962920;0.998149;4.022581;0.865935;0.994865;
6.979304;0.998150;4.022594;0.865998;0.994903;
6.995688;0.998151;4.022606;0.866055;0.994940;
7.012072;0.998152;4.022618;0.866106;0.994978;
7.028456;0.998153;4.022628;0.866150;0.995016;
7.044840;0.998154;4.022638;0.866188;0.995053;
7.077608;0.998156;4.022623;0.866245;0.995129;
7.107099;0.998158;4.022637;0.866274;0.995197;
7.136591;0.998159;4.022648;0.866282;0.995265;
7.166082;0.998160;4.022658;0.866272;0.995334;
7.195573;0.998161;4.022665;0.866243;0.995402;
7.225064;0.998162;4.022670;0.866197;0.995470;
7.254555;0.998162;4.022672;0.866134;0.995538;
7.284047;0.998162;4.022672;0.866057;0.995605;
7.313538;0.998162;4.022670;0.865965;0.995673;
7.343029;0.998161;4.022665;0.865860;0.995740;
7.372520;0.998160;4.022657;0.865743;0.995806;
7.402011;0.998159;4.022648;0.865614;0.995872;
7.460994;0.998156;4.022624;0.865329;0.996003;
7.514078;0.998153;4.022597;0.865042;0.996119;
7.567162;0.998149;4.022564;0.864730;0.996233;
7.620246;0.998144;4.022528;0.864398;0.996345;
7.673330;0.998139;4.022487;0.864049;0.996455;
7.726415;0.998134;4.022444;0.863685;0.996563;
7.779499;0.998128;4.022399;0.863310;0.996668;
7.832583;0.998122;4.022353;0.862924;0.996771;
7.885667;0.998117;4.022371;0.862531;0.996872;
7.938751;0.998111;4.022356;0.862133;0.996970;
7.991835;0.998103;4.022314;0.861729;0.997066;
8.044920;0.998095;4.022255;0.861322;0.997159;
8.098004;0.998087;4.022186;0.860913;0.997250;
8.151088;0.998080;4.022111;0.860503;0.997338;
8.204172;0.998073;4.022036;0.860093;0.997424;
8.252277;0.998073;4.021970;0.859721;0.997500;
8.252277;0.998052;4.021789;0.859721;0.997500;
8.252278;0.998052;4.021789;0.859721;0.997500;
8.252279;0.998052;4.021789;0.859721;0.997500;
8.252281;0.998052;4.021789;0.859721;0.997500;
8.252285;0.998052;4.021789;0.859721;0.997500;
8.252293;0.998052;4.021789;0.859721;0.997500;
8.252309;0.998052;4.021789;0.859721;0.997500;
8.252325;0.998052;4.021789;0.859721;0.997500;
8.252357;0.998052;4.021789;0.859721;0.997500;
8.252421;0.998052;4.021789;0.859720;0.997500;
8.252549;0.998052;4.021789;0.859719;0.997500;
8.252805;0.998052;4.021789;0.859717;0.997501;
8.253317;0.998052;4.021789;0.859713;0.997502;
8.254341;0.998052;4.021788;0.859705;0.997503;
8.256389;0.998052;4.021787;0.859690;0.997506;
8.260485;0.998052;4.021785;0.859658;0.997513;
8.268677;0.998052;4.021781;0.859595;0.997525;
8.276869;0.998051;4.021778;0.859532;0.997538;
8.285061;0.998050;4.021776;0.859468;0.997550;
8.301445;0.998050;4.021770;0.859342;0.997575;
8.317829;0.998050;4.021765;0.859215;0.997600;
8.334213;0.998049;4.021761;0.859088;0.997624;
8.366981;0.998048;4.021750;0.858831;0.997672;
8.396473;0.998046;4.021739;0.858596;0.997714;
8.425964;0.998044;4.021726;0.858356;0.997755;
8.455455;0.998043;4.021709;0.858111;0.997796;
8.484946;0.998040;4.021691;0.857861;0.997836;
8.514437;0.998038;4.021670;0.857604;0.997874;
8.543929;0.998035;4.021647;0.857340;0.997912;
8.573420;0.998032;4.021623;0.857069;0.997949;
8.602911;0.998029;4.021596;0.856792;0.997985;
8.632402;0.998025;4.021568;0.856508;0.998021;
8.661893;0.998021;4.021539;0.856219;0.998055;
8.691385;0.998018;4.021508;0.855923;0.998088;
8.720876;0.998014;4.021476;0.855623;0.998120;
8.779858;0.998005;4.021409;0.855008;0.998181;
8.832942;0.997997;4.021346;0.854443;0.998232;
8.886027;0.997989;4.021280;0.853868;0.998280;
8.939111;0.997981;4.021212;0.853287;0.998324;
8.992195;0.997972;4.021143;0.852703;0.998365;
9.045279;0.997964;4.021073;0.852119;0.998402;
9.098363;0.997955;4.021002;0.851536;0.998435;
9.151447;0.997946;4.020931;0.850958;0.998465;
9.204532;0.997937;4.020861;0.850386;0.998491;
9.257616;0.997929;4.020790;0.849822;0.998514;
9.310700;0.997920;4.020721;0.849268;0.998533;
9.363784;0.997911;4.020653;0.848725;0.998549;
9.416868;0.997903;4.020586;0.848195;0.998562;
9.469952;0.997895;4.020520;0.847679;0.998572;
9.523036;0.997887;4.020456;0.847178;0.998578;
9.576121;0.997879;4.020394;0.846693;0.998581;
9.629205;0.997872;4.020335;0.846224;0.998582;
9.682289;0.997865;4.020277;0.845773;0.998580;
9.735373;0.997858;4.020221;0.845341;0.998574;
9.788457;0.997851;4.020168;0.844926;0.998567;
9.841541;0.997845;4.020117;0.844531;0.998557;
9.894626;0.997839;4.020069;0.844155;0.998544;
9.947710;0.997833;4.020023;0.843799;0.998529;
10.000794;0.997828;4.019979;0.843462;0.998512;
10.053878;0.997823;4.019938;0.843145;0.998493;
10.106962;0.997818;4.019901;0.842848;0.998473;
10.160046;0.997814;4.019868;0.842571;0.998450;
10.213131;0.997811;4.019838;0.842314;0.998426;
10.266215;0.997808;4.019810;0.842076;0.998400;
10.319299;0.997804;4.019784;0.841858;0.998373;
10.372383;0.997801;4.019761;0.841659;0.998344;
10.425467;0.997798;4.019740;0.841479;0.998315;
10.478551;0.997795;4.019723;0.841318;0.998284;
10.531636;0.997792;4.019708;0.841175;0.998253;
10.584720;0.997789;4.019695;0.841050;0.998220;
10.637804;0.997787;4.019685;0.840943;0.998187;
10.690888;0.997784;4.019678;0.840853;0.998154;
10.743972;0.997781;4.019674;0.840779;0.998119;
10.797056;0.997779;4.019671;0.840722;0.998085;
10.850140;0.997776;4.019672;0.840681;0.998050;
10.903225;0.997774;4.019674;0.840655;0.998015;
10.956309;0.997771;4.019679;0.840643;0.997980;
11.009393;0.997768;4.019686;0.840646;0.997945;
11.062477;0.997765;4.019695;0.840663;0.997910;
11.115561;0.997762;4.019706;0.840692;0.997875;
11.168645;0.997760;4.019719;0.840734;0.997840;
11.221730;0.997756;4.019733;0.840788;0.997806;
11.274814;0.997753;4.019749;0.840854;0.997772;
11.327898;0.997750;4.019766;0.840930;0.997738;
11.380982;0.997747;4.019785;0.841016;0.997706;
11.434066;0.997743;4.019804;0.841112;0.997673;
11.487150;0.997740;4.019825;0.841216;0.997642;
11.540235;0.997736;4.019846;0.841330;0.997611;
11.593319;0.997733;4.019867;0.841450;0.997580;
11.646403;0.997729;4.019889;0.841578;0.997551;
11.657339;0.997741;4.019282;0.841606;0.997545;
11.668275;0.997743;4.019298;0.841633;0.997539;
11.678117;0.997746;4.019317;0.841658;0.997534;
11.697801;0.997751;4.019361;0.841709;0.997523;
11.714951;0.997757;4.019399;0.841754;0.997514;
11.732100;0.997761;4.019437;0.841800;0.997505;
11.742425;0.997743;4.019460;0.841828;0.997500;
11.742425;0.997763;4.019460;0.841828;0.997500;
11.742426;0.997763;4.019460;0.841828;0.997500;
11.742427;0.997763;4.019460;0.841828;0.997500;
11.742429;0.997763;4.019460;0.841828;0.997500;
11.742433;0.997763;4.019460;0.841828;0.997500;
11.742441;0.997763;4.019460;0.841828;0.997500;
11.742457;0.997763;4.019460;0.841828;0.997500;
11.742489;0.997763;4.019460;0.841828;0.997500;
11.742553;0.997763;4.019460;0.841828;0.997500;
11.742681;0.997763;4.019460;0.841829;0.997500;
11.742937;0.997764;4.019461;0.841829;0.997500;
11.743449;0.997764;4.019462;0.841831;0.997499;
11.744473;0.997764;4.019464;0.841834;0.997499;
11.746521;0.997765;4.019469;0.841839;0.997498;
11.750617;0.997766;4.019478;0.841850;0.997496;
11.758809;0.997768;4.019495;0.841873;0.997492;
11.767001;0.997770;4.019512;0.841895;0.997487;
11.783385;0.997774;4.019545;0.841940;0.997479;
11.799769;0.997778;4.019575;0.841986;0.997471;
11.816153;0.997782;4.019604;0.842032;0.997462;
11.848921;0.997788;4.019658;0.842124;0.997446;
