time;Model_TEST_u;Model_TEST_v;Model_TEST_x;Model_TEST_y;
9.000000;-7.000000;-8.000000;-71.000000;56.000000;
9.100000;-7.100000;-8.100000;-72.710000;57.510000;
9.200000;-7.200000;-8.200000;-74.440000;59.040000;
9.300000;-7.300000;-8.300000;-76.190000;60.590000;
9.400000;-7.400000;-8.400000;-77.960000;62.160000;
9.500000;-7.500000;-8.500000;-79.750000;63.750000;
9.600000;-7.600000;-8.600000;-81.560000;65.360000;
9.700000;-7.700000;-8.700000;-83.390000;66.990000;
9.800000;-7.800000;-8.800000;-85.240000;68.640000;
9.900000;-7.900000;-8.900000;-87.110000;70.310000;
10.000000;-8.000000;-9.000000;-89.000000;72.000000;
10.000000;-8.000000;-9.000000;-89.000000;72.000000;
