time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
2.048416;0.749198;-0.217576;1.009580;0.997839;0.153521;-0.700687;-0.325850;-1.000000;
2.050464;0.739334;-0.217722;1.009884;0.998531;0.151000;-0.691633;-0.322632;-1.000000;
2.054560;0.720684;-0.217970;1.010443;0.999806;0.146233;-0.674508;-0.316667;-1.000000;
2.056224;0.713507;-0.218053;1.010655;1.000286;0.144399;-0.667915;-0.314409;-1.000000;
2.056224;0.713506;-0.218055;1.010654;1.000285;0.144399;-0.667915;-0.314412;-1.000000;
2.056225;0.713502;-0.218055;1.010654;1.000286;0.144398;-0.667911;-0.314410;-1.000000;
2.056226;0.713498;-0.218055;1.010655;1.000286;0.144397;-0.667907;-0.314409;-1.000000;
2.056228;0.713489;-0.218055;1.010655;1.000287;0.144395;-0.667899;-0.314406;-1.000000;
2.056232;0.713472;-0.218056;1.010655;1.000288;0.144390;-0.667884;-0.314401;-1.000000;
2.056240;0.713439;-0.218056;1.010656;1.000290;0.144382;-0.667853;-0.314390;-1.000000;
2.056256;0.713371;-0.218057;1.010658;1.000294;0.144364;-0.667790;-0.314369;-1.000000;
2.056288;0.713235;-0.218058;1.010662;1.000303;0.144330;-0.667666;-0.314327;-1.000000;
2.056352;0.712965;-0.218061;1.010670;1.000321;0.144261;-0.667417;-0.314242;-1.000000;
2.056480;0.712424;-0.218067;1.010686;1.000357;0.144122;-0.666921;-0.314074;-1.000000;
2.056736;0.711347;-0.218079;1.010717;1.000429;0.143847;-0.665932;-0.313737;-1.000000;
2.057248;0.709210;-0.218103;1.010779;1.000570;0.143301;-0.663968;-0.313072;-1.000000;
2.058272;0.704998;-0.218147;1.010902;1.000847;0.142225;-0.660098;-0.311765;-1.000000;
