time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
17.3046875000;0.0404322369;0.0051086432;1.9870096371;
17.3242187500;0.0404322314;0.0051086418;1.9870082035;
17.3437500000;0.0404322224;0.0051086396;1.9870065312;
17.3632812500;0.0404322106;0.0051086366;1.9870046529;
17.3828125000;0.0404321965;0.0051086330;1.9870025913;
17.4023437500;0.0404321805;0.0051086290;1.9870003622;
17.4218750000;0.0404321628;0.0051086245;1.9869979765;
17.4414062500;0.0404321436;0.0051086197;1.9869954417;
17.4609375000;0.0404321231;0.0051086145;1.9869927628;
17.4804687500;0.0404321014;0.0051086090;1.9869899432;
17.5000000000;0.0404320786;0.0051086033;1.9869869850;
17.5195312500;0.0404320547;0.0051085973;1.9869838892;
17.5390625000;0.0404320299;0.0051085910;1.9869806565;
17.5585937500;0.0404320041;0.0051085845;1.9869772869;
17.5781250000;0.0404319775;0.0051085778;1.9869737800;
17.5976562500;0.0404319500;0.0051085708;1.9869701353;
17.6171875000;0.0404319217;0.0051085637;1.9869663518;
17.6367187500;0.0404318926;0.0051085564;1.9869624285;
17.6562500000;0.0404318628;0.0051085489;1.9869583643;
17.6757812500;0.0404318323;0.0051085412;1.9869541576;
17.6953125000;0.0404318012;0.0051085333;1.9869498072;
17.7148437500;0.0404317693;0.0051085253;1.9869453113;
17.7343750000;0.0404317369;0.0051085171;1.9869406682;
17.7539062500;0.0404317038;0.0051085087;1.9869358761;
17.7734375000;0.0404316702;0.0051085003;1.9869309331;
17.7929687500;0.0404316360;0.0051084916;1.9869258371;
17.8125000000;0.0404316013;0.0051084829;1.9869205860;
17.8320312500;0.0404315661;0.0051084740;1.9869151777;
17.8515625000;0.0404315304;0.0051084650;1.9869096097;
17.8710937500;0.0404314943;0.0051084559;1.9869038796;
17.8906250000;0.0404314576;0.0051084466;1.9868979850;
17.9101562500;0.0404314206;0.0051084373;1.9868919231;
17.9296875000;0.0404313831;0.0051084278;1.9868856914;
17.9492187500;0.0404313453;0.0051084183;1.9868792871;
17.9687500000;0.0404313071;0.0051084087;1.9868727071;
17.9882812500;0.0404312685;0.0051083989;1.9868659486;
18.0078125000;0.0404312295;0.0051083891;1.9868590084;
18.0273437500;0.0404311902;0.0051083792;1.9868518834;
18.0468750000;0.0404311506;0.0051083692;1.9868445703;
18.0664062500;0.0404311107;0.0051083591;1.9868370658;
18.0859375000;0.0404310705;0.0051083490;1.9868293664;
18.1054687500;0.0404310301;0.0051083388;1.9868214685;
18.1250000000;0.0404309893;0.0051083285;1.9868133684;
18.1445312500;0.0404309483;0.0051083182;1.9868050626;
18.1640625000;0.0404309071;0.0051083078;1.9867965471;
18.1835937500;0.0404308656;0.0051082973;1.9867878180;
18.2031250000;0.0404308238;0.0051082868;1.9867788712;
18.2226562500;0.0404307819;0.0051082762;1.9867697027;
18.2421875000;0.0404307397;0.0051082656;1.9867603083;
18.2617187500;0.0404307042;0.0051082557;1.9869197356;
18.3007812500;0.0404365098;0.0051083016;1.9872647570;
18.3203125000;0.0404289437;0.0051078134;1.9866518738;
18.3398437500;0.0404295903;0.0051079742;1.9868650115;
18.3789062500;0.0404374559;0.0051082745;1.9873290394;
18.3984375000;0.0404288222;0.0051077801;1.9868272747;
18.4375000000;0.0404383516;0.0051082756;1.9873891577;
18.4570312500;0.0404287707;0.0051077671;1.9868247591;
18.4960937500;0.0404396926;0.0051083621;1.9874740515;
18.5156250000;0.0404288975;0.0051077991;1.9868310081;
18.5546875000;0.0404412164;0.0051084670;1.9875711545;
18.5742187500;0.0404290284;0.0051078322;1.9868374569;
18.6132812500;0.0404428532;0.0051085702;1.9876774746;
18.6328125000;0.0404291138;0.0051078537;1.9868416738;
18.6718750000;0.0404283199;0.0051072647;1.9868118468;
18.6914062500;0.0404254449;0.0051069267;1.9866613919;
18.7304687500;0.0404268598;0.0051068286;1.9867424725;
18.7500000000;0.0404243342;0.0051066460;1.9866068306;
18.7890625000;0.0404268602;0.0051067518;1.9867453933;
18.8085937500;0.0404242333;0.0051066205;1.9866019001;
18.8476562500;0.0404274646;0.0051068167;1.9867786319;
18.8671875000;0.0404245234;0.0051066937;1.9866161851;
18.9062500000;0.0404283283;0.0051069347;1.9868253623;
18.9257812500;0.0404249509;0.0051068016;1.9866372217;
18.9648437500;0.0404293110;0.0051070690;1.9868788241;
