time;WT4B_WT_measurements_PGenNomPu;WT4B_WT_measurements_QGenNomPu;WT4B_WT_measurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
6.070852;0.458960;0.114789;0.816653;0.807952;0.118891;-0.576477;0.057245;
6.086936;0.471433;0.112322;0.815492;0.806159;0.123027;-0.592258;0.048945;
6.103020;0.483944;0.110384;0.814468;0.804481;0.127160;-0.608057;0.041100;
6.113743;0.492269;0.109208;0.813818;0.803372;0.129906;-0.618561;0.035914;
6.113743;0.492296;0.109276;0.813828;0.803392;0.129913;-0.618592;0.035988;
6.121909;0.495844;0.108078;0.813328;0.802691;0.131108;-0.623096;0.032871;
6.138242;0.498615;0.105655;0.812476;0.801666;0.132092;-0.626675;0.028536;
6.154574;0.499675;0.103296;0.811705;0.800814;0.132519;-0.628104;0.025050;
6.187239;0.500116;0.098686;0.810256;0.799295;0.132822;-0.628848;0.018968;
6.219904;0.500174;0.094181;0.808848;0.797839;0.132997;-0.629107;0.013175;
6.285234;0.500236;0.085616;0.806161;0.795061;0.133315;-0.629536;0.002125;
6.335774;0.500304;0.079607;0.804264;0.793099;0.133546;-0.629865;-0.005685;
6.335774;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335799;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335851;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335954;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336058;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336161;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336368;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336574;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336781;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336987;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.337401;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.337814;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.338227;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339054;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339651;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339651;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339865;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339904;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339904;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339904;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339904;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.340122;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.340557;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.341428;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.343169;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344165;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344165;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344221;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344221;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344518;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.345111;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.346297;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.347484;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.349857;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.352230;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.354603;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.356976;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.359349;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.361722;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.366469;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.371215;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.375961;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.380707;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.390200;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.399692;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.399999;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.399999;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.400400;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401203;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401559;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401559;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402031;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402346;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402346;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402350;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402350;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402350;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402350;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402667;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402667;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
