time;WT4A_WT4A_injector_PInjPu;WT4A_WT4A_injector_QInjPu;WT4A_WT4A_injector_terminal_V_re;WT4A_WT4A_injector_terminal_i_re;WT4A_WT4A_injector_terminal_V_im;WT4A_WT4A_injector_terminal_i_im;WT4A_WT4A_pll_omegaPLLPu;WT4A_WT4A_wecc_wtgt_PePu;
1.019472;0.533047;0.433532;0.670514;-0.888394;0.133265;0.469998;1.003429;0.533036;
1.020496;0.537132;0.447390;0.672943;-0.895202;0.134286;0.486188;1.002929;0.537121;
1.021520;0.540752;0.460976;0.675341;-0.901235;0.135191;0.502172;1.002419;0.540741;
1.023568;0.546887;0.487158;0.679989;-0.911460;0.136725;0.533155;1.001531;0.546876;
1.025411;0.551353;0.509459;0.683967;-0.918902;0.137841;0.559672;1.000922;0.551341;
1.027254;0.555110;0.530401;0.687701;-0.925163;0.138780;0.584567;1.000512;0.555098;
1.029097;0.558376;0.549879;0.691161;-0.930606;0.139596;0.607630;1.000282;0.558364;
1.030941;0.561334;0.567827;0.694325;-0.935536;0.140335;0.628722;1.000197;0.561321;
1.032784;0.564124;0.584219;0.697184;-0.940185;0.141033;0.647780;1.000219;0.564111;
1.034627;0.566846;0.599067;0.699738;-0.944722;0.141713;0.664803;1.000313;0.566833;
1.036470;0.569570;0.612411;0.701994;-0.949260;0.142394;0.679839;1.000451;0.569556;
1.038313;0.572335;0.624315;0.703964;-0.953868;0.143085;0.692977;1.000612;0.572321;
1.040157;0.575161;0.634858;0.705668;-0.958578;0.143791;0.704330;1.000779;0.575147;
1.043843;0.580990;0.652374;0.708378;-0.968292;0.145248;0.722398;1.001083;0.580975;
1.047161;0.586374;0.664457;0.710113;-0.977266;0.146594;0.733961;1.001301;0.586360;
1.050478;0.591779;0.673671;0.711311;-0.986273;0.147945;0.741948;1.001452;0.591764;
1.053796;0.597100;0.680525;0.712080;-0.995140;0.149276;0.747072;1.001535;0.597084;
1.057114;0.602232;0.685499;0.712518;-1.003695;0.150559;0.749993;1.001556;0.602217;
1.060432;0.607092;0.689012;0.712712;-1.011793;0.151774;0.751284;1.001527;0.607076;
1.063750;0.611615;0.691419;0.712732;-1.019331;0.152904;0.751417;1.001458;0.611598;
1.067067;0.615759;0.693009;0.712636;-1.026238;0.153941;0.750776;1.001362;0.615743;
1.070385;0.619505;0.694013;0.712468;-1.032481;0.154877;0.749655;1.001248;0.619489;
1.073703;0.622849;0.694608;0.712261;-1.038054;0.155713;0.748278;1.001125;0.622833;
1.077021;0.625801;0.694930;0.712040;-1.042975;0.156451;0.746805;1.001000;0.625785;
1.083656;0.630653;0.695188;0.711625;-1.051060;0.157664;0.744035;1.000764;0.630636;
1.090292;0.634266;0.695164;0.711273;-1.057083;0.158568;0.741691;1.000559;0.634250;
1.096927;0.636879;0.695079;0.711005;-1.061437;0.159221;0.739904;1.000393;0.636862;
1.103563;0.638719;0.695030;0.710818;-1.064504;0.159681;0.738654;1.000267;0.638702;
1.110198;0.639987;0.695039;0.710696;-1.066618;0.159998;0.737844;1.000175;0.639971;
1.116834;0.640846;0.695097;0.710623;-1.068049;0.160213;0.737356;1.000111;0.640829;
1.123469;0.641421;0.695182;0.710582;-1.069007;0.160357;0.737085;1.000068;0.641404;
1.130105;0.641804;0.695274;0.710562;-1.069645;0.160452;0.736947;1.000041;0.641787;
1.136740;0.642059;0.695360;0.710553;-1.070070;0.160516;0.736886;1.000023;0.642042;
1.150011;0.642373;0.695491;0.710546;-1.070593;0.160595;0.736841;1.000002;0.642356;
1.163282;0.642514;0.695575;0.710547;-1.070828;0.160630;0.736852;0.999995;0.642497;
1.176553;0.642571;0.695623;0.710550;-1.070924;0.160644;0.736872;0.999992;0.642554;
1.189824;0.642590;0.695649;0.710553;-1.070956;0.160649;0.736892;0.999992;0.642574;
1.203095;0.642593;0.695666;0.710556;-1.070960;0.160650;0.736911;0.999992;0.642576;
1.216366;0.642588;0.695678;0.710559;-1.070952;0.160648;0.736929;0.999992;0.642571;
1.229638;0.642581;0.695690;0.710562;-1.070940;0.160646;0.736948;0.999993;0.642564;
1.242909;0.642573;0.695701;0.710565;-1.070926;0.160644;0.736967;0.999993;0.642556;
1.256180;0.642565;0.695712;0.710567;-1.070913;0.160643;0.736985;0.999994;0.642548;
1.269451;0.642558;0.695722;0.710570;-1.070901;0.160641;0.737002;0.999994;0.642541;
1.282722;0.642551;0.695731;0.710572;-1.070890;0.160639;0.737017;0.999995;0.642534;
1.295993;0.642545;0.695739;0.710574;-1.070881;0.160638;0.737031;0.999995;0.642528;
1.309264;0.642540;0.695747;0.710576;-1.070872;0.160636;0.737044;0.999996;0.642523;
1.322535;0.642535;0.695754;0.710578;-1.070864;0.160635;0.737055;0.999996;0.642518;
1.335806;0.642531;0.695760;0.710579;-1.070857;0.160634;0.737066;0.999997;0.642514;
1.349077;0.642527;0.695766;0.710581;-1.070850;0.160633;0.737076;0.999997;0.642510;
1.362348;0.642523;0.695771;0.710582;-1.070844;0.160632;0.737084;0.999997;0.642506;
1.375619;0.642520;0.695776;0.710583;-1.070838;0.160631;0.737092;0.999997;0.642503;
1.402161;0.642514;0.695784;0.710586;-1.070829;0.160630;0.737106;0.999998;0.642497;
1.426049;0.642510;0.695791;0.710587;-1.070821;0.160629;0.737117;0.999998;0.642493;
1.447548;0.642506;0.695796;0.710588;-1.070816;0.160628;0.737125;0.999998;0.642489;
1.466897;0.642504;0.695799;0.710589;-1.070811;0.160627;0.737132;0.999999;0.642487;
1.484311;0.642502;0.695803;0.710590;-1.070808;0.160627;0.737137;0.999999;0.642485;
1.499984;0.642500;0.695805;0.710591;-1.070805;0.160626;0.737141;0.999999;0.642483;
1.515657;0.642498;0.695807;0.710591;-1.070802;0.160626;0.737145;0.999999;0.642481;
1.531330;0.642497;0.695809;0.710592;-1.070800;0.160626;0.737148;0.999999;0.642480;
1.547003;0.642496;0.695811;0.710592;-1.070798;0.160625;0.737151;0.999999;0.642479;
1.562676;0.642495;0.695813;0.710593;-1.070796;0.160625;0.737154;0.999999;0.642478;
1.578348;0.642494;0.695814;0.710593;-1.070794;0.160625;0.737156;0.999999;0.642477;
1.594021;0.642493;0.695815;0.710593;-1.070793;0.160624;0.737158;0.999999;0.642476;
1.609694;0.642492;0.695817;0.710594;-1.070792;0.160624;0.737160;0.999999;0.642475;
1.625367;0.642491;0.695818;0.710594;-1.070790;0.160624;0.737162;1.000000;0.642474;
1.641040;0.642491;0.695819;0.710594;-1.070789;0.160624;0.737164;1.000000;0.642474;
1.656713;0.642490;0.695819;0.710594;-1.070788;0.160624;0.737165;1.000000;0.642473;
1.672385;0.642489;0.695820;0.710595;-1.070787;0.160624;0.737166;1.000000;0.642472;
1.703731;0.642488;0.695822;0.710595;-1.070786;0.160623;0.737169;1.000000;0.642472;
1.728666;0.642488;0.695822;0.710595;-1.070785;0.160623;0.737170;1.000000;0.642471;
1.753601;0.642487;0.695823;0.710595;-1.070784;0.160623;0.737171;1.000000;0.642470;
1.774332;0.642487;0.695824;0.710595;-1.070784;0.160623;0.737172;1.000000;0.642470;
1.792989;0.642487;0.695824;0.710596;-1.070783;0.160623;0.737173;1.000000;0.642470;
1.809781;0.642487;0.695824;0.710596;-1.070783;0.160623;0.737173;1.000000;0.642470;
1.826573;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737174;1.000000;0.642469;
1.841685;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737174;1.000000;0.642469;
1.856798;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737174;1.000000;0.642469;
1.871910;0.642486;0.695825;0.710596;-1.070782;0.160623;0.737175;1.000000;0.642469;
1.887023;0.642486;0.695825;0.710596;-1.070781;0.160623;0.737175;1.000000;0.642469;
1.902135;0.642486;0.695826;0.710596;-1.070781;0.160623;0.737175;1.000000;0.642469;
1.917248;0.642486;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642469;
1.932360;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642469;
1.947473;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642468;
1.962585;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642468;
1.984129;0.642485;0.695826;0.710596;-1.070781;0.160623;0.737176;1.000000;0.642468;
2.000000;0.642485;0.695826;0.710596;-1.070780;0.160623;0.737177;1.000000;0.642468;
2.000000;1.070797;0.990697;1.110596;-1.070780;0.160623;0.737177;0.735425;1.070780;
2.000001;1.070736;0.990786;1.110609;-1.070719;0.160613;0.737265;0.735666;1.070719;
2.000002;1.070675;0.990875;1.110623;-1.070658;0.160604;0.737354;0.735907;1.070658;
2.000004;1.070553;0.991052;1.110649;-1.070536;0.160586;0.737532;0.736388;1.070536;
2.000008;1.070309;0.991406;1.110702;-1.070292;0.160549;0.737885;0.737349;1.070292;
2.000016;1.069824;0.992109;1.110808;-1.069807;0.160477;0.738588;0.739260;1.069807;
2.000032;1.068864;0.993497;1.111016;-1.068847;0.160333;0.739977;0.743043;1.068847;
2.000064;1.066984;0.996206;1.111422;-1.066967;0.160050;0.742685;0.750450;1.066967;
2.000128;1.063379;1.001357;1.112195;-1.063362;0.159510;0.747837;0.764659;1.063362;
2.000256;1.056758;1.010677;1.113593;-1.056741;0.158516;0.757158;0.790823;1.056741;
2.000384;1.050888;1.018789;1.114811;-1.050871;0.157636;0.765273;0.814189;1.050871;
2.000469;1.047349;1.023612;1.115535;-1.047332;0.157105;0.770099;0.828415;1.047332;
2.000470;1.047307;1.023663;1.115542;-1.047290;0.157098;0.770150;0.828575;1.047290;
2.000471;1.047268;1.023716;1.115550;-1.047251;0.157093;0.770203;0.828733;1.047251;
2.000473;1.047190;1.023822;1.115566;-1.047173;0.157081;0.770309;0.829050;1.047173;
2.000477;1.047033;1.024033;1.115598;-1.047016;0.157057;0.770521;0.829682;1.047016;
2.000485;1.046721;1.024453;1.115661;-1.046705;0.157011;0.770942;0.830939;1.046705;
2.000501;1.046104;1.025282;1.115786;-1.046088;0.156918;0.771772;0.833426;1.046088;
2.000533;1.044894;1.026894;1.116028;-1.044877;0.156736;0.773389;0.838293;1.044877;
2.000597;1.042566;1.029942;1.116488;-1.042549;0.156387;0.776453;0.847613;1.042549;
2.000725;1.038250;1.035388;1.117314;-1.038233;0.155740;0.781959;0.864724;1.038233;
2.000853;1.034360;1.040027;1.118024;-1.034343;0.155156;0.786694;0.879942;1.034343;
2.000981;1.030854;1.043939;1.118630;-1.030837;0.154630;0.790736;0.893462;1.030837;
2.001109;1.027691;1.047195;1.119143;-1.027674;0.154156;0.794156;0.905464;1.027674;
2.001237;1.024832;1.049861;1.119573;-1.024815;0.153727;0.797018;0.916115;1.024815;
2.001365;1.022244;1.051994;1.119927;-1.022227;0.153338;0.799380;0.925563;1.022227;
2.001493;1.019893;1.053646;1.120214;-1.019876;0.152986;0.801293;0.933943;1.019876;
2.001621;1.017752;1.054863;1.120440;-1.017735;0.152665;0.802801;0.941371;1.017735;
2.001749;1.015794;1.055685;1.120612;-1.015777;0.152371;0.803945;0.947956;1.015777;
2.001877;1.013996;1.056149;1.120734;-1.013980;0.152101;0.804760;0.953790;1.013980;
2.002005;1.012338;1.056286;1.120811;-1.012321;0.151852;0.805277;0.958958;1.012321;
2.002261;1.009346;1.055723;1.120853;-1.009329;0.151403;0.805554;0.967665;1.009329;
2.002462;1.007256;1.054574;1.120790;-1.007239;0.151090;0.805137;0.973163;1.007239;
2.002463;1.007246;1.054567;1.120790;-1.007229;0.151088;0.805134;0.973187;1.007229;
2.002464;1.007236;1.054559;1.120789;-1.007219;0.151087;0.805130;0.973211;1.007219;
2.002466;1.007216;1.054545;1.120788;-1.007200;0.151084;0.805123;0.973259;1.007200;
2.002470;1.007177;1.054515;1.120786;-1.007161;0.151078;0.805109;0.973356;1.007161;
2.002478;1.007099;1.054455;1.120782;-1.007083;0.151067;0.805080;0.973548;1.007083;
2.002494;1.006944;1.054333;1.120773;-1.006927;0.151043;0.805019;0.973928;1.006927;
2.002526;1.006636;1.054079;1.120753;-1.006620;0.150997;0.804889;0.974671;1.006620;
2.002590;1.006033;1.053532;1.120709;-1.006016;0.150907;0.804595;0.976091;1.006016;
2.002718;1.004865;1.052293;1.120602;-1.004849;0.150731;0.803881;0.978688;1.004849;
2.002974;1.002656;1.049292;1.120319;-1.002640;0.150400;0.801999;0.983052;1.002640;
2.003230;1.000578;1.045656;1.119955;-1.000561;0.150088;0.799571;0.986465;1.000561;
2.003486;0.998584;1.041467;1.119521;-0.998568;0.149789;0.796673;0.989117;0.998568;
2.003742;0.996638;1.036792;1.119025;-0.996622;0.149497;0.793369;0.991167;0.996622;
2.003998;0.994711;1.031691;1.118476;-0.994695;0.149208;0.789712;0.992745;0.994695;
2.004254;0.992780;1.026211;1.117881;-0.992764;0.148919;0.785745;0.993953;0.992764;
2.004510;0.990828;1.020395;1.117245;-0.990812;0.148626;0.781506;0.994872;0.990812;
2.005022;0.986816;1.007917;1.115872;-0.986800;0.148024;0.772353;0.996142;0.986800;
2.005534;0.982631;0.994445;1.114380;-0.982615;0.147397;0.762407;0.996842;0.982615;
2.006046;0.978253;0.980139;1.112789;-0.978238;0.146740;0.751798;0.997188;0.978238;
2.006558;0.973681;0.965134;1.111113;-0.973666;0.146054;0.740632;0.997325;0.973666;
2.007070;0.968924;0.949544;1.109368;-0.968909;0.145341;0.728994;0.997346;0.968909;
2.007582;0.963998;0.933463;1.107561;-0.963983;0.144602;0.716953;0.997305;0.963983;
2.008606;0.953750;0.900235;1.103811;-0.953737;0.143065;0.691956;0.997176;0.953737;
2.009630;0.943086;0.865925;1.099913;-0.943073;0.141466;0.665973;0.997029;0.943073;
2.010654;0.932154;0.830972;1.095914;-0.932141;0.139826;0.639315;0.996908;0.932141;
2.010682;0.931856;0.830022;1.095805;-0.931843;0.139781;0.638588;0.996905;0.931843;
2.010683;0.931845;0.829988;1.095801;-0.931832;0.139780;0.638562;0.996905;0.931832;
2.010684;0.931834;0.829953;1.095797;-0.931821;0.139778;0.638535;0.996905;0.931821;
2.010686;0.931812;0.829884;1.095789;-0.931800;0.139775;0.638482;0.996905;0.931800;
2.010690;0.931769;0.829747;1.095774;-0.931756;0.139768;0.638377;0.996904;0.931756;
2.010698;0.931683;0.829471;1.095742;-0.931670;0.139755;0.638166;0.996904;0.931670;
2.010714;0.931510;0.828920;1.095679;-0.931497;0.139729;0.637744;0.996902;0.931497;
2.010746;0.931164;0.827820;1.095552;-0.931151;0.139678;0.636902;0.996899;0.931151;
2.010810;0.930472;0.825623;1.095300;-0.930460;0.139574;0.635219;0.996892;0.930460;
2.010938;0.929090;0.821244;1.094796;-0.929078;0.139367;0.631864;0.996880;0.929078;
2.011194;0.926329;0.812549;1.093796;-0.926316;0.138952;0.625194;0.996858;0.926316;
2.011706;0.920825;0.795407;1.091820;-0.920813;0.138127;0.612022;0.996823;0.920813;
2.011833;0.919466;0.791207;1.091335;-0.919454;0.137923;0.608789;0.996816;0.919454;
2.011834;0.919455;0.791174;1.091331;-0.919443;0.137921;0.608764;0.996816;0.919443;
2.011835;0.919444;0.791141;1.091327;-0.919432;0.137920;0.608738;0.996816;0.919432;
2.011837;0.919423;0.791075;1.091320;-0.919411;0.137917;0.608688;0.996816;0.919411;
2.011841;0.919380;0.790943;1.091304;-0.919368;0.137910;0.608586;0.996816;0.919368;
2.011849;0.919294;0.790679;1.091274;-0.919282;0.137897;0.608383;0.996815;0.919282;
2.011865;0.919123;0.790152;1.091213;-0.919111;0.137872;0.607977;0.996815;0.919111;
2.011897;0.918780;0.789098;1.091091;-0.918768;0.137820;0.607165;0.996813;0.918768;
2.011961;0.918096;0.786993;1.090848;-0.918084;0.137718;0.605545;0.996810;0.918084;
2.012089;0.916728;0.782801;1.090363;-0.916716;0.137512;0.602314;0.996804;0.916716;
2.012345;0.913999;0.774478;1.089400;-0.913987;0.137103;0.595894;0.996794;0.913987;
2.012857;0.908573;0.758081;1.087499;-0.908562;0.136289;0.583222;0.996780;0.908562;
2.013881;0.897879;0.726285;1.083798;-0.897868;0.134685;0.558550;0.996774;0.897868;
2.014905;0.887425;0.695811;1.080232;-0.887415;0.133118;0.534775;0.996793;0.887415;
2.015929;0.877247;0.666644;1.076799;-0.877237;0.131591;0.511894;0.996833;0.877237;
2.016953;0.867375;0.638764;1.073500;-0.867365;0.130110;0.489903;0.996890;0.867365;
2.017977;0.857831;0.612148;1.070333;-0.857822;0.128679;0.468793;0.996961;0.857822;
