time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
2.478708;0.500930;-0.253921;1.005318;1.001170;0.091236;-0.473302;-0.296756;
2.627590;0.500795;-0.257763;1.004185;1.000025;0.091319;-0.473298;-0.300977;
2.776473;0.500794;-0.260778;1.003292;0.999119;0.091412;-0.473392;-0.304320;
3.074238;0.500790;-0.264679;1.002134;0.997946;0.091531;-0.473511;-0.308654;
3.372003;0.500789;-0.267203;1.001384;0.997185;0.091609;-0.473589;-0.311465;
3.967533;0.500781;-0.269620;1.000664;0.996455;0.091682;-0.473658;-0.314159;
4.563063;0.500769;-0.270778;1.000318;0.996105;0.091714;-0.473682;-0.315450;
5.754123;0.500736;-0.271509;1.000101;0.995885;0.091728;-0.473675;-0.316260;
5.999999;0.500729;-0.271538;1.000092;0.995877;0.091728;-0.473670;-0.316291;
5.999999;0.369321;-0.178096;0.719885;0.712899;0.100043;-0.473670;-0.316291;
6.000002;0.369318;-0.178101;0.719883;0.712897;0.100042;-0.473665;-0.316297;
6.000075;0.369237;-0.178205;0.719845;0.712862;0.100020;-0.473567;-0.316430;
6.000220;0.369112;-0.178331;0.719799;0.712821;0.099984;-0.473413;-0.316580;
6.000366;0.369021;-0.178379;0.719784;0.712810;0.099956;-0.473300;-0.316618;
6.000657;0.368973;-0.178176;0.719866;0.712896;0.099933;-0.473234;-0.316270;
6.000770;0.369004;-0.177988;0.719940;0.712970;0.099936;-0.473268;-0.315981;
6.000770;0.369003;-0.177988;0.719940;0.712970;0.099936;-0.473268;-0.315981;
6.000770;0.369004;-0.177987;0.719940;0.712970;0.099936;-0.473268;-0.315979;
6.000984;0.369030;-0.177615;0.720086;0.713119;0.099931;-0.473291;-0.315391;
6.001410;0.369178;-0.176346;0.720584;0.713621;0.099931;-0.473442;-0.313413;
6.001837;0.369416;-0.174593;0.721268;0.714310;0.099943;-0.473694;-0.310700;
6.002691;0.370218;-0.169453;0.723261;0.716313;0.100012;-0.474559;-0.302821;
6.002993;0.370607;-0.167149;0.724150;0.717205;0.100052;-0.474982;-0.299317;
6.002993;0.370602;-0.167150;0.724150;0.717205;0.100050;-0.474976;-0.299316;
6.003327;0.371010;-0.164718;0.725085;0.718143;0.100092;-0.475420;-0.295629;
6.003499;0.371261;-0.163277;0.725638;0.718698;0.100120;-0.475694;-0.293452;
6.003499;0.371258;-0.163277;0.725638;0.718698;0.100119;-0.475691;-0.293452;
6.003836;0.371737;-0.160519;0.726693;0.719756;0.100172;-0.476214;-0.289296;
6.004510;0.372848;-0.154310;0.729055;0.722122;0.100303;-0.477430;-0.280004;
6.004632;0.373091;-0.153018;0.729544;0.722611;0.100334;-0.477697;-0.278085;
6.004632;0.373086;-0.153019;0.729544;0.722611;0.100332;-0.477691;-0.278084;
6.004649;0.373117;-0.152850;0.729608;0.722675;0.100336;-0.477725;-0.277832;
6.004649;0.373117;-0.152850;0.729608;0.722676;0.100336;-0.477725;-0.277832;
6.004995;0.373783;-0.149182;0.730992;0.724062;0.100417;-0.478454;-0.272390;
6.005687;0.375376;-0.140470;0.734258;0.727332;0.100612;-0.480196;-0.259556;
6.006481;0.377646;-0.128297;0.738766;0.731843;0.100901;-0.482675;-0.241855;
6.006481;0.377627;-0.128300;0.738766;0.731844;0.100895;-0.482651;-0.241851;
6.006555;0.377837;-0.127177;0.739179;0.732257;0.100922;-0.482880;-0.240230;
6.006555;0.377836;-0.127177;0.739179;0.732257;0.100922;-0.482879;-0.240230;
6.006558;0.377845;-0.127132;0.739195;0.732273;0.100923;-0.482889;-0.240165;
6.006559;0.377845;-0.127129;0.739196;0.732274;0.100923;-0.482889;-0.240161;
6.006888;0.378781;-0.122125;0.741030;0.734109;0.101044;-0.483909;-0.232965;
6.007546;0.380810;-0.111342;0.744948;0.738028;0.101308;-0.486115;-0.217592;
6.008862;0.385289;-0.087805;0.753349;0.746424;0.101907;-0.490967;-0.184664;
6.010178;0.390063;-0.063092;0.761958;0.755023;0.102566;-0.496117;-0.150957;
6.012810;0.399603;-0.014754;0.778227;0.771255;0.103939;-0.506346;-0.087368;
6.015443;0.408668;0.029597;0.792556;0.785527;0.105319;-0.516022;-0.031508;
6.018075;0.416790;0.067871;0.804507;0.797410;0.106620;-0.524680;0.014960;
6.020708;0.423810;0.099182;0.814019;0.806847;0.107815;-0.532190;0.051811;
6.023340;0.429731;0.123538;0.821257;0.814005;0.108898;-0.538586;0.079713;
6.025972;0.434657;0.141537;0.826514;0.819177;0.109880;-0.543990;0.099812;
6.028605;0.438738;0.154101;0.830127;0.822703;0.110775;-0.548564;0.113448;
6.031237;0.442141;0.162268;0.832440;0.824925;0.111600;-0.552477;0.121965;
6.033869;0.445024;0.167057;0.833766;0.826159;0.112371;-0.555886;0.126599;
6.036502;0.447528;0.169375;0.834376;0.826674;0.113104;-0.558929;0.128415;
6.039134;0.449770;0.169986;0.834493;0.826696;0.113810;-0.561719;0.128290;
6.044399;0.453789;0.168208;0.833861;0.825868;0.115174;-0.566849;0.124623;
6.049664;0.457682;0.165551;0.832970;0.824779;0.116526;-0.571859;0.119928;
6.054928;0.461586;0.163013;0.832111;0.823719;0.117879;-0.576875;0.115345;
6.060193;0.465560;0.160955;0.831386;0.822791;0.119237;-0.581957;0.111285;
6.070723;0.473764;0.158501;0.830411;0.821402;0.121982;-0.592367;0.104995;
6.081252;0.482095;0.156979;0.829696;0.820266;0.124737;-0.602891;0.099695;
6.093635;0.491961;0.155754;0.829012;0.819069;0.127981;-0.615325;0.094014;
6.093635;0.491974;0.155787;0.829017;0.819078;0.127984;-0.615339;0.094049;
6.099855;0.495091;0.154946;0.828661;0.818555;0.129024;-0.619286;0.091678;
