time;IECWT4A_control_iECWT4AMeasures_PGenPu;IECWT4A_control_iECWT4AMeasures_QGenPu;IECWT4A_control_iECWT4AMeasures_uWTCPu;IECWT4A_control_iECWT4APControl_ipCmdPu;IECWT4A_control_theta;
2.001804;0.999721;-0.209817;0.999718;0.999294;0.219453;
2.001918;0.999712;-0.209819;0.999718;0.999198;0.219453;
2.002032;0.999702;-0.209822;0.999718;0.999097;0.219453;
2.002146;0.999690;-0.209824;0.999718;0.998991;0.219452;
2.002260;0.999678;-0.209827;0.999717;0.998880;0.219452;
2.002374;0.999664;-0.209830;0.999717;0.998764;0.219452;
2.002488;0.999649;-0.209834;0.999717;0.998643;0.219452;
2.002602;0.999633;-0.209837;0.999717;0.998516;0.219451;
2.002716;0.999615;-0.209841;0.999717;0.998385;0.219451;
2.002830;0.999596;-0.209846;0.999716;0.998250;0.219450;
2.002944;0.999575;-0.209850;0.999716;0.998109;0.219450;
2.003058;0.999553;-0.209855;0.999716;0.997964;0.219449;
2.003172;0.999529;-0.209861;0.999716;0.997814;0.219449;
2.003286;0.999504;-0.209866;0.999716;0.997659;0.219448;
2.003400;0.999477;-0.209872;0.999715;0.997501;0.219447;
2.003514;0.999449;-0.209878;0.999715;0.997337;0.219447;
2.003628;0.999419;-0.209885;0.999715;0.997169;0.219446;
2.003742;0.999387;-0.209892;0.999714;0.996997;0.219445;
2.003856;0.999354;-0.209899;0.999714;0.996821;0.219444;
2.003970;0.999319;-0.209906;0.999714;0.996640;0.219442;
2.004084;0.999282;-0.209914;0.999714;0.996456;0.219441;
2.004198;0.999243;-0.209922;0.999713;0.996267;0.219440;
2.004312;0.999203;-0.209931;0.999713;0.996074;0.219439;
2.004426;0.999160;-0.209940;0.999713;0.995877;0.219437;
2.004540;0.999116;-0.209949;0.999712;0.995676;0.219435;
2.004654;0.999070;-0.209959;0.999712;0.995472;0.219434;
2.004768;0.999022;-0.209969;0.999712;0.995263;0.219432;
2.004882;0.998972;-0.209979;0.999712;0.995051;0.219430;
2.005110;0.998866;-0.210001;0.999711;0.994615;0.219425;
2.005316;0.998764;-0.210021;0.999711;0.994210;0.219421;
2.005521;0.998655;-0.210043;0.999710;0.993794;0.219416;
2.005726;0.998539;-0.210066;0.999710;0.993366;0.219411;
2.005931;0.998417;-0.210089;0.999710;0.992928;0.219405;
2.006136;0.998288;-0.210114;0.999709;0.992478;0.219399;
2.006342;0.998152;-0.210140;0.999709;0.992019;0.219392;
2.006547;0.998009;-0.210167;0.999709;0.991549;0.219384;
2.006752;0.997859;-0.210195;0.999709;0.991069;0.219376;
2.006957;0.997702;-0.210224;0.999709;0.990579;0.219367;
2.007163;0.997538;-0.210254;0.999710;0.990080;0.219358;
2.007368;0.997366;-0.210285;0.999710;0.989572;0.219348;
2.007573;0.997188;-0.210317;0.999711;0.989054;0.219337;
2.007778;0.997002;-0.210349;0.999711;0.988528;0.219325;
2.007984;0.996809;-0.210383;0.999712;0.987993;0.219313;
2.008189;0.996609;-0.210417;0.999713;0.987449;0.219300;
2.008394;0.996402;-0.210452;0.999714;0.986898;0.219286;
2.008599;0.996187;-0.210488;0.999716;0.986338;0.219271;
2.008804;0.995965;-0.210524;0.999717;0.985771;0.219255;
2.009010;0.995736;-0.210561;0.999719;0.985196;0.219239;
2.009215;0.995499;-0.210599;0.999721;0.984614;0.219221;
2.009420;0.995255;-0.210637;0.999723;0.984025;0.219203;
2.009625;0.995004;-0.210676;0.999726;0.983428;0.219184;
2.009831;0.994746;-0.210716;0.999728;0.982825;0.219163;
2.010036;0.994481;-0.210756;0.999731;0.982214;0.219142;
2.010241;0.994208;-0.210796;0.999735;0.981598;0.219120;
2.010446;0.993929;-0.210837;0.999738;0.980975;0.219097;
2.010652;0.993642;-0.210879;0.999742;0.980346;0.219073;
2.010857;0.993348;-0.210920;0.999746;0.979710;0.219047;
2.011062;0.993048;-0.210962;0.999750;0.979069;0.219021;
2.011267;0.992740;-0.211005;0.999755;0.978423;0.218993;
2.011472;0.992425;-0.211047;0.999760;0.977770;0.218965;
2.011678;0.992104;-0.211090;0.999765;0.977112;0.218935;
2.011883;0.991775;-0.211133;0.999771;0.976449;0.218904;
2.012088;0.991440;-0.211176;0.999777;0.975781;0.218872;
2.012293;0.991098;-0.211220;0.999783;0.975108;0.218839;
2.012499;0.990749;-0.211263;0.999789;0.974430;0.218805;
2.012704;0.990394;-0.211307;0.999796;0.973747;0.218769;
2.012909;0.990032;-0.211350;0.999804;0.973059;0.218733;
2.013114;0.989664;-0.211394;0.999811;0.972367;0.218695;
2.013320;0.989289;-0.211437;0.999819;0.971671;0.218656;
2.013525;0.988908;-0.211481;0.999828;0.970970;0.218615;
2.013730;0.988520;-0.211524;0.999837;0.970265;0.218573;
2.013935;0.988126;-0.211567;0.999846;0.969556;0.218531;
2.014140;0.987726;-0.211611;0.999855;0.968844;0.218486;
2.014346;0.987319;-0.211654;0.999865;0.968127;0.218441;
2.014551;0.986907;-0.211697;0.999876;0.967407;0.218394;
2.014756;0.986488;-0.211739;0.999886;0.966683;0.218346;
2.014961;0.986063;-0.211782;0.999897;0.965956;0.218297;
2.015167;0.985633;-0.211824;0.999909;0.965225;0.218246;
2.015372;0.985197;-0.211866;0.999921;0.964491;0.218194;
2.015577;0.984754;-0.211908;0.999933;0.963754;0.218141;
2.015782;0.984306;-0.211949;0.999946;0.963013;0.218086;
2.015988;0.983853;-0.211990;0.999959;0.962270;0.218030;
2.016193;0.983394;-0.212031;0.999972;0.961524;0.217973;
2.016398;0.982929;-0.212072;0.999986;0.960775;0.217914;
2.016603;0.982459;-0.212112;1.000000;0.960023;0.217854;
2.016808;0.981983;-0.212152;1.000015;0.959269;0.217793;
2.017014;0.981502;-0.212191;1.000030;0.958512;0.217730;
2.017219;0.981016;-0.212230;1.000046;0.957752;0.217666;
2.017424;0.980525;-0.212269;1.000062;0.956990;0.217601;
2.017629;0.980028;-0.212307;1.000078;0.956226;0.217534;
2.017835;0.979527;-0.212344;1.000095;0.955459;0.217466;
2.018040;0.979020;-0.212382;1.000112;0.954691;0.217396;
2.018245;0.978509;-0.212419;1.000129;0.953920;0.217325;
2.018450;0.977993;-0.212455;1.000147;0.953147;0.217253;
2.018656;0.977471;-0.212491;1.000165;0.952372;0.217179;
2.018861;0.976946;-0.212526;1.000184;0.951595;0.217104;
2.019066;0.976415;-0.212561;1.000203;0.950817;0.217028;
2.019271;0.975880;-0.212596;1.000222;0.950036;0.216950;
2.019476;0.975340;-0.212630;1.000242;0.949254;0.216871;
2.019682;0.974796;-0.212664;1.000262;0.948471;0.216791;
2.019887;0.974247;-0.212697;1.000283;0.947685;0.216709;
2.020092;0.973695;-0.212729;1.000304;0.946899;0.216626;
2.020297;0.973137;-0.212761;1.000325;0.946110;0.216542;
2.020503;0.972576;-0.212793;1.000346;0.945321;0.216456;
2.020708;0.972010;-0.212824;1.000368;0.944530;0.216368;
2.020913;0.971441;-0.212855;1.000391;0.943738;0.216280;
2.021118;0.970867;-0.212885;1.000413;0.942944;0.216190;
2.021324;0.970289;-0.212915;1.000436;0.942150;0.216099;
2.021529;0.969708;-0.212944;1.000459;0.941354;0.216006;
2.021734;0.969122;-0.212973;1.000483;0.940557;0.215913;
2.021939;0.968533;-0.213001;1.000507;0.939759;0.215817;
2.022144;0.967940;-0.213029;1.000531;0.938960;0.215721;
2.022350;0.967344;-0.213056;1.000556;0.938161;0.215623;
2.022555;0.966744;-0.213083;1.000581;0.937360;0.215524;
2.022760;0.966140;-0.213110;1.000606;0.936559;0.215424;
2.022965;0.965533;-0.213136;1.000631;0.935756;0.215322;
2.023171;0.964922;-0.213161;1.000657;0.934953;0.215219;
2.023376;0.964308;-0.213187;1.000683;0.934150;0.215115;
2.023581;0.963691;-0.213211;1.000710;0.933345;0.215009;
2.023786;0.963070;-0.213236;1.000736;0.932541;0.214902;
2.023992;0.962446;-0.213259;1.000763;0.931735;0.214794;
2.024197;0.961819;-0.213283;1.000790;0.930929;0.214685;
2.024402;0.961189;-0.213306;1.000818;0.930123;0.214575;
2.024812;0.959920;-0.213351;1.000873;0.928509;0.214350;
2.025182;0.958768;-0.213390;1.000924;0.927055;0.214143;
2.025551;0.957607;-0.213428;1.000975;0.925600;0.213933;
2.025921;0.956437;-0.213465;1.001028;0.924144;0.213719;
2.026290;0.955258;-0.213501;1.001080;0.922688;0.213501;
2.026660;0.954071;-0.213536;1.001134;0.921232;0.213279;
2.027029;0.952876;-0.213570;1.001188;0.919775;0.213054;
2.027398;0.951673;-0.213603;1.001243;0.918318;0.212825;
2.027768;0.950463;-0.213635;1.001298;0.916862;0.212593;
2.028137;0.949245;-0.213667;1.001354;0.915406;0.212356;
2.028507;0.948021;-0.213697;1.001410;0.913950;0.212117;
2.028876;0.946790;-0.213727;1.001466;0.912495;0.211874;
2.029245;0.945553;-0.213757;1.001523;0.911041;0.211628;
2.029615;0.944310;-0.213785;1.001580;0.909588;0.211378;
2.029984;0.943060;-0.213814;1.001638;0.908136;0.211126;
2.030354;0.941805;-0.213841;1.001696;0.906686;0.210870;
2.030723;0.940545;-0.213869;1.001754;0.905236;0.210611;
2.031093;0.939280;-0.213895;1.001813;0.903789;0.210349;
2.031462;0.938010;-0.213922;1.001871;0.902343;0.210084;
2.031831;0.936735;-0.213948;1.001930;0.900899;0.209816;
2.032201;0.935455;-0.213974;1.001989;0.899456;0.209545;
2.032570;0.934172;-0.213999;1.002048;0.898016;0.209272;
2.032940;0.932884;-0.214025;1.002107;0.896578;0.208996;
2.033309;0.931593;-0.214050;1.002167;0.895142;0.208717;
2.033678;0.930298;-0.214075;1.002226;0.893708;0.208435;
2.034048;0.929000;-0.214100;1.002286;0.892277;0.208152;
2.034417;0.927698;-0.214125;1.002345;0.890848;0.207865;
2.034787;0.926394;-0.214149;1.002405;0.889422;0.207576;
2.035156;0.925086;-0.214174;1.002464;0.887999;0.207285;
2.035525;0.923776;-0.214199;1.002524;0.886579;0.206992;
2.035895;0.922464;-0.214223;1.002583;0.885161;0.206696;
2.036264;0.921150;-0.214248;1.002643;0.883746;0.206399;
2.036634;0.919833;-0.214273;1.002702;0.882334;0.206099;
2.037003;0.918515;-0.214297;1.002761;0.880926;0.205797;
2.037373;0.917194;-0.214322;1.002821;0.879520;0.205493;
2.037742;0.915873;-0.214347;1.002880;0.878118;0.205187;
2.038111;0.914550;-0.214372;1.002939;0.876719;0.204880;
2.038481;0.913225;-0.214397;1.002997;0.875323;0.204570;
2.038850;0.911900;-0.214422;1.003056;0.873931;0.204259;
2.039220;0.910574;-0.214447;1.003115;0.872542;0.203946;
2.039589;0.909247;-0.214473;1.003173;0.871156;0.203632;
2.039958;0.907919;-0.214498;1.003231;0.869775;0.203316;
2.040328;0.906591;-0.214524;1.003289;0.868396;0.202999;
2.040697;0.905262;-0.214549;1.003347;0.867022;0.202680;
2.041067;0.903934;-0.214575;1.003405;0.865651;0.202359;
2.041436;0.902605;-0.214601;1.003462;0.864284;0.202038;
2.041806;0.901276;-0.214627;1.003520;0.862921;0.201715;
2.042175;0.899948;-0.214653;1.003577;0.861561;0.201390;
2.042544;0.898620;-0.214679;1.003634;0.860205;0.201065;
2.042914;0.897292;-0.214706;1.003690;0.858853;0.200739;
2.043283;0.895965;-0.214732;1.003747;0.857506;0.200411;
2.043653;0.894638;-0.214758;1.003803;0.856162;0.200082;
2.044022;0.893312;-0.214785;1.003859;0.854822;0.199753;
2.044761;0.890664;-0.214838;1.003970;0.852154;0.199091;
2.045426;0.888284;-0.214886;1.004070;0.849766;0.198492;
2.046091;0.885908;-0.214934;1.004168;0.847392;0.197891;
2.046756;0.883537;-0.214982;1.004266;0.845031;0.197288;
2.047421;0.881171;-0.215031;1.004363;0.842684;0.196682;
2.048086;0.878811;-0.215079;1.004460;0.840350;0.196075;
2.048751;0.876456;-0.215127;1.004555;0.838030;0.195467;
2.049416;0.874109;-0.215175;1.004650;0.835724;0.194857;
2.050080;0.871768;-0.215223;1.004744;0.833431;0.194246;
2.050745;0.869435;-0.215271;1.004837;0.831152;0.193634;
2.051410;0.867110;-0.215319;1.004930;0.828887;0.193022;
2.052075;0.864792;-0.215366;1.005022;0.826636;0.192409;
2.052740;0.862483;-0.215413;1.005113;0.824398;0.191796;
2.053405;0.860183;-0.215459;1.005203;0.822174;0.191183;
2.054070;0.857892;-0.215506;1.005292;0.819965;0.190570;
2.054735;0.855610;-0.215552;1.005381;0.817769;0.189958;
2.055400;0.853338;-0.215597;1.005469;0.815587;0.189346;
2.056065;0.851076;-0.215642;1.005556;0.813418;0.188734;
2.056730;0.848823;-0.215687;1.005642;0.811264;0.188123;
2.057395;0.846581;-0.215731;1.005728;0.809123;0.187513;
2.058060;0.844349;-0.215775;1.005812;0.806997;0.186904;
2.058725;0.842128;-0.215818;1.005896;0.804883;0.186297;
2.059390;0.839917;-0.215861;1.005980;0.802784;0.185690;
2.060055;0.837718;-0.215904;1.006062;0.800698;0.185085;
2.060720;0.835529;-0.215946;1.006144;0.798626;0.184481;
2.061385;0.833351;-0.215987;1.006225;0.796568;0.183879;
2.062050;0.831185;-0.216028;1.006305;0.794523;0.183279;
2.062714;0.829030;-0.216068;1.006385;0.792491;0.182681;
2.063379;0.826887;-0.216108;1.006463;0.790473;0.182084;
2.064044;0.824755;-0.216148;1.006541;0.788468;0.181489;
2.064709;0.822634;-0.216187;1.006619;0.786476;0.180897;
2.065374;0.820526;-0.216226;1.006695;0.784498;0.180307;
2.066704;0.816343;-0.216302;1.006846;0.780581;0.179133;
2.067901;0.812620;-0.216369;1.006979;0.777100;0.178084;
2.069098;0.808935;-0.216435;1.007110;0.773661;0.177044;
2.070295;0.805288;-0.216499;1.007238;0.770264;0.176012;
2.071492;0.801680;-0.216562;1.007364;0.766907;0.174988;
2.072689;0.798111;-0.216624;1.007488;0.763592;0.173974;
2.073886;0.794580;-0.216685;1.007610;0.760316;0.172968;
2.075082;0.791088;-0.216745;1.007729;0.757081;0.171972;
2.076279;0.787634;-0.216803;1.007846;0.753884;0.170985;
2.077476;0.784219;-0.216861;1.007961;0.750727;0.170007;
2.078673;0.780842;-0.216917;1.008074;0.747608;0.169040;
2.079870;0.777504;-0.216973;1.008185;0.744528;0.168082;
2.081067;0.774203;-0.217027;1.008293;0.741485;0.167134;
2.082264;0.770939;-0.217081;1.008400;0.738479;0.166196;
2.083461;0.767713;-0.217133;1.008504;0.735510;0.165267;
2.084658;0.764524;-0.217185;1.008607;0.732578;0.164349;
2.085855;0.761372;-0.217236;1.008708;0.729681;0.163441;
2.087052;0.758257;-0.217285;1.008807;0.726820;0.162543;
2.088248;0.755178;-0.217334;1.008903;0.723994;0.161655;
2.089445;0.752134;-0.217382;1.008999;0.721202;0.160777;
2.090642;0.749127;-0.217429;1.009092;0.718445;0.159908;
2.091839;0.746154;-0.217475;1.009184;0.715721;0.159050;
2.093036;0.743217;-0.217520;1.009274;0.713031;0.158202;
2.094233;0.740314;-0.217565;1.009362;0.710374;0.157363;
2.095430;0.737445;-0.217608;1.009449;0.707750;0.156534;
2.096627;0.734611;-0.217651;1.009534;0.705157;0.155715;
2.097824;0.731810;-0.217693;1.009617;0.702597;0.154906;
2.099021;0.729042;-0.217734;1.009699;0.700067;0.154106;
2.100217;0.726307;-0.217774;1.009779;0.697569;0.153315;
2.101414;0.723604;-0.217814;1.009858;0.695101;0.152534;
2.102611;0.720934;-0.217853;1.009936;0.692663;0.151763;
2.103808;0.718296;-0.217891;1.010012;0.690256;0.151000;
2.105005;0.715689;-0.217928;1.010087;0.687877;0.150247;
2.106202;0.713113;-0.217965;1.010160;0.685528;0.149503;
2.107399;0.710567;-0.218001;1.010232;0.683207;0.148768;
2.108596;0.708052;-0.218036;1.010303;0.680915;0.148041;
2.109793;0.705568;-0.218071;1.010372;0.678651;0.147324;
2.110990;0.703113;-0.218105;1.010440;0.676414;0.146615;
2.112187;0.700687;-0.218138;1.010507;0.674205;0.145915;
2.113383;0.698290;-0.218171;1.010573;0.672022;0.145224;
2.114580;0.695922;-0.218203;1.010638;0.669867;0.144540;
2.115777;0.693582;-0.218235;1.010701;0.667737;0.143866;
2.116974;0.691271;-0.218266;1.010763;0.665634;0.143199;
2.118171;0.688987;-0.218296;1.010824;0.663556;0.142541;
2.119368;0.686730;-0.218326;1.010884;0.661503;0.141890;
2.120565;0.684500;-0.218356;1.010943;0.659475;0.141248;
2.121762;0.682297;-0.218385;1.011001;0.657472;0.140613;
2.122959;0.680121;-0.218413;1.011058;0.655494;0.139987;
2.124156;0.677970;-0.218441;1.011114;0.653539;0.139368;
2.125353;0.675845;-0.218468;1.011169;0.651608;0.138756;
2.126549;0.673746;-0.218495;1.011223;0.649701;0.138152;
2.127746;0.671672;-0.218521;1.011276;0.647817;0.137556;
2.128943;0.669623;-0.218547;1.011328;0.645956;0.136966;
2.130140;0.667598;-0.218572;1.011379;0.644117;0.136384;
2.131337;0.665598;-0.218597;1.011430;0.642301;0.135809;
2.132534;0.663621;-0.218622;1.011479;0.640506;0.135241;
2.133731;0.661668;-0.218646;1.011528;0.638734;0.134680;
2.134928;0.659739;-0.218669;1.011575;0.636983;0.134126;
2.136125;0.657832;-0.218693;1.011622;0.635253;0.133579;
2.137322;0.655949;-0.218715;1.011668;0.633544;0.133039;
2.138518;0.654088;-0.218738;1.011714;0.631856;0.132505;
2.139715;0.652249;-0.218760;1.011758;0.630188;0.131977;
2.140912;0.650433;-0.218781;1.011802;0.628541;0.131456;
2.142109;0.648638;-0.218803;1.011845;0.626913;0.130942;
2.143306;0.646864;-0.218824;1.011887;0.625305;0.130434;
2.144503;0.645112;-0.218844;1.011929;0.623717;0.129932;
2.145700;0.643381;-0.218864;1.011970;0.622147;0.129436;
2.146897;0.641670;-0.218884;1.012010;0.620597;0.128946;
2.148094;0.639980;-0.218904;1.012049;0.619066;0.128462;
2.149291;0.638311;-0.218923;1.012088;0.617553;0.127984;
2.150488;0.636661;-0.218941;1.012126;0.616058;0.127512;
2.151684;0.635031;-0.218960;1.012164;0.614581;0.127046;
2.152881;0.633420;-0.218978;1.012201;0.613122;0.126585;
