time;IEEE_5bus_test_IEEE_5bus_GridFeeding2_CurrentControl_Vs;IEEE_5bus_test_IEEE_5bus_GridFeeding2_CurrentControl_Ws;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i1;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i2;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i3;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v1;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v2;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v3;
4.82867e-05;207340;-3.10606;-168.73;158.652;10.0776;49771;-27398.2;-22372.7;
5.05648e-05;207340;-0.95431;-168.918;158.469;10.449;49690.1;-27008.1;-22682.1;
5.25727e-05;207340;0.755469;-169.085;158.308;10.7771;49650.2;-26711.2;-22939;
5.45805e-05;207340;2.31103;-169.252;158.146;11.1057;49636;-26453.2;-23182.8;
5.65883e-05;207340;3.72936;-169.419;157.984;11.4348;49644.5;-26229.5;-23415;
5.85961e-05;207340;5.02534;-169.587;157.822;11.7645;49673.2;-26036.4;-23636.7;
6.0604e-05;207340;6.21353;-169.754;157.66;12.0945;49719.4;-25870.3;-23849.1;
6.26118e-05;207340;7.30422;-169.922;157.497;12.425;49781.4;-25728.3;-24053.1;
6.66274e-05;207340;9.24124;-170.258;157.172;13.0869;49944.3;-25504.8;-24439.5;
7.06431e-05;207340;10.8986;-170.595;156.845;13.75;50151.1;-25350.1;-24801;
7.46587e-05;207340;12.3321;-170.933;156.519;14.4142;50392;-25249.9;-25142.1;
7.86744e-05;207340;13.5861;-171.271;156.192;15.0792;50659.4;-25192.9;-25466.5;
8.269e-05;207340;14.6966;-171.609;155.864;15.7449;50947.1;-25169.9;-25777.2;
8.67057e-05;207340;15.6919;-171.948;155.537;16.4113;51250.2;-25173.8;-26076.4;
9.4737e-05;207340;17.4508;-172.626;154.881;17.7455;51883.1;-25233.1;-26650;
0.000101965;207340;18.8232;-173.237;154.29;18.9478;52474.1;-25331.8;-27142.3;
0.000109193;207340;20.0654;-173.849;153.698;20.1512;53073.8;-25455.9;-27617.9;
0.000116422;207340;21.2197;-174.461;153.106;21.3556;53675.1;-25594.8;-28080.3;
0.00012365;207340;22.316;-175.074;152.513;22.5608;54273.2;-25741.1;-28532.2;
0.000130878;207340;23.3743;-175.687;151.92;23.7666;54864.9;-25889.7;-28975.2;
0.000138106;207340;24.4077;-176.3;151.327;24.9731;55448.2;-26037.5;-29410.7;
0.000145334;207340;25.4246;-176.913;150.733;26.1802;56022;-26182.5;-29839.4;
0.000152562;207340;26.4306;-177.526;150.139;27.3878;56585.5;-26323.5;-30262;
0.000159791;207340;27.4291;-178.14;149.544;28.5959;57138.3;-26459.6;-30678.7;
0.000174247;207340;29.4129;-179.366;148.353;31.0132;58211.7;-26715.6;-31496.1;
0.000187258;207340;31.1863;-180.469;147.279;33.1901;59141.3;-26927.1;-32214.2;
0.000200268;207340;32.9518;-181.572;146.204;35.368;60037;-27120.6;-32916.4;
0.000213279;207340;34.7108;-182.674;145.127;37.5467;60899.7;-27296.3;-33603.4;
0.00022629;207340;36.4638;-183.774;144.048;39.7262;61730.4;-27454.5;-34275.9;
0.0002393;207340;38.211;-184.873;142.967;41.9062;62530.1;-27595.9;-34934.2;
0.000252311;207340;39.9524;-185.971;141.884;44.0867;63299.8;-27720.9;-35578.9;
0.000265322;207340;41.6878;-187.066;140.799;46.2675;64040.5;-27830.2;-36210.4;
0.000278333;207340;43.4172;-188.16;139.711;48.4485;64753.2;-27924.1;-36829.1;
0.000304354;207340;46.8573;-190.339;137.528;52.8106;66099.4;-28069;-38030.5;
0.000327773;207340;49.9317;-192.291;135.555;56.7361;67224.2;-28152.1;-39072.1;
0.000351193;207340;52.9853;-194.233;133.572;60.6607;68272;-28193.4;-40078.6;
0.000374612;207340;56.0177;-196.164;131.58;64.5838;69247.1;-28195.3;-41051.8;
0.000398031;207340;59.0287;-198.083;129.578;68.505;70153.7;-28160.1;-41993.6;
0.00042145;207340;62.0182;-199.988;127.564;72.4238;70995.8;-28090;-42905.9;
0.00044487;207340;64.9862;-201.88;125.54;76.3398;71777.2;-27987;-43790.1;
0.000468289;207340;67.9326;-203.756;123.503;80.2525;72501.2;-27853.2;-44648;
0.000491708;207340;70.8574;-205.616;121.455;84.1617;73171.2;-27690.3;-45481;
0.000515127;207340;73.7608;-207.46;119.393;88.0668;73790.4;-27500;-46290.4;
0.000538547;207340;76.6428;-209.286;117.318;91.9676;74361.5;-27284;-47077.5;
0.000561966;207340;79.5035;-211.093;115.229;95.8638;74887.4;-27043.8;-47843.5;
0.000585385;207340;82.343;-212.881;113.126;99.7549;75370.4;-26780.8;-48589.6;
0.000608805;207340;85.1616;-214.649;111.008;103.641;75813.1;-26496.4;-49316.8;
0.000655643;207340;90.7359;-218.121;106.726;111.395;76588.6;-25869.4;-50719.3;
0.000697798;207340;95.6831;-221.17;102.818;118.352;77169.2;-25243.3;-51925.9;
0.000739952;207340;100.565;-224.143;98.8552;125.288;77649.4;-24564.8;-53084.6;
0.000782107;207340;105.384;-227.036;94.8361;132.2;78038.5;-23839.2;-54199.3;
0.000824262;207340;110.14;-229.846;90.7585;139.088;78344.9;-23071.3;-55273.7;
0.000866417;207340;114.835;-232.569;86.6206;145.949;78576.1;-22265.2;-56310.9;
0.000908571;207340;119.47;-235.202;82.4205;152.781;78738.8;-21424.9;-57313.9;
0.000950726;207340;124.047;-237.741;78.1564;159.585;78839;-20553.8;-58285.2;
0.000992881;207340;128.565;-240.183;73.8268;166.357;78881.9;-19655;-59226.9;
0.00103504;207340;133.026;-242.526;69.4303;173.096;78872.1;-18731.1;-60141;
0.00107719;207340;137.432;-244.766;64.9656;179.801;78813.8;-17784.7;-61029.1;
0.00111934;207340;141.782;-246.901;60.4315;186.47;78710.7;-16817.9;-61892.8;
0.0011615;207340;146.079;-248.929;55.8269;193.102;78566.2;-15832.8;-62733.4;
0.00120365;207340;150.322;-250.845;51.151;199.694;78383.3;-14831.2;-63552.1;
0.00124581;207340;154.512;-252.648;46.4028;206.246;78164.5;-13814.7;-64349.9;
0.00128796;207340;158.651;-254.336;41.5816;212.754;77912.4;-12784.8;-65127.6;
0.00133012;207340;162.739;-255.906;36.6869;219.219;77629.1;-11742.9;-65886.2;
0.00137227;207340;166.776;-257.356;31.7183;225.637;77316.4;-10690.2;-66626.2;
0.00145658;207340;174.699;-259.884;21.5575;238.326;76611.4;-8557.74;-68053.6;
0.00153246;207340;181.664;-261.727;12.1577;249.569;75891.5;-6611.58;-69279.9;
0.00160834;207340;188.475;-263.149;2.51675;260.632;75098;-4644.89;-70453.1;
0.00168422;207340;195.134;-264.14;-7.36401;271.504;74236.8;-2661.89;-71574.9;
0.0017601;207340;201.644;-264.69;-17.4819;282.172;73312.7;-666.287;-72646.4;
0.00183597;207340;208.007;-264.791;-27.833;292.624;72329.8;1338.68;-73668.4;
0.00191185;207340;214.225;-264.433;-38.4125;302.846;71291.6;3350.12;-74641.7;
0.00198773;207340;220.302;-263.611;-49.2143;312.825;70201;5365.43;-75566.5;
0.00203639;207340;224.125;-262.836;-56.2555;319.092;69475.2;6658.9;-76134.1;
0.00208505;207340;227.891;-261.866;-63.3833;325.249;68729.5;7952.4;-76681.9;
0.00212711;207340;231.101;-260.869;-69.613;330.482;68069.3;9070.18;-77139.5;
0.00216917;207340;234.269;-259.723;-75.904;335.627;67395.1;10187.2;-77582.3;
0.00221124;207340;237.395;-258.429;-82.2546;340.684;66707.1;11303.2;-78010.3;
0.0022533;207340;240.48;-256.986;-88.663;345.649;66005.7;12417.8;-78423.5;
0.00233742;207340;246.526;-253.648;-101.644;355.292;64563.9;14641.4;-79205.3;
0.00241314;207340;251.83;-250.128;-113.504;363.632;63222.9;16635.1;-79858;
0.00248885;207340;257.005;-246.118;-125.52;371.638;61842.3;18619.9;-80462.2;
0.00256456;207340;262.052;-241.617;-137.678;379.295;60423.4;20594.3;-81017.8;
0.00264028;207340;266.975;-236.626;-149.964;386.589;58967.6;22556.9;-81524.4;
0.0027917;207340;276.447;-225.178;-174.839;400.017;55950.7;26439.6;-82390.4;
0.00294313;207340;285.44;-211.797;-200.03;411.826;52800.3;30258.3;-83058.7;
0.00309455;207340;293.965;-196.516;-225.4;421.916;49525.6;34002.6;-83528.2;
0.00324598;207340;302.033;-179.385;-250.805;430.189;46135.8;37662.5;-83798.3;
0.0033974;207340;309.655;-160.469;-276.089;436.558;42640.4;41228.4;-83868.9;
0.00354883;207340;316.842;-139.848;-301.093;440.94;39048.8;44691.3;-83740.1;
0.00368103;207340;322.761;-120.519;-322.575;443.094;35841.6;47623.8;-83465.5;
0.00380002;207340;327.823;-102.126;-341.537;443.663;32903.7;50185.8;-83089.5;
0.00391901;207340;332.631;-82.8528;-360.054;442.907;29922.3;52670.3;-82592.6;
0.00403799;207340;337.192;-62.7603;-378.048;440.808;26902;55073.7;-81975.7;
0.00415698;207340;341.51;-41.9167;-395.438;437.354;23847.6;57392.6;-81240.3;
0.00427596;207340;345.588;-20.3928;-412.145;432.538;20763.9;59623.8;-80387.7;
0.00439495;207340;349.434;1.73533;-428.095;426.359;17655.7;61763.9;-79419.7;
0.00444731;207340;351.053;11.6536;-434.862;423.209;16280.9;62676.5;-78957.4;
0.00449968;207340;352.629;21.6679;-441.463;419.795;14902.7;63570.6;-78473.3;
0.00455205;207340;354.161;31.7707;-447.891;416.121;13521.5;64446;-77967.6;
0.00465679;207340;357.096;52.2025;-460.196;407.994;10752.1;66139.8;-76892;
0.00476152;207340;359.862;72.8971;-471.739;398.842;7975.7;67756.4;-75732.1;
0.00486626;207340;362.462;93.7974;-482.478;388.68;5195.31;69294.1;-74489.4;
0.00497099;207340;364.901;114.844;-492.375;377.53;2414.18;70751.7;-73165.8;
0.00507573;207340;367.18;135.977;-501.393;365.416;-364.534;72127.6;-71763;
0.00518047;207340;369.305;157.135;-509.499;352.364;-3137.69;73420.7;-70283;
0.0052852;207340;371.277;178.257;-516.663;338.406;-5902.2;74629.8;-68727.6;
0.00538994;207340;373.102;199.283;-522.858;323.575;-8654.98;75753.9;-67098.9;
0.00549467;207340;374.783;220.152;-528.059;307.908;-11393;76792;-65399;
0.00559941;207340;376.323;240.804;-532.249;291.444;-14113.4;77743.5;-63630.1;
0.00570415;207340;377.726;261.182;-535.409;274.226;-16813.1;78607.5;-61794.5;
0.00579007;207340;378.774;277.659;-537.225;259.566;-19010.5;79250.8;-60240.2;
0.00587599;207340;379.738;293.882;-538.335;244.453;-21190.6;79834.4;-58643.8;
0.00595027;207340;380.503;307.681;-538.723;231.042;-23060.2;80290.9;-57230.7;
0.00602456;207340;381.204;321.25;-538.578;217.329;-24914.7;80702.6;-55787.9;
0.00609884;207340;381.846;334.564;-537.901;203.336;-26753.1;81069.4;-54316.2;
0.00624741;207340;382.947;360.355;-534.954;174.599;-30377.3;81668.2;-51290.8;
0.00639598;207340;383.824;384.936;-529.901;144.965;-33926.3;82087;-48160.8;
0.00649831;207340;384.301;401.111;-525.206;124.095;-36323.5;82270.9;-45947.3;
0.00660064;207340;384.679;416.619;-519.536;102.918;-38679.3;82369.4;-43690.1;
0.00670296;207340;384.963;431.421;-512.908;81.4868;-40991.4;82383;-41391.6;
0.00680529;207340;385.154;445.485;-505.34;59.855;-43257.8;82311.8;-39054;
0.00690762;207340;385.256;458.781;-496.855;38.0737;-45476.3;82156.2;-36679.9;
0.00700995;207340;385.274;471.281;-487.475;16.1942;-47644.9;81916.7;-34271.8;
0.00711228;207340;385.211;482.961;-477.228;-5.73295;-49761.7;81593.7;-31832;
0.00718105;207340;385.125;490.34;-469.866;-20.4747;-51154.3;81330;-30175.7;
0.00724982;207340;385.005;497.334;-462.133;-35.2009;-52522;81029;-28507;
0.00731859;207340;384.851;503.936;-454.039;-49.8962;-53864.3;80691;-26826.7;
0.00738736;207340;384.666;510.141;-445.595;-64.5461;-55180.7;80316.2;-25135.5;
0.0075249;207340;384.203;521.344;-427.709;-93.6345;-57733.1;79457.1;-21724;
0.00764869;207340;383.687;530.037;-410.519;-119.518;-59936.5;78560.5;-18623.9;
0.00777247;207340;383.084;537.401;-392.363;-145.038;-62048.1;77548.4;-15500.3;
0.00789626;207340;382.4;543.429;-373.306;-170.123;-64065.1;76422.8;-12357.7;
0.00802005;207340;381.639;548.121;-353.417;-194.704;-65984.9;75185.3;-9200.44;
0.00814383;207340;380.807;551.479;-332.764;-218.715;-67805;73838.1;-6033.08;
0.00826762;207340;379.909;553.512;-311.416;-242.096;-69523.2;72383.2;-2860.04;
0.00839141;207340;378.95;554.232;-289.446;-264.786;-71137.1;70822.9;314.223;
0.00851519;207340;377.934;553.658;-266.927;-286.731;-72644.8;69159.5;3485.27;
0.00863898;207340;376.868;551.811;-243.932;-307.879;-74044.1;67395.5;6648.57;
0.00876277;207340;375.755;548.717;-220.531;-328.186;-75333.4;65533.6;9799.79;
0.00888655;207340;374.602;544.406;-196.797;-347.609;-76510.9;63576.3;12934.5;
0.00901034;207340;373.409;538.909;-172.799;-366.109;-77574.9;61526.8;16048.1;
0.00913412;207340;372.181;532.264;-148.608;-383.656;-78524.6;59388.2;19136.4;
0.00925791;207340;370.923;524.513;-124.282;-400.232;-79358.8;57162.6;22196.2;
0.00933736;207340;370.098;518.964;-108.62;-410.343;-79831.8;55690;24141.9;
0.0094168;207340;369.266;512.981;-92.9465;-420.035;-80256.6;54184;26072.6;
0.00949625;207340;368.426;506.581;-77.2809;-429.301;-80632.8;52645.6;27987.2;
0.0095757;207340;367.578;499.772;-61.6343;-438.138;-80960.1;51075.6;29884.4;
0.00965514;207340;366.722;492.567;-46.0241;-446.543;-81238.2;49474.9;31763.3;
0.00973459;207340;365.858;484.98;-30.4687;-454.512;-81467.1;47844.4;33622.6;
0.00981404;207340;364.99;477.023;-14.98;-462.043;-81646.5;46185.2;35461.4;
0.00989348;207340;364.117;468.707;0.42702;-469.134;-81776.5;44498.1;37278.4;
0.00994689;207340;363.529;462.92;10.7348;-473.654;-81836;43348.8;38487.2;
0.0100003;207340;362.939;456.979;20.9962;-477.975;-81873.1;42187.6;39685.5;
0.0100537;207340;362.347;450.889;31.2067;-482.096;-81887.8;41014.9;40872.8;
0.0101605;207340;361.159;438.286;51.4539;-489.74;-81849.7;38636.3;43213.4;
0.0102567;207340;360.087;426.475;69.4632;-495.938;-81738.7;36459.3;45279.4;
0.0103528;207340;359.014;414.245;87.2479;-501.493;-81555.1;34249.8;47305.3;
0.0104489;207340;357.941;401.618;104.789;-506.407;-81299.1;32009.8;49289.3;
0.0105451;207340;356.87;388.618;122.068;-510.686;-80970.7;29741.1;51229.6;
0.0106412;207340;355.801;375.266;139.067;-514.333;-80570.3;27445.8;53124.5;
0.010725;207340;354.871;363.357;153.644;-517;-80162.8;25424.7;54738.2;
0.0108088;207340;353.945;351.212;167.984;-519.196;-79701;23386.1;56314.9;
0.0108926;207340;353.022;338.848;182.077;-520.925;-79185.3;21331.5;57853.9;
0.0110602;207340;351.184;313.539;209.47;-523.009;-77993.4;17180.2;60813.3;
0.011211;207340;349.55;290.155;233.188;-523.343;-76739.7;13402.4;63337.3;
0.0113619;207340;347.935;266.281;255.971;-522.252;-75317.1;9593.83;65723.3;
0.0115127;207340;346.343;241.999;277.778;-519.776;-73728.6;5762.63;67966;
0.0116636;207340;344.776;217.384;298.572;-515.956;-71977.5;1917.13;70060.3;
0.0117926;207340;343.458;196.12;315.532;-511.652;-70353.3;-1377.11;71730.5;
0.0119087;207340;342.29;176.858;330.129;-506.986;-68794.2;-4341.37;73135.6;
0.0120248;207340;341.139;157.511;344.081;-501.593;-67144.8;-7301.01;74445.8;
0.0121409;207340;340.006;138.113;357.38;-495.493;-65407.2;-10252.1;75659.4;
0.012257;207340;338.891;118.694;370.017;-488.711;-63583.6;-13190.9;76774.6;
0.0123731;207340;337.796;99.2846;381.984;-481.268;-61676.4;-16113.6;77789.9;
0.0124892;207340;336.719;79.9167;393.275;-473.192;-59687.7;-19016.3;78704;
0.0126053;207340;335.666;60.6103;403.888;-464.498;-57620.5;-21895.1;79515.6;
0.0126838;207340;334.965;47.6024;410.677;-458.28;-56179.2;-23826.6;80005.8;
0.0127623;207340;334.275;34.6435;417.154;-451.798;-54703.8;-25744.4;80448.3;
0.0128409;207340;333.594;21.7419;423.317;-445.059;-53195.4;-27647.3;80842.7;
0.0129194;207340;332.923;8.90514;429.166;-438.071;-51654.7;-29534.1;81188.9;
0.0129979;207340;332.262;-3.85928;434.701;-430.842;-50082.8;-31403.8;81486.6;
0.0130764;207340;331.611;-16.5442;439.922;-423.378;-48480.4;-33255.1;81735.5;
0.0131549;207340;330.97;-29.1427;444.829;-415.686;-46848.6;-35086.9;81935.6;
0.0132334;207340;330.339;-41.6479;449.422;-407.774;-45188.3;-36898.3;82086.6;
0.0133119;207340;329.718;-54.0534;453.703;-399.649;-43500.5;-38687.9;82188.5;
0.0133904;207340;329.108;-66.3526;457.671;-391.318;-41786.2;-40454.9;82241.1;
0.0135474;207340;327.916;-90.5998;464.676;-374.076;-38282.7;-43915.7;82198.5;
0.0137045;207340;326.765;-114.348;470.446;-356.098;-34685.6;-47273;81958.6;
0.0138615;207340;325.659;-137.554;474.992;-337.437;-31003.2;-50518.7;81521.9;
0.0139318;207340;325.181;-147.759;476.632;-328.872;-29329.1;-51933.8;81262.8;
0.0140021;207340;324.71;-157.844;478.03;-320.186;-27640.5;-53324.1;80964.6;
0.0140723;207340;324.248;-167.805;479.187;-311.383;-25938.4;-54689;80627.3;
0.0142129;207340;323.346;-187.334;480.79;-293.455;-22497;-57339.4;79836.4;
0.0143535;207340;322.477;-206.326;481.45;-275.124;-19010.9;-59880.4;78891.3;
0.014494;207340;321.641;-224.754;481.179;-256.425;-15486.6;-62307.1;77793.7;
0.0146346;207340;320.84;-242.597;479.993;-237.397;-11931.1;-64614.6;76545.7;
0.0147752;207340;320.072;-259.831;477.906;-218.075;-8351.12;-66798.4;75149.5;
0.0148589;207340;319.632;-269.799;476.24;-206.441;-6210.13;-68038.5;74248.7;
0.0149426;207340;319.204;-279.539;474.263;-194.724;-4064.49;-69232.3;73296.8;
0.0150263;207340;318.787;-289.048;471.978;-182.93;-1915.68;-70378.9;72294.6;
0.01511;207340;318.38;-298.322;469.391;-171.069;234.837;-71477.5;71242.7;
0.0152774;207340;317.596;-316.143;463.325;-147.182;4534.17;-73527.2;68993;
0.0154448;207340;316.856;-332.977;456.092;-123.115;8822.68;-75376.1;66553.4;
0.0156122;207340;316.161;-348.801;447.724;-98.9236;13088.7;-77019.1;63930.4;
0.0157561;207340;315.6;-361.577;439.648;-78.0711;16728.8;-78263.3;61534.5;
0.0158254;207340;315.344;-367.454;435.472;-68.0174;18471;-78806.3;60335.3;
0.0158947;207340;315.094;-373.15;431.114;-57.964;20204.6;-79312.3;59107.7;
0.015964;207340;314.851;-378.662;426.577;-47.9151;21928.9;-79781.1;57852.2;
0.0161026;207340;314.382;-389.128;416.98;-27.852;25345.6;-80605.6;55260.1;
0.0162412;207340;313.938;-398.843;406.699;-7.85589;28715.2;-81278.6;52563.5;
0.01633;207340;313.671;-404.669;399.763;4.90611;30846.2;-81629.5;50783.4;
0.0164188;207340;313.414;-410.181;392.559;17.6212;32953.5;-81917.4;48963.9;
0.0165075;207340;313.167;-415.377;385.096;30.2812;35035.6;-82141.9;47106.3;
0.0165963;207340;312.93;-420.256;377.377;42.8783;37090.9;-82303;45212.2;
0.0166693;207340;312.744;-424.027;370.845;53.1818;38759.2;-82387.8;43628.6;
0.0167423;207340;312.563;-427.582;364.149;63.4328;40407.4;-82429.5;42022.1;
0.0168152;207340;312.39;-430.919;357.291;73.6274;42034.5;-82428.2;40393.6;
0.0168882;207340;312.223;-434.037;350.276;83.7614;43639.8;-82383.7;38743.9;
0.0169612;207340;312.063;-436.937;343.106;93.8305;45222.4;-82296.2;37073.8;
0.0170342;207340;311.909;-439.617;335.786;103.831;46781.4;-82165.6;35384.2;
0.0171801;207340;311.618;-444.315;320.711;123.604;49824.9;-81775.6;31950.7;
0.0173261;207340;311.351;-448.129;305.078;143.051;52764.7;-81214.5;28449.8;
0.017406;207340;311.217;-449.842;296.289;153.553;54328.4;-80835;26506.6;
0.0174859;207340;311.09;-451.29;287.346;163.944;55858.1;-80404.9;24546.8;
0.0175658;207340;310.971;-452.47;278.254;174.217;57352.7;-79924.2;22571.5;
0.0177257;207340;310.747;-454.034;259.648;194.385;60232.6;-78812.7;18580.2;
0.0178855;207340;310.549;-454.534;240.51;214.024;62961.3;-77503.2;14542;
0.0180453;207340;310.378;-453.973;220.879;233.094;65531.9;-75998.9;10467;
0.0182051;207340;310.232;-452.355;200.797;251.558;67938;-74303.5;6365.44;
0.018365;207340;310.109;-449.688;180.308;269.38;70173.4;-72421.1;2247.78;
0.0185248;207340;310.01;-445.978;159.455;286.523;72232.2;-70356.6;-1875.55;
0.0186575;207340;309.945;-442.114;141.9;300.214;73803.4;-68508.3;-5295.09;
0.0187258;207340;309.919;-439.847;132.778;307.069;74563;-67509.6;-7053.43;
0.0187941;207340;309.897;-437.395;123.608;313.787;75288.2;-66479.9;-8808.37;
0.0188625;207340;309.877;-434.757;114.394;320.363;75978.7;-65419.6;-10559.1;
0.0189991;207340;309.844;-428.932;95.8517;333.08;77254.2;-63209.7;-14044.5;
0.0191358;207340;309.824;-422.381;77.1781;345.203;78387.2;-60883.6;-17503.6;
0.0192724;207340;309.817;-415.116;58.4014;356.714;79375.7;-58445.5;-20930.2;
0.0193809;207340;309.821;-408.843;43.4342;365.409;80056.6;-56432.3;-23624.3;
0.0194894;207340;309.833;-402.132;28.4348;373.697;80644.5;-54353.7;-26290.8;
0.019598;207340;309.852;-394.991;13.4188;381.572;81138.5;-52212.1;-28926.4;
0.0197065;207340;309.877;-387.425;-1.59867;389.024;81538.1;-50010;-31528.1;
0.019815;207340;309.908;-379.443;-16.6021;396.045;81842.9;-47749.9;-34093;
