time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
6.026089;-0.010215;0.192169;-0.335117;-0.211708;0.060103;-1.013129;1.000000;
6.027496;-0.010990;0.142827;-0.290855;0.086792;-0.040948;-0.882012;1.000000;
6.028903;-0.010606;0.109087;-0.223005;0.344024;-0.128060;-0.681230;1.000000;
6.030310;-0.009121;0.094265;-0.135609;0.549606;-0.197714;-0.422735;1.000000;
6.031717;-0.006638;0.101636;-0.033327;0.695989;-0.247353;-0.120309;1.000000;
6.033124;-0.003300;0.133626;0.078697;0.778477;-0.275381;0.210840;1.000000;
6.034531;0.000717;0.190903;0.194991;0.795223;-0.281168;0.554539;1.000000;
6.035938;0.005205;0.271618;0.309939;0.747214;-0.265042;0.894195;1.000000;
6.037345;0.009937;0.371022;0.418003;0.638221;-0.228274;1.213442;1.000000;
6.038752;0.014671;0.481621;0.513962;0.474687;-0.173037;1.496860;1.000000;
6.040159;0.019168;0.593904;0.593167;0.265504;-0.102337;1.730718;1.000000;
6.041566;0.023197;0.697542;0.651791;0.021678;-0.019893;1.903716;1.000000;
6.042973;0.026553;0.782861;0.687055;-0.244128;0.070013;2.007654;1.000000;
6.044380;0.029074;0.841516;0.697442;-0.518574;0.162868;2.038067;1.000000;
6.045787;0.030632;0.871377;0.682706;-0.786523;0.253551;1.994242;1.000000;
6.047193;0.031177;0.869825;0.644287;-1.035019;0.337676;1.880444;1.000000;
6.048600;0.030710;0.840969;0.584942;-1.250932;0.410798;1.704838;1.000000;
6.050007;0.029294;0.789219;0.508784;-1.423150;0.469151;1.479591;1.000000;
6.051414;0.027061;0.721560;0.420983;-1.544013;0.510139;1.219986;1.000000;
6.052821;0.024179;0.644411;0.327117;-1.609075;0.532252;0.942516;1.000000;
6.054228;0.020844;0.562851;0.232759;-1.617590;0.535231;0.663652;1.000000;
6.055635;0.017271;0.480430;0.143166;-1.573091;0.520267;0.398926;1.000000;
6.057042;0.013654;0.401654;0.062536;-1.481121;0.489230;0.160736;1.000000;
