time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.0046481378;0.3651232751;0.1573822822;0.5222296575;-0.7302465501;0.1095384913;0.1481956754;1.0000002626;
1.0059281378;0.3685863828;0.1629328737;0.5233366019;-0.7371727655;0.1105774379;0.1555752029;1.0000001601;
1.0062658199;0.3695993493;0.1644848440;0.5236391724;-0.7391986985;0.1108813320;0.1575923117;1.0000001428;
1.0062658199;0.3695987117;0.1644852388;0.5236393581;-0.7391974233;0.1108811408;0.1575935498;1.0000001428;
1.0062758198;0.3696295848;0.1645322263;0.5236484834;-0.7392591696;0.1108904028;0.1576543842;1.0000001425;
1.0062758198;0.3696295848;0.1645322263;0.5236484834;-0.7392591696;0.1108904028;0.1576543842;1.0000001425;
1.0062858198;0.3696605131;0.1645793516;0.5236576391;-0.7393210262;0.1108996814;0.1577154217;1.0000001423;
1.0062958198;0.3696914955;0.1646266131;0.5236668250;-0.7393829909;0.1109089763;0.1577766599;1.0000001420;
1.0063158198;0.3697535921;0.1647214674;0.5236852696;-0.7395071842;0.1109276055;0.1578996221;1.0000001414;
1.0063558198;0.3698784161;0.1649127608;0.5237225088;-0.7397568322;0.1109650532;0.1581478802;1.0000001403;
1.0064358198;0.3701306133;0.1653017447;0.5237983988;-0.7402612266;0.1110407134;0.1586538069;1.0000001383;
1.0065958198;0.3706452177;0.1661052665;0.5239558059;-0.7412904354;0.1111950969;0.1597031730;1.0000001345;
1.0069158198;0.3717146262;0.1678123839;0.5242925501;-0.7434292524;0.1115159239;0.1619481031;1.0000001281;
1.0075558198;0.3740088942;0.1716095252;0.5250490825;-0.7480177885;0.1122042138;0.1669915829;1.0000001194;
1.0088358198;0.3791775869;0.1806036569;0.5268587318;-0.7583551738;0.1137548429;0.1790557459;1.0000001128;
1.0101158198;0.3850708967;0.1913134799;0.5290195083;-0.7701417935;0.1155228602;0.1934607241;1.0000001161;
1.0113958198;0.3916198378;0.2035355795;0.5314736727;-0.7832396756;0.1174875696;0.2098215947;1.0000001245;
1.0125433411;0.3979893241;0.2156111446;0.5338769615;-0.7959786482;0.1193984418;0.2258432991;1.0000001338;
1.0125433411;0.3979870566;0.2156115706;0.5338773602;-0.7959741132;0.1193977615;0.2258459569;1.0000001338;
1.0125440232;0.3979909903;0.2156190841;0.5338788489;-0.7959819805;0.1193989417;0.2258558815;1.0000001338;
1.0125440232;0.3979909903;0.2156190841;0.5338788489;-0.7959819805;0.1193989417;0.2258558815;1.0000001338;
1.0125446208;0.3979944365;0.2156256665;0.5338801531;-0.7959888730;0.1193999755;0.2258645763;1.0000001338;
1.0125446208;0.3979944365;0.2156256665;0.5338801531;-0.7959888730;0.1193999755;0.2258645763;1.0000001338;
1.0125546208;0.3980521036;0.2157357958;0.5339019713;-0.7961042072;0.1194172759;0.2260100290;1.0000001339;
1.0125646208;0.3981098007;0.2158459701;0.5339237949;-0.7962196014;0.1194345853;0.2261555177;1.0000001340;
1.0125846208;0.3982252579;0.2160664104;0.5339674502;-0.7964505159;0.1194692229;0.2264465487;1.0000001341;
1.0126246208;0.3984564767;0.2165077172;0.5340548020;-0.7969129535;0.1195385895;0.2270288861;1.0000001345;
1.0127046208;0.3989201282;0.2173920220;0.5342296672;-0.7978402564;0.1196776869;0.2281946381;1.0000001352;
1.0128646208;0.3998522641;0.2191672666;0.5345800088;-0.7997045283;0.1199573315;0.2305302168;1.0000001366;
1.0131846208;0.4017353321;0.2227428610;0.5352827970;-0.8034706642;0.1205222597;0.2352154070;1.0000001394;
1.0138246208;0.4055724185;0.2299833870;0.5366942040;-0.8111448371;0.1216734015;0.2446246571;1.0000001446;
1.0147585327;0.4113219318;0.2407132975;0.5387565699;-0.8226438635;0.1233982792;0.2583735738;1.0000001515;
1.0147585327;0.4113219318;0.2407132975;0.5387565699;-0.8226438635;0.1233982792;0.2583735738;1.0000001515;
1.0147685327;0.4113843072;0.2408297203;0.5387788110;-0.8227686143;0.1234169921;0.2585218460;1.0000001516;
1.0147785327;0.4114468219;0.2409459795;0.5388009889;-0.8228936437;0.1234357467;0.2586696962;1.0000001517;
1.0147985327;0.4115717280;0.2411785419;0.5388453630;-0.8231434559;0.1234732191;0.2589655200;1.0000001518;
1.0148385327;0.4118208091;0.2416439471;0.5389342430;-0.8236416181;0.1235479444;0.2595580446;1.0000001521;
1.0149185327;0.4123162098;0.2425757038;0.5391124628;-0.8246324196;0.1236965667;0.2607461604;1.0000001525;
1.0150785327;0.4132957143;0.2444429692;0.5394707682;-0.8265914285;0.1239904221;0.2631348304;1.0000001533;
1.0153985327;0.4152093739;0.2481913581;0.5401945811;-0.8304187478;0.1245645279;0.2679601830;1.0000001541;
1.0160385327;0.4188543411;0.2557347127;0.5416689802;-0.8377086822;0.1256580331;0.2777893748;1.0000001535;
1.0173185327;0.4254110878;0.2709424774;0.5447096356;-0.8508221755;0.1276250842;0.2980601316;1.0000001461;
1.0185985327;0.4309847766;0.2862340315;0.5478555465;-0.8619695531;0.1292972139;0.3190325825;1.0000001328;
1.0198785327;0.4355757669;0.3015071379;0.5510828139;-0.8711515337;0.1306745299;0.3405474023;1.0000001160;
