time;gridFollowing_gridFollowing_PGenPu;gridFollowing_gridFollowing_QGenPu;gridFollowing_gridFollowing_plantControllerPropInt_PInjPu;gridFollowing_gridFollowing_plantControllerPropInt_QInjPu;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_y;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_u1;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_u2;gridFollowing_gridFollowing_plantControllerPropInt_URefPu;gridFollowing_gridFollowing_plantControllerPropInt_URegPu;gridFollowing_gridFollowing_plantControllerPropInt_QRegPu;gridFollowing_gridFollowing_plantControllerPropInt_deadZone_y;gridFollowing_gridFollowing_plantControllerPropInt_limitedPI_u;gridFollowing_gridFollowing_plantControllerPropInt_limitedPI_y;Tfo_transformer_U2Pu;Tfo_transformer_Q2Pu;Fault_fault_terminal_i_re;Fault_fault_terminal_i_im;Fault1_fault_terminal_i_re;Fault1_fault_terminal_i_im;Fault_fault_terminal_V_re;Fault_fault_terminal_V_im;Fault1_fault_terminal_V_re;Fault1_fault_terminal_V_im;
5.999999;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
5.999999;0.200000;0.514655;1.333333;3.431021;0.794863;-0.128163;0.666700;1.002297;0.061485;0.019224;0.744863;0.744863;3.431021;0.061488;0.019223;0.000000;0.000000;-0.053243;-4.837208;-0.155513;0.066093;0.435349;-0.004792;
6.000019;0.200000;0.514658;1.333333;3.431054;0.794839;-0.128139;0.666700;1.002297;0.061488;0.019221;0.744839;0.744839;3.431054;0.061488;0.019221;0.000000;0.000000;-0.053244;-4.837207;-0.155513;0.066093;0.435349;-0.004792;
6.000040;0.200000;0.514663;1.333333;3.431089;0.794816;-0.128116;0.666700;1.002297;0.061488;0.019217;0.744816;0.744816;3.431089;0.061488;0.019217;0.000000;0.000000;-0.053244;-4.837205;-0.155515;0.066092;0.435348;-0.004792;
6.000080;0.200000;0.514674;1.333333;3.431160;0.794769;-0.128069;0.666700;1.002297;0.061487;0.019210;0.744769;0.744769;3.431160;0.061487;0.019210;0.000000;0.000000;-0.053245;-4.837200;-0.155518;0.066092;0.435348;-0.004792;
6.000162;0.200000;0.514695;1.333333;3.431302;0.794676;-0.127976;0.666700;1.002297;0.061486;0.019196;0.744676;0.744676;3.431302;0.061486;0.019196;0.000000;0.000000;-0.053246;-4.837191;-0.155523;0.066092;0.435347;-0.004792;
6.000325;0.200000;0.514738;1.333333;3.431586;0.794490;-0.127790;0.666700;1.002297;0.061485;0.019169;0.744490;0.744490;3.431586;0.061485;0.019169;0.000000;0.000000;-0.053249;-4.837172;-0.155534;0.066091;0.435346;-0.004792;
6.000650;0.200000;0.514823;1.333333;3.432152;0.794119;-0.127419;0.666700;1.002297;0.061482;0.019113;0.744119;0.744119;3.432152;0.061482;0.019113;0.000000;0.000000;-0.053254;-4.837135;-0.155556;0.066089;0.435342;-0.004793;
6.001302;0.200000;0.514993;1.333333;3.433285;0.793376;-0.126676;0.666700;1.002297;0.061475;0.019001;0.743376;0.743376;3.433285;0.061475;0.019001;0.000000;0.000000;-0.053265;-4.837062;-0.155600;0.066085;0.435336;-0.004794;
6.002605;0.200000;0.515332;1.333333;3.435546;0.791893;-0.125193;0.666700;1.002297;0.061462;0.018779;0.741893;0.741893;3.435546;0.061462;0.018779;0.000000;0.000000;-0.053286;-4.836914;-0.155688;0.066078;0.435322;-0.004796;
6.005211;0.200000;0.516008;1.333333;3.440056;0.788936;-0.122236;0.666700;1.002297;0.061436;0.018335;0.738936;0.738936;3.440056;0.061436;0.018335;0.000000;0.000000;-0.053329;-4.836620;-0.155864;0.066064;0.435296;-0.004800;
6.010423;0.200000;0.517353;1.333333;3.449020;0.783057;-0.116357;0.666700;1.002297;0.061385;0.017454;0.733057;0.733057;3.449020;0.061385;0.017454;0.000000;0.000000;-0.053415;-4.836035;-0.156213;0.066035;0.435243;-0.004807;
6.020846;0.200000;0.520010;1.333333;3.466732;0.771438;-0.104738;0.666700;1.002297;0.061289;0.015711;0.721438;0.721438;3.466732;0.061289;0.015711;0.000000;0.000000;-0.053584;-4.834882;-0.156902;0.065978;0.435139;-0.004823;
6.041694;0.200000;0.525197;1.333333;3.501313;0.748742;-0.082042;0.666700;1.002297;0.061115;0.012306;0.698742;0.698742;3.501313;0.061115;0.012306;0.000000;0.000000;-0.053913;-4.832635;-0.158244;0.065867;0.434937;-0.004852;
6.052990;0.200000;0.527938;1.333333;3.519585;0.736744;-0.070044;0.666700;1.002297;0.061030;0.010507;0.686744;0.686744;3.519585;0.061030;0.010507;0.000000;0.000000;-0.054087;-4.831450;-0.158951;0.065808;0.434831;-0.004868;
6.064286;0.200000;0.530631;1.333333;3.537540;0.724952;-0.058252;0.666700;1.002297;0.060952;0.008738;0.674952;0.674952;3.537540;0.060952;0.008738;0.000000;0.000000;-0.054258;-4.830288;-0.159646;0.065750;0.434726;-0.004883;
6.075582;0.200000;0.533277;1.333333;3.555181;0.713361;-0.046661;0.666700;1.002297;0.060880;0.006999;0.663361;0.663361;3.555181;0.060880;0.006999;0.000000;0.000000;-0.054426;-4.829148;-0.160327;0.065693;0.434623;-0.004898;
6.098174;0.200000;0.538433;1.333333;3.589555;0.690767;-0.024067;0.666700;1.002297;0.060753;0.003610;0.640767;0.640767;3.589555;0.060753;0.003610;0.000000;0.000000;-0.054753;-4.826930;-0.161651;0.065582;0.434424;-0.004928;
6.120767;0.200000;0.543412;1.333333;3.622747;0.668938;-0.002238;0.666700;1.002297;0.060648;0.000336;0.618938;0.618938;3.622747;0.060648;0.000336;0.000000;0.000000;-0.055069;-4.824795;-0.162926;0.065475;0.434232;-0.004956;
6.143359;0.200000;0.548219;1.333333;3.654794;0.647850;0.018850;0.666700;1.002297;0.060563;-0.002828;0.597850;0.597850;3.654794;0.060563;-0.002828;0.000000;0.000000;-0.055373;-4.822739;-0.164155;0.065371;0.434046;-0.004984;
6.165951;0.200000;0.552861;1.333333;3.685738;0.627477;0.039223;0.666700;1.002297;0.060495;-0.005883;0.577477;0.577477;3.685738;0.060495;-0.005883;0.000000;0.000000;-0.055667;-4.820758;-0.165337;0.065271;0.433868;-0.005010;
6.188543;0.200000;0.557342;1.333333;3.715616;0.607797;0.058903;0.666700;1.002297;0.060443;-0.008836;0.557797;0.557797;3.715616;0.060443;-0.008836;0.000000;0.000000;-0.055951;-4.818851;-0.166477;0.065175;0.433697;-0.005036;
6.211135;0.200000;0.561670;1.333333;3.744465;0.588785;0.077915;0.666700;1.002297;0.060406;-0.011687;0.538785;0.538785;3.744465;0.060406;-0.011687;0.000000;0.000000;-0.056225;-4.817013;-0.167574;0.065081;0.433531;-0.005060;
6.249999;0.200000;0.568774;1.333333;3.791828;0.557552;0.109148;0.666700;1.002297;0.060372;-0.016372;0.507552;0.507552;3.791828;0.060372;-0.016372;0.000000;0.000000;-0.056674;-4.814005;-0.169371;0.064927;0.433260;-0.005101;
6.249999;0.200000;1.054525;1.333333;7.030164;1.205219;-0.538519;0.666700;1.002297;0.045266;0.080778;1.155219;1.155219;7.030164;0.045266;0.080778;0.000000;0.000000;0.000000;0.000000;-0.221704;0.039798;0.731847;-0.034226;
6.250053;0.200000;1.054546;1.333333;7.030306;1.205121;-0.538421;0.666700;1.002297;0.045265;0.080763;1.155121;1.155121;7.030306;0.045265;0.080763;0.000000;0.000000;0.000000;0.000000;-0.221707;0.039798;0.731846;-0.034226;
6.250108;0.200000;1.054567;1.333333;7.030449;1.205023;-0.538323;0.666700;1.002297;0.045263;0.080749;1.155023;1.155023;7.030449;0.045263;0.080749;0.000000;0.000000;0.000000;0.000000;-0.221711;0.039798;0.731845;-0.034227;
6.250218;0.200000;1.054610;1.333333;7.030734;1.204828;-0.538128;0.666700;1.002297;0.045261;0.080719;1.154828;1.154828;7.030734;0.045261;0.080719;0.000000;0.000000;0.000000;0.000000;-0.221719;0.039797;0.731843;-0.034227;
6.250436;0.200000;1.054696;1.333333;7.031304;1.204436;-0.537736;0.666700;1.002297;0.045256;0.080660;1.154436;1.154436;7.031304;0.045256;0.080660;0.000000;0.000000;0.000000;0.000000;-0.221734;0.039796;0.731839;-0.034227;
6.250874;0.200000;1.054866;1.333333;7.032443;1.203654;-0.536954;0.666700;1.002297;0.045245;0.080543;1.153654;1.153654;7.032443;0.045245;0.080543;0.000000;0.000000;0.000000;0.000000;-0.221765;0.039794;0.731831;-0.034228;
6.251750;0.200000;1.055208;1.333333;7.034719;1.202091;-0.535391;0.666700;1.002297;0.045225;0.080309;1.152091;1.152091;7.034719;0.045225;0.080309;0.000000;0.000000;0.000000;0.000000;-0.221827;0.039790;0.731815;-0.034230;
6.253500;0.200000;1.055889;1.333333;7.039262;1.198971;-0.532271;0.666700;1.002297;0.045184;0.079841;1.148971;1.148971;7.039262;0.045184;0.079841;0.000000;0.000000;0.000000;0.000000;-0.221949;0.039782;0.731783;-0.034233;
6.257002;0.200000;1.057247;1.333333;7.048311;1.192756;-0.526056;0.666700;1.002297;0.045104;0.078908;1.142756;1.142756;7.048311;0.045104;0.078908;0.000000;0.000000;0.000000;0.000000;-0.222193;0.039767;0.731720;-0.034239;
6.264005;0.200000;1.059939;1.333333;7.066261;1.180427;-0.513727;0.666700;1.002297;0.044946;0.077059;1.130427;1.130427;7.066261;0.044946;0.077059;0.000000;0.000000;0.000000;0.000000;-0.222677;0.039736;0.731594;-0.034252;
6.278011;0.200000;1.065237;1.333333;7.101579;1.156162;-0.489462;0.666700;1.002297;0.044645;0.073419;1.106162;1.106162;7.101579;0.044645;0.073419;0.000000;0.000000;0.000000;0.000000;-0.223629;0.039675;0.731346;-0.034278;
6.306023;0.200000;1.075494;1.333333;7.169961;1.109167;-0.442467;0.666700;1.002297;0.044095;0.066370;1.059167;1.059167;7.169961;0.044095;0.066370;0.000000;0.000000;0.000000;0.000000;-0.225468;0.039557;0.730867;-0.034327;
6.334035;0.200000;1.085314;1.333333;7.235424;1.064158;-0.397458;0.666700;1.002297;0.043612;0.059619;1.014158;1.014158;7.235424;0.043613;0.059619;0.000000;0.000000;0.000000;0.000000;-0.227225;0.039444;0.730410;-0.034374;
6.362047;0.200000;1.094713;1.333333;7.298088;1.021055;-0.354355;0.666700;1.002297;0.043190;0.053153;0.971055;0.971055;7.298088;0.043191;0.053153;0.000000;0.000000;0.000000;0.000000;-0.228902;0.039335;0.729973;-0.034419;
6.390059;0.200000;1.103711;1.333333;7.358071;0.979779;-0.313079;0.666700;1.002297;0.042824;0.046962;0.929779;0.929779;7.358071;0.042825;0.046962;0.000000;0.000000;0.000000;0.000000;-0.230504;0.039231;0.729556;-0.034462;
6.418071;0.200000;1.112323;1.333333;7.415487;0.940255;-0.273555;0.666700;1.002297;0.042509;0.041033;0.890255;0.890255;7.415487;0.042510;0.041033;0.000000;0.000000;0.000000;0.000000;-0.232035;0.039132;0.729157;-0.034504;
6.474096;0.200000;1.128478;1.333333;7.523188;0.866075;-0.199375;0.666700;1.002297;0.042014;0.029906;0.816075;0.816075;7.523188;0.042014;0.029906;0.000000;0.000000;0.000000;0.000000;-0.234898;0.038945;0.728411;-0.034581;
6.524517;0.200000;1.141859;1.333333;7.612393;0.804596;-0.137896;0.666700;1.002297;0.041699;0.020684;0.754596;0.754596;7.612393;0.041699;0.020684;0.000000;0.000000;0.000000;0.000000;-0.237261;0.038789;0.727796;-0.034645;
6.574939;0.200000;1.154231;1.333333;7.694873;0.747720;-0.081020;0.666700;1.002297;0.041485;0.012153;0.697720;0.697720;7.694873;0.041485;0.012153;0.000000;0.000000;0.000000;0.000000;-0.239440;0.038645;0.727229;-0.034705;
6.625361;0.200000;1.165667;1.333333;7.771115;0.695120;-0.028420;0.666700;1.002297;0.041355;0.004263;0.645120;0.645120;7.771115;0.041356;0.004263;0.000000;0.000000;0.000000;0.000000;-0.241448;0.038512;0.726706;-0.034759;
6.675783;0.200000;1.176235;1.333333;7.841565;0.646494;0.020206;0.666700;1.002297;0.041293;-0.003031;0.596494;0.596494;7.841565;0.041293;-0.003031;0.000000;0.000000;0.000000;0.000000;-0.243300;0.038389;0.726224;-0.034810;
6.726205;0.200000;1.186002;1.333333;7.906677;0.601532;0.065168;0.666700;1.002297;0.041285;-0.009775;0.551532;0.551532;7.906677;0.041285;-0.009775;0.000000;0.000000;0.000000;0.000000;-0.245007;0.038275;0.725779;-0.034857;
6.776626;0.200000;1.195033;1.333333;7.966882;0.559945;0.106755;0.666700;1.002297;0.041317;-0.016013;0.509945;0.509945;7.966882;0.041318;-0.016014;0.000000;0.000000;0.000000;0.000000;-0.246582;0.038169;0.725369;-0.034900;
6.827048;0.200000;1.203381;1.333333;8.022535;0.521486;0.145214;0.666700;1.002297;0.041383;-0.021782;0.471486;0.471486;8.022535;0.041385;-0.021783;0.000000;0.000000;0.000000;0.000000;-0.248035;0.038071;0.724991;-0.034940;
6.877470;0.200000;1.211098;1.333333;8.073980;0.485925;0.180775;0.666700;1.002297;0.041474;-0.027116;0.435925;0.435925;8.073980;0.041476;-0.027117;0.000000;0.000000;0.000000;0.000000;-0.249376;0.037981;0.724641;-0.034977;
6.927892;0.200000;1.218231;1.333333;8.121535;0.453043;0.213657;0.666700;1.002297;0.041584;-0.032049;0.403043;0.403043;8.121535;0.041586;-0.032049;0.000000;0.000000;0.000000;0.000000;-0.250614;0.037897;0.724319;-0.035012;
6.978314;0.200000;1.224825;1.333333;8.165493;0.422639;0.244061;0.666700;1.002297;0.041707;-0.036609;0.372639;0.372639;8.165493;0.041708;-0.036610;0.000000;0.000000;0.000000;0.000000;-0.251756;0.037819;0.724022;-0.035043;
7.028735;0.200000;1.230920;1.333333;8.206127;0.394527;0.272173;0.666700;1.002297;0.041838;-0.040826;0.344527;0.344527;8.206127;0.041840;-0.040827;0.000000;0.000000;0.000000;0.000000;-0.252810;0.037748;0.723747;-0.035073;
7.079157;0.200000;1.236554;1.333333;8.243689;0.368535;0.298165;0.666700;1.002297;0.041974;-0.044725;0.318535;0.318535;8.243689;0.041976;-0.044726;0.000000;0.000000;0.000000;0.000000;-0.253784;0.037681;0.723494;-0.035100;
7.180001;0.200000;1.246613;1.333333;8.310753;0.322112;0.344588;0.666700;1.002297;0.042256;-0.051688;0.272112;0.272112;8.310753;0.042256;-0.051688;0.000000;0.000000;0.000000;0.000000;-0.255518;0.037563;0.723042;-0.035148;
7.270760;0.200000;1.254408;1.333333;8.362723;0.286126;0.380574;0.666700;1.002297;0.042503;-0.057086;0.236126;0.236126;8.362723;0.042503;-0.057086;0.000000;0.000000;0.000000;0.000000;-0.256860;0.037471;0.722693;-0.035185;
7.361519;0.200000;1.261180;1.333333;8.407864;0.254859;0.411841;0.666700;1.002297;0.042738;-0.061776;0.204859;0.204859;8.407864;0.042739;-0.061776;0.000000;0.000000;0.000000;0.000000;-0.258024;0.037391;0.722390;-0.035218;
7.452279;0.200000;1.267056;1.333333;8.447035;0.227721;0.438979;0.666700;1.002297;0.042958;-0.065847;0.177721;0.177721;8.447035;0.042959;-0.065847;0.000000;0.000000;0.000000;0.000000;-0.259032;0.037322;0.722127;-0.035246;
7.543038;0.200000;1.272153;1.333333;8.481018;0.204172;0.462528;0.666700;1.002297;0.043161;-0.069379;0.154172;0.154172;8.481018;0.043162;-0.069380;0.000000;0.000000;0.000000;0.000000;-0.259906;0.037261;0.721900;-0.035270;
7.633797;0.200000;1.276575;1.333333;8.510496;0.183741;0.482959;0.666700;1.002297;0.043345;-0.072444;0.133741;0.133741;8.510496;0.043346;-0.072444;0.000000;0.000000;0.000000;0.000000;-0.260663;0.037209;0.721703;-0.035292;
7.724556;0.200000;1.280410;1.333333;8.536066;0.166017;0.500683;0.666700;1.002297;0.043511;-0.075103;0.116017;0.116017;8.536066;0.043512;-0.075103;0.000000;0.000000;0.000000;0.000000;-0.261319;0.037164;0.721532;-0.035310;
7.815315;0.200000;1.283737;1.333333;8.558244;0.150640;0.516060;0.666700;1.002297;0.043660;-0.077409;0.100640;0.100640;8.558244;0.043661;-0.077409;0.000000;0.000000;0.000000;0.000000;-0.261888;0.037124;0.721384;-0.035326;
7.906075;0.200000;1.286623;1.333333;8.577482;0.137301;0.529399;0.666700;1.002297;0.043793;-0.079410;0.087301;0.087301;8.577482;0.043794;-0.079410;0.000000;0.000000;0.000000;0.000000;-0.262381;0.037090;0.721255;-0.035340;
7.996834;0.200000;1.289126;1.333333;8.594169;0.125730;0.540970;0.666700;1.002297;0.043910;-0.081146;0.075730;0.075730;8.594169;0.043911;-0.081146;0.000000;0.000000;0.000000;0.000000;-0.262809;0.037061;0.721144;-0.035352;
8.087593;0.200000;1.291297;1.333333;8.608643;0.115692;0.551008;0.666700;1.002297;0.044014;-0.082651;0.065692;0.065692;8.608643;0.044015;-0.082652;0.000000;0.000000;0.000000;0.000000;-0.263179;0.037035;0.721048;-0.035362;
8.269112;0.200000;1.294855;1.333333;8.632364;0.099239;0.567461;0.666700;1.002297;0.044189;-0.085119;0.049239;0.049239;8.632364;0.044189;-0.085119;0.000000;0.000000;0.000000;0.000000;-0.263786;0.036993;0.720890;-0.035379;
8.432478;0.200000;1.297294;1.333333;8.648626;0.087958;0.578742;0.666700;1.002297;0.044312;-0.086811;0.037958;0.037958;8.648626;0.044312;-0.086811;0.000000;0.000000;0.000000;0.000000;-0.264202;0.036964;0.720781;-0.035391;
8.595845;0.200000;1.299176;1.333333;8.661174;0.079253;0.587447;0.666700;1.002297;0.044407;-0.088117;0.029253;0.029253;8.661174;0.044407;-0.088117;0.000000;0.000000;0.000000;0.000000;-0.264522;0.036941;0.720698;-0.035400;
8.759212;0.200000;1.300627;1.333333;8.670849;0.072541;0.594159;0.666700;1.002297;0.044482;-0.089124;0.022541;0.022541;8.670849;0.044482;-0.089124;0.000000;0.000000;0.000000;0.000000;-0.264769;0.036924;0.720633;-0.035407;
8.922578;0.200000;1.301746;1.333333;8.678306;0.067368;0.599332;0.666700;1.002297;0.044540;-0.089900;0.017368;0.017368;8.678306;0.044540;-0.089900;0.000000;0.000000;0.000000;0.000000;-0.264960;0.036911;0.720584;-0.035412;
9.085945;0.200000;1.302608;1.333333;8.684051;0.063381;0.603319;0.666700;1.002297;0.044585;-0.090498;0.013381;0.013381;8.684051;0.044585;-0.090498;0.000000;0.000000;0.000000;0.000000;-0.265107;0.036901;0.720546;-0.035417;
9.249311;0.200000;1.303272;1.333333;8.688478;0.060310;0.606390;0.666700;1.002297;0.044620;-0.090959;0.010310;0.010310;8.688478;0.044620;-0.090959;0.000000;0.000000;0.000000;0.000000;-0.265220;0.036893;0.720516;-0.035420;
9.412678;0.200000;1.303783;1.333333;8.691889;0.057943;0.608757;0.666700;1.002297;0.044647;-0.091314;0.007943;0.007943;8.691889;0.044647;-0.091314;0.000000;0.000000;0.000000;0.000000;-0.265307;0.036887;0.720494;-0.035422;
9.739411;0.200000;1.304510;1.333333;8.696734;0.054581;0.612119;0.666700;1.002297;0.044686;-0.091818;0.004581;0.004581;8.696734;0.044686;-0.091818;0.000000;0.000000;0.000000;0.000000;-0.265430;0.036878;0.720461;-0.035426;
10.066145;0.200000;1.304941;1.333333;8.699609;0.052586;0.614114;0.666700;1.002297;0.044709;-0.092117;0.002586;0.002586;8.699609;0.044709;-0.092117;0.000000;0.000000;0.000000;0.000000;-0.265504;0.036873;0.720442;-0.035428;
10.392878;0.200000;1.305190;1.333333;8.701267;0.051435;0.615265;0.666700;1.002297;0.044722;-0.092290;0.001435;0.001435;8.701267;0.044722;-0.092290;0.000000;0.000000;0.000000;0.000000;-0.265546;0.036870;0.720431;-0.035429;
10.719611;0.200000;1.305330;1.333333;8.702203;0.050786;0.615914;0.666700;1.002297;0.044729;-0.092387;0.000786;0.000786;8.702203;0.044729;-0.092387;0.000000;0.000000;0.000000;0.000000;-0.265570;0.036868;0.720425;-0.035430;
11.046344;0.200000;1.305408;1.333333;8.702723;0.050426;0.616274;0.666700;1.002297;0.044734;-0.092441;0.000426;0.000426;8.702723;0.044734;-0.092441;0.000000;0.000000;0.000000;0.000000;-0.265583;0.036867;0.720422;-0.035430;
11.699811;0.200000;1.305489;1.333333;8.703259;0.050053;0.616647;0.666700;1.002297;0.044738;-0.092497;0.000053;0.000053;8.703259;0.044738;-0.092497;0.000000;0.000000;0.000000;0.000000;-0.265597;0.036866;0.720418;-0.035430;
11.999998;0.200000;1.305492;1.333333;8.703278;0.050041;0.616659;0.666700;1.002297;0.044738;-0.092499;0.000041;0.000041;8.703278;0.044738;-0.092499;0.000000;0.000000;0.000000;0.000000;-0.265597;0.036866;0.720418;-0.035430;
11.999998;0.200000;1.438405;1.333333;9.589360;0.227257;0.439443;0.666700;1.002297;0.042962;-0.065916;0.177257;0.177257;9.589360;0.042963;-0.065917;0.093301;0.647624;0.000000;0.000000;-0.259049;0.037321;0.722123;-0.035246;
12.002455;0.200000;1.438574;1.333333;9.590491;0.226615;0.440085;0.666700;1.002297;0.042968;-0.066013;0.176615;0.176615;9.590491;0.042968;-0.066013;0.093297;0.647683;0.000000;0.000000;-0.259073;0.037319;0.722117;-0.035247;
12.004913;0.200000;1.438743;1.333333;9.591617;0.225975;0.440725;0.666700;1.002297;0.042974;-0.066109;0.175975;0.175975;9.591617;0.042974;-0.066109;0.093293;0.647742;0.000000;0.000000;-0.259097;0.037317;0.722110;-0.035248;
12.009829;0.200000;1.439079;1.333333;9.593861;0.224701;0.441999;0.666700;1.002297;0.042984;-0.066300;0.174701;0.174701;9.593861;0.042984;-0.066300;0.093285;0.647861;0.000000;0.000000;-0.259144;0.037314;0.722098;-0.035249;
12.019660;0.200000;1.439745;1.333333;9.598299;0.222180;0.444520;0.666700;1.002297;0.043006;-0.066678;0.172180;0.172180;9.598299;0.043006;-0.066678;0.093269;0.648095;0.000000;0.000000;-0.259238;0.037308;0.722074;-0.035252;
12.039322;0.200000;1.441048;1.333333;9.606989;0.217245;0.449455;0.666700;1.002297;0.043048;-0.067418;0.167245;0.167245;9.606989;0.043048;-0.067418;0.093237;0.648553;0.000000;0.000000;-0.259421;0.037295;0.722026;-0.035257;
12.078646;0.200000;1.443546;1.333333;9.623640;0.207789;0.458911;0.666700;1.002297;0.043130;-0.068837;0.157789;0.157789;9.623640;0.043130;-0.068837;0.093177;0.649429;0.000000;0.000000;-0.259772;0.037271;0.721935;-0.035267;
12.149998;0.200000;1.447733;1.333333;9.651555;0.191938;0.474762;0.666700;1.002297;0.043271;-0.071214;0.141938;0.141938;9.651555;0.043271;-0.071214;0.093075;0.650899;0.000000;0.000000;-0.260359;0.037230;0.721782;-0.035283;
12.149998;0.200000;1.330277;1.333333;8.868511;-0.064670;0.731370;0.666700;1.002297;0.046169;-0.109706;-0.014670;-0.014670;8.868511;0.046169;-0.109706;0.000000;0.000000;0.000000;0.000000;-0.269802;0.036572;0.719323;-0.035549;
12.152848;0.200000;1.330263;1.333333;8.868418;-0.064606;0.731306;0.666700;1.002297;0.046168;-0.109696;-0.014606;-0.014606;8.868418;0.046168;-0.109696;0.000000;0.000000;0.000000;0.000000;-0.269800;0.036572;0.719324;-0.035549;
12.155698;0.200000;1.330249;1.333333;8.868325;-0.064541;0.731241;0.666700;1.002297;0.046167;-0.109686;-0.014541;-0.014541;8.868325;0.046167;-0.109686;0.000000;0.000000;0.000000;0.000000;-0.269797;0.036572;0.719324;-0.035549;
12.161398;0.200000;1.330221;1.333333;8.868141;-0.064413;0.731113;0.666700;1.002297;0.046166;-0.109667;-0.014413;-0.014413;8.868141;0.046166;-0.109667;0.000000;0.000000;0.000000;0.000000;-0.269793;0.036572;0.719326;-0.035549;
12.172798;0.200000;1.330166;1.333333;8.867777;-0.064161;0.730861;0.666700;1.002297;0.046162;-0.109629;-0.014161;-0.014161;8.867777;0.046162;-0.109629;0.000000;0.000000;0.000000;0.000000;-0.269784;0.036573;0.719328;-0.035549;
