time;infBus_infiniteBus_omegaPu;infBus_infiniteBus_UPu;Load_load_PPu;Load_load_QPu;Load_load_UPu;
2.119591;1.000000;0.800000;0.700740;0.868503;0.674072;
2.139354;1.000000;0.800000;0.700740;0.868503;0.674072;
2.159118;1.000000;0.800000;0.700739;0.868504;0.674072;
2.198645;1.000000;0.800000;0.700738;0.868505;0.674072;
2.238171;1.000000;0.800000;0.700738;0.868505;0.674071;
2.317225;1.000000;0.800000;0.700737;0.868506;0.674071;
2.386951;1.000000;0.800000;0.700737;0.868506;0.674071;
2.456677;1.000000;0.800000;0.700737;0.868506;0.674071;
2.526403;1.000000;0.800000;0.700737;0.868506;0.674071;
2.596129;1.000000;0.800000;0.700737;0.868506;0.674071;
2.735580;1.000000;0.800000;0.700737;0.868506;0.674071;
3.014484;1.000000;0.800000;0.700737;0.868506;0.674071;
3.572291;1.000000;0.800000;0.700737;0.868506;0.674071;
3.999999;1.000000;0.800000;0.700737;0.868506;0.674071;
3.999999;1.000000;1.000000;1.006336;0.994471;0.885016;
4.000003;1.000000;1.000000;1.006331;0.994475;0.885016;
4.000006;1.000000;1.000000;1.006326;0.994479;0.885015;
4.000013;1.000000;1.000000;1.006317;0.994487;0.885015;
4.000027;1.000000;1.000000;1.006297;0.994504;0.885014;
4.000054;1.000000;1.000000;1.006259;0.994538;0.885012;
4.000109;1.000000;1.000000;1.006183;0.994604;0.885007;
4.000220;1.000000;1.000000;1.006033;0.994735;0.884999;
4.000440;1.000000;1.000000;1.005744;0.994987;0.884983;
4.000881;1.000000;1.000000;1.005206;0.995457;0.884952;
4.001322;1.000000;1.000000;1.004718;0.995882;0.884925;
4.001764;1.000000;1.000000;1.004276;0.996268;0.884900;
4.002205;1.000000;1.000000;1.003875;0.996618;0.884878;
4.003087;1.000000;1.000000;1.003183;0.997222;0.884839;
4.003969;1.000000;1.000000;1.002616;0.997716;0.884807;
4.005019;1.000000;1.000000;1.002072;0.998191;0.884776;
4.006069;1.000000;1.000000;1.001641;0.998567;0.884752;
4.007119;1.000000;1.000000;1.001299;0.998865;0.884733;
4.008169;1.000000;1.000000;1.001028;0.999102;0.884718;
4.009219;1.000000;1.000000;1.000813;0.999290;0.884705;
4.010270;1.000000;1.000000;1.000642;0.999439;0.884696;
4.011320;1.000000;1.000000;1.000506;0.999557;0.884688;
4.013420;1.000000;1.000000;1.000312;0.999727;0.884677;
4.015310;1.000000;1.000000;1.000200;0.999824;0.884671;
4.017567;1.000000;1.000000;1.000118;0.999896;0.884666;
4.019597;1.000000;1.000000;1.000073;0.999935;0.884664;
4.021628;1.000000;1.000000;1.000045;0.999960;0.884662;
4.023659;1.000000;1.000000;1.000027;0.999976;0.884661;
4.025690;1.000000;1.000000;1.000015;0.999986;0.884660;
4.027721;1.000000;1.000000;1.000007;0.999993;0.884660;
4.029752;1.000000;1.000000;1.000001;0.999998;0.884660;
4.033813;1.000000;1.000000;0.999995;1.000004;0.884659;
4.037875;1.000000;1.000000;0.999993;1.000005;0.884659;
4.045998;1.000000;1.000000;0.999991;1.000007;0.884659;
4.054122;1.000000;1.000000;0.999992;1.000006;0.884659;
4.070368;1.000000;1.000000;0.999994;1.000005;0.884659;
4.086615;1.000000;1.000000;0.999994;1.000004;0.884659;
4.102862;1.000000;1.000000;0.999995;1.000003;0.884659;
4.135355;1.000000;1.000000;0.999996;1.000002;0.884659;
4.167848;1.000000;1.000000;0.999997;1.000002;0.884659;
4.232835;1.000000;1.000000;0.999998;1.000001;0.884660;
4.291323;1.000000;1.000000;0.999999;1.000000;0.884660;
4.349811;1.000000;1.000000;0.999999;1.000000;0.884660;
4.408299;1.000000;1.000000;0.999999;1.000000;0.884660;
4.466787;1.000000;1.000000;0.999999;1.000000;0.884660;
4.525275;1.000000;1.000000;0.999999;1.000000;0.884660;
4.642251;1.000000;1.000000;0.999999;1.000000;0.884660;
4.759227;1.000000;1.000000;0.999999;1.000000;0.884660;
4.876203;1.000000;1.000000;0.999999;1.000000;0.884660;
5.110155;1.000000;1.000000;0.999999;1.000000;0.884660;
5.578059;1.000000;1.000000;0.999999;1.000000;0.884660;
5.999999;1.000000;1.000000;0.999999;1.000000;0.884660;
5.999999;1.050000;1.000000;0.999999;1.000000;0.884660;
6.000022;1.050000;1.000000;1.000559;0.999511;0.884691;
6.000046;1.050000;1.000000;1.001146;0.998999;0.884724;
6.000069;1.050000;1.000000;1.001730;0.998489;0.884757;
6.000116;1.050000;1.000000;1.002892;0.997476;0.884822;
6.000163;1.050000;1.000000;1.004042;0.996472;0.884887;
6.000210;1.050000;1.000000;1.005182;0.995478;0.884951;
6.000303;1.050000;1.000000;1.007426;0.993520;0.885077;
6.000491;1.050000;1.000000;1.011780;0.989721;0.885321;
6.000678;1.050000;1.000000;1.015962;0.986075;0.885555;
6.000866;1.050000;1.000000;1.019976;0.982574;0.885779;
6.001053;1.050000;1.000000;1.023830;0.979215;0.885994;
6.001428;1.050000;1.000000;1.031077;0.972898;0.886397;
6.001803;1.050000;1.000000;1.037752;0.967083;0.886767;
6.002178;1.050000;1.000000;1.043899;0.961728;0.887107;
6.002553;1.050000;1.000000;1.049560;0.956799;0.887419;
6.002928;1.050000;1.000000;1.054772;0.952261;0.887706;
6.003303;1.050000;1.000000;1.059570;0.948085;0.887969;
6.003678;1.050000;1.000000;1.063987;0.944241;0.888211;
6.004428;1.050000;1.000000;1.071792;0.937451;0.888638;
6.005178;1.050000;1.000000;1.078400;0.931704;0.888997;
6.005928;1.050000;1.000000;1.083990;0.926844;0.889301;
6.006678;1.050000;1.000000;1.088718;0.922734;0.889557;
6.007428;1.050000;1.000000;1.092715;0.919260;0.889773;
6.008178;1.050000;1.000000;1.096092;0.916326;0.889955;
6.008928;1.050000;1.000000;1.098944;0.913848;0.890109;
6.009678;1.050000;1.000000;1.101352;0.911756;0.890239;
6.011178;1.050000;1.000000;1.105096;0.908504;0.890440;
6.012453;1.050000;1.000000;1.107412;0.906492;0.890564;
6.013728;1.050000;1.000000;1.109143;0.904989;0.890657;
6.015003;1.050000;1.000000;1.110433;0.903869;0.890726;
6.016278;1.050000;1.000000;1.111391;0.903037;0.890778;
6.017870;1.050000;1.000000;1.112243;0.902297;0.890823;
6.019463;1.050000;1.000000;1.112821;0.901795;0.890854;
6.021055;1.050000;1.000000;1.113209;0.901458;0.890875;
6.022648;1.050000;1.000000;1.113465;0.901236;0.890889;
6.024240;1.050000;1.000000;1.113626;0.901096;0.890897;
6.025833;1.050000;1.000000;1.113723;0.901012;0.890902;
6.027425;1.050000;1.000000;1.113773;0.900968;0.890905;
6.029018;1.050000;1.000000;1.113793;0.900951;0.890906;
6.030610;1.050000;1.000000;1.113791;0.900953;0.890906;
6.033795;1.050000;1.000000;1.113746;0.900992;0.890904;
6.036981;1.050000;1.000000;1.113672;0.901056;0.890900;
6.040166;1.050000;1.000000;1.113585;0.901132;0.890896;
6.043351;1.050000;1.000000;1.113495;0.901209;0.890890;
6.046536;1.050000;1.000000;1.113406;0.901287;0.890885;
6.049721;1.050000;1.000000;1.113318;0.901364;0.890881;
6.052906;1.050000;1.000000;1.113230;0.901440;0.890876;
6.059276;1.050000;1.000000;1.113062;0.901586;0.890867;
6.065646;1.050000;1.000000;1.112912;0.901718;0.890859;
6.072016;1.050000;1.000000;1.112773;0.901841;0.890852;
6.079289;1.050000;1.000000;1.112588;0.901998;0.890842;
6.085834;1.050000;1.000000;1.112467;0.902103;0.890835;
6.092379;1.050000;1.000000;1.112347;0.902206;0.890829;
6.098924;1.050000;1.000000;1.112234;0.902305;0.890823;
6.105469;1.050000;1.000000;1.112126;0.902398;0.890817;
6.112014;1.050000;1.000000;1.112040;0.902477;0.890812;
6.118560;1.050000;1.000000;1.111951;0.902556;0.890808;
6.125105;1.050000;1.000000;1.111862;0.902631;0.890802;
6.131650;1.050000;1.000000;1.111733;0.902740;0.890796;
6.138195;1.050000;1.000000;1.111679;0.902784;0.890792;
6.144740;1.050000;1.000000;1.111620;0.902837;0.890790;
6.151285;1.050000;1.000000;1.111554;0.902895;0.890786;
6.157830;1.050000;1.000000;1.111490;0.902951;0.890783;
6.164375;1.050000;1.000000;1.111444;0.902994;0.890781;
6.170921;1.050000;1.000000;1.111394;0.903039;0.890779;
6.177466;1.050000;1.000000;1.111342;0.903083;0.890774;
6.190556;1.050000;1.000000;1.111206;0.903197;0.890768;
6.201168;1.050000;1.000000;1.111165;0.903233;0.890765;
6.210593;1.050000;1.000000;1.111119;0.903272;0.890763;
6.220018;1.050000;1.000000;1.111169;0.903273;0.890765;
6.229443;1.050000;1.000000;1.111122;0.903318;0.890770;
6.237925;1.050000;1.000000;1.110876;0.903484;0.890750;
6.243507;1.050000;1.000000;1.110931;0.903436;0.890753;
6.249089;1.050000;1.000000;1.110949;0.903420;0.890754;
6.254671;1.050000;1.000000;1.110937;0.903431;0.890753;
6.260254;1.050000;1.000000;1.110914;0.903451;0.890752;
6.265836;1.050000;1.000000;1.110894;0.903469;0.890751;
6.271418;1.050000;1.000000;1.110877;0.903483;0.890750;
6.282582;1.050000;1.000000;1.110854;0.903503;0.890749;
6.293746;1.050000;1.000000;1.110826;0.903527;0.890747;
6.304910;1.050000;1.000000;1.110800;0.903550;0.890746;
6.316074;1.050000;1.000000;1.110965;0.903499;0.890754;
6.322143;1.050000;1.000000;1.110669;0.903663;0.890739;
6.327604;1.050000;1.000000;1.110715;0.903625;0.890741;
6.333066;1.050000;1.000000;1.110736;0.903606;0.890742;
6.338527;1.050000;1.000000;1.110740;0.903602;0.890743;
6.349451;1.050000;1.000000;1.110732;0.903609;0.890742;
6.360374;1.050000;1.000000;1.110717;0.903622;0.890742;
6.371297;1.050000;1.000000;1.110704;0.903633;0.890741;
6.382220;1.050000;1.000000;1.110693;0.903643;0.890740;
6.404067;1.050000;1.000000;1.110675;0.903658;0.890739;
6.425913;1.050000;1.000000;1.110662;0.903670;0.890739;
6.453557;1.050000;1.000000;1.110648;0.903682;0.890738;
6.481202;1.050000;1.000000;1.110638;0.903690;0.890737;
6.508846;1.050000;1.000000;1.110631;0.903697;0.890737;
6.536491;1.050000;1.000000;1.110625;0.903702;0.890737;
6.564135;1.050000;1.000000;1.110621;0.903706;0.890736;
6.591779;1.050000;1.000000;1.110617;0.903709;0.890736;
6.619424;1.050000;1.000000;1.110615;0.903711;0.890736;
6.633246;1.050000;1.000000;1.110614;0.903711;0.890736;
6.660890;1.050000;1.000000;1.110612;0.903713;0.890736;
6.688535;1.050000;1.000000;1.110611;0.903714;0.890736;
6.702357;1.050000;1.000000;1.110611;0.903714;0.890736;
6.730001;1.050000;1.000000;1.110610;0.903715;0.890736;
6.785290;1.050000;1.000000;1.110609;0.903716;0.890736;
6.799112;1.050000;1.000000;1.110609;0.903716;0.890736;
6.826757;1.050000;1.000000;1.110608;0.903716;0.890736;
6.840579;1.050000;1.000000;1.110608;0.903716;0.890736;
6.868223;1.050000;1.000000;1.110608;0.903717;0.890736;
6.923512;1.050000;1.000000;1.110608;0.903717;0.890736;
6.930423;1.050000;1.000000;1.110608;0.903717;0.890736;
6.944246;1.050000;1.000000;1.110608;0.903717;0.890736;
6.971890;1.050000;1.000000;1.110608;0.903717;0.890736;
6.985712;1.050000;1.000000;1.110607;0.903717;0.890736;
7.013357;1.050000;1.000000;1.110608;0.903717;0.890736;
7.027179;1.050000;1.000000;1.110608;0.903717;0.890736;
7.054823;1.050000;1.000000;1.110608;0.903717;0.890736;
7.068645;1.050000;1.000000;1.110608;0.903717;0.890735;
7.096290;1.050000;1.000000;1.110607;0.903717;0.890736;
7.110112;1.050000;1.000000;1.110607;0.903717;0.890736;
7.137756;1.050000;1.000000;1.110607;0.903717;0.890736;
7.151579;1.050000;1.000000;1.110607;0.903717;0.890736;
7.179223;1.050000;1.000000;1.110607;0.903717;0.890736;
7.193045;1.050000;1.000000;1.110607;0.903717;0.890736;
7.220690;1.050000;1.000000;1.110607;0.903717;0.890736;
7.234512;1.050000;1.000000;1.110607;0.903717;0.890736;
7.262156;1.050000;1.000000;1.110607;0.903717;0.890736;
7.275978;1.050000;1.000000;1.110607;0.903717;0.890736;
7.303623;1.050000;1.000000;1.110607;0.903717;0.890736;
7.317445;1.050000;1.000000;1.110607;0.903717;0.890736;
7.345090;1.050000;1.000000;1.110607;0.903717;0.890736;
7.358912;1.050000;1.000000;1.110607;0.903717;0.890736;
7.386556;1.050000;1.000000;1.110607;0.903717;0.890736;
7.400378;1.050000;1.000000;1.110607;0.903717;0.890736;
7.428023;1.050000;1.000000;1.110607;0.903717;0.890736;
7.441845;1.050000;1.000000;1.110607;0.903717;0.890736;
7.469489;1.050000;1.000000;1.110607;0.903717;0.890736;
7.483312;1.050000;1.000000;1.110607;0.903717;0.890736;
7.490223;1.050000;1.000000;1.110608;0.903717;0.890736;
7.504045;1.050000;1.000000;1.110607;0.903717;0.890736;
7.510956;1.050000;1.000000;1.110608;0.903717;0.890736;
7.524778;1.050000;1.000000;1.110607;0.903717;0.890736;
7.531689;1.050000;1.000000;1.110607;0.903717;0.890736;
7.545511;1.050000;1.000000;1.110607;0.903717;0.890736;
7.552423;1.050000;1.000000;1.110607;0.903717;0.890736;
7.566245;1.050000;1.000000;1.110607;0.903717;0.890736;
7.573156;1.050000;1.000000;1.110607;0.903717;0.890736;
7.586978;1.050000;1.000000;1.110607;0.903717;0.890736;
7.593889;1.050000;1.000000;1.110607;0.903717;0.890736;
7.607711;1.050000;1.000000;1.110607;0.903717;0.890736;
7.614622;1.050000;1.000000;1.110607;0.903717;0.890736;
7.628445;1.050000;1.000000;1.110607;0.903717;0.890736;
7.635356;1.050000;1.000000;1.110607;0.903717;0.890736;
7.649178;1.050000;1.000000;1.110607;0.903717;0.890736;
7.656089;1.050000;1.000000;1.110607;0.903717;0.890736;
7.669911;1.050000;1.000000;1.110607;0.903717;0.890736;
7.676822;1.050000;1.000000;1.110607;0.903717;0.890736;
7.690645;1.050000;1.000000;1.110607;0.903717;0.890736;
7.697556;1.050000;1.000000;1.110607;0.903717;0.890736;
7.711378;1.050000;1.000000;1.110607;0.903717;0.890736;
7.718289;1.050000;1.000000;1.110607;0.903717;0.890736;
7.732111;1.050000;1.000000;1.110607;0.903717;0.890736;
7.739022;1.050000;1.000000;1.110607;0.903717;0.890736;
7.752845;1.050000;1.000000;1.110607;0.903717;0.890736;
7.759756;1.050000;1.000000;1.110607;0.903717;0.890736;
7.773578;1.050000;1.000000;1.110607;0.903717;0.890736;
7.780489;1.050000;1.000000;1.110607;0.903717;0.890736;
7.794311;1.050000;1.000000;1.110607;0.903717;0.890736;
7.801222;1.050000;1.000000;1.110607;0.903717;0.890736;
7.815044;1.050000;1.000000;1.110607;0.903717;0.890736;
7.821956;1.050000;1.000000;1.110607;0.903717;0.890736;
7.835778;1.050000;1.000000;1.110607;0.903717;0.890736;
7.842689;1.050000;1.000000;1.110607;0.903717;0.890736;
7.856511;1.050000;1.000000;1.110607;0.903717;0.890736;
7.863422;1.050000;1.000000;1.110607;0.903717;0.890736;
7.877244;1.050000;1.000000;1.110607;0.903717;0.890736;
7.884155;1.050000;1.000000;1.110607;0.903717;0.890736;
7.897978;1.050000;1.000000;1.110607;0.903717;0.890736;
7.904889;1.050000;1.000000;1.110607;0.903717;0.890736;
7.918711;1.050000;1.000000;1.110607;0.903717;0.890736;
7.925622;1.050000;1.000000;1.110607;0.903717;0.890736;
7.939444;1.050000;1.000000;1.110607;0.903717;0.890736;
7.946355;1.050000;1.000000;1.110607;0.903717;0.890736;
7.960178;1.050000;1.000000;1.110607;0.903717;0.890736;
7.967089;1.050000;1.000000;1.110607;0.903717;0.890736;
7.980911;1.050000;1.000000;1.110607;0.903717;0.890736;
7.987822;1.050000;1.000000;1.110607;0.903717;0.890736;
7.999998;1.050000;1.000000;1.110607;0.903717;0.888539;
7.999998;1.000000;1.000000;1.110693;0.903661;0.890735;
8.000004;1.000000;1.000000;1.110494;0.903815;0.890730;
8.000010;1.000000;1.000000;1.110340;0.903950;0.890721;
8.000022;1.000000;1.000000;1.110031;0.904218;0.890705;
8.000046;1.000000;1.000000;1.109417;0.904751;0.890672;
8.000094;1.000000;1.000000;1.108198;0.905809;0.890606;
8.000190;1.000000;1.000000;1.105800;0.907892;0.890478;
8.000382;1.000000;1.000000;1.101158;0.911925;0.890228;
8.000766;1.000000;1.000000;1.092451;0.919489;0.889759;
8.001150;1.000000;1.000000;1.084471;0.926426;0.889327;
8.001534;1.000000;1.000000;1.077158;0.932784;0.888930;
8.001918;1.000000;1.000000;1.070456;0.938613;0.888565;
8.002686;1.000000;1.000000;1.058705;0.948838;0.887922;
8.003454;1.000000;1.000000;1.048841;0.957424;0.887380;
8.004497;1.000000;1.000000;1.037927;0.966930;0.886777;
8.005540;1.000000;1.000000;1.029294;0.974452;0.886298;
8.006583;1.000000;1.000000;1.022454;0.980414;0.885918;
8.007625;1.000000;1.000000;1.017030;0.985143;0.885615;
8.008668;1.000000;1.000000;1.012729;0.988894;0.885374;
8.009711;1.000000;1.000000;1.009313;0.991873;0.885183;
8.010754;1.000000;1.000000;1.006602;0.994238;0.885031;
8.012839;1.000000;1.000000;1.002734;0.997613;0.884814;
8.014716;1.000000;1.000000;1.000512;0.999553;0.884688;
8.016997;1.000000;1.000000;0.998885;1.000972;0.884597;
8.019051;1.000000;1.000000;0.998024;1.001723;0.884548;
8.021104;1.000000;1.000000;0.997499;1.002182;0.884519;
8.023157;1.000000;1.000000;0.997181;1.002459;0.884501;
8.025210;1.000000;1.000000;0.996998;1.002619;0.884490;
8.027263;1.000000;1.000000;0.996902;1.002703;0.884485;
8.029316;1.000000;1.000000;0.996864;1.002736;0.884483;
8.033422;1.000000;1.000000;0.996881;1.002721;0.884484;
8.037528;1.000000;1.000000;0.996961;1.002652;0.884488;
8.041635;1.000000;1.000000;0.997070;1.002557;0.884495;
8.045741;1.000000;1.000000;0.997191;1.002451;0.884501;
8.053953;1.000000;1.000000;0.997429;1.002243;0.884515;
8.062165;1.000000;1.000000;0.997642;1.002057;0.884527;
8.070378;1.000000;1.000000;0.997831;1.001892;0.884537;
8.078590;1.000000;1.000000;0.998005;1.001740;0.884547;
8.086802;1.000000;1.000000;0.998168;1.001598;0.884556;
8.103227;1.000000;1.000000;0.998458;1.001345;0.884573;
8.119652;1.000000;1.000000;0.998700;1.001133;0.884586;
8.136077;1.000000;1.000000;0.998903;1.000957;0.884598;
8.152501;1.000000;1.000000;0.999074;1.000807;0.884607;
8.168926;1.000000;1.000000;0.999220;1.000680;0.884616;
8.185351;1.000000;1.000000;0.999342;1.000573;0.884623;
8.201775;1.000000;1.000000;0.999445;1.000483;0.884628;
8.218200;1.000000;1.000000;0.999532;1.000407;0.884633;
8.251049;1.000000;1.000000;0.999667;1.000290;0.884641;
8.280559;1.000000;1.000000;0.999755;1.000213;0.884646;
8.310070;1.000000;1.000000;0.999820;1.000157;0.884649;
8.339580;1.000000;1.000000;0.999867;1.000115;0.884652;
8.369090;1.000000;1.000000;0.999902;1.000085;0.884654;
8.398600;1.000000;1.000000;0.999928;1.000062;0.884656;
8.428110;1.000000;1.000000;0.999947;1.000046;0.884657;
8.457620;1.000000;1.000000;0.999960;1.000034;0.884657;
8.487130;1.000000;1.000000;0.999971;1.000025;0.884658;
8.516640;1.000000;1.000000;0.999978;1.000018;0.884658;
8.546150;1.000000;1.000000;0.999984;1.000013;0.884659;
8.605170;1.000000;1.000000;0.999991;1.000007;0.884659;
8.658288;1.000000;1.000000;0.999994;1.000004;0.884659;
8.711407;1.000000;1.000000;0.999996;1.000002;0.884659;
8.764525;1.000000;1.000000;0.999998;1.000001;0.884660;
8.817643;1.000000;1.000000;0.999998;1.000001;0.884660;
8.870761;1.000000;1.000000;0.999999;1.000000;0.884660;
8.923879;1.000000;1.000000;0.999999;1.000000;0.884660;
9.030115;1.000000;1.000000;0.999999;1.000000;0.884660;
9.136352;1.000000;1.000000;0.999999;1.000000;0.884660;
9.242588;1.000000;1.000000;0.999999;1.000000;0.884660;
9.455061;1.000000;1.000000;0.999999;1.000000;0.884660;
9.880006;1.000000;1.000000;0.999999;1.000000;0.884660;
10.729896;1.000000;1.000000;0.999999;1.000000;0.884660;
12.000000;1.000000;1.000000;0.999999;1.000000;0.884660;
