time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;Load_LoadPQ_terminal_i_re;Load_LoadPQ_terminal_i_im;
0.187377;0.782394;0.782585;0.799617;0.799812;0.00125939;1.81484;1.00024;0.969201;3.71728;-5.73257e-19;371.728;-5.73257e-17;0.989056;3.75841;1.85826;0.989056;-5.73142e-19;0.971664;1.00942;0;0.989056;0.04;1.00024;0.799812;3.7584;-0.00925763;
0.207597;0.781843;0.782068;0.799524;0.799755;0.00129381;1.86445;1.00029;0.970895;3.71482;3.83902e-18;371.482;3.83902e-16;0.988729;3.75717;1.85987;0.988729;3.83835e-18;0.971729;1.00942;0;0.988729;0.04;1.00029;0.799755;3.75717;-0.00313347;
0.248037;0.781382;0.781677;0.799314;0.799616;0.00134275;1.93496;1.00038;0.975131;3.71296;4.39389e-18;371.296;4.39389e-16;0.988482;3.75623;1.86296;0.988482;4.39588e-18;0.971566;1.00942;0;0.988482;0.04;1.00038;0.799616;3.75621;0.0133901;
0.288477;0.781581;0.781945;0.799072;0.799444;0.00136833;1.97183;1.00047;0.980491;3.71424;-5.94646e-18;371.424;-5.94646e-16;0.988652;3.75688;1.86564;0.988652;-5.93582e-18;0.971123;1.00942;0;0.988652;0.04;1.00047;0.799444;3.75671;0.0351935;
0.324873;0.78212;0.782545;0.798831;0.799265;0.00137549;1.98214;1.00054;0.986259;3.71709;1.28688e-17;371.709;1.28688e-15;0.989031;3.75832;1.86752;0.989031;1.28635e-17;0.970598;1.00942;0;0.989031;0.04;1.00054;0.799265;3.75786;0.0588533;
0.35763;0.782752;0.78323;0.798599;0.799086;0.00137268;1.97809;1.00061;0.992186;3.72034;1.59178e-17;372.034;1.59178e-15;0.989463;3.75996;1.86873;0.989463;1.59187e-17;0.970098;1.00942;0;0.989463;0.04;1.00061;0.799086;3.75904;0.0830445;
0.390387;0.783417;0.783944;0.798354;0.798891;0.0013644;1.96617;1.00067;0.998777;3.72373;2.12785e-18;372.373;2.12785e-16;0.989914;3.76167;1.86952;0.989914;2.09875e-18;0.96962;1.00942;0;0.989914;0.04;1.00067;0.798891;3.76006;0.109674;
0.423143;0.784044;0.784618;0.7981;0.798684;0.00135332;1.9502;1.00073;1.006;3.72694;-3.52263e-18;372.694;-3.52263e-16;0.99034;3.76329;1.86995;0.99034;-3.49367e-18;0.969192;1.00942;0;0.99034;0.04;1.00073;0.798684;3.76073;0.13848;
0.4559;0.784591;0.78521;0.797837;0.798466;0.00134152;1.93319;1.00079;1.01381;3.72975;-2.87409e-17;372.975;-2.87409e-15;0.990713;3.76471;1.8701;0.990713;-2.87057e-17;0.968829;1.00942;0;0.990713;0.04;1.00079;0.798466;3.76089;0.169284;
0.488657;0.784995;0.785654;0.797565;0.798235;0.00133108;1.91815;1.00084;1.02242;3.73186;3.14935e-17;373.186;3.14935e-15;0.990994;3.76578;1.87002;0.990994;3.14965e-17;0.96856;1.00942;0;0.990994;0.04;1.00084;0.798235;3.76032;0.202724;
