time;IBG_ibg_injector_PInjPuSn;IBG_ibg_injector_QInjPuSn;IBG_ibg_currentLimitsCalculation1_ipCmdPu;IBG_ibg_currentLimitsCalculation1_ipMaxPu;IBG_ibg_currentLimitsCalculation1_ipMinPu;IBG_ibg_currentLimitsCalculation1_iqCmdPu;IBG_ibg_currentLimitsCalculation1_iqMaxPu;IBG_ibg_currentLimitsCalculation1_iqMinPu;
1.014910;0.302073;0.116201;0.528393;1.073915;0.000000;0.238131;1.100000;-1.100000;
1.015166;0.302457;0.117916;0.529991;1.072872;0.000000;0.242787;1.100000;-1.100000;
1.015678;0.303225;0.121386;0.533201;1.070694;0.000000;0.252219;1.100000;-1.100000;
1.016190;0.303993;0.124899;0.536429;1.068393;0.000000;0.261795;1.100000;-1.100000;
1.016702;0.304761;0.128443;0.539672;1.065969;0.000000;0.271495;1.100000;-1.100000;
1.017214;0.305529;0.132009;0.542925;1.063423;0.000000;0.281299;1.100000;-1.100000;
1.017726;0.306297;0.135590;0.546187;1.060758;0.000000;0.291189;1.100000;-1.100000;
1.018238;0.307065;0.139178;0.549454;1.057974;0.000000;0.301147;1.100000;-1.100000;
1.019262;0.308601;0.146347;0.555991;1.052065;0.000000;0.321183;1.100000;-1.100000;
1.020286;0.310137;0.153482;0.562519;1.045709;0.000000;0.341306;1.100000;-1.100000;
1.021310;0.311673;0.160552;0.569020;1.038926;0.000000;0.361421;1.100000;-1.100000;
1.022334;0.313209;0.167533;0.575478;1.031742;0.000000;0.381441;1.100000;-1.100000;
1.023358;0.314745;0.174400;0.581878;1.024184;0.000000;0.401290;1.100000;-1.100000;
1.024382;0.316281;0.181136;0.588208;1.016280;0.000000;0.420905;1.100000;-1.100000;
1.025406;0.317817;0.187726;0.594456;1.008059;0.000000;0.440230;1.100000;-1.100000;
1.027454;0.320889;0.200410;0.606657;0.990812;0.000000;0.477799;1.100000;-1.100000;
1.028169;0.321941;0.204678;0.610820;0.984556;0.000000;0.490561;1.100000;-1.100000;
1.028836;0.322237;0.208584;0.614656;0.978624;0.000000;0.502290;1.100000;-1.100000;
1.029503;0.321914;0.212412;0.618442;0.972612;0.000000;0.513834;1.100000;-1.100000;
1.030233;0.321113;0.216512;0.622524;0.965953;0.000000;0.526246;1.100000;-1.100000;
1.030963;0.320058;0.220517;0.626543;0.959218;0.000000;0.538425;1.100000;-1.100000;
1.031692;0.318896;0.224427;0.630496;0.952416;0.000000;0.550366;1.100000;-1.100000;
1.032422;0.317703;0.228242;0.634383;0.945559;0.000000;0.562066;1.100000;-1.100000;
1.033152;0.316519;0.231961;0.638202;0.938654;0.000000;0.573522;1.100000;-1.100000;
1.034612;0.314235;0.239118;0.645632;0.924740;0.000000;0.595698;1.100000;-1.100000;
1.036071;0.312069;0.245901;0.652782;0.910738;0.000000;0.616892;1.100000;-1.100000;
1.038991;0.308090;0.258396;0.666238;0.882698;0.000000;0.656387;1.100000;-1.100000;
1.041910;0.304555;0.269524;0.678574;0.854967;0.000000;0.692130;1.100000;-1.100000;
1.044829;0.301430;0.279386;0.689813;0.827903;0.000000;0.724304;1.100000;-1.100000;
1.047749;0.298677;0.288091;0.699992;0.801783;0.000000;0.753137;1.100000;-1.100000;
1.050668;0.296257;0.295752;0.709165;0.776818;0.000000;0.778881;1.100000;-1.100000;
1.053587;0.294135;0.302476;0.717391;0.753160;0.000000;0.801796;1.100000;-1.100000;
1.054569;0.293481;0.304551;0.719960;0.745520;0.000000;0.808925;1.100000;-1.100000;
1.054569;0.293481;0.304551;0.719960;0.745413;0.000000;0.808925;1.100000;-1.100000;
