time;WT4A_WT4A_injector_PInjPu;WT4A_WT4A_injector_QInjPu;WT4A_WT4A_injector_terminal_V_re;WT4A_WT4A_injector_terminal_i_re;WT4A_WT4A_injector_terminal_V_im;WT4A_WT4A_injector_terminal_i_im;WT4A_WT4A_driveTrainPmConstrant_PePu;
1.001643;0.429041;0.175798;0.623829;-0.715069;0.107262;0.158855;0.429041;
1.001963;0.429730;0.177466;0.624158;-0.716217;0.107434;0.161048;0.429730;
1.002603;0.431454;0.181709;0.624995;-0.719090;0.107865;0.166632;0.431454;
1.003883;0.436157;0.193372;0.627286;-0.726928;0.109041;0.181907;0.436157;
1.005163;0.442375;0.208762;0.630278;-0.737292;0.110595;0.201848;0.442375;
1.005608;0.444842;0.214824;0.631445;-0.741403;0.111212;0.209633;0.444842;
1.005608;0.444839;0.214825;0.631446;-0.741398;0.111211;0.209635;0.444839;
1.005609;0.444844;0.214838;0.631448;-0.741407;0.111213;0.209652;0.444844;
1.005609;0.444844;0.214838;0.631448;-0.741407;0.111213;0.209652;0.444844;
1.005619;0.444902;0.214981;0.631476;-0.741504;0.111227;0.209835;0.444902;
1.005629;0.444960;0.215124;0.631503;-0.741600;0.111242;0.210019;0.444960;
1.005649;0.445077;0.215411;0.631558;-0.741795;0.111271;0.210386;0.445077;
1.005689;0.445310;0.215986;0.631669;-0.742184;0.111329;0.211123;0.445310;
1.005769;0.445781;0.217142;0.631891;-0.742968;0.111447;0.212602;0.445781;
1.005929;0.446734;0.219476;0.632338;-0.744557;0.111685;0.215581;0.446734;
1.006249;0.448689;0.224225;0.633244;-0.747814;0.112174;0.221621;0.448689;
1.006889;0.452773;0.234009;0.635095;-0.754622;0.113195;0.233965;0.452773;
1.008169;0.461544;0.254437;0.638898;-0.769240;0.115388;0.259316;0.461544;
1.009449;0.470992;0.275680;0.642765;-0.784987;0.117750;0.285094;0.470992;
1.010729;0.480949;0.297318;0.646614;-0.801581;0.120239;0.310753;0.480949;
1.011136;0.484182;0.304192;0.647818;-0.806970;0.121047;0.318779;0.484182;
1.011136;0.484178;0.304193;0.647818;-0.806963;0.121046;0.318783;0.484178;
1.011146;0.484258;0.304364;0.647848;-0.807097;0.121066;0.318981;0.484258;
1.011156;0.484339;0.304534;0.647878;-0.807231;0.121086;0.319180;0.484339;
1.011176;0.484499;0.304875;0.647937;-0.807498;0.121126;0.319577;0.484499;
1.011216;0.484819;0.305557;0.648056;-0.808032;0.121206;0.320371;0.484819;
1.011296;0.485455;0.306920;0.648295;-0.809092;0.121365;0.321959;0.485455;
1.011456;0.486712;0.309645;0.648771;-0.811187;0.121680;0.325137;0.486712;
1.011776;0.489168;0.315084;0.649725;-0.815279;0.122294;0.331495;0.489168;
1.012416;0.493863;0.325905;0.651628;-0.823104;0.123467;0.344181;0.493863;
1.013696;0.502509;0.347189;0.655382;-0.837515;0.125629;0.369209;0.502509;
1.014976;0.510309;0.367854;0.659030;-0.850515;0.127579;0.393528;0.510309;
1.016256;0.517450;0.387726;0.662525;-0.862416;0.129364;0.416830;0.517450;
1.017536;0.524097;0.406665;0.665832;-0.873495;0.131026;0.438871;0.524097;
1.018111;0.526967;0.414838;0.667247;-0.878279;0.131744;0.448306;0.526967;
1.018111;0.526970;0.414836;0.667246;-0.878284;0.131744;0.448301;0.526970;
1.018111;0.526971;0.414837;0.667246;-0.878284;0.131744;0.448302;0.526971;
1.018111;0.526971;0.414837;0.667246;-0.878284;0.131744;0.448302;0.526971;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;0.526971;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;0.526971;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;0.526971;
1.018111;0.526971;0.414838;0.667246;-0.878285;0.131745;0.448304;0.526971;
1.018115;0.526990;0.414893;0.667256;-0.878317;0.131749;0.448367;0.526990;
1.018115;0.526990;0.414893;0.667256;-0.878317;0.131749;0.448367;0.526990;
1.018125;0.527039;0.415034;0.667280;-0.878398;0.131762;0.448529;0.527039;
1.018135;0.527088;0.415174;0.667305;-0.878479;0.131774;0.448691;0.527088;
1.018155;0.527185;0.415455;0.667353;-0.878642;0.131798;0.449015;0.527185;
1.018195;0.527379;0.416017;0.667451;-0.878964;0.131846;0.449664;0.527379;
1.018275;0.527763;0.417139;0.667645;-0.879606;0.131943;0.450961;0.527763;
1.018435;0.528521;0.419382;0.668034;-0.880869;0.132132;0.453556;0.528521;
1.018755;0.529992;0.423857;0.668813;-0.883321;0.132500;0.458748;0.529992;
1.019395;0.532766;0.432752;0.670369;-0.887944;0.133193;0.469120;0.532766;
1.020675;0.537713;0.450267;0.673456;-0.896189;0.134430;0.489701;0.537713;
1.021955;0.541949;0.467341;0.676490;-0.903248;0.135489;0.509927;0.541949;
1.024515;0.548889;0.499763;0.682276;-0.914816;0.137224;0.548499;0.548889;
1.027075;0.554279;0.529575;0.687602;-0.923799;0.138572;0.584005;0.554279;
1.029635;0.558735;0.556478;0.692378;-0.931225;0.139686;0.615847;0.558735;
1.032195;0.562724;0.580337;0.696560;-0.937874;0.140683;0.643726;0.562724;
1.034755;0.566554;0.601160;0.700142;-0.944257;0.141640;0.667601;0.566554;
1.037315;0.570405;0.619066;0.703144;-0.950675;0.142603;0.687620;0.570405;
1.039875;0.574364;0.634250;0.705611;-0.957273;0.143593;0.704061;0.574364;
1.042435;0.578447;0.646959;0.707593;-0.964079;0.144614;0.717277;0.578447;
1.044995;0.582633;0.657463;0.709150;-0.971055;0.145660;0.727658;0.582633;
1.047555;0.586875;0.666037;0.710341;-0.978125;0.146721;0.735598;0.586875;
1.050115;0.591117;0.672952;0.711224;-0.985195;0.147781;0.741481;0.591117;
1.052675;0.595301;0.678460;0.711850;-0.992169;0.148827;0.745659;0.595301;
1.057795;0.603251;0.686400;0.712573;-1.005419;0.150815;0.750475;0.603251;
1.062403;0.609802;0.690715;0.712755;-1.016336;0.152453;0.751691;0.609802;
1.067011;0.615640;0.693251;0.712674;-1.026066;0.153912;0.751152;0.615640;
1.071619;0.620717;0.694616;0.712447;-1.034528;0.155181;0.749636;0.620717;
1.076227;0.625035;0.695260;0.712156;-1.041725;0.156261;0.747699;0.625035;
1.080835;0.628635;0.695494;0.711857;-1.047725;0.157161;0.745701;0.628635;
1.085443;0.631584;0.695522;0.711580;-1.052640;0.157898;0.743854;0.631584;
1.094659;0.635954;0.695451;0.711146;-1.059923;0.158991;0.740963;0.635954;
1.103875;0.638705;0.695364;0.710864;-1.064508;0.159678;0.739081;0.638705;
1.113091;0.640350;0.695362;0.710703;-1.067249;0.160090;0.738011;0.640350;
1.122307;0.641291;0.695433;0.710624;-1.068818;0.160325;0.737485;0.641291;
1.131523;0.641811;0.695534;0.710592;-1.069685;0.160455;0.737270;0.641811;
1.140739;0.642093;0.695632;0.710582;-1.070155;0.160525;0.737205;0.642093;
1.159171;0.642388;0.695759;0.710577;-1.070647;0.160599;0.737167;0.642388;
1.177603;0.642473;0.695814;0.710578;-1.070789;0.160621;0.737179;0.642473;
1.196035;0.642488;0.695826;0.710579;-1.070813;0.160624;0.737184;0.642488;
1.214467;0.642484;0.695821;0.710579;-1.070806;0.160623;0.737181;0.642484;
1.251331;0.642478;0.695814;0.710578;-1.070797;0.160622;0.737176;0.642478;
1.288195;0.642472;0.695810;0.710578;-1.070786;0.160620;0.737175;0.642472;
1.325059;0.642469;0.695810;0.710578;-1.070781;0.160619;0.737177;0.642469;
1.361923;0.642467;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642467;
1.435651;0.642467;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642467;
1.509379;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.583107;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.656835;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.723190;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.789545;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.855900;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
1.988611;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
2.000000;0.642468;0.695810;0.710578;-1.070779;0.160619;0.737178;0.642468;
2.000000;1.000498;1.083567;1.124511;-1.000498;0.150077;0.830063;1.000498;
2.000010;1.000498;1.083566;1.124511;-1.000498;0.150077;0.830062;1.000498;
2.000020;1.000500;1.083564;1.124511;-1.000500;0.150077;0.830061;1.000500;
2.000040;1.000504;1.083559;1.124510;-1.000504;0.150078;0.830056;1.000504;
2.000080;1.000519;1.083540;1.124507;-1.000519;0.150080;0.830036;1.000519;
2.000160;1.000581;1.083465;1.124496;-1.000581;0.150089;0.829961;1.000581;
2.000320;1.000817;1.083167;1.124452;-1.000817;0.150125;0.829667;1.000817;
2.000457;1.001130;1.082760;1.124392;-1.001130;0.150172;0.829266;1.001130;
2.000457;1.001130;1.082760;1.124392;-1.001130;0.150172;0.829266;1.001130;
2.000457;1.001130;1.082760;1.124391;-1.001130;0.150172;0.829265;1.001130;
2.000457;1.001130;1.082760;1.124391;-1.001130;0.150172;0.829265;1.001130;
2.000467;1.001157;1.082724;1.124386;-1.001157;0.150176;0.829230;1.001157;
2.000477;1.001183;1.082688;1.124381;-1.001183;0.150180;0.829195;1.001183;
2.000497;1.001235;1.082613;1.124370;-1.001235;0.150187;0.829122;1.001235;
2.000537;1.001335;1.082456;1.124348;-1.001335;0.150202;0.828972;1.001335;
2.000617;1.001517;1.082108;1.124299;-1.001517;0.150230;0.828650;1.001517;
2.000777;1.001816;1.081278;1.124189;-1.001816;0.150275;0.827913;1.001816;
2.001097;1.002162;1.079102;1.123915;-1.002162;0.150326;0.826086;1.002162;
2.001737;1.001939;1.072827;1.123168;-1.001939;0.150293;0.821109;1.001939;
2.003017;0.998465;1.053621;1.120978;-0.998465;0.149772;0.806509;0.998465;
2.004297;0.991647;1.026814;1.117979;-0.991647;0.148749;0.786515;0.991647;
2.005577;0.982309;0.994033;1.114325;-0.982309;0.147348;0.762157;0.982309;
2.006857;0.971142;0.956760;1.110160;-0.971142;0.145673;0.734390;0.971142;
2.008137;0.958706;0.916289;1.105611;-0.958706;0.143808;0.704063;0.958706;
2.009417;0.945449;0.873723;1.100789;-0.945449;0.141819;0.671918;0.945449;
2.010598;0.932814;0.833439;1.096187;-0.932814;0.139924;0.641237;0.932814;
2.010598;0.932804;0.833441;1.096188;-0.932804;0.139922;0.641242;0.932804;
2.010608;0.932695;0.833096;1.096148;-0.932695;0.139906;0.640977;0.932695;
2.010618;0.932586;0.832750;1.096108;-0.932586;0.139890;0.640713;0.932586;
2.010638;0.932368;0.832059;1.096029;-0.932368;0.139857;0.640184;0.932368;
2.010678;0.931933;0.830678;1.095870;-0.931933;0.139792;0.639128;0.931933;
2.010758;0.931063;0.827922;1.095554;-0.931063;0.139661;0.637019;0.931063;
2.010918;0.929324;0.822435;1.094924;-0.929324;0.139401;0.632817;0.929324;
2.011238;0.925853;0.811556;1.093673;-0.925853;0.138880;0.624477;0.925853;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;0.919268;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;0.919268;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;0.919268;
2.011848;0.919268;0.791171;1.091323;-0.919268;0.137892;0.608813;0.919268;
2.011858;0.919160;0.790841;1.091285;-0.919160;0.137876;0.608559;0.919160;
2.011868;0.919053;0.790511;1.091247;-0.919053;0.137860;0.608305;0.919053;
2.011888;0.918837;0.789851;1.091171;-0.918837;0.137828;0.607797;0.918837;
2.011928;0.918407;0.788533;1.091019;-0.918407;0.137763;0.606782;0.918407;
2.012008;0.917548;0.785903;1.090715;-0.917548;0.137634;0.604757;0.917548;
2.012168;0.915833;0.780667;1.090110;-0.915833;0.137377;0.600722;0.915833;
2.012488;0.912416;0.770292;1.088909;-0.912416;0.136864;0.592717;0.912416;
2.013128;0.905646;0.749932;1.086546;-0.905646;0.135849;0.576967;0.905646;
2.014408;0.892399;0.710768;1.081977;-0.892399;0.133862;0.546508;0.892399;
2.015688;0.879592;0.673655;1.077617;-0.879592;0.131941;0.517439;0.879592;
2.018248;0.855534;0.605416;1.069513;-0.855534;0.128332;0.463411;0.855534;
2.020808;0.833650;0.544785;1.062211;-0.833650;0.125049;0.414736;0.833650;
2.023368;0.814007;0.491243;1.055678;-0.814007;0.122103;0.371184;0.814007;
2.025928;0.796575;0.444215;1.049869;-0.796575;0.119488;0.332455;0.796575;
2.027776;0.785302;0.413939;1.046091;-0.785302;0.117797;0.307270;0.785302;
2.027776;0.785307;0.413939;1.046091;-0.785307;0.117798;0.307269;0.785307;
2.027778;0.785296;0.413911;1.046088;-0.785296;0.117796;0.307246;0.785296;
2.027778;0.785296;0.413911;1.046088;-0.785296;0.117796;0.307246;0.785296;
2.027788;0.785238;0.413756;1.046068;-0.785238;0.117787;0.307117;0.785238;
2.027798;0.785181;0.413601;1.046049;-0.785181;0.117779;0.306987;0.785181;
2.027818;0.785065;0.413292;1.046010;-0.785065;0.117761;0.306729;0.785065;
2.027858;0.784834;0.412676;1.045933;-0.784834;0.117727;0.306214;0.784834;
2.027938;0.784375;0.411451;1.045779;-0.784375;0.117658;0.305192;0.784375;
2.028098;0.783463;0.409033;1.045476;-0.783463;0.117521;0.303172;0.783463;
2.028418;0.781669;0.404321;1.044886;-0.781669;0.117252;0.299237;0.781669;
2.029058;0.778198;0.395371;1.043765;-0.778198;0.116731;0.291762;0.778198;
2.030338;0.771694;0.379205;1.041740;-0.771694;0.115756;0.278263;0.771694;
2.031618;0.765742;0.365148;1.039981;-0.765742;0.114863;0.266536;0.765742;
2.034178;0.755278;0.342102;1.037104;-0.755278;0.113293;0.247356;0.755278;
2.036482;0.747342;0.326315;1.035146;-0.747342;0.112103;0.234301;0.747342;
2.038786;0.740591;0.314142;1.033649;-0.740591;0.111090;0.224322;0.740591;
2.041090;0.734858;0.304825;1.032516;-0.734858;0.110230;0.216773;0.734858;
2.043394;0.729991;0.297732;1.031667;-0.729991;0.109500;0.211113;0.729991;
2.045698;0.725858;0.292362;1.031037;-0.725858;0.108880;0.206909;0.725858;
2.048002;0.722347;0.288320;1.030573;-0.722347;0.108354;0.203820;0.722347;
2.050306;0.719360;0.285297;1.030237;-0.719360;0.107905;0.201579;0.719360;
2.052610;0.716816;0.283052;1.029997;-0.716816;0.107524;0.199978;0.716816;
2.057218;0.712727;0.280043;1.029695;-0.712727;0.106910;0.197967;0.712727;
2.061826;0.709718;0.278464;1.029563;-0.709718;0.106459;0.197081;0.709718;
2.066434;0.707499;0.277714;1.029523;-0.707499;0.106126;0.196819;0.707499;
2.071042;0.705850;0.277413;1.029530;-0.705850;0.105879;0.196865;0.705850;
2.075650;0.704612;0.277333;1.029556;-0.704612;0.105693;0.197037;0.704612;
2.084866;0.702874;0.277346;1.029610;-0.702874;0.105433;0.197395;0.702874;
2.094082;0.701858;0.277454;1.029655;-0.701858;0.105280;0.197699;0.701858;
2.103298;0.701276;0.277543;1.029685;-0.701276;0.105193;0.197899;0.701276;
2.112514;0.700960;0.277592;1.029702;-0.700960;0.105145;0.198008;0.700960;
2.130946;0.700715;0.277629;1.029714;-0.700715;0.105109;0.198091;0.700715;
2.149378;0.700835;0.277634;1.029711;-0.700835;0.105127;0.198073;0.700835;
2.167810;0.701155;0.277639;1.029702;-0.701155;0.105175;0.198014;0.701155;
2.186242;0.701589;0.277649;1.029691;-0.701589;0.105240;0.197937;0.701589;
2.223106;0.702595;0.277678;1.029665;-0.702595;0.105391;0.197765;0.702595;
2.259970;0.703667;0.277710;1.029638;-0.703667;0.105552;0.197581;0.703667;
2.296834;0.704644;0.277743;1.029613;-0.704644;0.105698;0.197417;0.704644;
2.333698;0.705387;0.277773;1.029595;-0.705387;0.105810;0.197298;0.705387;
2.370562;0.705799;0.277803;1.029587;-0.705799;0.105871;0.197243;0.705799;
2.407426;0.705833;0.277830;1.029590;-0.705833;0.105876;0.197262;0.705833;
2.481154;0.704974;0.277879;1.029622;-0.704974;0.105748;0.197480;0.704974;
2.554882;0.703421;0.277921;1.029675;-0.703421;0.105515;0.197829;0.703421;
2.628610;0.701966;0.277960;1.029724;-0.701966;0.105296;0.198156;0.701966;
2.702338;0.701245;0.278002;1.029751;-0.701245;0.105188;0.198339;0.701245;
2.776066;0.701486;0.278049;1.029751;-0.701486;0.105224;0.198335;0.701486;
2.849794;0.702465;0.278098;1.029728;-0.702465;0.105371;0.198187;0.702465;
2.923522;0.703654;0.278150;1.029700;-0.703654;0.105549;0.197999;0.703654;
2.997250;0.704242;0.278198;1.029689;-0.704242;0.105638;0.197927;0.704242;
3.060539;0.704203;0.278236;1.029696;-0.704203;0.105632;0.197971;0.704203;
3.123827;0.703848;0.278272;1.029712;-0.703848;0.105579;0.198076;0.703848;
3.187115;0.703390;0.278306;1.029730;-0.703390;0.105510;0.198199;0.703390;
3.313692;0.702921;0.278372;1.029754;-0.702921;0.105440;0.198355;0.702921;
3.424191;0.702865;0.278430;1.029764;-0.702865;0.105431;0.198421;0.702865;
3.534690;0.702965;0.278487;1.029769;-0.702965;0.105446;0.198455;0.702965;
3.755688;0.703054;0.278594;1.029781;-0.703054;0.105460;0.198538;0.703054;
3.976686;0.703022;0.278693;1.029796;-0.703022;0.105455;0.198638;0.703022;
4.418682;0.702928;0.278865;1.029823;-0.702928;0.105441;0.198818;0.702928;
5.302675;0.702782;0.279117;1.029863;-0.702782;0.105419;0.199085;0.702782;
5.999999;0.702680;0.279223;1.029881;-0.702680;0.105403;0.199205;0.702680;
5.999999;0.702680;0.279223;1.029881;-0.702680;0.105403;0.199205;0.702680;
6.000009;0.702680;0.279223;1.029878;-0.702685;0.105432;0.199186;0.702680;
6.000019;0.702680;0.279223;1.029875;-0.702692;0.105464;0.199164;0.702680;
6.000039;0.702680;0.279223;1.029868;-0.702704;0.105529;0.199119;0.702680;
6.000079;0.702680;0.279223;1.029855;-0.702729;0.105658;0.199031;0.702680;
6.000159;0.702680;0.279223;1.029828;-0.702779;0.105917;0.198855;0.702680;
6.000319;0.702680;0.279223;1.029775;-0.702879;0.106435;0.198501;0.702680;
6.000639;0.702680;0.279223;1.029668;-0.703078;0.107470;0.197795;0.702680;
6.001279;0.702680;0.279223;1.029449;-0.703474;0.109540;0.196381;0.702680;
6.002559;0.702680;0.279223;1.029001;-0.704258;0.113679;0.193551;0.702680;
6.005119;0.702679;0.279224;1.028053;-0.705792;0.121951;0.187881;0.702679;
6.010239;0.702678;0.279225;1.025959;-0.708721;0.138470;0.176506;0.702678;
6.020479;0.702677;0.279227;1.020975;-0.714031;0.171398;0.153622;0.702677;
6.040959;0.702673;0.279232;1.007843;-0.722428;0.236687;0.107401;0.702673;
6.081919;0.702667;0.279241;0.969139;-0.730233;0.364061;0.013818;0.702667;
6.163839;0.702655;0.279259;0.844561;-0.709699;0.598743;-0.172478;0.702655;
6.327679;0.702639;0.279326;0.440385;-0.532884;0.936941;-0.499460;0.702613;
6.409599;0.702620;0.279324;0.187406;-0.388204;1.018173;-0.618626;0.702615;
6.499999;0.701411;0.278856;-0.099326;-0.203226;1.029616;-0.700840;0.702609;
6.499999;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500009;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500019;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500039;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500079;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500159;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500319;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.500639;0.702604;0.279331;-0.105392;-0.199322;1.029899;-0.702604;0.702604;
6.501279;0.702603;0.279331;-0.105392;-0.199323;1.029899;-0.702603;0.702603;
6.502559;0.702603;0.279331;-0.105392;-0.199323;1.029899;-0.702603;0.702603;
6.505119;0.702603;0.279331;-0.105392;-0.199323;1.029899;-0.702603;0.702603;
6.510239;0.702602;0.279332;-0.105392;-0.199324;1.029899;-0.702602;0.702602;
6.520479;0.702600;0.279334;-0.105391;-0.199326;1.029899;-0.702600;0.702600;
6.540959;0.702597;0.279338;-0.105391;-0.199330;1.029900;-0.702597;0.702597;
6.581919;0.702591;0.279345;-0.105390;-0.199338;1.029901;-0.702591;0.702591;
6.663839;0.702578;0.279359;-0.105388;-0.199354;1.029904;-0.702578;0.702578;
6.827679;0.702554;0.279385;-0.105385;-0.199383;1.029908;-0.702554;0.702554;
7.155359;0.702506;0.279428;-0.105377;-0.199434;1.029915;-0.702506;0.702506;
7.810719;0.702414;0.279491;-0.105364;-0.199511;1.029927;-0.702414;0.702414;
9.121439;0.702243;0.279550;-0.105338;-0.199601;1.029941;-0.702243;0.702243;
11.742879;0.701945;0.279565;-0.105293;-0.199674;1.029952;-0.701945;0.701945;
14.364319;0.701687;0.279548;-0.105255;-0.199710;1.029957;-0.701687;0.701687;
19.607199;0.701292;0.279518;-0.105195;-0.199760;1.029964;-0.701292;0.701292;
20.000000;0.701263;0.279516;-0.105191;-0.199764;1.029965;-0.701263;0.701263;
