time;SVarC_SVarC_injector_UPu;SVarC_SVarC_injector_BPu;SVarC_SVarC_injector_GPu;SVarC_SVarC_injector_PInjPu;SVarC_SVarC_injector_QInjPu;SVarC_SVarC_modeHandling_mode;SVarC_SVarC_modeHandling_URefPu;
1.000128;0.958939;0.033128;0.000000;-0.000000;0.076157;3.000000;0.977778;
1.000256;0.958981;0.033735;0.000000;-0.000000;0.077561;3.000000;0.977778;
1.000512;0.959066;0.034945;0.000000;-0.000000;0.080357;3.000000;0.977778;
1.001024;0.959233;0.037346;0.000000;-0.000000;0.085908;3.000000;0.977778;
1.002048;0.959562;0.042075;0.000000;-0.000000;0.096852;3.000000;0.977778;
1.004096;0.960201;0.051244;0.000000;-0.000000;0.118117;3.000000;0.977778;
1.008192;0.961406;0.068494;0.000000;-0.000000;0.158274;3.000000;0.977778;
1.012288;0.962518;0.084369;0.000000;-0.000000;0.195407;3.000000;0.977778;
1.020480;0.964494;0.112514;0.000000;-0.000000;0.261666;3.000000;0.977778;
1.027853;0.966016;0.134102;0.000000;-0.000000;0.312856;3.000000;0.977778;
1.035225;0.967327;0.152662;0.000000;-0.000000;0.357118;3.000000;0.977778;
1.042598;0.968456;0.168594;0.000000;-0.000000;0.395304;3.000000;0.977778;
1.045741;0.968889;0.174696;0.000000;-0.000000;0.409973;3.000000;0.977778;
1.045744;0.968889;0.174702;0.000000;-0.000000;0.409986;3.000000;0.977778;
1.049971;0.969426;0.182262;0.000000;-0.000000;0.428204;3.000000;0.977778;
1.057344;0.970259;0.193981;0.000000;-0.000000;0.456522;3.000000;0.977778;
1.064717;0.970975;0.204028;0.000000;-0.000000;0.480874;3.000000;0.977778;
1.072089;0.971589;0.212638;0.000000;-0.000000;0.501802;3.000000;0.977778;
1.079462;0.972116;0.220015;0.000000;-0.000000;0.519776;3.000000;0.977778;
1.086835;0.972567;0.226335;0.000000;-0.000000;0.535206;3.000000;0.977778;
1.094208;0.972954;0.231749;0.000000;-0.000000;0.548446;3.000000;0.977778;
1.101581;0.973286;0.236386;0.000000;-0.000000;0.559803;3.000000;0.977778;
1.116326;0.973822;0.243860;0.000000;-0.000000;0.578150;3.000000;0.977778;
1.131072;0.974216;0.249352;0.000000;-0.000000;0.591646;3.000000;0.977778;
1.145817;0.974503;0.253362;0.000000;-0.000000;0.601514;3.000000;0.977778;
1.160563;0.974713;0.256280;0.000000;-0.000000;0.608703;3.000000;0.977778;
1.175309;0.974865;0.258400;0.000000;-0.000000;0.613930;3.000000;0.977778;
1.190054;0.974975;0.259938;0.000000;-0.000000;0.617725;3.000000;0.977778;
1.204800;0.975056;0.261054;0.000000;-0.000000;0.620479;3.000000;0.977778;
1.219545;0.975114;0.261863;0.000000;-0.000000;0.622477;3.000000;0.977778;
1.249037;0.975191;0.262937;0.000000;-0.000000;0.625132;3.000000;0.977778;
1.278528;0.975231;0.263499;0.000000;-0.000000;0.626518;3.000000;0.977778;
1.308019;0.975251;0.263775;0.000000;-0.000000;0.627201;3.000000;0.977778;
1.337510;0.975260;0.263904;0.000000;-0.000000;0.627520;3.000000;0.977778;
1.396493;0.975269;0.264019;0.000000;-0.000000;0.627803;3.000000;0.977778;
1.514457;0.975267;0.264001;0.000000;-0.000000;0.627759;3.000000;0.977778;
1.632422;0.975267;0.263996;0.000000;-0.000000;0.627746;3.000000;0.977778;
1.868352;0.975267;0.263994;0.000000;-0.000000;0.627742;3.000000;0.977778;
2.340211;0.975267;0.263994;0.000000;-0.000000;0.627741;3.000000;0.977778;
3.000000;0.975267;0.263994;0.000000;-0.000000;0.627741;3.000000;0.977778;
