time;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_VL1_BUS1_U;NETWORK_VL2_BUS1_U;
12.2500000000;0.0407398651;0.0051866769;-0.0407398651;0.0409182654;-0.0051866769;0.0060185514;2.0021129798;1.0079079892;
12.3750000000;0.0407010646;0.0051768021;-0.0407010646;0.0408794406;-0.0051768021;0.0060086698;2.0002061719;1.0069523167;
12.5000000000;0.0406646408;0.0051675406;-0.0406646408;0.0408429940;-0.0051675406;0.0059994020;1.9984161656;1.0060551843;
12.6250000000;0.0406309149;0.0051589727;-0.0406309150;0.0408092472;-0.0051589726;0.0059908281;1.9967587498;1.0052245052;
12.7500000000;0.0406000803;0.0051511454;-0.0406000805;0.0407783935;-0.0051511452;0.0059829953;1.9952434178;1.0044650371;
12.8750000000;0.0405722238;0.0051440792;-0.0405722246;0.0407505203;-0.0051440783;0.0059759237;1.9938744404;1.0037789204;
13.0000000000;0.0405473465;0.0051377728;-0.0405473500;0.0407256302;-0.0051377695;0.0059696106;1.9926518750;1.0031661832;
13.1250000000;0.0405253846;0.0051322087;-0.0405253988;0.0407036654;-0.0051321961;0.0059640338;1.9915725833;1.0026252509;
13.2500000000;0.0405061860;0.0051273472;-0.0405061860;0.0406844406;-0.0051273472;0.0059591811;1.9906290939;1.0021523894;
13.3750000000;0.0404896220;0.0051231546;-0.0404896220;0.0406678663;-0.0051231546;0.0059549856;1.9898150722;1.0017444110;
13.6250000000;0.0404656635;0.0051170935;-0.0404656635;0.0406438929;-0.0051170935;0.0059489203;1.9886376605;1.0011543058;
13.8750000000;0.0404488194;0.0051128343;-0.0404488194;0.0406270383;-0.0051128343;0.0059446583;1.9878098767;1.0007394302;
14.0000000000;0.0404418347;0.0051110687;-0.0404418347;0.0406200493;-0.0051110687;0.0059428914;1.9874666246;1.0005673962;
14.1250000000;0.0404362582;0.0051096593;-0.0404362582;0.0406144694;-0.0051096593;0.0059414810;1.9871925739;1.0004300452;
14.2500000000;0.0404319159;0.0051085619;-0.0404319159;0.0406101243;-0.0051085619;0.0059403829;1.9869791731;1.0003230912;
14.3750000000;0.0404286337;0.0051077326;-0.0404286341;0.0406068405;-0.0051077320;0.0059395525;1.9868178765;1.0002422511;
14.6250000000;0.0404253014;0.0051068906;-0.0404253021;0.0406035064;-0.0051068911;0.0059387110;1.9866541113;1.0001601745;
15.1250000000;0.0404247938;0.0051067624;-0.0404247947;0.0406029988;-0.0051067619;0.0059385817;1.9866291669;1.0001476722;
15.6250000000;0.0404261205;0.0051070976;-0.0404261205;0.0406043254;-0.0051070976;0.0059389176;1.9866943676;1.0001803501;
16.1250000000;0.0404277234;0.0051075026;-0.0404277234;0.0406059293;-0.0051075026;0.0059393228;1.9867731389;1.0002198294;
16.6250000000;0.0404289690;0.0051078173;-0.0404289692;0.0406071758;-0.0051078175;0.0059396380;1.9868343510;1.0002505083;
16.8750000000;0.0404292112;0.0051078785;-0.0404292112;0.0406074180;-0.0051078785;0.0059396990;1.9868462560;1.0002564748;
17.1250000000;0.0404294251;0.0051079325;-0.0404294252;0.0406076321;-0.0051079324;0.0059397529;1.9868567678;1.0002617431;
17.3750000000;0.0404295971;0.0051079760;-0.0404295984;0.0406078054;-0.0051079770;0.0059397977;1.9868652218;1.0002659809;
17.5000000000;0.0404295994;0.0051079766;-0.0404295999;0.0406078070;-0.0051079767;0.0059397973;1.9868653335;1.0002660363;
17.6250000000;0.0404295996;0.0051079766;-0.0404296001;0.0406078071;-0.0051079768;0.0059397974;1.9868653434;1.0002660413;
17.7500000000;0.0404295987;0.0051079764;-0.0404295990;0.0406078061;-0.0051079766;0.0059397972;1.9868652983;1.0002660187;
17.8750000000;0.0404295949;0.0051079754;-0.0404295951;0.0406078021;-0.0051079756;0.0059397962;1.9868651115;1.0002659250;
18.0000000000;0.0404295859;0.0051079732;-0.0404295861;0.0406077931;-0.0051079733;0.0059397939;1.9868646712;1.0002657043;
18.1250000000;0.0404295700;0.0051079691;-0.0404295701;0.0406077771;-0.0051079692;0.0059397898;1.9868638867;1.0002653111;
18.2500000000;0.0404295457;0.0051079630;-0.0404295458;0.0406077528;-0.0051079631;0.0059397837;1.9868626965;1.0002647146;
18.3750000000;0.0404295126;0.0051079546;-0.0404295126;0.0406077196;-0.0051079547;0.0059397752;1.9868610664;1.0002638976;
18.5000000000;0.0404294702;0.0051079439;-0.0404294702;0.0406076772;-0.0051079440;0.0059397645;1.9868589843;1.0002628541;
18.6250000000;0.0404294188;0.0051079309;-0.0404294188;0.0406076257;-0.0051079310;0.0059397515;1.9868564562;1.0002615870;
18.8750000000;0.0404293747;0.0051079198;-0.0404293747;0.0406075816;-0.0051079198;0.0059397404;1.9868542904;1.0002605015;
19.3750000000;0.0404292959;0.0051078999;-0.0404292959;0.0406075027;-0.0051078999;0.0059397204;1.9868504178;1.0002585606;
19.8750000000;0.0404289169;0.0051078041;-0.0404289169;0.0406071235;-0.0051078041;0.0059396246;1.9868317951;1.0002492272;
20.3750000000;0.0404284189;0.0051076783;-0.0404284190;0.0406066253;-0.0051076785;0.0059394989;1.9868073191;1.0002369602;
20.5000000000;0.0404281596;0.0051076128;-0.0404281601;0.0406063662;-0.0051076131;0.0059394335;1.9867945778;1.0002305745;
20.6250000000;0.0404279215;0.0051075526;-0.0404279217;0.0406061277;-0.0051075528;0.0059393731;1.9867828730;1.0002247081;
20.7500000000;0.0404277133;0.0051075000;-0.0404277134;0.0406059193;-0.0051075001;0.0059393203;1.9867726437;1.0002195812;
20.8750000000;0.0404275341;0.0051074547;-0.0404275342;0.0406057399;-0.0051074548;0.0059392750;1.9867638377;1.0002151677;
21.0000000000;0.0404273802;0.0051074158;-0.0404273802;0.0406055858;-0.0051074159;0.0059392361;1.9867562723;1.0002113761;
21.1250000000;0.0404272473;0.0051073823;-0.0404272473;0.0406054529;-0.0051073823;0.0059392025;1.9867497441;1.0002081042;
21.2500000000;0.0404271317;0.0051073531;-0.0404271317;0.0406053372;-0.0051073531;0.0059391732;1.9867440623;1.0002052565;
21.5000000000;0.0404270064;0.0051073214;-0.0404270064;0.0406052118;-0.0051073214;0.0059391415;1.9867379038;1.0002021700;
21.6250000000;0.0404269083;0.0051072966;-0.0404269083;0.0406051137;-0.0051072966;0.0059391167;1.9867330837;1.0001997542;
21.7500000000;0.0404268159;0.0051072733;-0.0404268159;0.0406050212;-0.0051072733;0.0059390934;1.9867285415;1.0001974777;
21.8750000000;0.0404267303;0.0051072516;-0.0404267303;0.0406049355;-0.0051072516;0.0059390717;1.9867243335;1.0001953687;
22.0000000000;0.0404266506;0.0051072315;-0.0404266506;0.0406048558;-0.0051072315;0.0059390516;1.9867204202;1.0001934074;
22.1250000000;0.0404265758;0.0051072126;-0.0404265758;0.0406047810;-0.0051072126;0.0059390327;1.9867167429;1.0001915643;
22.2500000000;0.0404265046;0.0051071946;-0.0404265046;0.0406047097;-0.0051071946;0.0059390147;1.9867132451;1.0001898113;
22.5000000000;0.0404264241;0.0051071743;-0.0404264258;0.0406046309;-0.0051071757;0.0059389958;1.9867092889;1.0001878294;
22.6250000000;0.0404263453;0.0051071544;-0.0404263453;0.0406045503;-0.0051071544;0.0059389744;1.9867054139;1.0001858864;
22.8750000000;0.0404262439;0.0051071287;-0.0404262439;0.0406044488;-0.0051071288;0.0059389488;1.9867004317;1.0001833894;
23.1250000000;0.0404261268;0.0051070992;-0.0404261268;0.0406043317;-0.0051070991;0.0059389191;1.9866946783;1.0001805058;
23.6250000000;0.0404259769;0.0051070613;-0.0404259770;0.0406041818;-0.0051070614;0.0059388813;1.9866873120;1.0001768140;
24.1250000000;0.0404257185;0.0051069960;-0.0404257185;0.0406039231;-0.0051069960;0.0059388159;1.9866746102;1.0001704479;
24.6250000000;0.0404254244;0.0051069217;-0.0404254244;0.0406036288;-0.0051069217;0.0059387415;1.9866601568;1.0001632041;
25.1250000000;0.0404251404;0.0051068499;-0.0404251449;0.0406033492;-0.0051068409;0.0059386608;1.9866461996;1.0001562048;
25.3750000000;0.0404249235;0.0051067951;-0.0404249240;0.0406031281;-0.0051067902;0.0059386099;1.9866355407;1.0001508643;
25.8750000000;0.0404247143;0.0051067423;-0.0404247143;0.0406029183;-0.0051067423;0.0059385620;1.9866252605;1.0001457145;
26.1250000000;0.0404245461;0.0051066998;-0.0404245462;0.0406027501;-0.0051066996;0.0059385193;1.9866169934;1.0001415710;
26.3750000000;0.0404244073;0.0051066647;-0.0404244073;0.0406026111;-0.0051066647;0.0059384844;1.9866101761;1.0001381543;
26.6250000000;0.0404242926;0.0051066357;-0.0404242926;0.0406024964;-0.0051066357;0.0059384554;1.9866045385;1.0001353288;
26.8750000000;0.0404242005;0.0051066124;-0.0404242064;0.0406024101;-0.0051066061;0.0059384260;1.9866000090;1.0001330562;
27.1250000000;0.0404241052;0.0051065884;-0.0404241056;0.0406023092;-0.0051065887;0.0059384084;1.9865953265;1.0001307121;
27.3750000000;0.0404240229;0.0051065676;-0.0404240238;0.0406022274;-0.0051065651;0.0059383848;1.9865912810;1.0001286832;
27.5000000000;0.0404239645;0.0051065528;-0.0404239645;0.0406021680;-0.0051065528;0.0059383724;1.9865884115;1.0001272462;
27.6250000000;0.0404239114;0.0051065394;-0.0404239114;0.0406021149;-0.0051065394;0.0059383590;1.9865858035;1.0001259391;
27.7500000000;0.0404238630;0.0051065272;-0.0404238630;0.0406020664;-0.0051065272;0.0059383468;1.9865834242;1.0001247466;
27.8750000000;0.0404238185;0.0051065159;-0.0404238185;0.0406020219;-0.0051065159;0.0059383355;1.9865812372;1.0001236505;
28.0000000000;0.0404237771;0.0051065055;-0.0404237771;0.0406019805;-0.0051065055;0.0059383250;1.9865792012;1.0001226301;
28.1250000000;0.0404237379;0.0051064956;-0.0404237379;0.0406019413;-0.0051064956;0.0059383152;1.9865772785;1.0001216664;
28.2500000000;0.0404237005;0.0051064861;-0.0404237005;0.0406019038;-0.0051064861;0.0059383057;1.9865754379;1.0001207439;
28.3750000000;0.0404236642;0.0051064770;-0.0404236642;0.0406018675;-0.0051064770;0.0059382965;1.9865736542;1.0001198500;
28.5000000000;0.0404236286;0.0051064680;-0.0404236286;0.0406018320;-0.0051064680;0.0059382875;1.9865719079;1.0001189747;
28.6250000000;0.0404235936;0.0051064591;-0.0404235936;0.0406017969;-0.0051064591;0.0059382787;1.9865701842;1.0001181109;
28.7500000000;0.0404235818;0.0051064561;-0.0404236110;0.0406018145;-0.0051064687;0.0059382895;1.9865696039;1.0001178295;
28.8750000000;0.0404235359;0.0051064446;-0.0404235515;0.0406017549;-0.0051064513;0.0059382715;1.9865673508;1.0001166959;
29.0000000000;0.0404234963;0.0051064345;-0.0404235035;0.0406017068;-0.0051064377;0.0059382575;1.9865654018;1.0001157164;
29.1250000000;0.0404234592;0.0051064252;-0.0404234619;0.0406016651;-0.0051064264;0.0059382460;1.9865635798;1.0001148017;
29.2500000000;0.0404234231;0.0051064161;-0.0404234239;0.0406016270;-0.0051064164;0.0059382359;1.9865618083;1.0001139132;
29.5000000000;0.0404233719;0.0051064031;-0.0404233719;0.0406015751;-0.0051064031;0.0059382226;1.9865592923;1.0001126520;
30.0000000000;0.0404232889;0.0051063821;-0.0404232889;0.0406014920;-0.0051063821;0.0059382016;1.9865552108;1.0001106064;
30.0000000000;0.0398894351;0.0049723970;-0.0398894352;0.0400673092;-0.0049723970;0.0058041247;1.9603195927;0.9869616602;
30.5000000000;0.0401466635;0.0050367331;-0.0401466832;0.0403247155;-0.0050367574;0.0058685300;1.9729607790;0.9932972616;
31.0000000000;0.0402175884;0.0050545451;-0.0402175897;0.0403956655;-0.0050545464;0.0058863304;1.9764463027;0.9950441470;
31.5000000000;0.0402851972;0.0050715535;-0.0402851978;0.0404633154;-0.0050715541;0.0059033498;1.9797688550;0.9967093677;
32.0000000000;0.0403378590;0.0050848215;-0.0403378595;0.0405160097;-0.0050848220;0.0059166267;1.9823568578;0.9980064426;
32.5000000000;0.0403732893;0.0050937578;-0.0403732897;0.0405514618;-0.0050937582;0.0059255691;1.9840980387;0.9988791013;
33.0000000000;0.0403950444;0.0050992488;-0.0403950448;0.0405732304;-0.0050992492;0.0059310638;1.9851671690;0.9994149365;
33.5000000000;0.0404074570;0.0051023831;-0.0404074574;0.0405856507;-0.0051023834;0.0059342002;1.9857771719;0.9997206627;
34.0000000000;0.0404140463;0.0051040473;-0.0404140466;0.0405922440;-0.0051040476;0.0059358655;1.9861009952;0.9998829591;
34.5000000000;0.0404172633;0.0051048599;-0.0404172636;0.0405954630;-0.0051048602;0.0059366787;1.9862590915;0.9999621950;
35.0000000000;0.0404186611;0.0051052130;-0.0404186614;0.0405968616;-0.0051052133;0.0059370320;1.9863277839;0.9999966229;
35.5000000000;0.0404191528;0.0051053372;-0.0404191530;0.0405973536;-0.0051053374;0.0059371562;1.9863519471;1.0000087331;
36.0000000000;0.0404192388;0.0051053589;-0.0404192390;0.0405974396;-0.0051053591;0.0059371779;1.9863561723;1.0000108507;
36.5000000000;0.0404191730;0.0051053423;-0.0404191732;0.0405973737;-0.0051053425;0.0059371613;1.9863529398;1.0000092306;
37.0000000000;0.0404190723;0.0051053169;-0.0404190724;0.0405972729;-0.0051053170;0.0059371358;1.9863479891;1.0000067494;
37.5000000000;0.0404189825;0.0051052942;-0.0404189826;0.0405971831;-0.0051052943;0.0059371131;1.9863435778;1.0000045385;
38.0000000000;0.0404189162;0.0051052775;-0.0404189164;0.0405971168;-0.0051052776;0.0059370963;1.9863403224;1.0000029069;
38.5000000000;0.0404188724;0.0051052664;-0.0404188725;0.0405970729;-0.0051052665;0.0059370852;1.9863381662;1.0000018262;
39.0000000000;0.0404188455;0.0051052596;-0.0404188456;0.0405970459;-0.0051052597;0.0059370784;1.9863368453;1.0000011642;
39.5000000000;0.0404188301;0.0051052557;-0.0404188302;0.0405970305;-0.0051052558;0.0059370745;1.9863360870;1.0000007842;
40.0000000000;0.0404188217;0.0051052536;-0.0404188218;0.0405970221;-0.0051052537;0.0059370724;1.9863356770;1.0000005787;
40.5000000000;0.0404188175;0.0051052525;-0.0404188175;0.0405970179;-0.0051052526;0.0059370713;1.9863354674;1.0000004736;
41.0000000000;0.0404188154;0.0051052520;-0.0404188155;0.0405970158;-0.0051052521;0.0059370708;1.9863353655;1.0000004225;
41.5000000000;0.0404188144;0.0051052517;-0.0404188145;0.0405970148;-0.0051052518;0.0059370705;1.9863353170;1.0000003982;
42.0000000000;0.0404188139;0.0051052516;-0.0404188140;0.0405970143;-0.0051052517;0.0059370704;1.9863352924;1.0000003859;
42.5000000000;0.0404188136;0.0051052515;-0.0404188136;0.0405970140;-0.0051052516;0.0059370703;1.9863352769;1.0000003781;
43.0000000000;0.0404188133;0.0051052515;-0.0404188134;0.0405970137;-0.0051052515;0.0059370702;1.9863352636;1.0000003714;
43.5000000000;0.0404188130;0.0051052514;-0.0404188131;0.0405970134;-0.0051052514;0.0059370702;1.9863352500;1.0000003646;
44.0000000000;0.0404188127;0.0051052513;-0.0404188128;0.0405970131;-0.0051052514;0.0059370701;1.9863352354;1.0000003573;
44.5000000000;0.0404188124;0.0051052512;-0.0404188125;0.0405970128;-0.0051052513;0.0059370700;1.9863352198;1.0000003495;
45.0000000000;0.0404188121;0.0051052512;-0.0404188121;0.0405970125;-0.0051052512;0.0059370699;1.9863352038;1.0000003415;
45.5000000000;0.0404188118;0.0051052511;-0.0404188118;0.0405970121;-0.0051052511;0.0059370698;1.9863351875;1.0000003333;
46.0000000000;0.0404188114;0.0051052510;-0.0404188115;0.0405970118;-0.0051052510;0.0059370697;1.9863351712;1.0000003251;
46.5000000000;0.0404188111;0.0051052509;-0.0404188111;0.0405970115;-0.0051052509;0.0059370697;1.9863351551;1.0000003170;
47.0000000000;0.0404188108;0.0051052508;-0.0404188108;0.0405970111;-0.0051052509;0.0059370696;1.9863351392;1.0000003091;
47.5000000000;0.0404188105;0.0051052507;-0.0404188105;0.0405970108;-0.0051052508;0.0059370695;1.9863351238;1.0000003014;
48.0000000000;0.0404188102;0.0051052507;-0.0404188102;0.0405970105;-0.0051052507;0.0059370694;1.9863351086;1.0000002938;
48.5000000000;0.0404188099;0.0051052506;-0.0404188099;0.0405970102;-0.0051052506;0.0059370693;1.9863350939;1.0000002864;
49.0000000000;0.0404188096;0.0051052505;-0.0404188096;0.0405970099;-0.0051052505;0.0059370693;1.9863350795;1.0000002792;
49.5000000000;0.0404188093;0.0051052504;-0.0404188093;0.0405970096;-0.0051052505;0.0059370692;1.9863350655;1.0000002722;
50.0000000000;0.0404188090;0.0051052504;-0.0404188090;0.0405970094;-0.0051052504;0.0059370691;1.9863350519;1.0000002653;
50.5000000000;0.0404188087;0.0051052503;-0.0404188088;0.0405970091;-0.0051052503;0.0059370690;1.9863350386;1.0000002587;
51.0000000000;0.0404188085;0.0051052502;-0.0404188085;0.0405970088;-0.0051052503;0.0059370690;1.9863350256;1.0000002522;
51.5000000000;0.0404188082;0.0051052502;-0.0404188082;0.0405970086;-0.0051052502;0.0059370689;1.9863350130;1.0000002458;
52.0000000000;0.0404188080;0.0051052501;-0.0404188080;0.0405970083;-0.0051052501;0.0059370688;1.9863350007;1.0000002397;
52.5000000000;0.0404188077;0.0051052501;-0.0404188077;0.0405970081;-0.0051052501;0.0059370688;1.9863349887;1.0000002337;
53.0000000000;0.0404188075;0.0051052500;-0.0404188075;0.0405970078;-0.0051052500;0.0059370687;1.9863349770;1.0000002278;
53.5000000000;0.0404188072;0.0051052499;-0.0404188073;0.0405970076;-0.0051052500;0.0059370687;1.9863349656;1.0000002221;
54.0000000000;0.0404188070;0.0051052499;-0.0404188070;0.0405970074;-0.0051052499;0.0059370686;1.9863349545;1.0000002165;
54.5000000000;0.0404188068;0.0051052498;-0.0404188068;0.0405970071;-0.0051052498;0.0059370686;1.9863349436;1.0000002111;
55.0000000000;0.0404188066;0.0051052498;-0.0404188066;0.0405970069;-0.0051052498;0.0059370685;1.9863349331;1.0000002058;
55.5000000000;0.0404188064;0.0051052497;-0.0404188064;0.0405970067;-0.0051052497;0.0059370684;1.9863349228;1.0000002006;
56.0000000000;0.0404188062;0.0051052497;-0.0404188062;0.0405970065;-0.0051052497;0.0059370684;1.9863349127;1.0000001956;
56.5000000000;0.0404188060;0.0051052496;-0.0404188060;0.0405970063;-0.0051052496;0.0059370683;1.9863349030;1.0000001907;
57.0000000000;0.0404188058;0.0051052496;-0.0404188058;0.0405970061;-0.0051052496;0.0059370683;1.9863348934;1.0000001859;
57.5000000000;0.0404188056;0.0051052495;-0.0404188056;0.0405970059;-0.0051052495;0.0059370682;1.9863348841;1.0000001812;
58.0000000000;0.0404188054;0.0051052495;-0.0404188054;0.0405970057;-0.0051052495;0.0059370682;1.9863348751;1.0000001767;
58.5000000000;0.0404188052;0.0051052494;-0.0404188052;0.0405970056;-0.0051052494;0.0059370682;1.9863348662;1.0000001723;
59.0000000000;0.0404188050;0.0051052494;-0.0404188051;0.0405970054;-0.0051052494;0.0059370681;1.9863348576;1.0000001679;
59.5000000000;0.0404188049;0.0051052493;-0.0404188049;0.0405970052;-0.0051052493;0.0059370681;1.9863348492;1.0000001637;
60.0000000000;0.0404188047;0.0051052493;-0.0404188047;0.0405970050;-0.0051052493;0.0059370680;1.9863348410;1.0000001596;
