time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;Load_load_PPu;Load_load_QPu;Transformer_transformer_terminal1_V_re;Transformer_transformer_terminal1_V_im;Transformer_transformer_terminal2_V_re;Transformer_transformer_terminal2_V_im;Transformer_transformer_terminal1_i_re;Transformer_transformer_terminal1_i_im;Transformer_transformer_terminal2_i_re;Transformer_transformer_terminal2_i_im;Transformer_transformer_P1Pu;Transformer_transformer_Q1Pu;Transformer_transformer_P2Pu;Transformer_transformer_Q2Pu;Transformer_transformer_U1Pu;Transformer_transformer_U2Pu;Bus1_bus_U;Bus1_bus_UPhaseDeg;Bus2_bus_U;Bus2_bus_UPhaseDeg;
3.0000000000;0.9999965044;9.0849241327;1.5087821266;0.0908492413;0.0150878213;0.0900000000;0.0100000000;0.9805701501;-0.0730618342;0.9997875288;-0.0204427475;-0.0905210812;0.0169428496;0.0905221348;-0.0169419421;-0.0900001458;-0.0100000163;0.0908492413;0.0150878213;0.9832882847;0.9999965044;0.9832882847;-4.2612084021;0.9999965044;-1.1713688451;
3.1000000000;0.9999970901;9.0849249458;1.5087817106;0.0908492495;0.0150878171;0.0900000000;0.0100000000;0.9804740672;-0.0743480065;0.9997604388;-0.0217541987;-0.0904987340;0.0170615607;0.0904997888;-0.0170606546;-0.0900001548;-0.0100000173;0.0908492495;0.0150878171;0.9832888805;0.9999970901;0.9832888805;-4.3363619091;0.9999970901;-1.2465257288;
3.2000000000;0.9999976292;9.0849257887;1.5087813486;0.0908492579;0.0150878135;0.0900000000;0.0100000000;0.9803733448;-0.0756716945;0.9997306956;-0.0231039966;-0.0904755760;0.0171837174;0.0904766320;-0.0171828127;-0.0900001640;-0.0100000184;0.0908492579;0.0150878135;0.9832894286;0.9999976292;0.9832894286;-4.4137155382;0.9999976292;-1.3238824330;
3.3000000000;0.9999981222;9.0849266607;1.5087810398;0.0908492666;0.0150878104;0.0900000000;0.0100000000;0.9802678494;-0.0770326511;0.9996981501;-0.0244918977;-0.0904515971;0.0173092953;0.0904526544;-0.0173083921;-0.0900001734;-0.0100000194;0.0908492666;0.0150878104;0.9832899298;0.9999981222;0.9832899298;-4.4932556641;0.9999981222;-1.4034253367;
3.4000000000;0.9999975535;9.0849090840;1.5087777035;0.0908490908;0.0150877770;0.0900000000;0.0100000000;0.9801564486;-0.0784305507;0.9996616344;-0.0259176336;-0.0904266950;0.0174382523;0.0904277536;-0.0174373506;-0.0900000000;-0.0100000000;0.0908490908;0.0150877770;0.9832893852;0.9999975535;0.9832893852;-4.5749687952;0.9999975535;-1.4851409554;
3.5000000000;0.9999979044;9.0849090223;1.5087773329;0.0908490902;0.0150877733;0.0900000000;0.0100000000;0.9800409448;-0.0798652974;0.9996229735;-0.0273810083;-0.0904010383;0.0175705983;0.0904020982;-0.0175696982;-0.0900000000;-0.0100000000;0.0908490902;0.0150877733;0.9832897432;0.9999979044;0.9832897432;-4.6588412282;0.9999979044;-1.5690155996;
3.6000000000;0.9999982133;9.0849089680;1.5087770066;0.0908490897;0.0150877701;0.0900000000;0.0100000000;0.9799202524;-0.0813365719;0.9995810476;-0.0288817573;-0.0903745286;0.0177062922;0.0903755899;-0.0177053936;-0.0900000000;-0.0100000000;0.0908490897;0.0150877701;0.9832900584;0.9999982133;0.9832900584;-4.7448595852;0.9999982133;-1.6550359035;
3.7000000000;0.9999984827;9.0849089207;1.5087767220;0.0908490892;0.0150877672;0.0900000000;0.0100000000;0.9797942284;-0.0828441282;0.9995356977;-0.0304196389;-0.0903471549;0.0178453095;0.0903482175;-0.0178444126;-0.0900000000;-0.0100000000;0.0908490892;0.0150877672;0.9832903334;0.9999984827;0.9832903334;-4.8330104681;0.9999984827;-1.7431884845;
3.8000000000;0.9999987153;9.0849088798;1.5087764763;0.0908490888;0.0150877648;0.0900000000;0.0100000000;0.9796627271;-0.0843877209;0.9994867624;-0.0319944122;-0.0903189055;0.0179876258;0.0903199695;-0.0179867306;-0.0900000000;-0.0100000000;0.0908490888;0.0150877648;0.9832905706;0.9999987153;0.9832905706;-4.9232805525;0.9999987153;-1.8334600344;
3.9000000000;0.9999989137;9.0849088449;1.5087762668;0.0908490884;0.0150877627;0.0900000000;0.0100000000;0.9795256001;-0.0859671051;0.9994340774;-0.0336058369;-0.0902897687;0.0181332168;0.0902908342;-0.0181323232;-0.0900000000;-0.0100000000;0.0908490884;0.0150877627;0.9832907730;0.9999989137;0.9832907730;-5.0156565917;0.9999989137;-1.9258373239;
4.0000000000;0.9999990807;9.0849088155;1.5087760903;0.0908490882;0.0150877609;0.0900000000;0.0100000000;0.9793826966;-0.0875820368;0.9993774762;-0.0352536738;-0.0902597324;0.0182820579;0.0902607994;-0.0182811661;-0.0900000000;-0.0100000000;0.0908490882;0.0150877609;0.9832909435;0.9999990807;0.9832909435;-5.1101254210;0.9999990807;-2.0203072059;
4.1000000000;0.9999992192;9.0849087912;1.5087759441;0.0908490879;0.0150877594;0.0900000000;0.0100000000;0.9792338633;-0.0892322724;0.9993167896;-0.0369376842;-0.0902287844;0.0184341250;0.0902298529;-0.0184332350;-0.0900000000;-0.0100000000;0.0908490879;0.0150877594;0.9832910848;0.9999992192;0.9832910848;-5.2066739607;0.9999992192;-2.1168566182;
4.2000000000;0.9999993319;9.0849087714;1.5087758251;0.0908490877;0.0150877583;0.0900000000;0.0100000000;0.9790789443;-0.0909175691;0.9992518458;-0.0386576304;-0.0901969121;0.0185893937;0.0901979821;-0.0185885056;-0.0900000000;-0.0100000000;0.0908490877;0.0150877583;0.9832911997;0.9999993319;0.9832911997;-5.3052892183;0.9999993319;-2.2154725860;
4.3000000000;0.9999994215;9.0849087556;1.5087757304;0.0908490876;0.0150877573;0.0900000000;0.0100000000;0.9789177813;-0.0926376848;0.9991824709;-0.0404132755;-0.0901641029;0.0187478398;0.0901651744;-0.0187469535;-0.0900000000;-0.0100000000;0.0908490876;0.0150877573;0.9832912911;0.9999994215;0.9832912911;-5.4059582907;0.9999994215;-2.3161422228;
4.4000000000;0.9999994905;9.0849087435;1.5087756575;0.0908490874;0.0150877566;0.0900000000;0.0100000000;0.9787502137;-0.0943923782;0.9991084881;-0.0422043836;-0.0901303436;0.0189094390;0.0901314168;-0.0189085547;-0.0900000000;-0.0100000000;0.0908490874;0.0150877566;0.9832913616;0.9999994905;0.9832913616;-5.5086683649;0.9999994905;-2.4188527323;
4.5000000000;0.9999995416;9.0849087345;1.5087756036;0.0908490873;0.0150877560;0.0900000000;0.0100000000;0.9785760782;-0.0961814085;0.9990297187;-0.0440307193;-0.0900956213;0.0190741672;0.0900966960;-0.0190732848;-0.0900000000;-0.0100000000;0.0908490873;0.0150877560;0.9832914137;0.9999995416;0.9832914137;-5.6134067194;0.9999995416;-2.5235914084;
4.6000000000;0.9999995769;9.0849087283;1.5087755663;0.0908490873;0.0150877557;0.0900000000;0.0100000000;0.9783952095;-0.0980045357;0.9989459813;-0.0458920484;-0.0900599225;0.0192420003;0.0900609989;-0.0192411199;-0.0900000000;-0.0100000000;0.0908490873;0.0150877557;0.9832914497;0.9999995769;0.9832914497;-5.7201607242;0.9999995769;-2.6303456357;
4.7000000000;0.9999995986;9.0849087245;1.5087755433;0.0908490872;0.0150877554;0.0900000000;0.0100000000;0.9782074399;-0.0998615205;0.9988570925;-0.0477881370;-0.0900232336;0.0194129141;0.0900243117;-0.0194120357;-0.0900000000;-0.0100000000;0.0908490872;0.0150877554;0.9832914719;0.9999995986;0.9832914719;-5.8289178408;0.9999995986;-2.7391028894;
4.8000000000;0.9999996089;9.0849087227;1.5087755325;0.0908490872;0.0150877553;0.0900000000;0.0100000000;0.9780125993;-0.1017521241;0.9987628664;-0.0497187525;-0.0899855410;0.0195868846;0.0899866208;-0.0195860084;-0.0900000000;-0.0100000000;0.0908490872;0.0150877553;0.9832914823;0.9999996089;0.9832914823;-5.9396656219;0.9999996089;-2.8498507351;
4.9000000000;0.9999996094;9.0849087226;1.5087755319;0.0908490872;0.0150877553;0.0900000000;0.0100000000;0.9778105159;-0.1036761085;0.9986631153;-0.0516836625;-0.0899468308;0.0197638879;0.0899479123;-0.0197630137;-0.0900000000;-0.0100000000;0.0908490872;0.0150877553;0.9832914829;0.9999996094;0.9832914829;-6.0523917110;0.9999996094;-2.9625768277;
5.0000000000;0.9999996020;9.0849087239;1.5087755397;0.0908490872;0.0150877554;0.0900000000;0.0100000000;0.9776010152;-0.1056332360;0.9985576492;-0.0536826356;-0.0899070888;0.0199438998;0.0899081721;-0.0199430279;-0.0900000000;-0.0100000000;0.0908490872;0.0150877554;0.9832914754;0.9999996020;0.9832914754;-6.1670838413;0.9999996020;-3.0772689115;
5.1000000000;0.9999995882;9.0849087263;1.5087755544;0.0908490873;0.0150877555;0.0900000000;0.0100000000;0.9773839213;-0.1076232697;0.9984462760;-0.0557154409;-0.0898663009;0.0201268966;0.0898673859;-0.0201260269;-0.0900000000;-0.0100000000;0.0908490873;0.0150877555;0.9832914612;0.9999995882;0.9832914612;-6.2837298354;0.9999995882;-3.1939148182;
5.2000000000;0.9999995692;9.0849087297;1.5087755744;0.0908490873;0.0150877557;0.0900000000;0.0100000000;0.9771590558;-0.1096459731;0.9983288018;-0.0577818481;-0.0898244526;0.0203128543;0.0898255394;-0.0203119868;-0.0900000000;-0.0100000000;0.0908490873;0.0150877557;0.9832914419;0.9999995692;0.9832914419;-6.4023176033;0.9999995692;-3.3125024668;
5.3000000000;0.9999995464;9.0849087337;1.5087755984;0.0908490873;0.0150877560;0.0900000000;0.0100000000;0.9769262388;-0.1117011099;0.9982050308;-0.0598816274;-0.0897815295;0.0205017490;0.0897826181;-0.0205008837;-0.0900000000;-0.0100000000;0.0908490873;0.0150877560;0.9832914187;0.9999995464;0.9832914187;-6.5228351419;0.9999995464;-3.4330198617;
5.4000000000;0.9999995209;9.0849087382;1.5087756255;0.0908490874;0.0150877563;0.0900000000;0.0100000000;0.9766852884;-0.1137884446;0.9980747654;-0.0620145497;-0.0897375167;0.0206935568;0.0897386072;-0.0206926939;-0.0900000000;-0.0100000000;0.0908490874;0.0150877563;0.9832913925;0.9999995209;0.9832913925;-6.6452705336;0.9999995209;-3.5554550921;
5.5000000000;0.9999994934;9.0849087430;1.5087756545;0.0908490874;0.0150877565;0.0900000000;0.0100000000;0.9764360209;-0.1159077419;0.9979378061;-0.0641803862;-0.0896923995;0.0208882539;0.0896934918;-0.0208873933;-0.0900000000;-0.0100000000;0.0908490874;0.0150877565;0.9832913645;0.9999994934;0.9832913645;-6.7696119448;0.9999994934;-3.6797963303;
5.6000000000;0.9999994649;9.0849087480;1.5087756846;0.0908490875;0.0150877568;0.0900000000;0.0100000000;0.9761782511;-0.1180587668;0.9977939518;-0.0663789084;-0.0896461629;0.0210858165;0.0896472571;-0.0210849583;-0.0900000000;-0.0100000000;0.0908490875;0.0150877568;0.9832913355;0.9999994649;0.9832913355;-6.8958476247;0.9999994649;-3.8060318306;
5.7000000000;0.9999994360;9.0849087531;1.5087757150;0.0908490875;0.0150877572;0.0900000000;0.0100000000;0.9759117921;-0.1202412846;0.9976429999;-0.0686098883;-0.0895987918;0.0212862207;0.0895998880;-0.0212853651;-0.0900000000;-0.0100000000;0.0908490875;0.0150877572;0.9832913060;0.9999994360;0.9832913060;-7.0239659039;0.9999994360;-3.9341499280;
5.8000000000;0.9999994074;9.0849087581;1.5087757453;0.0908490876;0.0150877575;0.0900000000;0.0100000000;0.9756364554;-0.1224550608;0.9974847461;-0.0708730983;-0.0895502710;0.0214894429;0.0895513691;-0.0214885897;-0.0900000000;-0.0100000000;0.0908490876;0.0150877575;0.9832912768;0.9999994074;0.9832912768;-7.1539551933;0.9999994074;-4.0641390369;
5.9000000000;0.9999993794;9.0849087631;1.5087757748;0.0908490876;0.0150877577;0.0900000000;0.0100000000;0.9753520511;-0.1246998611;0.9973189847;-0.0731683109;-0.0895005851;0.0216954591;0.0895016852;-0.0216946085;-0.0900000000;-0.0100000000;0.0908490876;0.0150877577;0.9832912483;0.9999993794;0.9832912483;-7.2858039824;0.9999993794;-4.1959876497;
6.0000000000;0.9999993526;9.0849087678;1.5087758032;0.0908490877;0.0150877580;0.0900000000;0.0100000000;0.9750583878;-0.1269754516;0.9971455084;-0.0754952989;-0.0894497187;0.0219042456;0.0894508207;-0.0219033975;-0.0900000000;-0.0100000000;0.0908490877;0.0150877580;0.9832912208;0.9999993526;0.9832912208;-7.4195008381;0.9999993526;-4.3296843361;
6.1000000000;0.9999993271;9.0849087723;1.5087758301;0.0908490877;0.0150877583;0.0900000000;0.0100000000;0.9747552730;-0.1292815982;0.9969641089;-0.0778538354;-0.0893976562;0.0221157787;0.0893987603;-0.0221149332;-0.0900000000;-0.0100000000;0.0908490877;0.0150877583;0.9832911948;0.9999993271;0.9832911948;-7.5550344037;0.9999993271;-4.4652177411;
6.2000000000;0.9999993032;9.0849087765;1.5087758554;0.0908490878;0.0150877586;0.0900000000;0.0100000000;0.9744425126;-0.1316180670;0.9967745764;-0.0802436934;-0.0893443819;0.0223300344;0.0893454880;-0.0223291916;-0.0900000000;-0.0100000000;0.0908490878;0.0150877586;0.9832911705;0.9999993032;0.9832911705;-7.6923933976;0.9999993032;-4.6025765844;
6.3000000000;0.9999992811;9.0849087804;1.5087758787;0.0908490878;0.0150877588;0.0900000000;0.0100000000;0.9741199116;-0.1339846242;0.9965766998;-0.0826646462;-0.0892898801;0.0225469891;0.0892909882;-0.0225461490;-0.0900000000;-0.0100000000;0.0908490878;0.0150877588;0.9832911479;0.9999992811;0.9832911479;-7.8315666118;0.9999992811;-4.7417496595;
6.4000000000;0.9999992609;9.0849087839;1.5087759000;0.0908490878;0.0150877590;0.0900000000;0.0100000000;0.9737872736;-0.1363810360;0.9963702670;-0.0851164671;-0.0892341349;0.0227666189;0.0892352451;-0.0227657815;-0.0900000000;-0.0100000000;0.0908490878;0.0150877590;0.9832911273;0.9999992609;0.9832911273;-7.9725429113;0.9999992609;-4.8827258318;
6.5000000000;0.9999992427;9.0849087871;1.5087759193;0.0908490879;0.0150877592;0.0900000000;0.0100000000;0.9734444012;-0.1388070685;0.9961550647;-0.0875989295;-0.0891771303;0.0229889000;0.0891782425;-0.0229880654;-0.0900000000;-0.0100000000;0.0908490879;0.0150877592;0.9832911087;0.9999992427;0.9832911087;-8.1153112328;0.9999992427;-5.0254940384;
6.6000000000;0.9999992265;9.0849087900;1.5087759364;0.0908490879;0.0150877594;0.0900000000;0.0100000000;0.9730910962;-0.1412624877;0.9959308787;-0.0901118067;-0.0891188502;0.0232138086;0.0891199646;-0.0232129768;-0.0900000000;-0.0100000000;0.0908490879;0.0150877594;0.9832910922;0.9999992265;0.9832910922;-8.2598605835;0.9999992265;-5.1700432868;
6.7000000000;0.9999992122;9.0849087925;1.5087759515;0.0908490879;0.0150877595;0.0900000000;0.0100000000;0.9727271592;-0.1437470598;0.9956974938;-0.0926548719;-0.0890592786;0.0234413209;0.0890603951;-0.0234404919;-0.0900000000;-0.0100000000;0.0908490879;0.0150877595;0.9832910776;0.9999992122;0.9832910776;-8.4061800408;0.9999992122;-5.3163626543;
6.8000000000;0.9999991999;9.0849087947;1.5087759645;0.0908490879;0.0150877596;0.0900000000;0.0100000000;0.9723523898;-0.1462605505;0.9954546937;-0.0952278985;-0.0889983992;0.0236714128;0.0889995178;-0.0236705868;-0.0900000000;-0.0100000000;0.0908490879;0.0150877596;0.9832910651;0.9999991999;0.9832910651;-8.5542587506;0.9999991999;-5.4644412865;
