time;NETWORK__KANA___1_TN_Upu_value;NETWORK__TURN___2_TN_Upu_value;NETWORK__LOGA___3_TN_Upu_value;NETWORK__BEAV___6_TN_Upu_value;NETWORK__CLIN___8_TN_Upu_value;NETWORK__SALT___9_TN_Upu_value;NETWORK__GLEN__12_TN_Upu_value;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____9_SM_generator_PGen;GEN___12_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____9_SM_generator_QGen;GEN___12_SM_generator_QGen;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;GEN____1_SM_generator_UStatorPu;GEN____2_SM_generator_UStatorPu;GEN____3_SM_generator_UStatorPu;GEN____6_SM_generator_UStatorPu;GEN____8_SM_generator_UStatorPu;GEN____9_SM_generator_UStatorPu;GEN___12_SM_generator_UStatorPu;
0.004154;1.039996;1.009988;0.984934;0.979985;1.004960;0.979996;1.015037;478.688254;-0.044664;39.915494;0.087429;449.872848;0.138912;310.018668;128.862390;-0.706955;-1.054814;0.909725;62.014367;2.304200;128.750409;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047587;1.009946;0.984852;0.980068;1.010732;0.980138;1.022611;
0.008250;1.039996;1.009988;0.984935;0.979985;1.004961;0.979996;1.015037;478.687660;-0.044149;39.916550;0.086224;449.874741;0.137249;310.018512;128.862413;-0.707479;-1.053597;0.909357;62.015199;2.304210;128.749498;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047587;1.009946;0.984852;0.980068;1.010732;0.980138;1.022611;
0.016442;1.039995;1.009988;0.984936;0.979985;1.004961;0.979995;1.015036;478.686464;-0.043133;39.918734;0.083841;449.878413;0.133914;310.018299;128.862448;-0.708437;-1.051403;0.908750;62.016643;2.304277;128.747889;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047587;1.009946;0.984853;0.980067;1.010733;0.980138;1.022610;
0.032826;1.039995;1.009988;0.984937;0.979984;1.004961;0.979995;1.015035;478.684020;-0.041127;39.923410;0.079102;449.885413;0.127176;310.018203;128.862494;-0.710059;-1.047847;0.907974;62.018793;2.304579;128.745389;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047587;1.009945;0.984855;0.980067;1.010734;0.980138;1.022609;
0.065594;1.039995;1.009988;0.984939;0.979984;1.004962;0.979994;1.015034;478.678873;-0.037064;39.934016;0.069418;449.898576;0.113281;310.018891;128.862571;-0.712476;-1.043225;0.907733;62.020954;2.305749;128.742468;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.047587;1.009945;0.984857;0.980067;1.010734;0.980137;1.022608;
0.131130;1.039995;1.009989;0.984942;0.979983;1.004961;0.979993;1.015034;478.667889;-0.028197;39.959096;0.048931;449.923044;0.084025;310.021720;128.862892;-0.715582;-1.039898;0.910279;62.020593;2.309608;128.741332;1.000000;1.000000;1.000001;0.999999;1.000000;0.999999;1.000000;1.047587;1.009946;0.984861;0.980066;1.010734;0.980136;1.022607;
0.262202;1.039996;1.009991;0.984947;0.979981;1.004958;0.979990;1.015035;478.649287;-0.007805;40.011121;0.010418;449.961537;0.027911;310.026327;128.863707;-0.719335;-1.042249;0.919134;62.014354;2.319260;128.746242;1.000000;1.000000;1.000001;0.999999;1.000000;0.999999;1.000000;1.047588;1.009948;0.984865;0.980064;1.010731;0.980134;1.022608;
0.524346;1.039997;1.009995;0.984950;0.979979;1.004954;0.979988;1.015038;478.645934;0.029335;40.067672;-0.026946;449.980396;-0.036082;310.024055;128.862758;-0.723539;-1.048817;0.932399;62.004433;2.332951;128.760441;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980064;1.010726;0.980132;1.022612;
0.663582;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655004;0.029927;40.058672;-0.019938;449.968627;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
0.663582;1.039997;1.009995;0.984950;0.979980;1.004954;0.979989;1.015039;478.655004;0.029927;40.058672;-0.019938;449.968627;-0.028165;310.021728;128.861431;-0.723398;-1.048404;0.932753;62.002272;2.332818;128.763682;1.000000;1.000000;1.000000;0.999999;0.999999;0.999999;0.999999;1.047589;1.009951;0.984868;0.980065;1.010725;0.980133;1.022614;
