Time;U_NGEN;EFD [pu]; TIME;TIME2;V/GEN     ;GEN     -EFD
0,504510;1,052889;0,783320;2,04E+01;5,05E-01;1,05E+00;7,83E-01
0,518940;1,052145;0,817669;2,04E+01;5,19E-01;1,05E+00;8,18E-01
0,533370;1,051470;0,853981;2,04E+01;5,33E-01;1,05E+00;8,54E-01
0,547810;1,050874;0,890664;2,04E+01;5,48E-01;1,05E+00;8,91E-01
0,562240;1,050366;0,926396;2,05E+01;5,62E-01;1,05E+00;9,26E-01
0,576670;1,049946;0,960115;2,05E+01;5,77E-01;1,05E+00;9,60E-01
0,594010;1,049557;0,996819;2,05E+01;5,94E-01;1,05E+00;9,97E-01
0,611350;1,049287;1,028542;2,05E+01;6,11E-01;1,05E+00;1,03E+00
0,628680;1,049124;1,054769;2,05E+01;6,29E-01;1,05E+00;1,05E+00
0,656040;1,049047;1,084818;2,06E+01;6,56E-01;1,05E+00;1,08E+00
0,683400;1,049139;1,101886;2,06E+01;6,83E-01;1,05E+00;1,10E+00
0,710760;1,049339;1,107968;2,06E+01;7,11E-01;1,05E+00;1,11E+00
0,738110;1,049591;1,105693;2,06E+01;7,38E-01;1,05E+00;1,11E+00
0,765470;1,049852;1,097833;2,07E+01;7,65E-01;1,05E+00;1,10E+00
0,792830;1,050088;1,086951;2,07E+01;7,93E-01;1,05E+00;1,09E+00
0,820190;1,050281;1,075177;2,07E+01;8,20E-01;1,05E+00;1,08E+00
0,847540;1,050421;1,064101;2,07E+01;8,48E-01;1,05E+00;1,06E+00
0,874900;1,050508;1,054754;2,08E+01;8,75E-01;1,05E+00;1,05E+00
0,909110;1,050554;1,046252;2,08E+01;9,09E-01;1,05E+00;1,05E+00
0,943320;1,050544;1,041427;2,08E+01;9,43E-01;1,05E+00;1,04E+00
0,977530;1,050500;1,039712;2,09E+01;9,78E-01;1,05E+00;1,04E+00
1,025810;1,050418;1,040810;2,09E+01;1,03E+00;1,05E+00;1,04E+00
1,074100;1,050340;1,044084;2,10E+01;1,07E+00;1,05E+00;1,04E+00
1,122380;1,050287;1,047570;2,10E+01;1,12E+00;1,05E+00;1,05E+00
1,170650;1,050270;1,049568;2,11E+01;1,17E+00;1,05E+00;1,05E+00
1,218910;1,050266;1,050578;2,11E+01;1,22E+00;1,05E+00;1,05E+00
1,267170;1,050268;1,050905;2,12E+01;1,27E+00;1,05E+00;1,05E+00
1,343450;1,050273;1,050865;2,12E+01;1,34E+00;1,05E+00;1,05E+00
1,419730;1,050279;1,050211;2,13E+01;1,42E+00;1,05E+00;1,05E+00
1,496020;1,050276;1,049691;2,14E+01;1,50E+00;1,05E+00;1,05E+00
1,641180;1,050260;1,049670;2,15E+01;1,64E+00;1,05E+00;1,05E+00
1,786350;1,050246;1,049756;2,17E+01;1,79E+00;1,05E+00;1,05E+00
1,931510;1,050234;1,049813;2,18E+01;1,93E+00;1,05E+00;1,05E+00
