"time","wPP4ACurrentSource.wPPControl.measurements.PGenNomPu","wPP4ACurrentSource.wPPControl.measurements.QGenNomPu","wPP4ACurrentSource.wPPControl.measurements.UPu"
5.847,0.4996110095645334,0.08445976466115332,1.096147450930519
5.848,0.4996116554491361,0.0844597864430475,1.09614744989343
5.849,0.49961230020974,0.08445980818709906,1.096147448858138
5.85,0.4996129438463449,0.084459829893307,1.096147447824643
5.851,0.4996135863589509,0.08445985156167028,1.096147446792944
5.852,0.4996142277475577,0.08445987319218787,1.096147445763041
5.853,0.4996148680121654,0.08445989478485874,1.096147444734934
5.854,0.4996155071527739,0.08445991633968189,1.096147443708622
5.855,0.499616145169383,0.08445993785665629,1.096147442684107
5.856,0.4996167820619928,0.0844599593357809,1.096147441661388
5.857,0.4996174178306031,0.08445998077705476,1.096147440640464
5.858,0.499618052475214,0.08446000218047679,1.096147439621335
5.859,0.4996186859958252,0.08446002354604601,1.096147438604002
5.86,0.4996193183924366,0.08446004487376141,1.096147437588463
5.861,0.4996199496650484,0.08446006616362198,1.09614743657472
5.862,0.4996205798136604,0.08446008741562669,1.096147435562772
5.863,0.4996212088382725,0.08446010862977457,1.096147434552619
5.864,0.4996218367388847,0.0844601298060646,1.09614743354426
5.865,0.4996224635154966,0.08446015094449578,1.096147432537695
5.866,0.4996230891681085,0.0844601720450671,1.096147431532926
5.867,0.4996237136967202,0.08446019310777758,1.09614743052995
5.868,0.4996243371013317,0.08446021413262619,1.096147429528769
5.869,0.4996249593819428,0.08446023511961198,1.096147428529382
5.87,0.4996255805385535,0.08446025606873395,1.096147427531788
5.871,0.4996262005711638,0.08446027697999106,1.096147426535989
5.872,0.4996268194797734,0.08446029785338237,1.096147425541982
5.873,0.4996274372643825,0.08446031868890688,1.09614742454977
5.874,0.4996280539249908,0.08446033948656359,1.096147423559351
5.875,0.4996286694615982,0.08446036024635152,1.096147422570725
5.876,0.4996292838742049,0.08446038096826969,1.096147421583893
5.877,0.4996298971628107,0.08446040165231716,1.096147420598853
5.878,0.4996305093274154,0.08446042229849288,1.096147419615607
5.879,0.499631120368019,0.08446044290679591,1.096147418634153
5.88,0.4996317302846215,0.0844604634772253,1.096147417654492
5.881,0.4996323390772228,0.08446048400978004,1.096147416676624
5.882,0.4996329467458226,0.08446050450445915,1.096147415700548
5.883,0.4996335532904214,0.08446052496126169,1.096147414726264
5.884,0.4996341587110187,0.08446054538018669,1.096147413753773
5.885,0.4996347640161249,0.08446056579557976,1.096147412781535
5.886,0.4996353710744434,0.0844605862710833,1.096147411806702
5.887,0.4996359771246397,0.08446060671265512,1.096147410833483
5.888,0.499636582166714,0.08446062712029444,1.09614740986188
5.889,0.4996371862006657,0.08446064749400031,1.096147408891892
