time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
5.999999;0.500725;-0.210208;1.018047;1.014074;0.089846;-0.471707;-0.249083;
5.999999;0.368735;-0.135428;0.736399;0.729812;0.098272;-0.471707;-0.249083;
6.000027;0.368711;-0.135469;0.736384;0.729798;0.098266;-0.471678;-0.249136;
6.000107;0.368649;-0.135574;0.736347;0.729762;0.098250;-0.471603;-0.249272;
6.000265;0.368562;-0.135711;0.736298;0.729717;0.098227;-0.471498;-0.249446;
6.000424;0.368511;-0.135776;0.736275;0.729695;0.098213;-0.471436;-0.249525;
6.000741;0.368547;-0.135639;0.736326;0.729745;0.098219;-0.471477;-0.249329;
6.000795;0.368575;-0.135573;0.736350;0.729769;0.098226;-0.471510;-0.249239;
6.000796;0.368575;-0.135572;0.736350;0.729769;0.098226;-0.471510;-0.249239;
6.001024;0.368637;-0.135320;0.736443;0.729861;0.098237;-0.471581;-0.248878;
6.001481;0.368838;-0.134369;0.736794;0.730212;0.098267;-0.471803;-0.247505;
6.001939;0.369110;-0.133014;0.737294;0.730711;0.098305;-0.472104;-0.245547;
6.002853;0.369903;-0.129004;0.738771;0.732186;0.098416;-0.472976;-0.239765;
6.003060;0.370131;-0.127868;0.739188;0.732603;0.098448;-0.473228;-0.238133;
6.003060;0.370128;-0.127869;0.739188;0.732603;0.098447;-0.473224;-0.238132;
6.003433;0.370515;-0.125946;0.739892;0.733306;0.098502;-0.473650;-0.235375;
6.003826;0.370988;-0.123618;0.740744;0.734156;0.098570;-0.474171;-0.232044;
6.003826;0.370985;-0.123618;0.740744;0.734156;0.098569;-0.474167;-0.232044;
6.004212;0.371456;-0.121308;0.741586;0.734997;0.098638;-0.474686;-0.228750;
6.004676;0.372090;-0.118248;0.742698;0.736107;0.098732;-0.475385;-0.224401;
6.004676;0.372087;-0.118248;0.742698;0.736107;0.098731;-0.475381;-0.224400;
6.005077;0.372646;-0.115565;0.743671;0.737077;0.098814;-0.475998;-0.220602;
6.005339;0.373039;-0.113709;0.744341;0.737745;0.098874;-0.476433;-0.217983;
6.005339;0.373036;-0.113710;0.744341;0.737745;0.098873;-0.476429;-0.217983;
6.005351;0.373054;-0.113624;0.744372;0.737776;0.098876;-0.476450;-0.217862;
6.005351;0.373054;-0.113624;0.744372;0.737776;0.098876;-0.476449;-0.217862;
6.005351;0.373055;-0.113621;0.744373;0.737777;0.098876;-0.476450;-0.217858;
6.005717;0.373604;-0.111031;0.745307;0.738708;0.098960;-0.477057;-0.214212;
6.005717;0.373604;-0.111030;0.745307;0.738708;0.098960;-0.477057;-0.214212;
6.006115;0.374396;-0.106979;0.746765;0.740165;0.099069;-0.477920;-0.208502;
6.006910;0.376178;-0.097834;0.750034;0.743429;0.099315;-0.479859;-0.195703;
6.008501;0.380176;-0.077622;0.757151;0.750534;0.099882;-0.484202;-0.167860;
6.010091;0.384360;-0.057146;0.764216;0.757578;0.100504;-0.488744;-0.140271;
6.013272;0.391871;-0.023230;0.775610;0.768909;0.101732;-0.496949;-0.095962;
6.014310;0.393933;-0.015069;0.778293;0.771565;0.102112;-0.499235;-0.085601;
6.014310;0.393919;-0.015070;0.778293;0.771566;0.102107;-0.499217;-0.085597;
6.014809;0.395076;-0.010059;0.779935;0.773196;0.102305;-0.500481;-0.079230;
6.015807;0.397441;0.000216;0.783279;0.776515;0.102710;-0.503061;-0.066262;
6.017803;0.402145;0.020403;0.789764;0.782949;0.103526;-0.508189;-0.041137;
6.021795;0.410579;0.054152;0.800358;0.793429;0.105083;-0.517437;-0.000280;
6.025787;0.417799;0.079759;0.808190;0.801138;0.106536;-0.525454;0.029681;
6.029778;0.423792;0.097486;0.813498;0.806316;0.107868;-0.532240;0.049701;
6.033770;0.428760;0.108655;0.816775;0.809457;0.109094;-0.538006;0.061722;
6.037762;0.432958;0.114913;0.818560;0.811103;0.110240;-0.543014;0.067872;
6.041753;0.436628;0.117808;0.819334;0.811735;0.111330;-0.547501;0.070040;
6.045745;0.439965;0.118593;0.819476;0.811733;0.112385;-0.551660;0.069720;
6.049737;0.443112;0.118188;0.819262;0.811373;0.113420;-0.555631;0.067994;
6.057720;0.449197;0.116103;0.818449;0.810263;0.115464;-0.563363;0.063011;
6.065704;0.455286;0.114076;0.817646;0.809158;0.117509;-0.571096;0.058045;
6.073687;0.461423;0.112434;0.816951;0.808156;0.119556;-0.578871;0.053487;
6.089654;0.473835;0.110155;0.815847;0.806420;0.123662;-0.594544;0.045426;
6.105621;0.486270;0.108307;0.814849;0.804770;0.127762;-0.610220;0.037705;
6.113358;0.492279;0.107464;0.814382;0.803972;0.129742;-0.617791;0.033969;
6.113358;0.492302;0.107519;0.814390;0.803988;0.129748;-0.617816;0.034029;
6.119527;0.495305;0.106634;0.814007;0.803437;0.130754;-0.621619;0.031558;
6.131864;0.498064;0.104794;0.813336;0.802600;0.131713;-0.625154;0.027975;
6.144201;0.499323;0.102996;0.812732;0.801911;0.132184;-0.626807;0.025117;
6.168876;0.500018;0.099486;0.811617;0.800723;0.132532;-0.627824;0.020331;
6.193551;0.500165;0.096029;0.810535;0.799599;0.132699;-0.628151;0.015850;
6.242900;0.500189;0.089357;0.808450;0.797445;0.132938;-0.628454;0.007288;
6.249999;0.500198;0.088465;0.808170;0.797156;0.132972;-0.628502;0.006137;
6.249999;0.682073;0.086657;1.093905;1.086476;0.127270;-0.628503;0.006137;
6.250074;0.682053;0.086816;1.093945;1.086518;0.127261;-0.628479;0.006291;
6.250224;0.681908;0.086849;1.093956;1.086533;0.127223;-0.628345;0.006358;
6.250374;0.681663;0.086604;1.093900;1.086484;0.127167;-0.628127;0.006192;
6.250673;0.680798;0.085077;1.093537;1.086139;0.126991;-0.627388;0.004976;
6.250973;0.679589;0.082576;1.092938;1.085563;0.126755;-0.626367;0.002930;
6.251573;0.675999;0.074174;1.090911;1.083601;0.126083;-0.623371;-0.004081;
6.252173;0.671440;0.062858;1.088163;1.080931;0.125248;-0.619588;-0.013640;
6.252681;0.666426;0.049642;1.084929;1.077778;0.124354;-0.615454;-0.024951;
6.252681;0.666393;0.049644;1.084930;1.077781;0.124345;-0.615424;-0.024941;
6.252959;0.663932;0.043423;1.083403;1.076295;0.123898;-0.613384;-0.030265;
6.253515;0.658692;0.030444;1.080205;1.073186;0.122940;-0.609030;-0.041400;
6.254020;0.653568;0.018026;1.077129;1.070198;0.121996;-0.604759;-0.052095;
6.254020;0.653543;0.018029;1.077130;1.070200;0.121990;-0.604736;-0.052086;
6.254029;0.653457;0.017819;1.077078;1.070150;0.121974;-0.604665;-0.052268;
6.254029;0.653454;0.017813;1.077077;1.070148;0.121974;-0.604662;-0.052273;
6.254172;0.652040;0.014364;1.076219;1.069314;0.121714;-0.603484;-0.055258;
6.254172;0.652039;0.014365;1.076219;1.069315;0.121713;-0.603483;-0.055257;
6.254172;0.652038;0.014364;1.076219;1.069315;0.121713;-0.603483;-0.055257;
6.254172;0.652038;0.014364;1.076219;1.069314;0.121713;-0.603483;-0.055258;
6.254455;0.649219;0.007510;1.074511;1.067654;0.121195;-0.601132;-0.061203;
6.255020;0.643424;-0.006437;1.071018;1.064260;0.120126;-0.596294;-0.073353;
6.256150;0.631581;-0.034595;1.063896;1.057340;0.117934;-0.586386;-0.098123;
6.257280;0.619839;-0.062372;1.056774;1.050414;0.115762;-0.576544;-0.122917;
6.259540;0.597851;-0.114065;1.043247;1.037250;0.111694;-0.558068;-0.170063;
6.259764;0.595917;-0.118680;1.042020;1.036055;0.111339;-0.556443;-0.174348;
6.259764;0.595889;-0.118677;1.042021;1.036057;0.111332;-0.556417;-0.174338;
6.260072;0.593003;-0.125485;1.040207;1.034289;0.110800;-0.553988;-0.180672;
6.260688;0.587375;-0.138751;1.036653;1.030826;0.109764;-0.549250;-0.193086;
6.261921;0.576808;-0.163667;1.029906;1.024246;0.107821;-0.540345;-0.216674;
6.264385;0.558757;-0.206441;1.018094;1.012715;0.104517;-0.525110;-0.258043;
6.266850;0.543908;-0.242098;1.008012;1.002855;0.101823;-0.512565;-0.293451;
6.268028;0.538179;-0.256101;1.003989;0.998916;0.100794;-0.507724;-0.307610;
6.268028;0.538080;-0.256093;1.003992;0.998923;0.100769;-0.507633;-0.307578;
6.268431;0.536049;-0.260735;1.002654;0.997615;0.100394;-0.505906;-0.312270;
6.269237;0.532553;-0.267721;1.000640;0.995659;0.099719;-0.502900;-0.319256;
6.270314;0.529132;-0.272128;0.999389;0.994475;0.098983;-0.499883;-0.323395;
6.270314;0.529128;-0.272127;0.999389;0.994476;0.098982;-0.499879;-0.323393;
6.270827;0.527492;-0.274255;0.998784;0.993902;0.098631;-0.498437;-0.325401;
6.271855;0.524871;-0.275975;0.998319;0.993495;0.098016;-0.496074;-0.326723;
6.273910;0.521500;-0.272536;0.999415;0.994691;0.097051;-0.492858;-0.322078;
6.275965;0.519370;-0.264948;1.001721;0.997084;0.096273;-0.490658;-0.313099;
6.276632;0.518916;-0.261841;1.002654;0.998041;0.096062;-0.490142;-0.309532;
6.276632;0.518916;-0.261838;1.002655;0.998042;0.096062;-0.490142;-0.309528;
6.277637;0.518180;-0.257239;1.004033;0.999459;0.095732;-0.489319;-0.304247;
6.279647;0.517144;-0.247394;1.006960;1.002453;0.095165;-0.488052;-0.293120;
6.279941;0.517017;-0.246024;1.007365;1.002867;0.095091;-0.487892;-0.291582;
6.279941;0.517020;-0.246023;1.007365;1.002867;0.095091;-0.487894;-0.291582;
6.281323;0.516420;-0.239448;1.009305;1.004850;0.094737;-0.487132;-0.284219;
6.284087;0.515252;-0.228595;1.012494;1.008111;0.094107;-0.485707;-0.272096;
6.286851;0.513946;-0.220623;1.014828;1.010509;0.093530;-0.484244;-0.263149;
6.292378;0.511036;-0.213811;1.016844;1.012620;0.092582;-0.481339;-0.255154;
6.297906;0.508262;-0.212229;1.017345;1.013192;0.091827;-0.478728;-0.252853;
6.303434;0.505961;-0.212830;1.017209;1.013107;0.091259;-0.476624;-0.253011;
6.314489;0.503306;-0.214448;1.016786;1.012739;0.090632;-0.474227;-0.254190;
6.325544;0.501945;-0.215134;1.016610;1.012592;0.090307;-0.472994;-0.254643;
6.347655;0.501118;-0.215154;1.016618;1.012618;0.090097;-0.472231;-0.254489;
6.369765;0.500915;-0.214964;1.016676;1.012681;0.090039;-0.472037;-0.254242;
6.413986;0.500950;-0.214615;1.016776;1.012781;0.090037;-0.472058;-0.253874;
6.502429;0.500992;-0.214015;1.016948;1.012955;0.090030;-0.472078;-0.253236;
6.679313;0.500915;-0.213064;1.017223;1.013235;0.089981;-0.471975;-0.252195;
7.033083;0.500858;-0.211855;1.017571;1.013590;0.089930;-0.471884;-0.250882;
7.740621;0.500827;-0.210784;1.017880;1.013903;0.089889;-0.471820;-0.249724;
8.448160;0.500801;-0.210324;1.018012;1.014037;0.089869;-0.471781;-0.249224;
9.863237;0.500755;-0.210083;1.018082;1.014109;0.089850;-0.471731;-0.248955;
11.278314;0.500713;-0.210021;1.018100;1.014129;0.089837;-0.471690;-0.248880;
11.999998;0.500693;-0.210016;1.018102;1.014131;0.089832;-0.471672;-0.248871;
11.999998;0.289012;-0.110564;0.580232;0.576050;0.069537;-0.471672;-0.248871;
11.999999;0.289012;-0.110565;0.580232;0.576050;0.069536;-0.471671;-0.248872;
12.000099;0.288980;-0.110617;0.580218;0.576037;0.069529;-0.471619;-0.248957;
12.000300;0.288982;-0.110576;0.580230;0.576049;0.069529;-0.471623;-0.248881;
12.000493;0.289046;-0.110401;0.580278;0.576096;0.069543;-0.471726;-0.248580;
12.000493;0.289046;-0.110400;0.580278;0.576096;0.069543;-0.471726;-0.248580;
12.000669;0.289115;-0.110146;0.580349;0.576166;0.069557;-0.471835;-0.248132;
12.001020;0.289297;-0.109267;0.580597;0.576411;0.069592;-0.472125;-0.246565;
12.001371;0.289522;-0.108043;0.580941;0.576752;0.069633;-0.472482;-0.244374;
12.002074;0.290125;-0.104417;0.581960;0.577766;0.069739;-0.473438;-0.237872;
12.002703;0.290789;-0.100277;0.583119;0.578920;0.069853;-0.474488;-0.230466;
12.002703;0.290789;-0.100277;0.583119;0.578920;0.069853;-0.474488;-0.230465;
12.002782;0.290876;-0.099736;0.583270;0.579071;0.069868;-0.474625;-0.229501;
12.003017;0.291143;-0.098074;0.583735;0.579533;0.069914;-0.475046;-0.226538;
12.003233;0.291412;-0.096380;0.584206;0.580002;0.069960;-0.475471;-0.223523;
12.003233;0.291411;-0.096380;0.584206;0.580002;0.069960;-0.475469;-0.223523;
12.003233;0.291411;-0.096380;0.584207;0.580003;0.069960;-0.475469;-0.223523;
12.003412;0.291684;-0.094528;0.584722;0.580516;0.070005;-0.475899;-0.220224;
12.003643;0.292063;-0.091937;0.585442;0.581234;0.070067;-0.476495;-0.215615;
12.004105;0.292933;-0.085871;0.587121;0.582908;0.070209;-0.477861;-0.204871;
12.005030;0.295033;-0.070989;0.591198;0.586973;0.070548;-0.481149;-0.178770;
12.005350;0.295860;-0.065147;0.592782;0.588553;0.070682;-0.482439;-0.168628;
12.005350;0.295853;-0.065147;0.592782;0.588553;0.070680;-0.482428;-0.168626;
12.005379;0.295927;-0.064628;0.592923;0.588693;0.070692;-0.482543;-0.167727;
12.005380;0.295928;-0.064618;0.592925;0.588696;0.070692;-0.482545;-0.167711;
12.005380;0.295928;-0.064618;0.592925;0.588696;0.070692;-0.482545;-0.167710;
12.005598;0.296474;-0.060764;0.593965;0.589733;0.070781;-0.483396;-0.161055;
12.006034;0.297627;-0.052606;0.596154;0.591915;0.070967;-0.485191;-0.147045;
12.006906;0.300109;-0.035021;0.600816;0.596562;0.071369;-0.489041;-0.117211;
12.008650;0.305353;0.001816;0.610349;0.606061;0.072225;-0.497129;-0.056246;
12.010153;0.309877;0.032931;0.618170;0.613848;0.072974;-0.504065;-0.006276;
12.010153;0.309854;0.032928;0.618170;0.613848;0.072968;-0.504028;-0.006271;
12.010375;0.310541;0.037684;0.619348;0.615021;0.073081;-0.505076;0.001255;
12.010819;0.311945;0.047446;0.621753;0.617416;0.073313;-0.507216;0.016619;
12.011707;0.314834;0.067657;0.626674;0.622315;0.073788;-0.511606;0.048057;
12.013482;0.320696;0.108831;0.636473;0.632068;0.074752;-0.520459;0.110631;
12.015258;0.326496;0.149534;0.645879;0.641426;0.075708;-0.529161;0.170670;
12.017034;0.332078;0.188573;0.654661;0.650160;0.076633;-0.537483;0.226690;
12.018810;0.337341;0.225077;0.662675;0.658126;0.077509;-0.545293;0.277776;
12.020585;0.342223;0.258461;0.669847;0.665251;0.078330;-0.552514;0.323460;
12.022361;0.346696;0.288386;0.676155;0.671514;0.079092;-0.559116;0.363604;
12.024137;0.350752;0.314719;0.681616;0.676930;0.079793;-0.565102;0.398310;
12.027688;0.357325;0.353841;0.689576;0.684805;0.080975;-0.574851;0.448730;
12.030885;0.362239;0.379684;0.694734;0.689890;0.081901;-0.582198;0.481239;
12.034081;0.366317;0.397742;0.698287;0.693371;0.082712;-0.588369;0.503449;
12.037277;0.369740;0.409531;0.700576;0.695590;0.083435;-0.593628;0.517548;
12.040474;0.372685;0.416815;0.701969;0.696914;0.084092;-0.598223;0.525903;
12.043670;0.375291;0.420830;0.702718;0.697595;0.084704;-0.602347;0.530120;
12.046866;0.377662;0.422574;0.703021;0.697829;0.085284;-0.606149;0.531475;
12.050063;0.379880;0.422812;0.703030;0.697769;0.085844;-0.609740;0.530935;
12.053259;0.382000;0.422114;0.702854;0.697525;0.086391;-0.613195;0.529214;
12.059652;0.386113;0.419334;0.702231;0.696762;0.087469;-0.619936;0.524008;
12.066044;0.390209;0.416326;0.701560;0.695950;0.088545;-0.626651;0.518484;
12.072437;0.394327;0.413538;0.700930;0.695177;0.089625;-0.633398;0.513207;
12.085222;0.402681;0.409061;0.699879;0.693832;0.091801;-0.647050;0.503957;
12.098008;0.411087;0.405273;0.698956;0.692609;0.093981;-0.660767;0.495480;
12.123578;0.427939;0.398622;0.697269;0.690299;0.098341;-0.688231;0.479417;
12.149998;0.445251;0.392145;0.695589;0.687933;0.102816;-0.716422;0.462960;
12.149998;0.802837;0.663160;1.220536;1.212250;0.141979;-0.716512;0.463131;
12.150089;0.802769;0.663111;1.220527;1.212243;0.141963;-0.716451;0.463110;
12.150271;0.802492;0.662111;1.220329;1.212048;0.141919;-0.716239;0.462409;
12.150453;0.802080;0.660242;1.219957;1.211680;0.141865;-0.715940;0.461075;
12.150817;0.800768;0.653293;1.218568;1.210299;0.141719;-0.715029;0.456053;
12.151181;0.799010;0.643396;1.216583;1.208322;0.141539;-0.713833;0.448854;
12.151521;0.796686;0.629502;1.213785;1.205530;0.141323;-0.712286;0.438678;
12.151521;0.796676;0.629500;1.213785;1.205530;0.141321;-0.712277;0.438679;
12.151672;0.795646;0.623972;1.212670;1.204420;0.141208;-0.711563;0.434644;
12.151975;0.793001;0.611206;1.210092;1.201864;0.140880;-0.709670;0.425362;
12.152580;0.785758;0.579901;1.203743;1.195587;0.139886;-0.704324;0.402627;
12.153185;0.776949;0.543935;1.196380;1.188322;0.138622;-0.697722;0.376342;
12.153223;0.776267;0.541276;1.195833;1.187783;0.138521;-0.697205;0.374393;
12.153223;0.776265;0.541275;1.195833;1.187783;0.138521;-0.697203;0.374393;
12.153225;0.776228;0.541128;1.195803;1.187753;0.138515;-0.697176;0.374285;
12.153225;0.776228;0.541127;1.195803;1.187753;0.138515;-0.697176;0.374285;
12.153387;0.773763;0.531198;1.193754;1.185732;0.138159;-0.695321;0.366975;
12.153710;0.768464;0.510237;1.189410;1.181449;0.137382;-0.691314;0.351486;
12.154357;0.756709;0.464918;1.179921;1.172099;0.135632;-0.682364;0.317693;
12.154443;0.755040;0.458573;1.178581;1.170780;0.135382;-0.681088;0.312925;
12.154443;0.755035;0.458573;1.178581;1.170780;0.135380;-0.681083;0.312926;
12.154607;0.752007;0.447081;1.176148;1.168383;0.134926;-0.678767;0.304265;
12.154935;0.745842;0.424186;1.171275;1.163586;0.133987;-0.674027;0.286936;
12.155410;0.736742;0.391514;1.164260;1.156687;0.132573;-0.666974;0.262034;
12.155410;0.736732;0.391514;1.164260;1.156688;0.132571;-0.666965;0.262036;
12.155410;0.736732;0.391514;1.164260;1.156687;0.132571;-0.666965;0.262036;
12.155410;0.736732;0.391513;1.164260;1.156687;0.132571;-0.666965;0.262035;
12.155580;0.733483;0.379875;1.161742;1.154211;0.132066;-0.664444;0.253095;
12.155920;0.726935;0.356807;1.156722;1.149275;0.131039;-0.659343;0.235285;
12.156601;0.713787;0.311744;1.146801;1.139529;0.128948;-0.649034;0.200129;
12.157282;0.700749;0.268127;1.137047;1.129949;0.126850;-0.638749;0.165584;
12.158630;0.675863;0.187738;1.118648;1.111889;0.122784;-0.618948;0.100496;
12.158630;0.675861;0.187738;1.118648;1.111889;0.122783;-0.618947;0.100497;
12.158802;0.672731;0.177713;1.116313;1.109596;0.122271;-0.616447;0.092231;
12.159147;0.666545;0.158062;1.111708;1.105075;0.121255;-0.611499;0.075936;
12.159836;0.654533;0.120428;1.102785;1.096316;0.119272;-0.601856;0.044369;
12.161213;0.632251;0.052092;1.086215;1.080050;0.115567;-0.583867;-0.014244;
12.162591;0.611999;-0.008915;1.070988;1.065096;0.112186;-0.567418;-0.068136;
12.163968;0.593796;-0.062958;1.057126;1.051476;0.109139;-0.552559;-0.117229;
12.165346;0.577609;-0.110507;1.044614;1.039177;0.106427;-0.539286;-0.161571;
12.166724;0.563353;-0.152086;1.033412;1.028160;0.104041;-0.527553;-0.201304;
12.168101;0.550912;-0.188238;1.023460;1.018367;0.101964;-0.517283;-0.236636;
12.169479;0.540153;-0.219504;1.014683;1.009724;0.100174;-0.508380;-0.267826;
12.170856;0.530930;-0.246402;1.006998;1.002153;0.098648;-0.500735;-0.295162;
12.173612;0.517339;-0.286487;0.995298;0.990617;0.096423;-0.489453;-0.336842;
12.176091;0.508523;-0.313493;0.987237;0.982654;0.095018;-0.482143;-0.365648;
12.177701;0.504571;-0.326330;0.983348;0.978805;0.094413;-0.478883;-0.379588;
12.177701;0.504537;-0.326330;0.983349;0.978807;0.094404;-0.478852;-0.379580;
12.178028;0.503719;-0.328731;0.982619;0.978087;0.094271;-0.478168;-0.382183;
12.178680;0.502483;-0.331628;0.981742;0.977227;0.094047;-0.477115;-0.385273;
12.179986;0.501298;-0.331380;0.981842;0.977358;0.093737;-0.476015;-0.384711;
12.180105;0.501280;-0.330940;0.981980;0.977497;0.093719;-0.475985;-0.384194;
12.180537;0.501043;-0.330127;0.982237;0.977764;0.093633;-0.475742;-0.383193;
12.181401;0.500985;-0.326546;0.983351;0.978895;0.093506;-0.475582;-0.379014;
12.183130;0.501942;-0.314389;0.987087;0.982661;0.093369;-0.476101;-0.365173;
12.183671;0.502422;-0.309747;0.988503;0.984086;0.093346;-0.476405;-0.359945;
12.183671;0.502426;-0.309746;0.988503;0.984086;0.093347;-0.476408;-0.359945;
12.184114;0.502784;-0.306083;0.989618;0.985208;0.093324;-0.476627;-0.355827;
12.184114;0.502784;-0.306083;0.989618;0.985208;0.093324;-0.476628;-0.355827;
12.184785;0.503385;-0.300260;0.991384;0.986984;0.093295;-0.477004;-0.349309;
12.186128;0.504755;-0.287872;0.995115;0.990736;0.093259;-0.477889;-0.335548;
12.187470;0.506143;-0.275460;0.998824;0.994463;0.093228;-0.478786;-0.321878;
12.190155;0.508336;-0.254080;1.005144;1.000821;0.093127;-0.480139;-0.298549;
12.192840;0.509661;-0.237638;1.009953;1.005666;0.092960;-0.480839;-0.280746;
12.195525;0.510126;-0.226366;1.013229;1.008976;0.092733;-0.480906;-0.268552;
