2019-08-05 22:50:06 | DEBUG |  ============================================================ 
2019-08-05 22:50:06 | DEBUG | DYNAWO VERSION  :     1.0.1
2019-08-05 22:50:06 | DEBUG | DYNAWO REVISION :  384_ModeFromModelica-093a76f
2019-08-05 22:50:06 | DEBUG |  ============================================================ 
2019-08-05 22:51:03 | DEBUG | connecting Network_tfo_terminal2 with SM_gen_terminal
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_cePu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PePu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_cmPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_PmPu found.( gen_PmPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_ufPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_efdPu found.( gen_efdPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_omegaPu found.( gen_omegaPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_theta found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PGenPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_QGenPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_PGen found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_QGen found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; curve: gen_UPu found. (exact name)
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_IStatorPu found.( gen_IStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_IRotorPu found.( gen_IRotorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_UStatorPu found.( gen_UStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_QStatorPu found.( gen_QStatorPu_value )
2019-08-05 22:51:03 | INFO | adding curve : Id: SM; output: gen_thetaInternal found.( gen_thetaInternal_value )
2019-08-05 22:51:03 | DEBUG | Algebraic mode change for model SM
2019-08-05 22:51:03 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-08-05 22:51:03 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:03 | DEBUG | number of continuous variables : 101 (display limited to 4 variables)
2019-08-05 22:51:03 | DEBUG | number of discrete variables : 23
2019-08-05 22:51:03 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:03 | DEBUG |        1.012  4.734194e-01  8.797974e-01  0.000000e+00  9.008100e-01 |  15 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.016  4.729847e-01  8.796405e-01  0.000000e+00  9.008100e-01 |  16 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.020  4.725339e-01  8.794764e-01  0.000000e+00  9.008100e-01 |  17 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.025  4.720700e-01  8.793060e-01  0.000000e+00  9.008100e-01 |  18 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.029  4.715962e-01  8.791298e-01  0.000000e+00  9.008100e-01 |  19 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.033  4.711148e-01  8.789482e-01  0.000000e+00  9.008100e-01 |  20 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.037  4.706283e-01  8.787618e-01  0.000000e+00  9.008100e-01 |  21 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.041  4.701385e-01  8.785707e-01  0.000000e+00  9.008100e-01 |  22 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.045  4.696472e-01  8.783752e-01  0.000000e+00  9.008100e-01 |  23 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.049  4.691559e-01  8.781754e-01  0.000000e+00  9.008100e-01 |  24 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.053  4.686661e-01  8.779714e-01  0.000000e+00  9.008100e-01 |  25 2 4.096000e-03 
2019-08-05 22:51:03 | DEBUG |        1.061  4.676968e-01  8.775506e-01  0.000000e+00  9.008100e-01 |  26 2 8.192000e-03 
2019-08-05 22:51:03 | DEBUG |        1.069  4.668400e-01  8.771572e-01  0.000000e+00  9.008100e-01 |  27 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.076  4.660031e-01  8.767494e-01  0.000000e+00  9.008100e-01 |  28 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.084  4.651904e-01  8.763266e-01  0.000000e+00  9.008100e-01 |  29 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.091  4.644052e-01  8.758879e-01  0.000000e+00  9.008100e-01 |  30 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.098  4.636506e-01  8.754326e-01  0.000000e+00  9.008100e-01 |  31 2 7.372800e-03 
2019-08-05 22:51:03 | DEBUG |        1.106  4.629292e-01  8.749596e-01  0.000000e+00  9.008100e-01 |  32 2 7.372800e-03 
