time;Model_TEST_u;Model_TEST_v;Model_TEST_x;Model_TEST_y;
1.070000;0.930000;-0.070000;0.925100;-0.065100;
1.080000;0.920000;-0.080000;0.913600;-0.073600;
1.090000;0.910000;-0.090000;0.901900;-0.081900;
1.100000;0.900000;-0.100000;0.890000;-0.090000;
1.110000;0.890000;-0.110000;0.877900;-0.097900;
1.120000;0.880000;-0.120000;0.865600;-0.105600;
1.130000;0.870000;-0.130000;0.853100;-0.113100;
1.140000;0.860000;-0.140000;0.840400;-0.120400;
1.150000;0.850000;-0.150000;0.827500;-0.127500;
1.160000;0.840000;-0.160000;0.814400;-0.134400;
1.170000;0.830000;-0.170000;0.801100;-0.141100;
1.180000;0.820000;-0.180000;0.787600;-0.147600;
1.190000;0.810000;-0.190000;0.773900;-0.153900;
1.200000;0.800000;-0.200000;0.760000;-0.160000;
1.210000;0.790000;-0.210000;0.745900;-0.165900;
1.220000;0.780000;-0.220000;0.731600;-0.171600;
1.230000;0.770000;-0.230000;0.717100;-0.177100;
1.240000;0.760000;-0.240000;0.702400;-0.182400;
1.250000;0.750000;-0.250000;0.687500;-0.187500;
1.260000;0.740000;-0.260000;0.672400;-0.192400;
1.270000;0.730000;-0.270000;0.657100;-0.197100;
1.280000;0.720000;-0.280000;0.641600;-0.201600;
1.290000;0.710000;-0.290000;0.625900;-0.205900;
1.300000;0.700000;-0.300000;0.610000;-0.210000;
1.310000;0.690000;-0.310000;0.593900;-0.213900;
1.320000;0.680000;-0.320000;0.577600;-0.217600;
1.330000;0.670000;-0.330000;0.561100;-0.221100;
1.340000;0.660000;-0.340000;0.544400;-0.224400;
1.350000;0.650000;-0.350000;0.527500;-0.227500;
1.360000;0.640000;-0.360000;0.510400;-0.230400;
1.370000;0.630000;-0.370000;0.493100;-0.233100;
1.380000;0.620000;-0.380000;0.475600;-0.235600;
1.390000;0.610000;-0.390000;0.457900;-0.237900;
1.400000;0.600000;-0.400000;0.440000;-0.240000;
1.410000;0.590000;-0.410000;0.421900;-0.241900;
1.420000;0.580000;-0.420000;0.403600;-0.243600;
1.430000;0.570000;-0.430000;0.385100;-0.245100;
1.440000;0.560000;-0.440000;0.366400;-0.246400;
1.450000;0.550000;-0.450000;0.347500;-0.247500;
1.460000;0.540000;-0.460000;0.328400;-0.248400;
1.470000;0.530000;-0.470000;0.309100;-0.249100;
1.480000;0.520000;-0.480000;0.289600;-0.249600;
1.490000;0.510000;-0.490000;0.269900;-0.249900;
1.500000;0.500000;-0.500000;0.250000;-0.250000;
1.510000;0.490000;-0.510000;0.229900;-0.249900;
1.520000;0.480000;-0.520000;0.209600;-0.249600;
1.530000;0.470000;-0.530000;0.189100;-0.249100;
1.540000;0.460000;-0.540000;0.168400;-0.248400;
1.550000;0.450000;-0.550000;0.147500;-0.247500;
1.560000;0.440000;-0.560000;0.126400;-0.246400;
1.570000;0.430000;-0.570000;0.105100;-0.245100;
1.580000;0.420000;-0.580000;0.083600;-0.243600;
1.590000;0.410000;-0.590000;0.061900;-0.241900;
1.600000;0.400000;-0.600000;0.040000;-0.240000;
1.610000;0.390000;-0.610000;0.017900;-0.237900;
1.620000;0.380000;-0.620000;-0.004400;-0.235600;
1.630000;0.370000;-0.630000;-0.026900;-0.233100;
1.640000;0.360000;-0.640000;-0.049600;-0.230400;
1.650000;0.350000;-0.650000;-0.072500;-0.227500;
1.660000;0.340000;-0.660000;-0.095600;-0.224400;
1.670000;0.330000;-0.670000;-0.118900;-0.221100;
1.680000;0.320000;-0.680000;-0.142400;-0.217600;
1.690000;0.310000;-0.690000;-0.166100;-0.213900;
1.700000;0.300000;-0.700000;-0.190000;-0.210000;
1.710000;0.290000;-0.710000;-0.214100;-0.205900;
1.720000;0.280000;-0.720000;-0.238400;-0.201600;
1.730000;0.270000;-0.730000;-0.262900;-0.197100;
1.740000;0.260000;-0.740000;-0.287600;-0.192400;
1.750000;0.250000;-0.750000;-0.312500;-0.187500;
1.760000;0.240000;-0.760000;-0.337600;-0.182400;
1.770000;0.230000;-0.770000;-0.362900;-0.177100;
1.780000;0.220000;-0.780000;-0.388400;-0.171600;
1.790000;0.210000;-0.790000;-0.414100;-0.165900;
1.800000;0.200000;-0.800000;-0.440000;-0.160000;
1.810000;0.190000;-0.810000;-0.466100;-0.153900;
1.820000;0.180000;-0.820000;-0.492400;-0.147600;
1.830000;0.170000;-0.830000;-0.518900;-0.141100;
1.840000;0.160000;-0.840000;-0.545600;-0.134400;
1.850000;0.150000;-0.850000;-0.572500;-0.127500;
1.860000;0.140000;-0.860000;-0.599600;-0.120400;
1.870000;0.130000;-0.870000;-0.626900;-0.113100;
1.880000;0.120000;-0.880000;-0.654400;-0.105600;
1.890000;0.110000;-0.890000;-0.682100;-0.097900;
1.900000;0.100000;-0.900000;-0.710000;-0.090000;
1.910000;0.090000;-0.910000;-0.738100;-0.081900;
1.920000;0.080000;-0.920000;-0.766400;-0.073600;
1.930000;0.070000;-0.930000;-0.794900;-0.065100;
1.940000;0.060000;-0.940000;-0.823600;-0.056400;
1.950000;0.050000;-0.950000;-0.852500;-0.047500;
1.960000;0.040000;-0.960000;-0.881600;-0.038400;
1.970000;0.030000;-0.970000;-0.910900;-0.029100;
1.980000;0.020000;-0.980000;-0.940400;-0.019600;
1.990000;0.010000;-0.990000;-0.970100;-0.009900;
2.000000;-0.000000;-1.000000;-1.000000;0.000000;
2.010000;-0.010000;-1.010000;-1.030100;0.010100;
2.020000;-0.020000;-1.020000;-1.060400;0.020400;
2.030000;-0.030000;-1.030000;-1.090900;0.030900;
2.040000;-0.040000;-1.040000;-1.121600;0.041600;
2.050000;-0.050000;-1.050000;-1.152500;0.052500;
2.060000;-0.060000;-1.060000;-1.183600;0.063600;
2.070000;-0.070000;-1.070000;-1.214900;0.074900;
2.080000;-0.080000;-1.080000;-1.246400;0.086400;
2.090000;-0.090000;-1.090000;-1.278100;0.098100;
2.100000;-0.100000;-1.100000;-1.310000;0.110000;
2.110000;-0.110000;-1.110000;-1.342100;0.122100;
2.120000;-0.120000;-1.120000;-1.374400;0.134400;
2.130000;-0.130000;-1.130000;-1.406900;0.146900;
2.140000;-0.140000;-1.140000;-1.439600;0.159600;
2.150000;-0.150000;-1.150000;-1.472500;0.172500;
2.160000;-0.160000;-1.160000;-1.505600;0.185600;
2.170000;-0.170000;-1.170000;-1.538900;0.198900;
2.180000;-0.180000;-1.180000;-1.572400;0.212400;
2.190000;-0.190000;-1.190000;-1.606100;0.226100;
2.200000;-0.200000;-1.200000;-1.640000;0.240000;
2.210000;-0.210000;-1.210000;-1.674100;0.254100;
2.220000;-0.220000;-1.220000;-1.708400;0.268400;
2.230000;-0.230000;-1.230000;-1.742900;0.282900;
2.240000;-0.240000;-1.240000;-1.777600;0.297600;
2.250000;-0.250000;-1.250000;-1.812500;0.312500;
2.260000;-0.260000;-1.260000;-1.847600;0.327600;
2.270000;-0.270000;-1.270000;-1.882900;0.342900;
2.280000;-0.280000;-1.280000;-1.918400;0.358400;
2.290000;-0.290000;-1.290000;-1.954100;0.374100;
2.300000;-0.300000;-1.300000;-1.990000;0.390000;
2.310000;-0.310000;-1.310000;-2.026100;0.406100;
2.320000;-0.320000;-1.320000;-2.062400;0.422400;
2.330000;-0.330000;-1.330000;-2.098900;0.438900;
2.340000;-0.340000;-1.340000;-2.135600;0.455600;
2.350000;-0.350000;-1.350000;-2.172500;0.472500;
2.360000;-0.360000;-1.360000;-2.209600;0.489600;
2.370000;-0.370000;-1.370000;-2.246900;0.506900;
2.380000;-0.380000;-1.380000;-2.284400;0.524400;
2.390000;-0.390000;-1.390000;-2.322100;0.542100;
2.400000;-0.400000;-1.400000;-2.360000;0.560000;
2.410000;-0.410000;-1.410000;-2.398100;0.578100;
2.420000;-0.420000;-1.420000;-2.436400;0.596400;
2.430000;-0.430000;-1.430000;-2.474900;0.614900;
2.440000;-0.440000;-1.440000;-2.513600;0.633600;
2.450000;-0.450000;-1.450000;-2.552500;0.652500;
2.460000;-0.460000;-1.460000;-2.591600;0.671600;
2.470000;-0.470000;-1.470000;-2.630900;0.690900;
2.480000;-0.480000;-1.480000;-2.670400;0.710400;
2.490000;-0.490000;-1.490000;-2.710100;0.730100;
2.500000;-0.500000;-1.500000;-2.750000;0.750000;
2.510000;-0.510000;-1.510000;-2.790100;0.770100;
2.520000;-0.520000;-1.520000;-2.830400;0.790400;
2.530000;-0.530000;-1.530000;-2.870900;0.810900;
2.540000;-0.540000;-1.540000;-2.911600;0.831600;
2.550000;-0.550000;-1.550000;-2.952500;0.852500;
2.560000;-0.560000;-1.560000;-2.993600;0.873600;
2.570000;-0.570000;-1.570000;-3.034900;0.894900;
2.580000;-0.580000;-1.580000;-3.076400;0.916400;
2.590000;-0.590000;-1.590000;-3.118100;0.938100;
2.600000;-0.600000;-1.600000;-3.160000;0.960000;
2.610000;-0.610000;-1.610000;-3.202100;0.982100;
2.620000;-0.620000;-1.620000;-3.244400;1.004400;
2.630000;-0.630000;-1.630000;-3.286900;1.026900;
2.640000;-0.640000;-1.640000;-3.329600;1.049600;
2.650000;-0.650000;-1.650000;-3.372500;1.072500;
2.660000;-0.660000;-1.660000;-3.415600;1.095600;
2.670000;-0.670000;-1.670000;-3.458900;1.118900;
2.680000;-0.680000;-1.680000;-3.502400;1.142400;
2.690000;-0.690000;-1.690000;-3.546100;1.166100;
2.700000;-0.700000;-1.700000;-3.590000;1.190000;
2.710000;-0.710000;-1.710000;-3.634100;1.214100;
2.720000;-0.720000;-1.720000;-3.678400;1.238400;
2.730000;-0.730000;-1.730000;-3.722900;1.262900;
2.740000;-0.740000;-1.740000;-3.767600;1.287600;
2.750000;-0.750000;-1.750000;-3.812500;1.312500;
2.760000;-0.760000;-1.760000;-3.857600;1.337600;
2.770000;-0.770000;-1.770000;-3.902900;1.362900;
2.780000;-0.780000;-1.780000;-3.948400;1.388400;
2.790000;-0.790000;-1.790000;-3.994100;1.414100;
2.800000;-0.800000;-1.800000;-4.040000;1.440000;
2.810000;-0.810000;-1.810000;-4.086100;1.466100;
2.820000;-0.820000;-1.820000;-4.132400;1.492400;
2.830000;-0.830000;-1.830000;-4.178900;1.518900;
2.840000;-0.840000;-1.840000;-4.225600;1.545600;
2.850000;-0.850000;-1.850000;-4.272500;1.572500;
2.860000;-0.860000;-1.860000;-4.319600;1.599600;
2.870000;-0.870000;-1.870000;-4.366900;1.626900;
2.880000;-0.880000;-1.880000;-4.414400;1.654400;
2.890000;-0.890000;-1.890000;-4.462100;1.682100;
2.900000;-0.900000;-1.900000;-4.510000;1.710000;
2.910000;-0.910000;-1.910000;-4.558100;1.738100;
2.920000;-0.920000;-1.920000;-4.606400;1.766400;
2.930000;-0.930000;-1.930000;-4.654900;1.794900;
2.940000;-0.940000;-1.940000;-4.703600;1.823600;
2.950000;-0.950000;-1.950000;-4.752500;1.852500;
2.960000;-0.960000;-1.960000;-4.801600;1.881600;
2.970000;-0.970000;-1.970000;-4.850900;1.910900;
2.980000;-0.980000;-1.980000;-4.900400;1.940400;
2.990000;-0.990000;-1.990000;-4.950100;1.970100;
3.000000;-1.000000;-2.000000;-5.000000;2.000000;
3.010000;-1.010000;-2.010000;-5.050100;2.030100;
3.020000;-1.020000;-2.020000;-5.100400;2.060400;
3.030000;-1.030000;-2.030000;-5.150900;2.090900;
3.040000;-1.040000;-2.040000;-5.201600;2.121600;
3.050000;-1.050000;-2.050000;-5.252500;2.152500;
3.060000;-1.060000;-2.060000;-5.303600;2.183600;
3.070000;-1.070000;-2.070000;-5.354900;2.214900;
3.080000;-1.080000;-2.080000;-5.406400;2.246400;
3.090000;-1.090000;-2.090000;-5.458100;2.278100;
3.100000;-1.100000;-2.100000;-5.510000;2.310000;
3.110000;-1.110000;-2.110000;-5.562100;2.342100;
3.120000;-1.120000;-2.120000;-5.614400;2.374400;
3.130000;-1.130000;-2.130000;-5.666900;2.406900;
3.140000;-1.140000;-2.140000;-5.719600;2.439600;
3.150000;-1.150000;-2.150000;-5.772500;2.472500;
3.160000;-1.160000;-2.160000;-5.825600;2.505600;
3.170000;-1.170000;-2.170000;-5.878900;2.538900;
3.180000;-1.180000;-2.180000;-5.932400;2.572400;
3.190000;-1.190000;-2.190000;-5.986100;2.606100;
3.200000;-1.200000;-2.200000;-6.040000;2.640000;
3.210000;-1.210000;-2.210000;-6.094100;2.674100;
3.220000;-1.220000;-2.220000;-6.148400;2.708400;
3.230000;-1.230000;-2.230000;-6.202900;2.742900;
3.240000;-1.240000;-2.240000;-6.257600;2.777600;
3.250000;-1.250000;-2.250000;-6.312500;2.812500;
3.260000;-1.260000;-2.260000;-6.367600;2.847600;
3.270000;-1.270000;-2.270000;-6.422900;2.882900;
3.280000;-1.280000;-2.280000;-6.478400;2.918400;
3.290000;-1.290000;-2.290000;-6.534100;2.954100;
3.300000;-1.300000;-2.300000;-6.590000;2.990000;
3.310000;-1.310000;-2.310000;-6.646100;3.026100;
3.320000;-1.320000;-2.320000;-6.702400;3.062400;
3.330000;-1.330000;-2.330000;-6.758900;3.098900;
3.340000;-1.340000;-2.340000;-6.815600;3.135600;
3.350000;-1.350000;-2.350000;-6.872500;3.172500;
3.360000;-1.360000;-2.360000;-6.929600;3.209600;
3.370000;-1.370000;-2.370000;-6.986900;3.246900;
3.380000;-1.380000;-2.380000;-7.044400;3.284400;
3.390000;-1.390000;-2.390000;-7.102100;3.322100;
3.400000;-1.400000;-2.400000;-7.160000;3.360000;
3.410000;-1.410000;-2.410000;-7.218100;3.398100;
3.420000;-1.420000;-2.420000;-7.276400;3.436400;
3.430000;-1.430000;-2.430000;-7.334900;3.474900;
3.440000;-1.440000;-2.440000;-7.393600;3.513600;
3.450000;-1.450000;-2.450000;-7.452500;3.552500;
3.460000;-1.460000;-2.460000;-7.511600;3.591600;
3.470000;-1.470000;-2.470000;-7.570900;3.630900;
3.480000;-1.480000;-2.480000;-7.630400;3.670400;
3.490000;-1.490000;-2.490000;-7.690100;3.710100;
3.500000;-1.500000;-2.500000;-7.750000;3.750000;
3.510000;-1.510000;-2.510000;-7.810100;3.790100;
3.520000;-1.520000;-2.520000;-7.870400;3.830400;
3.530000;-1.530000;-2.530000;-7.930900;3.870900;
3.540000;-1.540000;-2.540000;-7.991600;3.911600;
3.550000;-1.550000;-2.550000;-8.052500;3.952500;
3.560000;-1.560000;-2.560000;-8.113600;3.993600;
3.570000;-1.570000;-2.570000;-8.174900;4.034900;
3.580000;-1.580000;-2.580000;-8.236400;4.076400;
3.590000;-1.590000;-2.590000;-8.298100;4.118100;
3.600000;-1.600000;-2.600000;-8.360000;4.160000;
3.610000;-1.610000;-2.610000;-8.422100;4.202100;
3.620000;-1.620000;-2.620000;-8.484400;4.244400;
3.630000;-1.630000;-2.630000;-8.546900;4.286900;
3.640000;-1.640000;-2.640000;-8.609600;4.329600;
3.650000;-1.650000;-2.650000;-8.672500;4.372500;
3.660000;-1.660000;-2.660000;-8.735600;4.415600;
3.670000;-1.670000;-2.670000;-8.798900;4.458900;
3.680000;-1.680000;-2.680000;-8.862400;4.502400;
3.690000;-1.690000;-2.690000;-8.926100;4.546100;
3.700000;-1.700000;-2.700000;-8.990000;4.590000;
3.710000;-1.710000;-2.710000;-9.054100;4.634100;
3.720000;-1.720000;-2.720000;-9.118400;4.678400;
3.730000;-1.730000;-2.730000;-9.182900;4.722900;
3.740000;-1.740000;-2.740000;-9.247600;4.767600;
3.750000;-1.750000;-2.750000;-9.312500;4.812500;
3.760000;-1.760000;-2.760000;-9.377600;4.857600;
3.770000;-1.770000;-2.770000;-9.442900;4.902900;
3.780000;-1.780000;-2.780000;-9.508400;4.948400;
3.790000;-1.790000;-2.790000;-9.574100;4.994100;
3.800000;-1.800000;-2.800000;-9.640000;5.040000;
3.810000;-1.810000;-2.810000;-9.706100;5.086100;
3.820000;-1.820000;-2.820000;-9.772400;5.132400;
3.830000;-1.830000;-2.830000;-9.838900;5.178900;
3.840000;-1.840000;-2.840000;-9.905600;5.225600;
3.850000;-1.850000;-2.850000;-9.972500;5.272500;
3.860000;-1.860000;-2.860000;-10.039600;5.319600;
3.870000;-1.870000;-2.870000;-10.106900;5.366900;
3.880000;-1.880000;-2.880000;-10.174400;5.414400;
3.890000;-1.890000;-2.890000;-10.242100;5.462100;
3.900000;-1.900000;-2.900000;-10.310000;5.510000;
3.910000;-1.910000;-2.910000;-10.378100;5.558100;
3.920000;-1.920000;-2.920000;-10.446400;5.606400;
3.930000;-1.930000;-2.930000;-10.514900;5.654900;
3.940000;-1.940000;-2.940000;-10.583600;5.703600;
3.950000;-1.950000;-2.950000;-10.652500;5.752500;
3.960000;-1.960000;-2.960000;-10.721600;5.801600;
3.970000;-1.970000;-2.970000;-10.790900;5.850900;
3.980000;-1.980000;-2.980000;-10.860400;5.900400;
3.990000;-1.990000;-2.990000;-10.930100;5.950100;
4.000000;-2.000000;-3.000000;-11.000000;6.000000;
4.010000;-2.010000;-3.010000;-11.070100;6.050100;
4.020000;-2.020000;-3.020000;-11.140400;6.100400;
4.030000;-2.030000;-3.030000;-11.210900;6.150900;
4.040000;-2.040000;-3.040000;-11.281600;6.201600;
4.050000;-2.050000;-3.050000;-11.352500;6.252500;
4.060000;-2.060000;-3.060000;-11.423600;6.303600;
4.070000;-2.070000;-3.070000;-11.494900;6.354900;
4.080000;-2.080000;-3.080000;-11.566400;6.406400;
4.090000;-2.090000;-3.090000;-11.638100;6.458100;
4.100000;-2.100000;-3.100000;-11.710000;6.510000;
4.110000;-2.110000;-3.110000;-11.782100;6.562100;
4.120000;-2.120000;-3.120000;-11.854400;6.614400;
4.130000;-2.130000;-3.130000;-11.926900;6.666900;
4.140000;-2.140000;-3.140000;-11.999600;6.719600;
4.150000;-2.150000;-3.150000;-12.072500;6.772500;
4.160000;-2.160000;-3.160000;-12.145600;6.825600;
4.170000;-2.170000;-3.170000;-12.218900;6.878900;
4.180000;-2.180000;-3.180000;-12.292400;6.932400;
4.190000;-2.190000;-3.190000;-12.366100;6.986100;
4.200000;-2.200000;-3.200000;-12.440000;7.040000;
4.210000;-2.210000;-3.210000;-12.514100;7.094100;
4.220000;-2.220000;-3.220000;-12.588400;7.148400;
4.230000;-2.230000;-3.230000;-12.662900;7.202900;
4.240000;-2.240000;-3.240000;-12.737600;7.257600;
4.250000;-2.250000;-3.250000;-12.812500;7.312500;
4.260000;-2.260000;-3.260000;-12.887600;7.367600;
4.270000;-2.270000;-3.270000;-12.962900;7.422900;
4.280000;-2.280000;-3.280000;-13.038400;7.478400;
4.290000;-2.290000;-3.290000;-13.114100;7.534100;
4.300000;-2.300000;-3.300000;-13.190000;7.590000;
4.310000;-2.310000;-3.310000;-13.266100;7.646100;
4.320000;-2.320000;-3.320000;-13.342400;7.702400;
4.330000;-2.330000;-3.330000;-13.418900;7.758900;
4.340000;-2.340000;-3.340000;-13.495600;7.815600;
4.350000;-2.350000;-3.350000;-13.572500;7.872500;
4.360000;-2.360000;-3.360000;-13.649600;7.929600;
4.370000;-2.370000;-3.370000;-13.726900;7.986900;
4.380000;-2.380000;-3.380000;-13.804400;8.044400;
4.390000;-2.390000;-3.390000;-13.882100;8.102100;
4.400000;-2.400000;-3.400000;-13.960000;8.160000;
4.410000;-2.410000;-3.410000;-14.038100;8.218100;
4.420000;-2.420000;-3.420000;-14.116400;8.276400;
4.430000;-2.430000;-3.430000;-14.194900;8.334900;
4.440000;-2.440000;-3.440000;-14.273600;8.393600;
4.450000;-2.450000;-3.450000;-14.352500;8.452500;
4.460000;-2.460000;-3.460000;-14.431600;8.511600;
4.470000;-2.470000;-3.470000;-14.510900;8.570900;
4.480000;-2.480000;-3.480000;-14.590400;8.630400;
4.490000;-2.490000;-3.490000;-14.670100;8.690100;
4.500000;-2.500000;-3.500000;-14.750000;8.750000;
4.510000;-2.510000;-3.510000;-14.830100;8.810100;
4.520000;-2.520000;-3.520000;-14.910400;8.870400;
4.530000;-2.530000;-3.530000;-14.990900;8.930900;
4.540000;-2.540000;-3.540000;-15.071600;8.991600;
4.550000;-2.550000;-3.550000;-15.152500;9.052500;
4.560000;-2.560000;-3.560000;-15.233600;9.113600;
4.570000;-2.570000;-3.570000;-15.314900;9.174900;
4.580000;-2.580000;-3.580000;-15.396400;9.236400;
4.590000;-2.590000;-3.590000;-15.478100;9.298100;
4.600000;-2.600000;-3.600000;-15.560000;9.360000;
4.610000;-2.610000;-3.610000;-15.642100;9.422100;
4.620000;-2.620000;-3.620000;-15.724400;9.484400;
4.630000;-2.630000;-3.630000;-15.806900;9.546900;
4.640000;-2.640000;-3.640000;-15.889600;9.609600;
4.650000;-2.650000;-3.650000;-15.972500;9.672500;
4.660000;-2.660000;-3.660000;-16.055600;9.735600;
4.670000;-2.670000;-3.670000;-16.138900;9.798900;
4.680000;-2.680000;-3.680000;-16.222400;9.862400;
4.690000;-2.690000;-3.690000;-16.306100;9.926100;
4.700000;-2.700000;-3.700000;-16.390000;9.990000;
4.710000;-2.710000;-3.710000;-16.474100;10.054100;
4.720000;-2.720000;-3.720000;-16.558400;10.118400;
4.730000;-2.730000;-3.730000;-16.642900;10.182900;
4.740000;-2.740000;-3.740000;-16.727600;10.247600;
4.750000;-2.750000;-3.750000;-16.812500;10.312500;
4.760000;-2.760000;-3.760000;-16.897600;10.377600;
4.770000;-2.770000;-3.770000;-16.982900;10.442900;
4.780000;-2.780000;-3.780000;-17.068400;10.508400;
4.790000;-2.790000;-3.790000;-17.154100;10.574100;
4.800000;-2.800000;-3.800000;-17.240000;10.640000;
4.810000;-2.810000;-3.810000;-17.326100;10.706100;
4.820000;-2.820000;-3.820000;-17.412400;10.772400;
4.830000;-2.830000;-3.830000;-17.498900;10.838900;
4.840000;-2.840000;-3.840000;-17.585600;10.905600;
4.850000;-2.850000;-3.850000;-17.672500;10.972500;
4.860000;-2.860000;-3.860000;-17.759600;11.039600;
4.870000;-2.870000;-3.870000;-17.846900;11.106900;
4.880000;-2.880000;-3.880000;-17.934400;11.174400;
4.890000;-2.890000;-3.890000;-18.022100;11.242100;
4.900000;-2.900000;-3.900000;-18.110000;11.310000;
4.910000;-2.910000;-3.910000;-18.198100;11.378100;
