time;PhaseShifter_phaseShifter_PMonitored;PhaseShifter_phaseShifter_tap;PhaseShifter_phaseShifter_PTarget;PhaseShifter_phaseShifter_increaseTapToIncreaseValue;PhaseShifterBis_phaseShifter_PMonitored;PhaseShifterBis_phaseShifter_tap;PhaseShifterBis_phaseShifter_PTarget;PhaseShifterBis_phaseShifter_increaseTapToIncreaseValue;NETWORK_Line_P1_value;Load_load_PPu;Generator_generator_PGenPu;
920.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
930.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
940.000000;0.247455;1.000000;0.300000;-1.000000;-0.114819;20.000000;0.000000;1.000000;-0.632253;-0.500000;-0.499617;
940.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
950.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
960.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
970.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
980.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
990.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
1000.000000;0.223125;1.000000;0.300000;-1.000000;-0.066694;21.000000;0.000000;1.000000;-0.656046;-0.500000;-0.499615;
