time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
6.006218;0.367083;-0.185454;0.717039;0.710089;0.099592;-0.471057;-0.327237;
6.006218;0.367083;-0.185454;0.717039;0.710089;0.099592;-0.471057;-0.327237;
6.006218;0.367083;-0.185454;0.717039;0.710089;0.099592;-0.471057;-0.327237;
6.006218;0.367083;-0.185454;0.717039;0.710089;0.099592;-0.471057;-0.327237;
6.006409;0.367183;-0.185111;0.717172;0.710221;0.099612;-0.471173;-0.326722;
6.006790;0.367429;-0.184189;0.717531;0.710577;0.099657;-0.471458;-0.325332;
6.007136;0.367730;-0.182987;0.718000;0.711043;0.099710;-0.471804;-0.323511;
6.007136;0.367728;-0.182987;0.718000;0.711043;0.099709;-0.471802;-0.323511;
6.007346;0.367900;-0.182312;0.718262;0.711304;0.099740;-0.471999;-0.322491;
6.007767;0.368292;-0.180731;0.718877;0.711915;0.099808;-0.472449;-0.320102;
6.008607;0.369247;-0.176797;0.720402;0.713432;0.099970;-0.473541;-0.314167;
6.010289;0.371649;-0.166883;0.724215;0.717224;0.100380;-0.476283;-0.299339;
6.011971;0.374410;-0.155707;0.728457;0.721441;0.100862;-0.479431;-0.282856;
6.013475;0.377079;-0.145153;0.732413;0.725368;0.101337;-0.482473;-0.267513;
6.013475;0.377068;-0.145154;0.732413;0.725369;0.101334;-0.482458;-0.267510;
6.014009;0.378033;-0.141361;0.733822;0.726768;0.101507;-0.483556;-0.262044;
6.015076;0.380003;-0.133721;0.736643;0.729566;0.101865;-0.485799;-0.251117;
6.017211;0.383949;-0.118963;0.742022;0.734894;0.102605;-0.490297;-0.230332;
6.019346;0.387812;-0.105167;0.746969;0.739784;0.103355;-0.494706;-0.211274;
6.021481;0.391505;-0.092649;0.751391;0.744145;0.104099;-0.498933;-0.194300;
6.025750;0.397965;-0.073400;0.758059;0.750682;0.105500;-0.506395;-0.168945;
6.030019;0.403595;-0.059422;0.762791;0.755274;0.106824;-0.512979;-0.151231;
6.034289;0.408479;-0.049873;0.765953;0.758292;0.108067;-0.518774;-0.139703;
6.038558;0.412773;-0.043773;0.767918;0.760108;0.109242;-0.523946;-0.132889;
6.042828;0.416628;-0.040203;0.769016;0.761055;0.110365;-0.528656;-0.129488;
6.047097;0.420172;-0.038395;0.769513;0.761400;0.111451;-0.533040;-0.128451;
6.051367;0.423508;-0.037758;0.769614;0.761346;0.112511;-0.537202;-0.128980;
6.059906;0.429794;-0.038547;0.769113;0.760530;0.114579;-0.545116;-0.132811;
6.068444;0.435934;-0.040105;0.768344;0.759440;0.116628;-0.552872;-0.137714;
6.076983;0.442014;-0.041865;0.767498;0.758269;0.118666;-0.560557;-0.142936;
6.094061;0.454145;-0.045242;0.765833;0.755935;0.122727;-0.575877;-0.153344;
6.111139;0.466245;-0.048398;0.764211;0.753623;0.126773;-0.591140;-0.163661;
6.112265;0.467038;-0.048602;0.764106;0.753470;0.127038;-0.592140;-0.164341;
6.112265;0.467044;-0.048592;0.764108;0.753473;0.127039;-0.592148;-0.164330;
6.112265;0.467044;-0.048592;0.764108;0.753473;0.127039;-0.592148;-0.164330;
6.112265;0.467044;-0.048592;0.764108;0.753473;0.127039;-0.592148;-0.164330;
6.117095;0.470455;-0.049464;0.763650;0.752816;0.128180;-0.596449;-0.167261;
6.126754;0.477270;-0.051160;0.762744;0.751504;0.130457;-0.605036;-0.173107;
6.146072;0.490855;-0.054427;0.760943;0.748873;0.134993;-0.622141;-0.184827;
6.184709;0.517815;-0.060619;0.757341;0.743527;0.143993;-0.656038;-0.208578;
6.223346;0.544466;-0.066458;0.753703;0.738033;0.152889;-0.689483;-0.232879;
6.249999;0.562513;-0.070467;0.751169;0.734106;0.158922;-0.712103;-0.250149;
6.249999;0.764432;-0.143895;1.030473;1.018725;0.155157;-0.712344;-0.249744;
6.250058;0.764591;-0.143657;1.030535;1.018783;0.155190;-0.712482;-0.249541;
6.250177;0.764886;-0.143263;1.030638;1.018877;0.155254;-0.712740;-0.249214;
6.250414;0.765389;-0.142785;1.030756;1.018980;0.155368;-0.713187;-0.248869;
6.250652;0.765812;-0.142605;1.030793;1.019001;0.155471;-0.713569;-0.248817;
6.250889;0.766158;-0.142709;1.030752;1.018946;0.155563;-0.713891;-0.249045;
6.251364;0.766579;-0.143948;1.030386;1.018553;0.155708;-0.714318;-0.250525;
6.251839;0.766759;-0.146118;1.029762;1.017904;0.155820;-0.714553;-0.252932;
6.251927;0.766721;-0.146795;1.029570;1.017709;0.155831;-0.714541;-0.253651;
6.251927;0.766719;-0.146796;1.029570;1.017709;0.155831;-0.714539;-0.253651;
6.252059;0.766744;-0.147510;1.029366;1.017498;0.155859;-0.714585;-0.254432;
6.252325;0.766728;-0.149198;1.028885;1.017004;0.155907;-0.714625;-0.256256;
6.252856;0.766464;-0.153499;1.027665;1.015760;0.155970;-0.714521;-0.260832;
6.253138;0.766137;-0.156543;1.026804;1.014888;0.155980;-0.714319;-0.264031;
6.253138;0.766125;-0.156546;1.026804;1.014888;0.155977;-0.714308;-0.264030;
6.253140;0.766123;-0.156568;1.026797;1.014881;0.155977;-0.714307;-0.264054;
6.253140;0.766123;-0.156568;1.026797;1.014881;0.155977;-0.714307;-0.264054;
6.253140;0.766123;-0.156568;1.026797;1.014881;0.155977;-0.714307;-0.264054;
6.253140;0.766123;-0.156568;1.026797;1.014881;0.155977;-0.714307;-0.264054;
6.253272;0.766026;-0.157778;1.026454;1.014532;0.155989;-0.714257;-0.265338;
6.253535;0.765784;-0.160388;1.025713;1.013779;0.156007;-0.714118;-0.268101;
6.253564;0.765748;-0.160712;1.025621;1.013686;0.156008;-0.714096;-0.268443;
