time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
1.025600;0.020330;0.020395;0.884256;0.887073;0.002187;5.000000;1.003185;1.198080;-0.000000;22.615549;-0.000000;2261.554887;0.390711;57.883132;4.368747;0.390711;22.615549;0.346570;
1.026624;0.020213;0.020280;0.883516;0.886442;0.002187;5.000000;1.003312;1.199125;0.000000;22.488281;0.000000;2248.828139;0.389610;57.720036;4.380007;0.389610;22.488281;0.342587;
1.027648;0.020101;0.020170;0.882775;0.885810;0.002187;5.000000;1.003438;1.200211;0.000000;22.366293;0.000000;2236.629328;0.388552;57.563271;4.390826;0.388552;22.366293;0.338681;
1.028672;0.019993;0.020065;0.882036;0.885180;0.002187;5.000000;1.003564;1.201337;0.000000;22.249351;0.000000;2224.935123;0.387535;57.412589;4.401223;0.387535;22.249351;0.334853;
1.029696;0.019890;0.019963;0.881297;0.884549;0.002187;5.000000;1.003690;1.202504;-0.000000;22.137233;-0.000000;2213.723295;0.386557;57.267751;4.411214;0.386557;22.137233;0.331100;
1.030720;0.019791;0.019866;0.880559;0.883919;0.002187;5.000000;1.003816;1.203712;0.000000;22.029727;0.000000;2202.972663;0.385618;57.128525;4.420815;0.385617;22.029727;0.327422;
1.031744;0.019696;0.019773;0.879822;0.883290;0.002187;5.000000;1.003942;1.204960;-0.000000;21.926630;-0.000000;2192.663039;0.384714;56.994692;4.430043;0.384714;21.926630;0.323818;
1.032768;0.019605;0.019684;0.879085;0.882661;0.002187;5.000000;1.004068;1.206248;0.000000;21.827752;0.000000;2182.775183;0.383846;56.866037;4.438912;0.383846;21.827752;0.320287;
1.033792;0.019517;0.019599;0.878349;0.882033;0.002187;5.000000;1.004194;1.207577;-0.000000;21.732908;-0.000000;2173.290751;0.383011;56.742357;4.447437;0.383011;21.732908;0.316828;
1.034816;0.019433;0.019517;0.877614;0.881405;0.002187;5.000000;1.004319;1.208946;-0.000000;21.641923;-0.000000;2164.192252;0.382208;56.623456;4.455631;0.382208;21.641923;0.313440;
1.035840;0.019352;0.019438;0.876880;0.880777;0.002187;5.000000;1.004445;1.210356;-0.000000;21.554630;-0.000000;2155.463007;0.381437;56.509146;4.463508;0.381437;21.554630;0.310121;
1.036864;0.019274;0.019362;0.876146;0.880150;0.002187;5.000000;1.004570;1.211806;0.000000;21.470871;0.000000;2147.087107;0.380695;56.399244;4.471080;0.380695;21.470871;0.306871;
1.037888;0.019200;0.019290;0.875414;0.879524;0.002187;5.000000;1.004695;1.213296;-0.000000;21.390494;-0.000000;2139.049375;0.379982;56.293578;4.478360;0.379982;21.390494;0.303689;
1.038912;0.019128;0.019220;0.874681;0.878898;0.002187;5.000000;1.004820;1.214827;0.000000;21.313353;0.000000;2131.335333;0.379296;56.191981;4.485360;0.379296;21.313353;0.300572;
1.039936;0.019059;0.019154;0.873950;0.878272;0.002187;5.000000;1.004946;1.216397;-0.000000;21.239312;-0.000000;2123.931165;0.378636;56.094291;4.492090;0.378636;21.239312;0.297521;
1.040960;0.018993;0.019090;0.873220;0.877647;0.002187;5.000000;1.005071;1.218009;-0.000000;21.168237;-0.000000;2116.823683;0.378002;56.000356;4.498562;0.378002;21.168237;0.294534;
1.041984;0.018930;0.019028;0.872490;0.877023;0.002187;5.000000;1.005196;1.219660;0.000000;21.100003;0.000000;2110.000301;0.377393;55.910027;4.504785;0.377393;21.100003;0.291610;
1.043008;0.018869;0.018969;0.871761;0.876399;0.002187;5.000000;1.005320;1.221351;-0.000000;21.034490;-0.000000;2103.449002;0.376806;55.823162;4.510770;0.376806;21.034490;0.288748;
1.044032;0.018810;0.018912;0.871032;0.875775;0.002187;5.000000;1.005445;1.223083;-0.000000;20.971583;-0.000000;2097.158315;0.376242;55.739625;4.516527;0.376242;20.971583;0.285946;
1.045056;0.018753;0.018858;0.870305;0.875152;0.002187;5.000000;1.005570;1.224855;0.000000;20.911173;0.000000;2091.117282;0.375700;55.659285;4.522064;0.375700;20.911173;0.283203;
1.046080;0.018699;0.018805;0.869578;0.874529;0.002187;5.000000;1.005694;1.226666;-0.000000;20.853154;-0.000000;2085.315439;0.375179;55.582017;4.527391;0.375178;20.853154;0.280519;
1.047104;0.018647;0.018755;0.868852;0.873907;0.002187;5.000000;1.005819;1.228518;0.000000;20.797428;0.000000;2079.742789;0.374677;55.507701;4.532516;0.374677;20.797428;0.277891;
1.048128;0.018596;0.018707;0.868126;0.873286;0.002187;5.000000;1.005943;1.230410;-0.000000;20.743898;-0.000000;2074.389783;0.374194;55.436219;4.537447;0.374194;20.743898;0.275319;
1.049152;0.018548;0.018661;0.867402;0.872665;0.002187;5.000000;1.006067;1.232342;0.000000;20.692473;0.000000;2069.247294;0.373730;55.367462;4.542191;0.373730;20.692473;0.272802;
1.050176;0.018501;0.018616;0.866678;0.872044;0.002187;5.000000;1.006191;1.234314;0.000000;20.643066;0.000000;2064.306603;0.373284;55.301322;4.546757;0.373284;20.643066;0.270339;
1.051200;0.018457;0.018573;0.865955;0.871424;0.002187;5.000000;1.006315;1.236325;-0.000000;20.595594;-0.000000;2059.559374;0.372854;55.237697;4.551151;0.372854;20.595594;0.267928;
1.052224;0.018413;0.018532;0.865233;0.870804;0.002187;5.000000;1.006439;1.238377;0.000000;20.549976;0.000000;2054.997640;0.372441;55.176490;4.555381;0.372441;20.549976;0.265568;
1.053248;0.018372;0.018492;0.864511;0.870185;0.002187;5.000000;1.006563;1.240468;0.000000;20.506138;0.000000;2050.613781;0.372044;55.117605;4.559453;0.372044;20.506138;0.263259;
1.054272;0.018332;0.018454;0.863790;0.869566;0.002187;5.000000;1.006687;1.242600;-0.000000;20.464005;-0.000000;2046.400514;0.371661;55.060952;4.563373;0.371661;20.464005;0.260998;
