time;Generator_generator_PGenPu;Generator_generator_QGenPu;HvdcVSCDanglingP_hvdc_Conv1_UPu;HvdcVSCDanglingP_hvdc_Conv1_UPhase;HvdcVSCDanglingP_hvdc_Conv1_PInjPu;HvdcVSCDanglingP_hvdc_Conv1_QInjPu;HvdcVSCDanglingP_hvdc_Conv2_PInjPu;HvdcVSCDanglingP_hvdc_Conv2_QInjPu;
1.108192;8.966071;-2.431426;1.024920;0.061066;1.034571;2.434638;0.000000;0.000000;
1.112288;8.975256;-2.390017;1.024810;0.061123;1.025385;2.393225;0.000000;0.000000;
1.120480;8.988138;-2.282179;1.023641;0.061039;1.012501;2.285374;0.000000;0.000000;
1.127853;8.994982;-2.164408;1.021721;0.060758;1.005654;2.167589;0.000000;0.000000;
1.135225;8.999079;-2.036727;1.019258;0.060313;1.001554;2.039894;0.000000;0.000000;
1.142598;9.001504;-1.906173;1.016464;0.059740;0.999127;1.909328;0.000000;0.000000;
1.149971;9.002935;-1.777945;1.013509;0.059074;0.997722;1.781103;0.000000;0.000000;
1.157344;9.003731;-1.655391;1.010511;0.058347;0.996928;1.658545;0.000000;0.000000;
1.164717;9.004134;-1.540787;1.007564;0.057586;0.996520;1.543937;0.000000;0.000000;
1.179462;9.004363;-1.340833;1.002109;0.056069;0.996264;1.343967;0.000000;0.000000;
1.184940;9.004319;-1.276609;1.000267;0.055525;0.996297;1.279740;0.000000;0.000000;
1.184940;9.004205;-1.276620;1.000268;0.055528;0.996312;1.279742;0.000000;0.000000;
1.184941;9.004291;-1.276600;1.000267;0.055525;0.996309;1.279732;0.000000;0.000000;
1.184941;9.004291;-1.276600;1.000267;0.055525;0.996309;1.279732;0.000000;0.000000;
1.184942;9.004308;-1.276591;1.000266;0.055525;0.996308;1.279725;0.000000;0.000000;
1.184942;9.004337;-1.276588;1.000266;0.055524;0.996306;1.279725;0.000000;0.000000;
1.184943;9.004320;-1.276578;1.000266;0.055524;0.996307;1.279713;0.000000;0.000000;
1.184944;9.004320;-1.276567;1.000265;0.055524;0.996307;1.279702;0.000000;0.000000;
1.184946;9.004321;-1.276544;1.000265;0.055524;0.996307;1.279680;0.000000;0.000000;
1.184950;9.004319;-1.276499;1.000263;0.055523;0.996308;1.279634;0.000000;0.000000;
1.184958;9.004319;-1.276409;1.000261;0.055523;0.996308;1.279544;0.000000;0.000000;
1.184974;9.004319;-1.276228;1.000255;0.055521;0.996308;1.279363;0.000000;0.000000;
1.185006;9.004318;-1.275866;1.000245;0.055518;0.996309;1.279001;0.000000;0.000000;
1.185070;9.004316;-1.275144;1.000223;0.055511;0.996311;1.278279;0.000000;0.000000;
1.185198;9.004313;-1.273701;1.000181;0.055498;0.996314;1.276836;0.000000;0.000000;
1.185454;9.004305;-1.270825;1.000096;0.055472;0.996322;1.273961;0.000000;0.000000;
1.185966;9.004291;-1.265113;0.999927;0.055421;0.996336;1.268248;0.000000;0.000000;
1.186990;9.004262;-1.253843;0.999591;0.055318;0.996365;1.256978;0.000000;0.000000;
1.189038;9.004201;-1.231915;0.998935;0.055115;0.996427;1.235052;0.000000;0.000000;
1.193134;9.004071;-1.190462;0.997675;0.054718;0.996557;1.193600;0.000000;0.000000;
1.201326;9.003787;-1.116679;0.995369;0.053967;0.996841;1.119820;0.000000;0.000000;
1.217710;9.003185;-1.001235;0.991566;0.052650;0.997445;1.004385;0.000000;0.000000;
1.234094;9.002585;-0.922632;0.988751;0.051580;0.998047;0.925789;0.000000;0.000000;
1.250478;9.002041;-0.872969;0.986775;0.050745;0.998592;0.876133;0.000000;0.000000;
1.266862;9.001583;-0.844835;0.985474;0.050117;0.999050;0.848003;0.000000;0.000000;
1.283246;9.001228;-0.831841;0.984686;0.049662;0.999386;0.834998;0.000000;0.000000;
1.299630;9.000963;-0.828733;0.984266;0.049341;0.999652;0.831892;0.000000;0.000000;
1.316014;9.000779;-0.831546;0.984093;0.049120;0.999840;0.834707;0.000000;0.000000;
1.332398;9.000660;-0.837419;0.984075;0.048970;0.999963;0.840584;0.000000;0.000000;
1.348782;9.000591;-0.844429;0.984144;0.048870;1.000036;0.847596;0.000000;0.000000;
1.381550;9.000530;-0.857077;0.984347;0.048739;1.000105;0.860253;0.000000;0.000000;
1.414318;9.000536;-0.866703;0.984558;0.048663;1.000099;0.869879;0.000000;0.000000;
1.479854;9.000576;-0.876734;0.984806;0.048528;1.000059;0.879910;0.000000;0.000000;
1.545390;9.000613;-0.879082;0.984881;0.048394;1.000023;0.882258;0.000000;0.000000;
1.610926;9.000627;-0.878497;0.984866;0.048250;1.000008;0.881673;0.000000;0.000000;
1.676462;9.000628;-0.877676;0.984829;0.048103;1.000007;0.880852;0.000000;0.000000;
1.807534;9.000624;-0.878044;0.984790;0.047837;1.000011;0.881220;0.000000;0.000000;
1.938606;9.000622;-0.878971;0.984767;0.047591;1.000013;0.882147;0.000000;0.000000;
2.000000;9.000622;-0.879451;0.984758;0.047480;1.000013;0.882628;0.000000;0.000000;
