time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;Load_load_PPu;Load_load_QPu;Load_load_PRefPu;Load_load_QRefPu;
2.74988;0.901634;0.901614;0.903132;0.903112;0.00107321;2.45355;0.999978;1.21584;19.9481;10.0853;1994.81;1008.53;0.99836;22.3893;2.44548;0.99836;10.0853;0.721324;0;0.498361;0;0.5;
2.78748;0.901487;0.901474;0.903084;0.903071;0.00107291;2.45284;0.999986;1.21563;19.945;10.0853;1994.5;1008.53;0.998395;22.3858;2.4452;0.998395;10.0853;0.721213;0;0.498396;0;0.5;
2.82508;0.901434;0.901429;0.903034;0.903029;0.00107272;2.45241;0.999994;1.21551;19.944;10.0857;1994.4;1008.57;0.998417;22.3846;2.44508;0.998417;10.0857;0.721136;0;0.498418;0;0.5;
2.86268;0.901475;0.901477;0.902985;0.902988;0.00107264;2.45225;1;1.21549;19.9451;10.0867;1994.51;1008.67;0.998425;22.3858;2.44511;0.998425;10.0867;0.721093;0;0.498426;0;0.5;
2.9112;0.901653;0.901664;0.90293;0.90294;0.0010727;2.45238;1.00001;1.2156;19.9492;10.0886;1994.92;1008.86;0.998418;22.3905;2.44536;0.998418;10.0886;0.721085;0;0.49842;0;0.5;
2.95973;0.901952;0.901969;0.902886;0.902903;0.0010729;2.45283;1.00002;1.21584;19.9559;10.0912;1995.59;1009.12;0.998396;22.3982;2.44583;0.998396;10.0912;0.721125;0;0.498397;0;0.5;
3.00826;0.902335;0.902357;0.902857;0.902879;0.00107319;2.4535;1.00002;1.21616;19.9645;10.0943;1996.45;1009.43;0.998362;22.408;2.44646;0.998362;10.0943;0.721201;0;0.498364;0;0.5;
3.05194;0.902722;0.902746;0.902845;0.902869;0.0010735;2.45421;1.00003;1.2165;19.973;10.0972;1997.3;1009.72;0.998327;22.4178;2.44712;0.998327;10.0972;0.721289;0;0.498328;0;0.5;
3.09561;0.903115;0.903138;0.902848;0.902871;0.00107381;2.45492;1.00003;1.21685;19.9817;10.1003;1998.17;1010.03;0.998291;22.4277;2.4478;0.998291;10.1003;0.721386;0;0.498293;0;0.5;
3.13929;0.903482;0.903502;0.902864;0.902885;0.00107409;2.45555;1.00002;1.21718;19.9897;10.1031;1998.97;1010.31;0.99826;22.4369;2.44845;0.99826;10.1031;0.721479;0;0.498261;0;0.5;
3.18297;0.903795;0.903812;0.902892;0.902908;0.0010743;2.45603;1.00002;1.21746;19.9966;10.1057;1999.66;1010.57;0.998236;22.4447;2.44904;0.998236;10.1057;0.721559;0;0.498238;0;0.5;
3.22664;0.904034;0.904045;0.902928;0.902939;0.00107442;2.4563;1.00001;1.21766;20.0017;10.1079;2000.17;1010.79;0.998222;22.4505;2.4495;0.998222;10.1079;0.721618;0;0.498224;0;0.5;
3.27032;0.904181;0.904186;0.90297;0.902974;0.00107443;2.45634;1.00001;1.21778;20.0048;10.1095;2000.48;1010.95;0.998221;22.4541;2.44982;0.998221;10.1095;0.721649;0;0.498222;0;0.5;
3.31399;0.90423;0.904228;0.903014;0.903012;0.00107434;2.45611;0.999998;1.21779;20.0057;10.1105;2000.57;1011.05;0.998232;22.4551;2.44998;0.998232;10.1105;0.721648;0;0.498233;0;0.5;
3.35767;0.904179;0.904171;0.903056;0.903047;0.00107413;2.45565;0.999991;1.21771;20.0045;10.1109;2000.45;1011.09;0.998255;22.4537;2.44997;0.998255;10.1109;0.721615;0;0.498257;0;0.5;
3.40876;0.904008;0.903993;0.903098;0.903083;0.00107377;2.45483;0.999983;1.21751;20.0005;10.1107;2000.05;1011.07;0.998296;22.4491;2.44977;0.998296;10.1107;0.721537;0;0.498297;0;0.5;
3.45985;0.903739;0.903719;0.90313;0.90311;0.00107332;2.45379;0.999978;1.21721;19.9945;10.1098;1999.45;1010.98;0.998348;22.4422;2.44938;0.998348;10.1098;0.721426;0;0.498349;0;0.5;
