time;WPP4A_WPP_wPPControl_measurements_PPu;WPP4A_WPP_wPPControl_measurements_QPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.082238;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
0.082239;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
0.082241;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
0.082245;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
0.082253;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422682;
0.082269;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422683;
0.082301;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422683;
0.082365;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422683;
0.082493;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422683;
0.082749;0.999988;-0.210099;1.000155;0.976169;0.217724;-0.930126;-0.422683;
0.083083;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083084;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083085;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083087;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083091;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083099;0.999988;-0.210100;1.000154;0.976169;0.217724;-0.930126;-0.422684;
0.083115;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083147;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083211;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083294;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083295;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083296;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083298;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083302;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083310;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083326;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422684;
0.083358;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422685;
0.083422;0.999988;-0.210100;1.000154;0.976168;0.217724;-0.930126;-0.422685;
0.083550;0.999988;-0.210101;1.000154;0.976168;0.217724;-0.930126;-0.422685;
0.083806;0.999988;-0.210101;1.000154;0.976168;0.217724;-0.930126;-0.422685;
0.084318;0.999988;-0.210102;1.000154;0.976168;0.217724;-0.930126;-0.422686;
0.085342;0.999988;-0.210103;1.000153;0.976167;0.217724;-0.930126;-0.422688;
0.087390;0.999988;-0.210107;1.000152;0.976166;0.217724;-0.930126;-0.422692;
0.091486;0.999988;-0.210113;1.000150;0.976164;0.217724;-0.930126;-0.422700;
0.099678;0.999988;-0.210126;1.000146;0.976160;0.217725;-0.930126;-0.422715;
0.116062;0.999987;-0.210151;1.000139;0.976152;0.217726;-0.930127;-0.422744;
0.148830;0.999987;-0.210195;1.000125;0.976138;0.217727;-0.930128;-0.422798;
0.214366;0.999989;-0.210268;1.000102;0.976114;0.217730;-0.930131;-0.422886;
0.345438;0.999992;-0.210368;1.000071;0.976081;0.217734;-0.930137;-0.423009;
0.476510;0.999995;-0.210438;1.000049;0.976058;0.217737;-0.930142;-0.423094;
0.607582;0.999997;-0.210486;1.000034;0.976042;0.217739;-0.930145;-0.423153;
0.720480;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720481;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720482;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720484;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720488;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720496;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720512;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720544;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720608;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720736;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.720992;0.999998;-0.210519;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721326;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721327;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721328;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721330;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721334;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721342;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721358;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721390;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721454;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423193;
0.721537;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721538;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721539;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721541;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721545;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721553;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721569;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721601;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721665;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.721793;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.722049;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.722561;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.723585;0.999998;-0.210520;1.000023;0.976031;0.217740;-0.930147;-0.423194;
0.725633;0.999998;-0.210521;1.000023;0.976030;0.217740;-0.930147;-0.423195;
0.729729;0.999998;-0.210522;1.000023;0.976030;0.217740;-0.930147;-0.423196;
0.737921;0.999998;-0.210524;1.000022;0.976029;0.217740;-0.930147;-0.423198;
0.747078;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747079;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747080;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747082;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747086;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747094;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747110;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747142;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747206;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747334;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.747590;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.748102;0.999998;-0.210526;1.000021;0.976029;0.217740;-0.930147;-0.423201;
0.749126;0.999998;-0.210526;1.000021;0.976028;0.217740;-0.930147;-0.423202;
0.751174;0.999998;-0.210527;1.000021;0.976028;0.217740;-0.930147;-0.423202;
0.755270;0.999998;-0.210528;1.000021;0.976028;0.217740;-0.930147;-0.423203;
0.763462;0.999998;-0.210530;1.000020;0.976027;0.217740;-0.930147;-0.423206;
0.779846;0.999999;-0.210533;1.000019;0.976026;0.217741;-0.930148;-0.423210;
0.812614;0.999999;-0.210540;1.000017;0.976024;0.217741;-0.930148;-0.423218;
0.839453;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839454;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839455;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839457;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839461;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839469;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839485;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839517;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839581;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839709;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.839965;0.999999;-0.210544;1.000016;0.976023;0.217741;-0.930148;-0.423224;
0.840477;0.999999;-0.210545;1.000016;0.976022;0.217741;-0.930148;-0.423224;
0.841501;0.999999;-0.210545;1.000015;0.976022;0.217741;-0.930148;-0.423224;
0.843549;0.999999;-0.210545;1.000015;0.976022;0.217741;-0.930148;-0.423224;
0.847645;0.999999;-0.210546;1.000015;0.976022;0.217741;-0.930148;-0.423225;
0.855837;0.999999;-0.210547;1.000015;0.976022;0.217741;-0.930148;-0.423227;
0.872221;0.999999;-0.210550;1.000014;0.976021;0.217741;-0.930149;-0.423230;
0.904989;0.999999;-0.210554;1.000012;0.976019;0.217741;-0.930149;-0.423236;
0.970525;0.999999;-0.210562;1.000010;0.976017;0.217742;-0.930149;-0.423246;
1.101597;1.000000;-0.210574;1.000006;0.976013;0.217742;-0.930150;-0.423260;
1.363741;1.000000;-0.210588;1.000002;0.976008;0.217743;-0.930150;-0.423276;
1.563018;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563019;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563020;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563022;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563026;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563034;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563050;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563082;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563146;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563274;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.563530;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.564042;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.565066;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.567114;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.571210;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.579402;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.595786;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.628554;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.694090;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
1.825162;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000000;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000001;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000002;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000004;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000008;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000016;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000032;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000064;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000128;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000256;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000512;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000846;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000847;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000848;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000850;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000854;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000862;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000878;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000910;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.000974;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001057;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001058;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001059;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001061;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001065;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001073;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001089;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001121;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001185;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001313;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.001569;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.002081;1.000000;-0.210594;1.000000;0.976006;0.217743;-0.930151;-0.423284;
2.003105;0.999999;-0.210594;1.000000;0.976006;0.217743;-0.930150;-0.423284;
2.004129;0.999998;-0.210595;1.000000;0.976006;0.217742;-0.930149;-0.423284;
2.004460;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004461;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004462;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004464;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004468;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004476;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004492;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004524;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004588;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004716;0.999996;-0.210595;1.000000;0.976006;0.217742;-0.930147;-0.423283;
2.004972;0.999995;-0.210595;1.000000;0.976006;0.217742;-0.930146;-0.423283;
2.005484;0.999992;-0.210596;1.000000;0.976007;0.217741;-0.930144;-0.423282;
2.006167;0.999988;-0.210597;1.000000;0.976007;0.217740;-0.930139;-0.423281;
2.006168;0.999988;-0.210597;1.000000;0.976007;0.217740;-0.930139;-0.423281;
2.006169;0.999988;-0.210597;1.000000;0.976007;0.217740;-0.930139;-0.423281;
