"time","reducedOrderSFR.deltaFrequency"
2.124,-1.571402142551517
2.128,-1.574306633851438
2.132,-1.577196599888245
2.136,-1.5800720819833
2.14,-1.582933121366519
2.144,-1.585779759176368
2.148,-1.588612036459869
2.152,-1.591429994172596
2.156,-1.594233673178674
2.16,-1.597023114250784
2.164,-1.599798358070156
2.168,-1.602559445226577
2.172,-1.605306416218385
2.176,-1.60803931145247
2.18,-1.610758171244277
2.184,-1.613463035817801
2.188,-1.616153945305594
2.192,-1.618830939748756
2.196,-1.621494059096944
2.2,-1.624143343208367
2.204,-1.626778831849784
2.208,-1.629400564696511
2.212,-1.632008581332415
2.216,-1.634602921249914
2.22,-1.637183623849983
2.224,-1.639750728442147
2.228,-1.642304274244484
2.232,-1.644844300383626
2.236,-1.647370845894757
2.24,-1.649883949721615
2.244,-1.65238365071649
2.248,-1.654869987640224
2.252,-1.657342999162215
2.256,-1.65980274492926
2.26,-1.662249271652397
2.264,-1.664682593734691
2.268,-1.667102749728929
2.272,-1.669509778101189
2.276,-1.67190371723084
2.28,-1.674284605410549
2.284,-1.676652480846271
2.288,-1.679007381657256
2.292,-1.681349345876047
2.296,-1.68367841144848
2.3,-1.685994616233684
2.304,-1.688297998004079
2.308,-1.690588594445381
2.312,-1.692866443156597
2.316,-1.695131581650027
2.32,-1.697384047351265
2.324,-1.699623877599197
2.328,-1.701851109646001
2.332,-1.70406578065715
2.336,-1.706267927711409
2.34,-1.708457587800836
2.344,-1.710634797830781
2.348,-1.712799594619889
2.352,-1.714952014900096
2.356,-1.717092095316631
2.36,-1.719219872428017
2.364,-1.72133538270607
2.368,-1.723438662535898
2.372,-1.725529748215902
2.376,-1.727608675957776
2.38,-1.729675481886509
2.384,-1.731730202040378
2.388,-1.733772872370959
2.392,-1.735803557591364
2.396,-1.737822280391444
2.4,-1.739829065332133
2.404,-1.741823948234251
2.408,-1.743806964836004
2.412,-1.745778150792977
2.416,-1.747737541678144
2.42,-1.749685172981859
2.424,-1.75162108011186
2.428,-1.753545298393268
2.432,-1.75545786306859
2.436,-1.757358809297713
2.44,-1.759248172157908
2.444,-1.761125986643833
2.448,-1.762992287667525
2.452,-1.764847110058406
2.456,-1.766690488563282
2.46,-1.768522457846343
2.464,-1.77034305248916
2.468,-1.772152306990689
2.472,-1.773950255767271
2.476,-1.775736933152626
2.48,-1.777512373397863
2.484,-1.779276610671469
2.488,-1.781029679059319
2.492,-1.782771612564669
2.496,-1.784502445108158
2.5,-1.78622221052781
2.504,-1.787930942579032
2.508,-1.789628674934613
2.512,-1.791315441184727
2.516,-1.792991274836932
2.52,-1.794656209316168
2.524,-1.796310277964757
2.528,-1.797953542103816
2.532,-1.799586011499536
2.536,-1.801207718421634
2.54,-1.802818696111299
2.544,-1.804418977734576
2.548,-1.806008596382471
2.552,-1.807587585071061
2.556,-1.809155976741596
2.56,-1.810713804260607
2.564,-1.812261100420012
2.568,-1.81379789793722
2.572,-1.815324229455241
2.576,-1.816840127542788
2.58,-1.818345624694387
2.584,-1.819840753330479
2.588,-1.821325545797528
2.592,-1.82280003436813
2.596,-1.824264251241112
2.6,-1.825718228541646
2.604,-1.82716199832135
2.608,-1.828595592558393
2.612,-1.830019043157608
2.616,-1.83143238195059
2.62,-1.832835640695808
2.624,-1.834228851078707
2.628,-1.835612044711816
2.632,-1.836985253134855
2.636,-1.838348507814838
2.64,-1.839701840146184
2.644,-1.841045281450816
2.648,-1.842378862978274
2.652,-1.843702615905819
2.656,-1.845016571338535
2.66,-1.846320762120455
2.664,-1.847615224572896
2.668,-1.848899983509287
2.672,-1.850175069814082
2.676,-1.851440514302306
2.68,-1.85269634771969
2.684,-1.853942600742811
2.688,-1.855179303979231
2.692,-1.85640648796763
2.696,-1.85762418317795
2.7,-1.858832420011527
2.704,-1.860031228801235
2.708,-1.861220639811618
2.712,-1.862400683239031
2.716,-1.863571389211778
2.72,-1.864732787790247
2.724,-1.865884908967052
2.728,-1.867027782667166
2.732,-1.868161438748064
2.736,-1.869285906999856
2.74,-1.87040121714543
2.744,-1.871507398840584
2.748,-1.872604481674168
2.752,-1.873692495168219
2.756,-1.874771468778103
2.76,-1.875841431892649
2.764,-1.876902413834287
2.768,-1.877954443859188
2.772,-1.8789975511574
2.776,-1.880031764852987
2.78,-1.881057114004165
2.784,-1.882073627603444
2.788,-1.883081334577759
2.792,-1.884080263788614
2.796,-1.885070441294612
2.8,-1.88605189497136
2.804,-1.887024656317081
2.808,-1.887988753886712
2.812,-1.888944216168926
2.816,-1.889891071586246
2.82,-1.890829348495168
2.824,-1.89175907518627
2.828,-1.892680279884331
2.832,-1.893592990748449
2.836,-1.894497235872151
2.84,-1.895393043283519
2.844,-1.896280440945294
2.848,-1.897159456755004
2.852,-1.898030118545072
2.856,-1.898892454082932
2.86,-1.899746491071154
2.864,-1.900592257147548
2.868,-1.901429779885289
2.872,-1.902259086793028
2.876,-1.903080205315013
2.88,-1.9038931628312
2.884,-1.904697986657372
2.888,-1.905494704045255
2.892,-1.906283342182632
2.896,-1.907063928193461
2.9,-1.907836489137994
2.904,-1.908601052012886
2.908,-1.909357643751316
2.912,-1.910106291223103
2.916,-1.910847021234819
2.92,-1.911579860529912
2.924,-1.912304835788812
2.928,-1.913021973629055
2.932,-1.91373129948737
2.936,-1.914432840389856
2.94,-1.915126623148427
2.944,-1.915812674118032
2.948,-1.916491019590902
2.952,-1.917161685796668
2.956,-1.917824698902466
2.96,-1.918480085013052
2.964,-1.919127870170905
2.968,-1.919768080356346
2.972,-1.920400741487643
2.976,-1.921025879421123
2.98,-1.921643519951283
2.984,-1.922253688810901
2.988,-1.922856411671142
2.992,-1.923451714141676
2.996,-1.92403962177078
3,-1.924620160045457
3.004,-1.925193354391538
3.008,-1.9257592301738
3.012,-1.92631781269607
3.016,-1.92686912720134
3.02,-1.927413198871875
3.024,-1.927950052829326
3.028,-1.928479714134837
3.032,-1.929002207789157
3.036,-1.929517558732752
3.04,-1.930025791845912
3.044,-1.930526931948866
3.048,-1.931021003801889
3.052,-1.931508032105412
3.056,-1.931988041500134
3.06,-1.932461056567134
3.064,-1.932927101827978
3.068,-1.933386200817045
3.072,-1.933838378732799
3.076,-1.934283659927303
3.08,-1.934722068677765
3.084,-1.93515362920219
3.088,-1.935578365659489
3.092,-1.935996302149588
3.096,-1.936407462713532
3.1,-1.936811871333594
3.104,-1.937209551933379
3.108,-1.937600528377937
3.112,-1.937984824473861
3.116,-1.938362463969405
3.12,-1.938733470554581
3.124,-1.939097867861272
3.128,-1.939455679463337
3.132,-1.939806928876718
3.136,-1.940151639559546
3.14,-1.940489834912254
3.144,-1.940821538277671
3.148,-1.941146772941148
3.152,-1.941465562130643
3.156,-1.941777929016847
3.16,-1.942083896713281
3.164,-1.942383488276405
3.168,-1.942676726705726
3.172,-1.942963634943902
3.176,-1.943244235876856
3.18,-1.943518552333873
3.184,-1.943786607087716
3.188,-1.944048422854727
3.192,-1.94430402229494
3.196,-1.944553428012179
3.2,-1.944796662554175
3.204,-1.945033748412665
3.208,-1.945264708023505
3.212,-1.945489563766773
3.216,-1.945708337966878
3.22,-1.945921052892665
3.224,-1.946127730757526
3.228,-1.946328393719501
3.232,-1.946523063881391
3.236,-1.946711763290861
3.24,-1.946894513940552
3.244,-1.947071337768179
3.248,-1.947242256656645
3.252,-1.947407292434149
3.256,-1.94756646687429
3.26,-1.947719801696171
3.264,-1.947867318564513
3.268,-1.948009039089756
3.272,-1.948144984828171
3.276,-1.948275177281962
3.28,-1.948399637899378
3.284,-1.948518388074816
3.288,-1.94863144914893
3.292,-1.948738842408736
3.296,-1.948840589087721
3.3,-1.948936710365953
3.304,-1.94902722737018
3.308,-1.949112161173943
3.312,-1.949191532797683
3.316,-1.949265363208845
3.32,-1.949333673321987
3.324,-1.949396483998886
3.328,-1.949453816048647
3.332,-1.949505690227806
3.336,-1.949552128365102
3.34,-1.949593151275702
3.344,-1.949628778451973
3.348,-1.949659030448567
3.352,-1.949683927768275
3.356,-1.949703490862131
3.36,-1.949717740129526
3.364,-1.949726695918309
3.368,-1.9497303785249
3.372,-1.949728808194405
3.376,-1.949722005120711
3.38,-1.949709989446607
3.384,-1.949692781263885
3.388,-1.949670400613455
3.392,-1.949642867485448
3.396,-1.949610201819328
3.4,-1.949572423503999
3.404,-1.949529552377917
3.408,-1.949481608229195
3.412,-1.949428610795711
3.416,-1.949370579765224
3.42,-1.949307534775473
3.424,-1.949239495414292
3.428,-1.949166481219718
3.432,-1.949088511680097
3.436,-1.949005606234195
3.44,-1.948917784271309
3.444,-1.948825065131368
3.448,-1.948727468105051
3.452,-1.94862501243389
3.456,-1.948517717310381
3.46,-1.94840560187809
3.464,-1.948288685231765
3.468,-1.948166986417443
3.472,-1.948040524432562
3.476,-1.947909318226061
3.48,-1.947773386698501
3.484,-1.947632748702162
3.488,-1.947487423041161
3.492,-1.947337428471556
3.496,-1.947182783701453
3.5,-1.94702350739112
3.504,-1.946859618153093
3.508,-1.946691134552283
3.512,-1.946518075106089
3.516,-1.946340458284501
3.52,-1.946158302510215
3.524,-1.945971626158738
3.528,-1.945780447558494
3.532,-1.945584784990942
3.536,-1.945384656690677
3.54,-1.945180080845536
3.544,-1.944971075596716
3.548,-1.944757659038881
3.552,-1.944539849220259
3.556,-1.944317664142768
3.56,-1.944091121762111
3.564,-1.943860239987893
3.568,-1.943625036683725
3.572,-1.943385529667336
3.576,-1.943141736710679
3.58,-1.942893675540043
3.584,-1.942641363836156
3.588,-1.942384819234302
3.592,-1.942124059324421
3.596,-1.941859101651225
3.6,-1.941589963714301
3.604,-1.941316662905168
3.608,-1.941039195953489
3.612,-1.940757599588438
3.616,-1.940471891082894
3.62,-1.940182087664255
3.624,-1.939888206514531
3.628,-1.939590264770451
3.632,-1.939288279523563
3.636,-1.938982267820332
3.64,-1.938672246662246
3.644,-1.938358233005913
3.648,-1.938040243763162
3.652,-1.937718295801145
3.656,-1.93739240594244
3.66,-1.937062590965149
3.664,-1.936728867603001
3.668,-1.936391252545447
3.672,-1.936049762437775
3.676,-1.935704413881193
3.68,-1.935355223432944
3.684,-1.935002207606401
3.688,-1.934645382871168
3.692,-1.934284765653181
3.696,-1.933920372334813
3.7,-1.933552219254968
3.704,-1.933180322709188
3.708,-1.932804698949753
3.712,-1.932425364185775
3.716,-1.932042334583311
3.72,-1.931655626265455
3.724,-1.93126525531244
3.728,-1.930871237761744
3.732,-1.930473589608185
3.736,-1.930072326804026
3.74,-1.929667465259073
3.744,-1.929259020840778
3.748,-1.928847009374339
3.752,-1.928431446642804
3.756,-1.928012348387165
3.76,-1.927589730306468
3.764,-1.927163608057907
3.768,-1.926733997256924
3.772,-1.926300913477321
3.776,-1.925864372251345
3.78,-1.925424389069805
3.784,-1.924980979382158
3.788,-1.924534158596622
3.792,-1.924083942080269
3.796,-1.923630345159132
3.8,-1.923173383118301
3.804,-1.922713071202028
3.808,-1.922249424613822
3.812,-1.92178245851656
3.816,-1.921312188032577
3.82,-1.920838628243773
3.824,-1.920361794191716
3.828,-1.919881700877735
3.832,-1.919398363263029
3.836,-1.918911796268765
3.84,-1.918422014776176
3.844,-1.917929033626669
3.848,-1.917432867621918
3.852,-1.91693353152397
3.856,-1.916431040055347
3.86,-1.915925407899139
3.864,-1.915416649699117
3.868,-1.914904780059824
3.872,-1.914389813546681
3.876,-1.913871752574341
3.88,-1.913350611137824
3.884,-1.912826414760794
3.888,-1.912299177804925
3.892,-1.911768914592444
3.896,-1.911235639406213
3.9,-1.91069936648983
3.904,-1.910160110047722
3.908,-1.909617884245241
3.912,-1.909072703208758
3.916,-1.908524581025754
3.92,-1.90797353174492
3.924,-1.907419569376247
3.928,-1.906862707891127
3.932,-1.90630296122244
3.936,-1.905740343264652
3.94,-1.905174867873909
3.944,-1.904606548868135
3.948,-1.90403540002712
3.952,-1.903461435092622
3.956,-1.902884667768455
3.96,-1.902305111720585
3.964,-1.901722780577233
3.968,-1.901137687928954
3.972,-1.900549847328744
3.976,-1.899959272292132
3.98,-1.899365976297271
3.984,-1.898769972785037
3.988,-1.898171275159119
3.992,-1.897569896786117
3.996,-1.896965850995637
4,-1.896359151080381
4.004,-1.895749810296249
4.008,-1.895137841862426
4.012,-1.894523258961481
4.016,-1.893906074739461
4.02,-1.893286302305985
4.024,-1.892663954734336
4.028,-1.892039045061563
4.032,-1.891411586288568
4.036,-1.890781591380203
4.04,-1.890149073265365
4.044,-1.889514044837093
4.048,-1.888876518952658
4.052,-1.888236508433659
4.056,-1.887594026066121
4.06,-1.886949084600584
4.064,-1.886301696752203
4.068,-1.885651875200837
4.072,-1.884999632591151
4.076,-1.884344981532701
4.08,-1.883687934600037
4.084,-1.883028504332795
4.088,-1.882366703235789
4.092,-1.881702543779108
4.096,-1.88103603839821
4.1,-1.880367199494017
4.104,-1.87969603943301
4.108,-1.879022570547321
4.112,-1.878346805134831
4.116,-1.877668755459262
4.12,-1.876988433750273
4.124,-1.876305852203556
4.128,-1.875621022980923
4.132,-1.874933958210414
4.136,-1.874244669986377
4.14,-1.873553170369575
4.144,-1.872859470557815
4.148,-1.872163548194179
4.152,-1.871465448197386
4.156,-1.870765182426058
4.16,-1.870062762704541
4.164,-1.869358200823004
4.168,-1.868651508537516
4.172,-1.867942697570137
4.176,-1.867231779609002
4.18,-1.866518766308408
4.184,-1.865803669288901
4.188,-1.865086500137361
4.192,-1.864367270407087
4.196,-1.863645991617887
4.2,-1.862922675256158
4.204,-1.862197332774981
4.208,-1.861469975594197
4.212,-1.860740615100503
4.216,-1.86000926264753
4.22,-1.859275929555934
4.224,-1.85854062711348
4.228,-1.857803366575132
4.232,-1.857064159163132
4.236,-1.856323016067092
4.24,-1.85557994844408
4.244,-1.854834967418703
4.248,-1.854088084083195
4.252,-1.853339309497505
4.256,-1.852588654689378
4.26,-1.851836130654446
4.264,-1.851081748356314
4.268,-1.850325518726642
4.272,-1.849567452665236
4.276,-1.848807561040133
4.28,-1.848045854687682
4.284,-1.847282344412638
4.288,-1.846517040988245
4.292,-1.845749955156321
4.296,-1.844981097627343
4.3,-1.844210479080537
4.304,-1.843438110163964
4.308,-1.8426640014946
4.312,-1.841888163658432
4.316,-1.841110607210535
4.32,-1.840331342675163
4.324,-1.839550380545835
4.328,-1.83876773128542
4.332,-1.837983405326224
4.336,-1.837197413070073
4.34,-1.836409764888407
4.344,-1.835620471122356
4.348,-1.834829542082835
4.352,-1.834036988050624
4.356,-1.833242819276459
4.36,-1.832447045981112
4.364,-1.831649678355486
4.368,-1.830850726560692
4.372,-1.830050200728141
4.376,-1.829248110959629
4.38,-1.828444467327421
4.384,-1.827639279874341
4.388,-1.826832558613854
4.392,-1.826024313530155
4.396,-1.825214554578255
4.4,-1.824403291684067
4.404,-1.823590534744489
4.408,-1.822776293627496
4.412,-1.821960578172221
4.416,-1.821143380054317
4.42,-1.820324709754503
4.424,-1.819504592299728
4.428,-1.818683037348235
4.432,-1.817860054528754
4.436,-1.817035653440575
4.44,-1.816209843653627
4.444,-1.815382634708562
4.448,-1.814554036116823
4.452,-1.813724057360731
4.456,-1.812892707893559
4.46,-1.812059997139612
4.464,-1.811225934494302
4.468,-1.810390529324229
4.472,-1.809553790967259
4.476,-1.8087157287326
4.48,-1.807876351900883
4.484,-1.807035669724238
4.488,-1.806193691426372
4.492,-1.80535042620265
4.496,-1.804505883220169
4.5,-1.803660071617838
4.504,-1.802813000506459
4.508,-1.8019646789688
4.512,-1.801115116059675
4.516,-1.800264320806025
4.52,-1.799412302206993
4.524,-1.798559069234002
4.528,-1.797704630830834
4.532,-1.796848995913709
4.536,-1.795992173371363
4.54,-1.795134172065123
4.544,-1.794275000828991
4.548,-1.793414668469715
4.552,-1.792553183766874
4.556,-1.791690555472949
4.56,-1.79082679231341
4.564,-1.789961902986786
4.568,-1.789095896164747
4.572,-1.78822878049218
4.576,-1.787360564587272
4.58,-1.786491257041581
4.584,-1.785620866420121
4.588,-1.784749401261434
4.592,-1.783876870077674
4.596,-1.783003281354679
4.6,-1.782128643552055
4.604,-1.78125296510325
4.608,-1.780376254415635
4.612,-1.779498519870578
4.616,-1.778619769823527
4.62,-1.777740012604086
4.624,-1.776859256516093
4.628,-1.775977509837696
4.632,-1.775094780821437
4.636,-1.774211077694322
4.64,-1.773326408657908
4.644,-1.772440781888375
4.648,-1.771554205536604
4.652,-1.770666687728259
4.656,-1.769778236563863
4.66,-1.768888860118875
4.664,-1.767998566443772
4.668,-1.767107363564121
4.672,-1.766215259480662
4.676,-1.765322262169385
4.68,-1.764428379581609
4.684,-1.76353361833132
4.688,-1.762637958421931
4.692,-1.761741435060331
4.696,-1.760844056041728
4.7,-1.75994582913607
4.704,-1.759046762088124
4.708,-1.75814686261754
4.712,-1.757246138418925
4.716,-1.756344597161914
4.72,-1.755442246491239
4.724,-1.754539094026805
4.728,-1.753635147363754
4.732,-1.752730414072543
4.736,-1.751824901699008
4.74,-1.750918617764443
4.744,-1.750011569765663
4.748,-1.74910376517508
4.752,-1.748195211440774
4.756,-1.747285915986561
4.76,-1.746375886212066
4.764,-1.745465129492795
