"time","gridFollowingPlantPropInt.URefPu","gridFollowingPlantPropInt.URef0Pu","gridFollowingPlantPropInt.injector.QInjPu"
10.713,1.50229742,1.00229742,0.5654486588125485
10.714,1.50229742,1.00229742,0.5654486769253303
10.715,1.50229742,1.00229742,0.5654486950076246
10.716,1.50229742,1.00229742,0.5654487130594864
10.717,1.50229742,1.00229742,0.5654487310809708
10.718,1.50229742,1.00229742,0.56544874907213
10.719,1.50229742,1.00229742,0.5654487670330205
10.72,1.50229742,1.00229742,0.5654487849636951
10.721,1.50229742,1.00229742,0.5654488028642075
10.722,1.50229742,1.00229742,0.5654488207346136
10.723,1.50229742,1.00229742,0.5654488385749661
10.724,1.50229742,1.00229742,0.5654488563853188
10.725,1.50229742,1.00229742,0.5654488741657269
10.726,1.50229742,1.00229742,0.5654488919162427
10.727,1.50229742,1.00229742,0.565448909636922
10.728,1.50229742,1.00229742,0.5654489273278165
10.729,1.50229742,1.00229742,0.5654489449889821
10.73,1.50229742,1.00229742,0.5654489626204711
10.731,1.50229742,1.00229742,0.5654489802223375
10.732,1.50229742,1.00229742,0.565448997794636
10.733,1.50229742,1.00229742,0.565449015337419
10.734,1.50229742,1.00229742,0.5654490328507416
10.735,1.50229742,1.00229742,0.5654490503346558
10.736,1.50229742,1.00229742,0.5654490677892154
10.737,1.50229742,1.00229742,0.565449085214475
10.738,1.50229742,1.00229742,0.5654491026104869
10.739,1.50229742,1.00229742,0.5654491199773055
10.74,1.50229742,1.00229742,0.5654491373149844
10.741,1.50229742,1.00229742,0.565449154623575
10.742,1.50229742,1.00229742,0.5654491719031339
10.743,1.50229742,1.00229742,0.5654491891537107
10.744,1.50229742,1.00229742,0.5654492063753617
10.745,1.50229742,1.00229742,0.5654492235681378
10.746,1.50229742,1.00229742,0.5654492407320953
10.747,1.50229742,1.00229742,0.5654492578672844
10.748,1.50229742,1.00229742,0.5654492749737593
10.749,1.50229742,1.00229742,0.5654492920515743
10.75,1.50229742,1.00229742,0.5654493091007802
10.751,1.50229742,1.00229742,0.5654493261214326
10.752,1.50229742,1.00229742,0.565449343113582
10.753,1.50229742,1.00229742,0.565449360077283
10.754,1.50229742,1.00229742,0.5654493770125886
10.755,1.50229742,1.00229742,0.5654493939195507
10.756,1.50229742,1.00229742,0.5654494107982228
10.757,1.50229742,1.00229742,0.565449427648658
10.758,1.50229742,1.00229742,0.5654494444709096
10.759,1.50229742,1.00229742,0.5654494612650288
10.76,1.50229742,1.00229742,0.5654494780310695
10.761,1.50229742,1.00229742,0.5654494947690849
10.762,1.50229742,1.00229742,0.5654495114791274
10.763,1.50229742,1.00229742,0.5654495281612496
10.764,1.50229742,1.00229742,0.5654495448155035
10.765,1.50229742,1.00229742,0.5654495614419421
10.766,1.50229742,1.00229742,0.5654495780406196
10.767,1.50229742,1.00229742,0.5654495946115863
10.768,1.50229742,1.00229742,0.5654496111548962
10.769,1.50229742,1.00229742,0.5654496276706013
10.77,1.50229742,1.00229742,0.5654496441587548
10.771,1.50229742,1.00229742,0.5654496606194085
10.772,1.50229742,1.00229742,0.5654496770526151
10.773,1.50229742,1.00229742,0.5654496934584272
10.774,1.50229742,1.00229742,0.5654497098368969
10.775,1.50229742,1.00229742,0.5654497261880773
10.776,1.50229742,1.00229742,0.5654497425120194
10.777,1.50229742,1.00229742,0.5654497588087781
10.778,1.50229742,1.00229742,0.565449775078403
10.779,1.50229742,1.00229742,0.5654497913209474
10.78,1.50229742,1.00229742,0.5654498075364641
10.781,1.50229742,1.00229742,0.5654498237250047
10.782,1.50229742,1.00229742,0.5654498398866227
10.783,1.50229742,1.00229742,0.5654498560213691
10.784,1.50229742,1.00229742,0.565449872129297
10.785,1.50229742,1.00229742,0.565449888210457
10.786,1.50229742,1.00229742,0.565449904264903
10.787,1.50229742,1.00229742,0.5654499202926869
10.788,1.50229742,1.00229742,0.5654499362938603
10.789,1.50229742,1.00229742,0.5654499522684753
10.79,1.50229742,1.00229742,0.5654499682165843
10.791,1.50229742,1.00229742,0.5654499841382388
10.792,1.50229742,1.00229742,0.5654500000334921
10.793,1.50229742,1.00229742,0.5654500159023957
10.794,1.50229742,1.00229742,0.5654500317450006
10.795,1.50229742,1.00229742,0.5654500475613605
10.796,1.50229742,1.00229742,0.5654500633515269
10.797,1.50229742,1.00229742,0.5654500791155506
10.798,1.50229742,1.00229742,0.5654500948534849
10.799,1.50229742,1.00229742,0.5654501105653812
10.8,1.50229742,1.00229742,0.5654501262512912
10.801,1.50229742,1.00229742,0.5654501419112667
10.802,1.50229742,1.00229742,0.565450157545361
10.803,1.50229742,1.00229742,0.5654501731536254
10.804,1.50229742,1.00229742,0.5654501887361106
10.805,1.50229742,1.00229742,0.5654502042928699
10.806,1.50229742,1.00229742,0.5654502198239544
10.807,1.50229742,1.00229742,0.5654502353294163
10.808,1.50229742,1.00229742,0.5654502508093063
10.809,1.50229742,1.00229742,0.5654502662636787
10.81,1.50229742,1.00229742,0.5654502816925826
10.811,1.50229742,1.00229742,0.5654502970960708
10.812,1.50229742,1.00229742,0.5654503124741962
10.813,1.50229742,1.00229742,0.565450327827009
10.814,1.50229742,1.00229742,0.5654503431545611
10.815,1.50229742,1.00229742,0.5654503584569056
10.816,1.50229742,1.00229742,0.565450373734093
10.817,1.50229742,1.00229742,0.5654503889861755
10.818,1.50229742,1.00229742,0.5654504042132039
10.819,1.50229742,1.00229742,0.565450419415232
10.82,1.50229742,1.00229742,0.5654504345923091
10.821,1.50229742,1.00229742,0.5654504497444885
10.822,1.50229742,1.00229742,0.5654504648718208
10.823,1.50229742,1.00229742,0.565450479974359
10.824,1.50229742,1.00229742,0.5654504950521537
10.825,1.50229742,1.00229742,0.5654505101052568
10.826,1.50229742,1.00229742,0.5654505251337203
10.827,1.50229742,1.00229742,0.5654505401375953
10.828,1.50229742,1.00229742,0.5654505551169332
10.829,1.50229742,1.00229742,0.565450570071787
10.83,1.50229742,1.00229742,0.5654505850022069
10.831,1.50229742,1.00229742,0.565450599908246
10.832,1.50229742,1.00229742,0.5654506147899542
10.833,1.50229742,1.00229742,0.5654506296473845
10.834,1.50229742,1.00229742,0.5654506444805868
10.835,1.50229742,1.00229742,0.565450659289615
10.836,1.50229742,1.00229742,0.5654506740745185
10.837,1.50229742,1.00229742,0.5654506888353504
10.838,1.50229742,1.00229742,0.565450703572163
10.839,1.50229742,1.00229742,0.5654507182850037
10.84,1.50229742,1.00229742,0.5654507329739299
10.841,1.50229742,1.00229742,0.5654507476389901
10.842,1.50229742,1.00229742,0.5654507622802353
10.843,1.50229742,1.00229742,0.565450776897718
10.844,1.50229742,1.00229742,0.5654507914914897
10.845,1.50229742,1.00229742,0.5654508060616025
10.846,1.50229742,1.00229742,0.5654508206081076
10.847,1.50229742,1.00229742,0.5654508351310555
10.848,1.50229742,1.00229742,0.5654508496305003
10.849,1.50229742,1.00229742,0.5654508641064908
10.85,1.50229742,1.00229742,0.5654508785590805
10.851,1.50229742,1.00229742,0.5654508929883192
10.852,1.50229742,1.00229742,0.5654509073942607
10.853,1.50229742,1.00229742,0.5654509217769556
10.854,1.50229742,1.00229742,0.5654509361364545
10.855,1.50229742,1.00229742,0.5654509504728094
10.856,1.50229742,1.00229742,0.5654509647860746
10.857,1.50229742,1.00229742,0.5654509790762967
10.858,1.50229742,1.00229742,0.5654509933435315
10.859,1.50229742,1.00229742,0.5654510075878286
10.86,1.50229742,1.00229742,0.5654510218092401
10.861,1.50229742,1.00229742,0.5654510360078182
10.862,1.50229742,1.00229742,0.5654510501836141
10.863,1.50229742,1.00229742,0.5654510643366785
10.864,1.50229742,1.00229742,0.5654510784670641
10.865,1.50229742,1.00229742,0.5654510925748222
10.866,1.50229742,1.00229742,0.5654511066600045
10.867,1.50229742,1.00229742,0.5654511207226623
10.868,1.50229742,1.00229742,0.5654511347628485
10.869,1.50229742,1.00229742,0.5654511487806113
10.87,1.50229742,1.00229742,0.5654511627760077
10.871,1.50229742,1.00229742,0.5654511767490851
10.872,1.50229742,1.00229742,0.5654511906998969
10.873,1.50229742,1.00229742,0.5654512046284942
10.874,1.50229742,1.00229742,0.5654512185349294
10.875,1.50229742,1.00229742,0.5654512324192534
10.876,1.50229742,1.00229742,0.5654512462815181
10.877,1.50229742,1.00229742,0.5654512601217759
10.878,1.50229742,1.00229742,0.5654512739400775
10.879,1.50229742,1.00229742,0.565451287736476
10.88,1.50229742,1.00229742,0.5654513015110213
10.881,1.50229742,1.00229742,0.5654513152637668
10.882,1.50229742,1.00229742,0.5654513289947629
10.883,1.50229742,1.00229742,0.5654513427040627
10.884,1.50229742,1.00229742,0.5654513563917175
10.885,1.50229742,1.00229742,0.5654513700577787
10.886,1.50229742,1.00229742,0.5654513837022987
10.887,1.50229742,1.00229742,0.5654513973253289
10.888,1.50229742,1.00229742,0.565451410926921
10.889,1.50229742,1.00229742,0.5654514245071278
10.89,1.50229742,1.00229742,0.5654514380659995
10.891,1.50229742,1.00229742,0.5654514516035895
10.892,1.50229742,1.00229742,0.5654514651199494
10.893,1.50229742,1.00229742,0.5654514786151309
10.894,1.50229742,1.00229742,0.5654514920891862
10.895,1.50229742,1.00229742,0.5654515055421664
10.896,1.50229742,1.00229742,0.565451518974124
10.897,1.50229742,1.00229742,0.5654515323851116
10.898,1.50229742,1.00229742,0.5654515457751795
10.899,1.50229742,1.00229742,0.5654515591443814
10.9,1.50229742,1.00229742,0.5654515724927685
10.901,1.50229742,1.00229742,0.5654515858203937
10.902,1.50229742,1.00229742,0.5654515991273072
10.903,1.50229742,1.00229742,0.5654516124135632
10.904,1.50229742,1.00229742,0.5654516256792119
10.905,1.50229742,1.00229742,0.5654516389243074
10.906,1.50229742,1.00229742,0.5654516521489004
10.907,1.50229742,1.00229742,0.5654516653530428
10.908,1.50229742,1.00229742,0.5654516785367875
10.909,1.50229742,1.00229742,0.5654516917001869
10.91,1.50229742,1.00229742,0.5654517048432932
10.911,1.50229742,1.00229742,0.5654517179661573
10.912,1.50229742,1.00229742,0.5654517310688335
10.913,1.50229742,1.00229742,0.5654517441513726
10.914,1.50229742,1.00229742,0.5654517572138266
10.915,1.50229742,1.00229742,0.5654517702562494
10.916,1.50229742,1.00229742,0.5654517832786923
10.917,1.50229742,1.00229742,0.5654517962812079
10.918,1.50229742,1.00229742,0.5654518092638479
10.919,1.50229742,1.00229742,0.5654518222266652
10.92,1.50229742,1.00229742,0.5654518351697123
10.921,1.50229742,1.00229742,0.5654518480930414
10.922,1.50229742,1.00229742,0.5654518609967056
10.923,1.50229742,1.00229742,0.5654518738807562
10.924,1.50229742,1.00229742,0.5654518867452476
10.925,1.50229742,1.00229742,0.5654518995902305
10.926,1.50229742,1.00229742,0.5654519124157578
10.927,1.50229742,1.00229742,0.5654519252218827
10.928,1.50229742,1.00229742,0.5654519380086579
10.929,1.50229742,1.00229742,0.5654519507761351
10.93,1.50229742,1.00229742,0.5654519635243679
10.931,1.50229742,1.00229742,0.5654519762534086
10.932,1.50229742,1.00229742,0.5654519889633102
10.933,1.50229742,1.00229742,0.5654520016541249
10.934,1.50229742,1.00229742,0.5654520143259066
10.935,1.50229742,1.00229742,0.5654520269787049
10.936,1.50229742,1.00229742,0.5654520396125768
10.937,1.50229742,1.00229742,0.5654520522275732
10.938,1.50229742,1.00229742,0.5654520648237469
10.939,1.50229742,1.00229742,0.5654520774011511
10.94,1.50229742,1.00229742,0.5654520899598381
10.941,1.50229742,1.00229742,0.565452102499863
10.942,1.50229742,1.00229742,0.5654521150212762
10.943,1.50229742,1.00229742,0.5654521275241322
10.944,1.50229742,1.00229742,0.5654521400084837
10.945,1.50229742,1.00229742,0.5654521524743832
10.946,1.50229742,1.00229742,0.5654521649218847
10.947,1.50229742,1.00229742,0.5654521773510415
10.948,1.50229742,1.00229742,0.5654521897619056
10.949,1.50229742,1.00229742,0.5654522021545313
10.95,1.50229742,1.00229742,0.5654522145289711
10.951,1.50229742,1.00229742,0.5654522268852789
10.952,1.50229742,1.00229742,0.5654522391839807
10.953,1.50229742,1.00229742,0.5654522514327069
10.954,1.50229742,1.00229742,0.5654522636618463
10.955,1.50229742,1.00229742,0.5654522758714332
10.956,1.50229742,1.00229742,0.5654522880615039
10.957,1.50229742,1.00229742,0.5654523002320901
10.958,1.50229742,1.00229742,0.5654523123832287
10.959,1.50229742,1.00229742,0.5654523245149525
10.96,1.50229742,1.00229742,0.5654523366272958
10.961,1.50229742,1.00229742,0.5654523487202934
10.962,1.50229742,1.00229742,0.565452360793979
10.963,1.50229742,1.00229742,0.5654523728483875
10.964,1.50229742,1.00229742,0.5654523848835512
10.965,1.50229742,1.00229742,0.5654523968995043
10.966,1.50229742,1.00229742,0.5654524088962817
10.967,1.50229742,1.00229742,0.5654524208739172
10.968,1.50229742,1.00229742,0.5654524328324422
10.969,1.50229742,1.00229742,0.5654524447718919
10.97,1.50229742,1.00229742,0.5654524566922985
10.971,1.50229742,1.00229742,0.5654524685936968
10.972,1.50229742,1.00229742,0.5654524804761186
10.973,1.50229742,1.00229742,0.565452492339598
10.974,1.50229742,1.00229742,0.5654525041841685
10.975,1.50229742,1.00229742,0.5654525160098616
10.976,1.50229742,1.00229742,0.5654525278167115
10.977,1.50229742,1.00229742,0.5654525396047504
10.978,1.50229742,1.00229742,0.5654525513740105
10.979,1.50229742,1.00229742,0.5654525631245253
10.98,1.50229742,1.00229742,0.5654525748563274
10.981,1.50229742,1.00229742,0.5654525865694492
10.982,1.50229742,1.00229742,0.565452598263922
10.983,1.50229742,1.00229742,0.5654526099397804
10.984,1.50229742,1.00229742,0.5654526215970549
10.985,1.50229742,1.00229742,0.5654526332357781
10.986,1.50229742,1.00229742,0.5654526448559817
10.987,1.50229742,1.00229742,0.5654526564576982
10.988,1.50229742,1.00229742,0.5654526680409585
10.989,1.50229742,1.00229742,0.5654526796057964
10.99,1.50229742,1.00229742,0.5654526911522422
10.991,1.50229742,1.00229742,0.5654527026803275
10.992,1.50229742,1.00229742,0.5654527141900841
10.993,1.50229742,1.00229742,0.5654527256815438
10.994,1.50229742,1.00229742,0.5654527371547377
10.995,1.50229742,1.00229742,0.5654527486096971
10.996,1.50229742,1.00229742,0.5654527600464541
10.997,1.50229742,1.00229742,0.565452771465037
10.998,1.50229742,1.00229742,0.5654527828654808
10.999,1.50229742,1.00229742,0.5654527942478151
11,1.50229742,1.00229742,0.5654528056120695
11.001,1.50229742,1.00229742,0.5654528169582753
11.002,1.50229742,1.00229742,0.5654528282864647
11.003,1.50229742,1.00229742,0.5654528395966661
11.004,1.50229742,1.00229742,0.565452850888912
11.005,1.50229742,1.00229742,0.5654528621632321
11.006,1.50229742,1.00229742,0.5654528734196562
11.007,1.50229742,1.00229742,0.5654528846582162
11.008,1.50229742,1.00229742,0.565452895878941
11.009,1.50229742,1.00229742,0.565452907081861
11.01,1.50229742,1.00229742,0.565452918267006
11.011,1.50229742,1.00229742,0.565452929434408
11.012,1.50229742,1.00229742,0.5654529405840937
11.013,1.50229742,1.00229742,0.5654529517160948
11.014,1.50229742,1.00229742,0.5654529628304416
11.015,1.50229742,1.00229742,0.5654529739271629
11.016,1.50229742,1.00229742,0.5654529850062878
11.017,1.50229742,1.00229742,0.5654529960678464
11.018,1.50229742,1.00229742,0.5654530071118681
11.019,1.50229742,1.00229742,0.5654530181383826
11.02,1.50229742,1.00229742,0.5654530291474179
11.021,1.50229742,1.00229742,0.5654530401390048
11.022,1.50229742,1.00229742,0.5654530511131715
11.023,1.50229742,1.00229742,0.5654530620699457
11.024,1.50229742,1.00229742,0.5654530730093592
11.025,1.50229742,1.00229742,0.5654530839314388
11.026,1.50229742,1.00229742,0.5654530948362133
11.027,1.50229742,1.00229742,0.5654531057237124
11.028,1.50229742,1.00229742,0.565453116593964
11.029,1.50229742,1.00229742,0.5654531274469962
11.03,1.50229742,1.00229742,0.565453138282838
11.031,1.50229742,1.00229742,0.5654531491015176
11.032,1.50229742,1.00229742,0.5654531599030633
11.033,1.50229742,1.00229742,0.5654531706875033
11.034,1.50229742,1.00229742,0.5654531814548657
11.035,1.50229742,1.00229742,0.5654531922051776
11.036,1.50229742,1.00229742,0.5654532029384682
11.037,1.50229742,1.00229742,0.5654532136547651
11.038,1.50229742,1.00229742,0.5654532243540951
11.039,1.50229742,1.00229742,0.5654532350364874
11.04,1.50229742,1.00229742,0.5654532457019678
11.041,1.50229742,1.00229742,0.5654532563505652
11.042,1.50229742,1.00229742,0.5654532669823062
11.043,1.50229742,1.00229742,0.5654532775972194
11.044,1.50229742,1.00229742,0.5654532881953301
11.045,1.50229742,1.00229742,0.5654532987766663
11.046,1.50229742,1.00229742,0.5654533093412559
11.047,1.50229742,1.00229742,0.5654533198891248
11.048,1.50229742,1.00229742,0.5654533304203002
11.049,1.50229742,1.00229742,0.5654533409348095
11.05,1.50229742,1.00229742,0.565453351432679
11.051,1.50229742,1.00229742,0.5654533619139357
11.052,1.50229742,1.00229742,0.5654533723786048
11.053,1.50229742,1.00229742,0.5654533828267152
11.054,1.50229742,1.00229742,0.5654533932582912
11.055,1.50229742,1.00229742,0.5654534036733599
11.056,1.50229742,1.00229742,0.5654534140719477
11.057,1.50229742,1.00229742,0.5654534244540804
11.058,1.50229742,1.00229742,0.5654534348197846
11.059,1.50229742,1.00229742,0.5654534451690865
11.06,1.50229742,1.00229742,0.5654534555020102
11.061,1.50229742,1.00229742,0.5654534658185839
11.062,1.50229742,1.00229742,0.5654534761188317
11.063,1.50229742,1.00229742,0.5654534864027806
11.064,1.50229742,1.00229742,0.5654534966704555
11.065,1.50229742,1.00229742,0.5654535069218821
11.066,1.50229742,1.00229742,0.5654535171570844
11.067,1.50229742,1.00229742,0.5654535273760889
11.068,1.50229742,1.00229742,0.5654535375789228
11.069,1.50229742,1.00229742,0.5654535477656079
11.07,1.50229742,1.00229742,0.5654535579361701
11.071,1.50229742,1.00229742,0.5654535680906357
11.072,1.50229742,1.00229742,0.5654535782290291
11.073,1.50229742,1.00229742,0.5654535883513756
11.074,1.50229742,1.00229742,0.5654535984576982
11.075,1.50229742,1.00229742,0.5654536085480236
11.076,1.50229742,1.00229742,0.565453618622375
11.077,1.50229742,1.00229742,0.5654536286807776
11.078,1.50229742,1.00229742,0.5654536387232558
11.079,1.50229742,1.00229742,0.5654536487498333
11.08,1.50229742,1.00229742,0.5654536587605351
11.081,1.50229742,1.00229742,0.5654536687553848
11.082,1.50229742,1.00229742,0.5654536787344073
11.083,1.50229742,1.00229742,0.5654536886976258
11.084,1.50229742,1.00229742,0.5654536986450643
11.085,1.50229742,1.00229742,0.5654537085767475
11.086,1.50229742,1.00229742,0.5654537184926982
11.087,1.50229742,1.00229742,0.5654537283929406
11.088,1.50229742,1.00229742,0.5654537382774973
11.089,1.50229742,1.00229742,0.565453748146393
11.09,1.50229742,1.00229742,0.565453757999651
11.091,1.50229742,1.00229742,0.5654537678372935
11.092,1.50229742,1.00229742,0.5654537776593453
11.093,1.50229742,1.00229742,0.5654537874658284
11.094,1.50229742,1.00229742,0.5654537972567666
11.095,1.50229742,1.00229742,0.5654538070321825
11.096,1.50229742,1.00229742,0.565453816792099
11.097,1.50229742,1.00229742,0.5654538265365392
11.098,1.50229742,1.00229742,0.5654538362655263
11.099,1.50229742,1.00229742,0.5654538459790822
11.1,1.50229742,1.00229742,0.5654538556772298
11.101,1.50229742,1.00229742,0.5654538653599909
11.102,1.50229742,1.00229742,0.5654538750273891
11.103,1.50229742,1.00229742,0.5654538846794458
11.104,1.50229742,1.00229742,0.5654538943161845
11.105,1.50229742,1.00229742,0.5654539039376267
11.106,1.50229742,1.00229742,0.5654539135437935
11.107,1.50229742,1.00229742,0.5654539231347078
11.108,1.50229742,1.00229742,0.5654539327103921
11.109,1.50229742,1.00229742,0.5654539422708673
11.11,1.50229742,1.00229742,0.5654539518161547
11.111,1.50229742,1.00229742,0.5654539613462783
11.112,1.50229742,1.00229742,0.5654539708612569
11.113,1.50229742,1.00229742,0.5654539803611136
11.114,1.50229742,1.00229742,0.5654539898458696
11.115,1.50229742,1.00229742,0.565453999315546
11.116,1.50229742,1.00229742,0.5654540087701649
11.117,1.50229742,1.00229742,0.5654540182097461
11.118,1.50229742,1.00229742,0.5654540276343114
11.119,1.50229742,1.00229742,0.5654540370438813
11.12,1.50229742,1.00229742,0.565454046438478
11.121,1.50229742,1.00229742,0.5654540558181212
11.122,1.50229742,1.00229742,0.565454065182832
11.123,1.50229742,1.00229742,0.565454074532632
11.124,1.50229742,1.00229742,0.5654540838675396
11.125,1.50229742,1.00229742,0.5654540931875773
11.126,1.50229742,1.00229742,0.5654541024927641
11.127,1.50229742,1.00229742,0.5654541117831217
11.128,1.50229742,1.00229742,0.56545412105867
11.129,1.50229742,1.00229742,0.5654541303194279
11.13,1.50229742,1.00229742,0.5654541395654179
11.131,1.50229742,1.00229742,0.5654541487966583
11.132,1.50229742,1.00229742,0.5654541580131689
11.133,1.50229742,1.00229742,0.5654541672149698
11.134,1.50229742,1.00229742,0.5654541764020814
11.135,1.50229742,1.00229742,0.5654541855745232
11.136,1.50229742,1.00229742,0.5654541947323143
11.137,1.50229742,1.00229742,0.5654542038754743
11.138,1.50229742,1.00229742,0.5654542130040227
11.139,1.50229742,1.00229742,0.5654542221179794
11.14,1.50229742,1.00229742,0.5654542312173634
11.141,1.50229742,1.00229742,0.5654542403021934
11.142,1.50229742,1.00229742,0.5654542493724881
11.143,1.50229742,1.00229742,0.5654542584282682
11.144,1.50229742,1.00229742,0.565454267469551
11.145,1.50229742,1.00229742,0.5654542764963566
11.146,1.50229742,1.00229742,0.565454285508703
11.147,1.50229742,1.00229742,0.5654542945066092
11.148,1.50229742,1.00229742,0.5654543034900934
11.149,1.50229742,1.00229742,0.5654543124591747
11.15,1.50229742,1.00229742,0.5654543214138711
11.151,1.50229742,1.00229742,0.5654543303542007
11.152,1.50229742,1.00229742,0.5654543392801819
11.153,1.50229742,1.00229742,0.5654543481918333
11.154,1.50229742,1.00229742,0.5654543570891735
11.155,1.50229742,1.00229742,0.5654543659722194
11.156,1.50229742,1.00229742,0.5654543748409893
11.157,1.50229742,1.00229742,0.5654543836955
11.158,1.50229742,1.00229742,0.5654543925357721
11.159,1.50229742,1.00229742,0.5654544013618211
11.16,1.50229742,1.00229742,0.565454410173665
11.161,1.50229742,1.00229742,0.5654544189713216
11.162,1.50229742,1.00229742,0.5654544277548077
11.163,1.50229742,1.00229742,0.5654544365241415
11.164,1.50229742,1.00229742,0.5654544452793399
11.165,1.50229742,1.00229742,0.5654544540204192
11.166,1.50229742,1.00229742,0.5654544627473986
11.167,1.50229742,1.00229742,0.5654544714602934
11.168,1.50229742,1.00229742,0.5654544801591207
11.169,1.50229742,1.00229742,0.565454488843898
11.17,1.50229742,1.00229742,0.5654544975146414
11.171,1.50229742,1.00229742,0.5654545061713683
11.172,1.50229742,1.00229742,0.5654545148140948
11.173,1.50229742,1.00229742,0.5654545234428374
11.174,1.50229742,1.00229742,0.565454532057613
11.175,1.50229742,1.00229742,0.5654545406584374
11.176,1.50229742,1.00229742,0.5654545492453272
11.177,1.50229742,1.00229742,0.5654545578182981
11.178,1.50229742,1.00229742,0.5654545663773675
