"time","line01.P2Pu","tfo01.transformerPhaseTapChanger.tap.value","tfo01.transformerPhaseTapChanger.alphaTfo","tfo01.phaseShifterP.tap.value","line02.P2Pu"
192,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
193,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
194,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
195,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
196,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
197,-0.6655768640949682,15,0.13089969389957468,14,-0.3344231359050318
198,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
199,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
200,-0.6655768640949681,15,0.13089969389957468,14,-0.33442313590503175
200,-0.6655768734814457,15,0.13089969389957468,14,-0.33442313590503175
