"time","Unit.measurements.UPu","Unit.measurements.PPu","Unit.measurements.QPu"
0.487,1,1,0.3
0.488,1,1,0.3
0.489,1,1,0.3
0.49,1,1,0.3
0.491,1,1,0.3
0.492,1,1,0.3
0.493,1,1,0.3
0.494,1,1,0.3
0.495,1,1,0.3
0.496,1,1,0.3
0.497,1,1,0.3
0.498,1,1,0.3
0.499,1,1,0.3
0.5,1,1,0.3
0.501,1,1,0.3
0.502,1,1,0.3
0.503,1,1,0.3
0.504,1,1,0.3
0.505,1,1,0.3
0.506,1,1,0.3
0.507,1,1,0.3
0.508,1,1,0.3
0.509,1,1,0.3
0.51,1,1,0.3
0.511,1,1,0.3
0.512,1,1,0.3
0.513,1,1,0.3
0.514,1,1,0.3
0.515,1,1,0.3
0.516,1,1,0.3
0.517,1,1,0.3
0.518,1,1,0.3
0.519,1,1,0.3
0.52,1,1,0.3
0.521,1,1,0.3
0.522,1,1,0.3
0.523,1,1,0.3
0.524,1,1,0.3
0.525,1,1,0.3
0.526,1,1,0.3
0.527,1,1,0.3
0.528,1,1,0.3
0.529,1,1,0.3
0.53,1,1,0.3
0.531,1,1,0.3
0.532,1,1,0.3
0.533,1,1,0.3
0.534,1,1,0.3
0.535,1,1,0.3
0.536,1,1,0.3
0.537,1,1,0.3
0.538,1,1,0.3
0.539,1,1,0.3
0.54,1,1,0.3
0.541,1,1,0.3
0.542,1,1,0.3
0.543,1,1,0.3
0.544,1,1,0.3
0.545,1,1,0.3
0.546,1,1,0.3
0.547,1,1,0.3
0.548,1,1,0.3
0.549,1,1,0.3
0.55,1,1,0.3
0.551,1,1,0.3
0.552,1,1,0.3
0.553,1,1,0.3
0.554,1,1,0.3
0.555,1,1,0.3
0.556,1,1,0.3
0.557,1,1,0.3
0.558,1,1,0.3
0.559,1,1,0.3
0.56,1,1,0.3
0.561,1,1,0.3
0.562,1,1,0.3
0.563,1,1,0.3
0.564,1,1,0.3
0.565,1,1,0.3
0.566,1,1,0.3
0.567,1,1,0.3
0.568,1,1,0.3
0.569,1,1,0.3
0.57,1,1,0.3
0.571,1,1,0.3
0.572,1,1,0.3
0.573,1,1,0.3
0.574,1,1,0.3
0.575,1,1,0.3
0.576,1,1,0.3
0.577,1,1,0.3
0.578,1,1,0.3
0.579,1,1,0.3
0.58,1,1,0.3
0.581,1,1,0.3
0.582,1,1,0.3
0.583,1,1,0.3
0.584,1,1,0.3
0.585,1,1,0.3
0.586,1,1,0.3
0.587,1,1,0.3
0.588,1,1,0.3
0.589,1,1,0.3
0.59,1,1,0.3
0.591,1,1,0.3
0.592,1,1,0.3
0.593,1,1,0.3
0.594,1,1,0.3
0.595,1,1,0.3
0.596,1,1,0.3
0.597,1,1,0.3
0.598,1,1,0.3
0.599,1,1,0.3
0.6,1,1,0.3
0.601,1,1,0.3
0.602,1,1,0.3
0.603,1,1,0.3
0.604,1,1,0.3
0.605,1,1,0.3
0.606,1,1,0.3
0.607,1,1,0.3
0.608,1,1,0.3
0.609,1,1,0.3
0.61,1,1,0.3
0.611,1,1,0.3
0.612,1,1,0.3
0.613,1,1,0.3
0.614,1,1,0.3
0.615,1,1,0.3
0.616,1,1,0.3
0.617,1,1,0.3
0.618,1,1,0.3
0.619,1,1,0.3
0.62,1,1,0.3
0.621,1,1,0.3
0.622,1,1,0.3
0.623,1,1,0.3
0.624,1,1,0.3
0.625,1,1,0.3
0.626,1,1,0.3
0.627,1,1,0.3
0.628,1,1,0.3
0.629,1,1,0.3
0.63,1,1,0.3
0.631,1,1,0.3
0.632,1,1,0.3
0.633,1,1,0.3
0.634,1,1,0.3
0.635,1,1,0.3
0.636,1,1,0.3
0.637,1,1,0.3
0.638,1,1,0.3
0.639,1,1,0.3
0.64,1,1,0.3
0.641,1,1,0.3
0.642,1,1,0.3
0.643,1,1,0.3
0.644,1,1,0.3
0.645,1,1,0.3
0.646,1,1,0.3
0.647,1,1,0.3
0.648,1,1,0.3
0.649,1,1,0.3
0.65,1,1,0.3
0.651,1,1,0.3
0.652,1,1,0.3
0.653,1,1,0.3
0.654,1,1,0.3
0.655,1,1,0.3
0.656,1,1,0.3
0.657,1,1,0.3
0.658,1,1,0.3
0.659,1,1,0.3
0.66,1,1,0.3
0.661,1,1,0.3
0.662,1,1,0.3
0.663,1,1,0.3
0.664,1,1,0.3
0.665,1,1,0.3
0.666,1,1,0.3
0.667,1,1,0.3
0.668,1,1,0.3
0.669,1,1,0.3
0.67,1,1,0.3
0.671,1,1,0.3
0.672,1,1,0.3
0.673,1,1,0.3
0.674,1,1,0.3
0.675,1,1,0.3
0.676,1,1,0.3
0.677,1,1,0.3
0.678,1,1,0.3
0.679,1,1,0.3
0.68,1,1,0.3
0.681,1,1,0.3
0.682,1,1,0.3
0.683,1,1,0.3
0.684,1,1,0.3
0.685,1,1,0.3
0.686,1,1,0.3
0.687,1,1,0.3
0.688,1,1,0.3
0.689,1,1,0.3
0.69,1,1,0.3
0.691,1,1,0.3
0.692,1,1,0.3
0.693,1,1,0.3
0.694,1,1,0.3
0.695,1,1,0.3
0.696,1,1,0.3
0.697,1,1,0.3
0.698,1,1,0.3
0.699,1,1,0.3
0.7,1,1,0.3
0.701,1,1,0.3
0.702,1,1,0.3
0.703,1,1,0.3
0.704,1,1,0.3
0.705,1,1,0.3
0.706,1,1,0.3
0.707,1,1,0.3
0.708,1,1,0.3
0.709,1,1,0.3
0.71,1,1,0.3
0.711,1,1,0.3
0.712,1,1,0.3
0.713,1,1,0.3
0.714,1,1,0.3
0.715,1,1,0.3
0.716,1,1,0.3
0.717,1,1,0.3
0.718,1,1,0.3
0.719,1,1,0.3
0.72,1,1,0.3
0.721,1,1,0.3
0.722,1,1,0.3
0.723,1,1,0.3
0.724,1,1,0.3
0.725,1,1,0.3
0.726,1,1,0.3
0.727,1,1,0.3
0.728,1,1,0.3
0.729,1,1,0.3
0.73,1,1,0.3
0.731,1,1,0.3
0.732,1,1,0.3
0.733,1,1,0.3
0.734,1,1,0.3
0.735,1,1,0.3
0.736,1,1,0.3
0.737,1,1,0.3
0.738,1,1,0.3
0.739,1,1,0.3
0.74,1,1,0.3
0.741,1,1,0.3
0.742,1,1,0.3
0.743,1,1,0.3
0.744,1,1,0.3
0.745,1,1,0.3
0.746,1,1,0.3
0.747,1,1,0.3
0.748,1,1,0.3
0.749,1,1,0.3
0.75,1,1,0.3
0.751,1,1,0.3
0.752,1,1,0.3
0.753,1,1,0.3
0.754,1,1,0.3
0.755,1,1,0.3
0.756,1,1,0.3
0.757,1,1,0.3
0.758,1,1,0.3
0.759,1,1,0.3
0.76,1,1,0.3
0.761,1,1,0.3
0.762,1,1,0.3
0.763,1,1,0.3
0.764,1,1,0.3
0.765,1,1,0.3
0.766,1,1,0.3
0.767,1,1,0.3
0.768,1,1,0.3
0.769,1,1,0.3
0.77,1,1,0.3
0.771,1,1,0.3
0.772,1,1,0.3
0.773,1,1,0.3
0.774,1,1,0.3
0.775,1,1,0.3
0.776,1,1,0.3
0.777,1,1,0.3
0.778,1,1,0.3
0.779,1,0.9999999999999499,0.3
0.78,1,0.9999999999999499,0.3
0.781,1,0.9999999999999499,0.3
0.782,1,0.9999999999999497,0.3
0.783,1,0.9999999999999497,0.3
0.784,1,0.9999999999999497,0.3
0.785,1,0.9999999999999497,0.3
