time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_VPssPu;
0.100020;0.408709;2.730436;0.132376;5.236725;1.000001;0.000858;
0.100020;0.408708;2.730434;0.132375;5.236708;1.000001;0.000863;
0.100021;0.408708;2.730432;0.132375;5.236691;1.000001;0.000868;
0.100021;0.408707;2.730429;0.132375;5.236674;1.000001;0.000872;
0.100021;0.408706;2.730427;0.132374;5.236657;1.000001;0.000876;
0.100022;0.408706;2.730425;0.132374;5.236639;1.000001;0.000881;
0.100022;0.408705;2.730423;0.132373;5.236622;1.000001;0.000885;
0.100022;0.408704;2.730421;0.132373;5.236605;1.000001;0.000889;
0.100023;0.408704;2.730418;0.132373;5.236588;1.000001;0.000892;
0.100024;0.408702;2.730414;0.132372;5.236553;1.000001;0.000899;
0.100024;0.408701;2.730410;0.132371;5.236522;1.000001;0.000905;
0.100025;0.408700;2.730406;0.132371;5.236491;1.000001;0.000911;
0.100026;0.408699;2.730402;0.132370;5.236460;1.000001;0.000916;
0.100026;0.408697;2.730398;0.132369;5.236429;1.000001;0.000921;
0.100027;0.408696;2.730394;0.132369;5.236398;1.000001;0.000926;
0.100028;0.408695;2.730390;0.132368;5.236367;1.000002;0.000930;
0.100028;0.408694;2.730386;0.132368;5.236337;1.000002;0.000934;
0.100029;0.408693;2.730382;0.132367;5.236306;1.000002;0.000937;
0.100030;0.408691;2.730378;0.132366;5.236275;1.000002;0.000941;
0.100030;0.408690;2.730374;0.132366;5.236244;1.000002;0.000944;
0.100031;0.408689;2.730370;0.132365;5.236213;1.000002;0.000947;
0.100032;0.408688;2.730366;0.132364;5.236182;1.000002;0.000950;
0.100032;0.408686;2.730362;0.132364;5.236151;1.000002;0.000953;
0.100033;0.408685;2.730358;0.132363;5.236120;1.000002;0.000955;
0.100034;0.408684;2.730354;0.132362;5.236089;1.000002;0.000957;
0.100034;0.408683;2.730350;0.132362;5.236058;1.000002;0.000960;
0.100035;0.408682;2.730346;0.132361;5.236027;1.000002;0.000962;
0.100036;0.408680;2.730342;0.132360;5.235996;1.000002;0.000963;
0.100036;0.408679;2.730338;0.132360;5.235965;1.000003;0.000965;
0.100037;0.408678;2.730334;0.132359;5.235934;1.000003;0.000967;
0.100038;0.408677;2.730330;0.132359;5.235903;1.000003;0.000968;
0.100038;0.408676;2.730326;0.132358;5.235872;1.000003;0.000970;
0.100039;0.408674;2.730322;0.132357;5.235841;1.000003;0.000971;
0.100040;0.408673;2.730318;0.132357;5.235810;1.000003;0.000972;
0.100040;0.408672;2.730314;0.132356;5.235779;1.000003;0.000973;
0.100042;0.408670;2.730306;0.132355;5.235717;1.000003;0.000975;
0.100043;0.408667;2.730298;0.132354;5.235662;1.000003;0.000977;
0.100044;0.408665;2.730291;0.132352;5.235606;1.000003;0.000979;
0.100045;0.408663;2.730284;0.132351;5.235550;1.000004;0.000980;
0.100046;0.408661;2.730277;0.132350;5.235494;1.000004;0.000981;
0.100048;0.408659;2.730270;0.132349;5.235439;1.000004;0.000982;
0.100049;0.408656;2.730262;0.132348;5.235383;1.000004;0.000983;
0.100050;0.408654;2.730255;0.132347;5.235327;1.000004;0.000983;
0.100051;0.408652;2.730248;0.132346;5.235272;1.000004;0.000984;
0.100052;0.408650;2.730241;0.132344;5.235216;1.000004;0.000985;
0.100054;0.408648;2.730234;0.132343;5.235160;1.000005;0.000985;
0.100055;0.408646;2.730226;0.132342;5.235105;1.000005;0.000985;
0.100056;0.408643;2.730219;0.132341;5.235049;1.000005;0.000986;
0.100057;0.408641;2.730212;0.132340;5.234993;1.000005;0.000986;
0.100058;0.408639;2.730205;0.132339;5.234937;1.000005;0.000986;
0.100060;0.408637;2.730198;0.132337;5.234882;1.000005;0.000987;
0.100062;0.408632;2.730183;0.132335;5.234770;1.000006;0.000987;
0.100064;0.408628;2.730169;0.132333;5.234659;1.000006;0.000987;
0.100067;0.408624;2.730155;0.132331;5.234548;1.000006;0.000987;
0.100069;0.408619;2.730140;0.132328;5.234436;1.000006;0.000987;
0.100072;0.408615;2.730126;0.132326;5.234325;1.000007;0.000987;
0.100074;0.408611;2.730111;0.132324;5.234214;1.000007;0.000987;
0.100076;0.408606;2.730097;0.132321;5.234102;1.000007;0.000987;
0.100079;0.408602;2.730083;0.132319;5.233991;1.000007;0.000987;
0.100081;0.408598;2.730068;0.132317;5.233880;1.000008;0.000987;
0.100084;0.408593;2.730054;0.132314;5.233768;1.000008;0.000987;
0.100088;0.408584;2.730025;0.132310;5.233546;1.000009;0.000986;
0.100093;0.408576;2.729997;0.132305;5.233323;1.000009;0.000986;
0.100098;0.408567;2.729968;0.132301;5.233101;1.000010;0.000986;
0.100103;0.408558;2.729940;0.132296;5.232878;1.000010;0.000985;
0.100108;0.408550;2.729911;0.132291;5.232656;1.000011;0.000985;
0.100117;0.408532;2.729854;0.132282;5.232211;1.000012;0.000984;
0.100127;0.408515;2.729797;0.132273;5.231766;1.000013;0.000983;
0.100137;0.408497;2.729740;0.132264;5.231321;1.000014;0.000982;
0.100156;0.408462;2.729627;0.132245;5.230433;1.000016;0.000981;
0.100194;0.408393;2.729401;0.132209;5.228657;1.000021;0.000977;
0.100271;0.408254;2.728955;0.132135;5.225113;1.000030;0.000970;
0.100348;0.408115;2.728514;0.132062;5.221576;1.000039;0.000964;
0.100425;0.407977;2.728079;0.131989;5.218047;1.000047;0.000957;
0.100579;0.407701;2.727219;0.131843;5.211007;1.000065;0.000944;
0.100733;0.407425;2.726377;0.131698;5.203995;1.000083;0.000931;
0.101041;0.406877;2.724753;0.131409;5.190059;1.000119;0.000905;
0.101349;0.406333;2.723206;0.131122;5.176240;1.000154;0.000880;
0.101965;0.405256;2.720341;0.130555;5.148948;1.000225;0.000831;
0.102581;0.404195;2.717775;0.129997;5.122110;1.000296;0.000785;
0.103197;0.403148;2.715499;0.129447;5.095718;1.000367;0.000740;
0.103813;0.402116;2.713504;0.128905;5.069764;1.000439;0.000698;
0.104429;0.401098;2.711783;0.128371;5.044239;1.000510;0.000657;
0.105045;0.400095;2.710328;0.127845;5.019135;1.000581;0.000618;
0.105661;0.399105;2.709131;0.127326;4.994443;1.000652;0.000581;
0.106277;0.398130;2.708184;0.126815;4.970157;1.000723;0.000546;
0.106892;0.397167;2.707481;0.126312;4.946268;1.000794;0.000512;
0.107508;0.396219;2.707015;0.125816;4.922768;1.000865;0.000480;
0.108124;0.395283;2.706778;0.125327;4.899650;1.000937;0.000449;
0.108740;0.394360;2.706765;0.124845;4.876908;1.001008;0.000420;
0.109356;0.393450;2.706968;0.124370;4.854533;1.001079;0.000392;
0.109972;0.392553;2.707382;0.123902;4.832519;1.001150;0.000365;
0.110588;0.391668;2.708001;0.123440;4.810859;1.001221;0.000340;
0.111204;0.390795;2.708820;0.122985;4.789547;1.001292;0.000316;
0.111820;0.389934;2.709831;0.122536;4.768575;1.001363;0.000293;
0.112436;0.389085;2.711031;0.122094;4.747939;1.001435;0.000271;
0.113052;0.388248;2.712414;0.121658;4.727630;1.001506;0.000250;
0.113668;0.387422;2.713974;0.121227;4.707644;1.001577;0.000231;
0.114284;0.386607;2.715707;0.120803;4.687974;1.001648;0.000212;
0.114899;0.385804;2.717609;0.120385;4.668614;1.001719;0.000195;
0.115515;0.385011;2.719673;0.119972;4.649559;1.001790;0.000178;
0.116131;0.384230;2.721897;0.119565;4.630803;1.001862;0.000163;
0.116747;0.383458;2.724276;0.119163;4.612341;1.001933;0.000148;
0.117363;0.382698;2.726805;0.118767;4.594167;1.002004;0.000135;
0.117979;0.381947;2.729480;0.118376;4.576276;1.002075;0.000122;
0.118595;0.381207;2.732298;0.117990;4.558662;1.002146;0.000110;
0.119211;0.380477;2.735254;0.117610;4.541322;1.002217;0.000099;
0.119827;0.379757;2.738346;0.117234;4.524249;1.002289;0.000089;
0.120443;0.379046;2.741568;0.116864;4.507439;1.002360;0.000080;
0.121059;0.378345;2.744919;0.116498;4.490887;1.002431;0.000071;
0.121675;0.377653;2.748393;0.116137;4.474589;1.002502;0.000064;
0.122290;0.376970;2.751989;0.115780;4.458539;1.002573;0.000057;
0.122906;0.376297;2.755703;0.115429;4.442735;1.002644;0.000052;
0.123522;0.375633;2.759532;0.115081;4.427170;1.002716;0.000047;
0.124138;0.374977;2.763473;0.114738;4.411841;1.002787;0.000043;
0.124754;0.374331;2.767522;0.114400;4.396744;1.002858;0.000040;
0.125370;0.373692;2.771678;0.114065;4.381874;1.002929;0.000038;
0.125986;0.373063;2.775937;0.113735;4.367228;1.003000;0.000037;
0.126602;0.372441;2.780297;0.113409;4.352801;1.003071;0.000036;
0.127218;0.371828;2.784755;0.113087;4.338590;1.003143;0.000037;
0.127834;0.371223;2.789309;0.112769;4.324591;1.003214;0.000039;
0.129066;0.370037;2.798691;0.112144;4.297211;1.003356;0.000046;
0.130174;0.368995;2.807438;0.111595;4.273256;1.003484;0.000055;
0.131283;0.367978;2.816459;0.111057;4.249932;1.003612;0.000069;
0.132392;0.366985;2.825743;0.110531;4.227219;1.003741;0.000086;
0.133500;0.366015;2.835278;0.110015;4.205098;1.003869;0.000107;
0.134609;0.365068;2.845054;0.109510;4.183552;1.003997;0.000133;
0.135718;0.364142;2.855060;0.109016;4.162563;1.004125;0.000163;
0.136826;0.363238;2.865286;0.108531;4.142114;1.004253;0.000199;
0.137935;0.362354;2.875723;0.108056;4.122188;1.004381;0.000239;
0.139043;0.361491;2.886363;0.107590;4.102771;1.004509;0.000285;
0.140152;0.360647;2.897198;0.107133;4.083845;1.004637;0.000336;
0.141261;0.359823;2.908218;0.106684;4.065398;1.004765;0.000393;
0.142369;0.359017;2.919417;0.106244;4.047413;1.004893;0.000457;
0.143478;0.358230;2.930788;0.105812;4.029879;1.005021;0.000528;
0.144587;0.357460;2.942324;0.105388;4.012781;1.005150;0.000605;
0.145695;0.356708;2.954019;0.104971;3.996106;1.005278;0.000690;
0.146804;0.355972;2.965867;0.104562;3.979843;1.005406;0.000783;
0.147913;0.355253;2.977861;0.104160;3.963978;1.005534;0.000883;
0.149021;0.354550;2.989997;0.103764;3.948502;1.005662;0.000993;
0.150130;0.353862;3.002270;0.103375;3.933401;1.005790;0.001111;
0.151239;0.353189;3.014673;0.102993;3.918666;1.005918;0.001238;
0.152347;0.352531;3.027204;0.102616;3.904286;1.006046;0.001374;
0.153456;0.351888;3.039858;0.102246;3.890251;1.006174;0.001521;
0.154565;0.351259;3.052629;0.101881;3.876551;1.006302;0.001678;
0.155673;0.350643;3.065516;0.101521;3.863177;1.006430;0.001846;
0.156782;0.350040;3.078512;0.101167;3.850119;1.006558;0.002024;
0.157891;0.349451;3.091617;0.100818;3.837368;1.006686;0.002214;
0.158999;0.348874;3.104824;0.100474;3.824917;1.006814;0.002416;
0.160108;0.348310;3.118133;0.100135;3.812756;1.006942;0.002630;
0.161217;0.347757;3.131539;0.099800;3.800878;1.007070;0.002857;
0.162325;0.347217;3.145041;0.099469;3.789275;1.007198;0.003096;
0.163434;0.346687;3.158634;0.099143;3.777939;1.007326;0.003349;
0.164543;0.346169;3.172317;0.098821;3.766864;1.007454;0.003615;
0.165651;0.345662;3.186087;0.098503;3.756041;1.007582;0.003895;
0.166760;0.345165;3.199942;0.098188;3.745465;1.007710;0.004189;
0.167868;0.344679;3.213880;0.097877;3.735129;1.007838;0.004498;
0.168977;0.344203;3.227898;0.097570;3.725025;1.007966;0.004821;
0.171194;0.343280;3.256166;0.096965;3.705488;1.008221;0.005515;
0.173190;0.342481;3.281866;0.096430;3.688643;1.008452;0.006193;
0.175186;0.341712;3.307801;0.095905;3.672464;1.008682;0.006924;
0.177181;0.340970;3.333962;0.095388;3.656919;1.008912;0.007710;
0.179177;0.340255;3.360343;0.094879;3.641980;1.009142;0.008551;
0.181172;0.339566;3.386937;0.094377;3.627621;1.009372;0.009449;
0.183168;0.338901;3.413738;0.093881;3.613816;1.009602;0.010407;
0.185164;0.338260;3.440741;0.093392;3.600541;1.009832;0.011423;
0.187159;0.337641;3.467942;0.092907;3.587772;1.010062;0.012501;
0.189155;0.337044;3.495335;0.092427;3.575487;1.010292;0.013640;
0.191150;0.336469;3.522919;0.091951;3.563667;1.010522;0.014843;
0.193146;0.335913;3.550689;0.091479;3.552292;1.010752;0.016108;
0.195141;0.335376;3.578643;0.091010;3.541343;1.010982;0.017438;
0.197137;0.334858;3.606779;0.090544;3.530803;1.011212;0.018833;
0.199133;0.334358;3.635095;0.090080;3.520656;1.011442;0.020292;
0.200000;0.334146;3.647457;0.089879;3.516363;1.011542;0.020947;
0.200000;0.846816;4.033724;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033721;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033721;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033722;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033722;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033722;5.462471;-0.069176;1.011542;0.020947;
0.200000;0.846816;4.033722;5.462471;-0.069175;1.011542;0.020947;
0.200000;0.846816;4.033722;5.462471;-0.069175;1.011542;0.020946;
0.200000;0.846816;4.033722;5.462472;-0.069175;1.011542;0.020945;
0.200000;0.846816;4.033722;5.462472;-0.069175;1.011542;0.020943;
0.200000;0.846816;4.033723;5.462473;-0.069174;1.011542;0.020939;
0.200000;0.846816;4.033724;5.462475;-0.069172;1.011542;0.020932;
0.200000;0.846816;4.033726;5.462480;-0.069169;1.011542;0.020916;
0.200000;0.846816;4.033731;5.462488;-0.069162;1.011542;0.020886;
0.200001;0.846817;4.033736;5.462497;-0.069155;1.011542;0.020857;
0.200001;0.846817;4.033741;5.462505;-0.069148;1.011542;0.020829;
0.200001;0.846818;4.033746;5.462514;-0.069141;1.011542;0.020801;
0.200001;0.846818;4.033751;5.462523;-0.069134;1.011542;0.020775;
0.200002;0.846819;4.033756;5.462531;-0.069127;1.011542;0.020748;
0.200002;0.846819;4.033761;5.462540;-0.069120;1.011542;0.020723;
0.200002;0.846819;4.033766;5.462548;-0.069113;1.011542;0.020698;
0.200003;0.846820;4.033771;5.462557;-0.069106;1.011542;0.020674;
0.200003;0.846820;4.033776;5.462566;-0.069099;1.011542;0.020651;
0.200003;0.846821;4.033781;5.462574;-0.069092;1.011542;0.020628;
0.200003;0.846821;4.033785;5.462583;-0.069085;1.011542;0.020606;
0.200004;0.846821;4.033790;5.462591;-0.069078;1.011542;0.020584;
0.200004;0.846822;4.033795;5.462600;-0.069071;1.011542;0.020563;
0.200004;0.846822;4.033800;5.462608;-0.069064;1.011542;0.020543;
0.200004;0.846823;4.033805;5.462617;-0.069057;1.011542;0.020523;
0.200005;0.846823;4.033810;5.462626;-0.069050;1.011542;0.020504;
0.200005;0.846823;4.033815;5.462634;-0.069043;1.011542;0.020485;
0.200005;0.846824;4.033820;5.462643;-0.069036;1.011542;0.020467;
0.200005;0.846824;4.033825;5.462651;-0.069029;1.011542;0.020449;
0.200006;0.846825;4.033830;5.462660;-0.069022;1.011542;0.020431;
0.200006;0.846825;4.033835;5.462669;-0.069015;1.011542;0.020415;
0.200006;0.846825;4.033840;5.462677;-0.069008;1.011542;0.020398;
0.200007;0.846826;4.033845;5.462686;-0.069001;1.011542;0.020382;
0.200007;0.846826;4.033849;5.462694;-0.068994;1.011542;0.020367;
0.200007;0.846827;4.033854;5.462703;-0.068987;1.011542;0.020352;
0.200007;0.846827;4.033859;5.462711;-0.068980;1.011542;0.020337;
0.200008;0.846827;4.033864;5.462720;-0.068973;1.011542;0.020323;
0.200008;0.846828;4.033869;5.462729;-0.068966;1.011542;0.020309;
0.200008;0.846828;4.033874;5.462737;-0.068959;1.011542;0.020295;
0.200008;0.846829;4.033879;5.462746;-0.068952;1.011542;0.020282;
0.200009;0.846829;4.033884;5.462754;-0.068945;1.011542;0.020269;
0.200009;0.846829;4.033889;5.462763;-0.068938;1.011542;0.020257;
0.200009;0.846830;4.033894;5.462772;-0.068931;1.011542;0.020245;
0.200010;0.846830;4.033899;5.462780;-0.068924;1.011542;0.020233;
0.200010;0.846831;4.033904;5.462789;-0.068917;1.011542;0.020221;
0.200010;0.846831;4.033908;5.462797;-0.068910;1.011542;0.020210;
0.200010;0.846831;4.033913;5.462806;-0.068903;1.011542;0.020199;
0.200011;0.846832;4.033918;5.462814;-0.068896;1.011542;0.020189;
0.200011;0.846832;4.033923;5.462823;-0.068889;1.011542;0.020178;
0.200011;0.846833;4.033928;5.462832;-0.068882;1.011542;0.020168;
0.200011;0.846833;4.033933;5.462840;-0.068875;1.011542;0.020159;
0.200012;0.846834;4.033938;5.462849;-0.068868;1.011542;0.020149;
0.200012;0.846834;4.033943;5.462857;-0.068861;1.011542;0.020140;
0.200012;0.846834;4.033948;5.462866;-0.068854;1.011542;0.020131;
0.200013;0.846835;4.033953;5.462874;-0.068847;1.011542;0.020122;
0.200013;0.846835;4.033958;5.462883;-0.068840;1.011542;0.020114;
0.200013;0.846836;4.033963;5.462892;-0.068833;1.011542;0.020106;
0.200013;0.846836;4.033968;5.462900;-0.068826;1.011542;0.020098;
0.200014;0.846836;4.033972;5.462909;-0.068819;1.011542;0.020090;
