2019-08-05 22:50:22 | DEBUG |  ============================================================ 
2019-08-05 22:50:22 | DEBUG | DYNAWO VERSION  :     1.0.1
2019-08-05 22:50:22 | DEBUG | DYNAWO REVISION :  384_ModeFromModelica-093a76f
2019-08-05 22:50:22 | DEBUG |  ============================================================ 
2019-08-05 22:51:18 | DEBUG | connecting OpenLine_event_state1 with Network_line2_switchOffSignal2
2019-08-05 22:51:18 | DEBUG | connecting Network_tfo_terminal2 with SM_gen_terminal
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_cePu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PePu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_cmPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_PmPu found.( gen_PmPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_ufPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_efdPu found.( gen_efdPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_omegaPu found.( gen_omegaPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_theta found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PGenPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_QGenPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_PGen found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_QGen found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; curve: gen_UPu found. (exact name)
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_IStatorPu found.( gen_IStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_IRotorPu found.( gen_IRotorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_UStatorPu found.( gen_UStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_QStatorPu found.( gen_QStatorPu_value )
2019-08-05 22:51:18 | INFO | adding curve : Id: SM; output: gen_thetaInternal found.( gen_thetaInternal_value )
2019-08-05 22:51:18 | DEBUG | call of SolverReInit ie a new symbolic and numerical factorization will be performed
2019-08-05 22:51:18 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:18 | DEBUG | number of continuous variables : 90 (display limited to 4 variables)
2019-08-05 22:51:18 | DEBUG | number of discrete variables : 18
2019-08-05 22:51:18 | DEBUG | -----------------------------------------------------------------------
2019-08-05 22:51:18 | DEBUG |     t              y1            y2            y3            y4      | nst k      h
2019-08-05 22:51:18 | DEBUG |        1.001  2.853088e-01  3.263534e-01  0.000000e+00  9.008100e-01 |   1 1 1.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853088e-01  3.263494e-01  0.000000e+00  9.008100e-01 |   2 1 1.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853088e-01  3.263413e-01  0.000000e+00  9.008100e-01 |   3 2 2.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853089e-01  3.263252e-01  0.000000e+00  9.008100e-01 |   4 2 4.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853089e-01  3.262928e-01  0.000000e+00  9.008100e-01 |   5 2 8.000000e-06 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853090e-01  3.262282e-01  0.000000e+00  9.008100e-01 |   6 2 1.600000e-05 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853092e-01  3.260991e-01  0.000000e+00  9.008100e-01 |   7 2 3.200000e-05 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853098e-01  3.258411e-01  0.000000e+00  9.008100e-01 |   8 2 6.400000e-05 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853113e-01  3.253265e-01  0.000000e+00  9.008100e-01 |   9 2 1.280000e-04 
2019-08-05 22:51:18 | DEBUG |        1.001  2.853159e-01  3.243026e-01  0.000000e+00  9.008100e-01 |  10 2 2.560000e-04 
2019-08-05 22:51:18 | DEBUG |        1.002  2.853312e-01  3.222752e-01  0.000000e+00  9.008100e-01 |  11 2 5.120000e-04 
2019-08-05 22:51:18 | DEBUG |        1.003  2.853860e-01  3.183007e-01  0.000000e+00  9.008100e-01 |  12 2 1.024000e-03 
2019-08-05 22:51:18 | DEBUG |        1.005  2.855853e-01  3.106578e-01  0.000000e+00  9.008100e-01 |  13 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.007  2.858960e-01  3.034043e-01  0.000000e+00  9.008100e-01 |  14 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.009  2.863076e-01  2.965149e-01  0.000000e+00  9.008100e-01 |  15 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.011  2.868105e-01  2.899648e-01  0.000000e+00  9.008100e-01 |  16 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.013  2.873959e-01  2.837303e-01  0.000000e+00  9.008100e-01 |  17 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.015  2.880559e-01  2.777891e-01  0.000000e+00  9.008100e-01 |  18 2 2.048000e-03 
2019-08-05 22:51:18 | DEBUG |        1.017  2.887832e-01  2.721201e-01  0.000000e+00  9.008100e-01 |  19 2 2.048000e-03 
