time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
1.015528;6.244395;19.566145;1.001084;-0.000000;2.584130;0.784501;0.132071;0.000000;0.892857;
1.015554;6.244867;19.562568;1.001086;0.000000;2.583185;0.784510;0.132047;0.000000;0.892857;
1.015607;6.245809;19.555420;1.001089;0.000000;2.581298;0.784528;0.131999;0.000000;0.892857;
1.015712;6.247687;19.541157;1.001097;0.000000;2.577534;0.784564;0.131903;0.000000;0.892857;
1.015817;6.249555;19.526936;1.001104;-0.000000;2.573783;0.784601;0.131807;0.000000;0.892857;
1.015922;6.251414;19.512756;1.001111;-0.000000;2.570047;0.784638;0.131711;0.000000;0.892857;
1.016028;6.253263;19.498617;1.001119;0.000000;2.566323;0.784674;0.131616;0.000000;0.892857;
1.016133;6.255103;19.484520;1.001126;0.000000;2.562614;0.784712;0.131521;0.000000;0.892857;
1.016238;6.256933;19.470464;1.001133;0.000000;2.558918;0.784749;0.131426;0.000000;0.892857;
1.016344;6.258754;19.456449;1.001141;0.000000;2.555235;0.784786;0.131331;0.000000;0.892857;
1.016449;6.260566;19.442474;1.001148;0.000000;2.551566;0.784824;0.131237;0.000000;0.892857;
1.016554;6.262368;19.428541;1.001155;0.000000;2.547910;0.784862;0.131143;0.000000;0.892857;
1.016765;6.265944;19.400795;1.001170;0.000000;2.540638;0.784939;0.130955;0.000000;0.892857;
1.016954;6.269132;19.375962;1.001183;0.000000;2.534138;0.785009;0.130788;0.000000;0.892857;
1.017144;6.272289;19.351259;1.001196;-0.000000;2.527681;0.785080;0.130621;0.000000;0.892857;
1.017333;6.275417;19.326685;1.001210;-0.000000;2.521265;0.785152;0.130455;0.000000;0.892857;
1.017523;6.278516;19.302239;1.001223;0.000000;2.514891;0.785224;0.130290;0.000000;0.892857;
1.017712;6.281585;19.277921;1.001236;0.000000;2.508558;0.785297;0.130126;0.000000;0.892857;
1.017902;6.284626;19.253730;1.001249;-0.000000;2.502266;0.785371;0.129963;0.000000;0.892857;
1.018091;6.287637;19.229665;1.001263;-0.000000;2.496015;0.785446;0.129800;0.000000;0.892857;
1.018281;6.290620;19.205725;1.001276;0.000000;2.489804;0.785522;0.129639;0.000000;0.892857;
1.018470;6.293575;19.181909;1.001289;-0.000000;2.483633;0.785598;0.129478;0.000000;0.892857;
1.018849;6.299399;19.134648;1.001315;0.000000;2.471410;0.785753;0.129159;0.000000;0.892857;
1.019228;6.305111;19.087876;1.001342;0.000000;2.459342;0.785911;0.128843;0.000000;0.892857;
1.019607;6.310713;19.041587;1.001368;-0.000000;2.447429;0.786073;0.128531;0.000000;0.892857;
1.019986;6.316206;18.995776;1.001395;0.000000;2.435667;0.786237;0.128221;0.000000;0.892857;
1.020406;6.322169;18.945544;1.001424;0.000000;2.422802;0.786423;0.127882;0.000000;0.892857;
1.020827;6.328001;18.895883;1.001453;-0.000000;2.410117;0.786613;0.127547;0.000000;0.892857;
1.021247;6.333704;18.846787;1.001483;-0.000000;2.397609;0.786807;0.127216;0.000000;0.892857;
1.021625;6.338728;18.803078;1.001509;0.000000;2.386501;0.786985;0.126921;0.000000;0.892857;
1.021965;6.343162;18.764120;1.001533;-0.000000;2.376622;0.787147;0.126658;0.000000;0.892857;
1.022272;6.347083;18.729364;1.001554;-0.000000;2.367826;0.787296;0.126423;0.000000;0.892857;
1.022547;6.350556;18.698329;1.001573;-0.000000;2.359986;0.787431;0.126214;0.000000;0.892857;
1.022795;6.353637;18.670593;1.001591;-0.000000;2.352990;0.787554;0.126027;0.000000;0.892857;
1.023019;6.356373;18.645790;1.001606;0.000000;2.346742;0.787667;0.125859;0.000000;0.892857;
1.023220;6.358807;18.623594;1.001620;-0.000000;2.341158;0.787768;0.125709;0.000000;0.892857;
1.023400;6.360974;18.603719;1.001633;-0.000000;2.336164;0.787861;0.125575;0.000000;0.892857;
1.023512;6.362301;18.591494;1.001641;-0.000000;2.333095;0.787918;0.125493;0.000000;0.892857;
1.023624;6.363620;18.579306;1.001648;0.000000;2.330037;0.787976;0.125410;0.000000;0.892857;
1.023724;6.364800;18.568368;1.001655;-0.000000;2.327294;0.788028;0.125336;0.000000;0.892857;
1.023825;6.365974;18.557459;1.001662;-0.000000;2.324560;0.788080;0.125263;0.000000;0.892857;
1.023925;6.367140;18.546579;1.001669;0.000000;2.321835;0.788133;0.125189;0.000000;0.892857;
1.024026;6.368300;18.535729;1.001676;-0.000000;2.319119;0.788186;0.125116;0.000000;0.892857;
1.024126;6.369453;18.524907;1.001683;-0.000000;2.316412;0.788239;0.125043;0.000000;0.892857;
1.024227;6.370600;18.514115;1.001690;0.000000;2.313714;0.788292;0.124970;0.000000;0.892857;
1.024428;6.372873;18.492618;1.001704;-0.000000;2.308344;0.788399;0.124825;0.000000;0.892857;
1.024609;6.374896;18.473368;1.001717;0.000000;2.303541;0.788497;0.124695;0.000000;0.892857;
1.024790;6.376899;18.454211;1.001730;0.000000;2.298766;0.788595;0.124566;0.000000;0.892857;
1.024971;6.378880;18.435146;1.001742;-0.000000;2.294019;0.788693;0.124437;0.000000;0.892857;
1.025152;6.380840;18.416173;1.001755;-0.000000;2.289299;0.788793;0.124309;0.000000;0.892857;
1.025333;6.382780;18.397291;1.001767;-0.000000;2.284607;0.788893;0.124182;0.000000;0.892857;
1.025514;6.384699;18.378500;1.001780;0.000000;2.279942;0.788994;0.124055;0.000000;0.892857;
1.025694;6.386597;18.359798;1.001793;0.000000;2.275305;0.789095;0.123929;0.000000;0.892857;
1.025875;6.388476;18.341186;1.001805;-0.000000;2.270694;0.789197;0.123803;0.000000;0.892857;
1.026056;6.390333;18.322663;1.001818;0.000000;2.266110;0.789300;0.123678;0.000000;0.892857;
1.026237;6.392171;18.304228;1.001830;-0.000000;2.261552;0.789404;0.123554;0.000000;0.892857;
1.026418;6.393988;18.285881;1.001843;-0.000000;2.257021;0.789508;0.123430;0.000000;0.892857;
1.026599;6.395786;18.267622;1.001856;-0.000000;2.252516;0.789614;0.123306;0.000000;0.892857;
1.026780;6.397563;18.249449;1.001868;0.000000;2.248036;0.789719;0.123184;0.000000;0.892857;
1.027142;6.401060;18.213362;1.001894;-0.000000;2.239154;0.789933;0.122940;0.000000;0.892857;
1.027468;6.404140;18.181176;1.001916;-0.000000;2.231247;0.790128;0.122723;0.000000;0.892857;
