time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Transformer_i1_value;NETWORK_Transformer_i2_value;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_Transformer_iS1ToS2Side1_value;NETWORK_Transformer_iS2ToS1Side1_value;NETWORK_Transformer_iS1ToS2Side2_value;NETWORK_Transformer_iS2ToS1Side2_value;NETWORK_Transformer_iSide1_value;NETWORK_Transformer_iSide2_value;NETWORK_VL1_BUS1_U;NETWORK_VL1_BUS1_phi;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
1.1000000000;0.9999855493;9.0849134404;1.5087908731;0.0908491344;0.0150879087;0.0900000000;0.0100000000;0.0920939484;0.0920948171;-0.0900000220;0.0908491344;-0.0100000024;0.0150879087;-5317.0465904403;5317.0465904403;-5317.0967439781;5317.0967439781;5317.0465904403;5317.0967439781;0.9832771329;-3.2693153144;0.9999855493;-0.1794110510;
1.2000000000;0.9999851047;9.0849139248;1.5087914355;0.0908491392;0.0150879144;0.0900000000;0.0100000000;0.0920939951;0.0920948637;-0.0900000260;0.0908491392;-0.0100000028;0.0150879144;-5317.0492837427;5317.0492837427;-5317.0994372573;5317.0994372573;5317.0492837427;5317.0994372573;0.9832766784;-3.3001201325;0.9999851047;-0.2102129275;
1.3000000000;0.9999849499;9.0849143899;1.5087916988;0.0908491439;0.0150879170;0.0900000000;0.0100000000;0.0920940143;0.0920948830;-0.0900000303;0.0908491439;-0.0100000033;0.0150879170;-5317.0503967737;5317.0503967737;-5317.1005502802;5317.1005502802;5317.0503967737;5317.1005502802;0.9832765195;-3.3333728505;0.9999849499;-0.2434645195;
1.4000000000;0.9999850394;9.0849148432;1.5087917108;0.0908491484;0.0150879171;0.0900000000;0.0100000000;0.0920940106;0.0920948793;-0.0900000349;0.0908491484;-0.0100000039;0.0150879171;-5317.0501799335;5317.0501799335;-5317.1003334446;5317.1003334446;5317.0501799335;5317.1003334446;0.9832766099;-3.3690619940;0.9999850394;-0.2791540663;
1.5000000000;0.9999853319;9.0849152916;1.5087915150;0.0908491529;0.0150879151;0.0900000000;0.0100000000;0.0920939877;0.0920948564;-0.0900000398;0.0908491529;-0.0100000044;0.0150879151;-5317.0488616415;5317.0488616415;-5317.0990151677;5317.0990151677;5317.0488616415;5317.0990151677;0.9832769073;-3.4071758118;0.9999853319;-0.3172695558;
1.6000000000;0.9999857897;9.0849157411;1.5087911510;0.0908491574;0.0150879115;0.0900000000;0.0100000000;0.0920939494;0.0920948181;-0.0900000450;0.0908491574;-0.0100000050;0.0150879115;-5317.0466487633;5317.0466487633;-5317.0968023133;5317.0968023133;5317.0466487633;5317.0968023133;0.9832773733;-3.4477022917;0.9999857897;-0.3577987391;
1.7000000000;0.9999863792;9.0849161970;1.5087906543;0.0908491620;0.0150879065;0.0900000000;0.0100000000;0.0920938988;0.0920947675;-0.0900000505;0.0908491620;-0.0100000057;0.0150879065;-5317.0437271769;5317.0437271769;-5317.0938807575;5317.0938807575;5317.0437271769;5317.0938807575;0.9832779736;-3.4906291757;0.9999863792;-0.4007291458;
1.8000000000;0.9999870702;9.0849166641;1.5087900564;0.0908491666;0.0150879006;0.0900000000;0.0100000000;0.0920938388;0.0920947075;-0.0900000563;0.0908491666;-0.0100000063;0.0150879006;-5317.0402625085;5317.0402625085;-5317.0904161250;5317.0904161250;5317.0402625085;5317.0904161250;0.9832786775;-3.5359439773;0.9999870702;-0.4460481001;
1.9000000000;0.9999878362;9.0849171466;1.5087893854;0.0908491715;0.0150878939;0.0900000000;0.0100000000;0.0920937719;0.0920946406;-0.0900000623;0.0908491715;-0.0100000070;0.0150878939;-5317.0364010281;5317.0364010281;-5317.0865546844;5317.0865546844;5317.0364010281;5317.0865546844;0.9832794577;-3.5836340005;0.9999878362;-0.4937427386;
2.0000000000;0.9999886539;9.0849176480;1.5087886656;0.0908491765;0.0150878867;0.0900000000;0.0100000000;0.0920937004;0.0920945691;-0.0900000687;0.0908491765;-0.0100000077;0.0150878867;-5317.0322706771;5317.0322706771;-5317.0824243759;5317.0824243759;5317.0322706771;5317.0824243759;0.9832802907;-3.6336863589;0.9999886539;-0.5438000287;
2.1000000000;0.9999895031;9.0849181712;1.5087879181;0.0908491817;0.0150878792;0.0900000000;0.0100000000;0.0920936261;0.0920944948;-0.0900000753;0.0908491817;-0.0100000084;0.0150878792;-5317.0279821967;5317.0279821967;-5317.0781359396;5317.0781359396;5317.0279821967;5317.0781359396;0.9832811559;-3.6860879967;0.9999895031;-0.5962067878;
2.2000000000;0.9999903668;9.0849187187;1.5087871611;0.0908491872;0.0150878716;0.0900000000;0.0100000000;0.0920935507;0.0920944194;-0.0900000821;0.0908491872;-0.0100000092;0.0150878716;-5317.0236303253;5317.0236303253;-5317.0737841131;5317.0737841131;5317.0236303253;5317.0737841131;0.9832820357;-3.7408257095;0.9999903668;-0.6509497031;
2.3000000000;0.9999912302;9.0849192925;1.5087864099;0.0908491929;0.0150878641;0.0900000000;0.0100000000;0.0920934756;0.0920943443;-0.0900000893;0.0908491929;-0.0100000100;0.0150878641;-5317.0192950376;5317.0192950376;-5317.0694488703;5317.0694488703;5317.0192950376;5317.0694488703;0.9832829152;-3.7978861648;0.9999912302;-0.7080153506;
2.4000000000;0.9999920813;9.0849198943;1.5087856769;0.0908491989;0.0150878568;0.0900000000;0.0100000000;0.0920934020;0.0920942707;-0.0900000966;0.0908491989;-0.0100000108;0.0150878568;-5317.0150427993;5317.0150427993;-5317.0651966762;5317.0651966762;5317.0150427993;5317.0651966762;0.9832837821;-3.8572559231;0.9999920813;-0.7673902147;
2.5000000000;0.9999929103;9.0849205251;1.5087849727;0.0908492053;0.0150878497;0.0900000000;0.0100000000;0.0920933307;0.0920941994;-0.0900001042;0.0908492053;-0.0100000116;0.0150878497;-5317.0109278160;5317.0109278160;-5317.0610817360;5317.0610817360;5317.0109278160;5317.0610817360;0.9832846263;-3.9189214575;0.9999929103;-0.8290607065;
2.6000000000;0.9999937092;9.0849211858;1.5087843055;0.0908492119;0.0150878431;0.0900000000;0.0100000000;0.0920932626;0.0920941313;-0.0900001121;0.0908492119;-0.0100000125;0.0150878431;-5317.0069932592;5317.0069932592;-5317.0571472207;5317.0571472207;5317.0069932592;5317.0571472207;0.9832854398;-3.9828691733;0.9999937092;-0.8930131816;
2.7000000000;0.9999944719;9.0849218769;1.5087836815;0.0908492188;0.0150878368;0.0900000000;0.0100000000;0.0920931981;0.0920940668;-0.0900001202;0.0908492188;-0.0100000134;0.0150878368;-5317.0032724543;5317.0032724543;-5317.0534264553;5317.0534264553;5317.0032724543;5317.0534264553;0.9832862163;-4.0490854255;0.9999944719;-0.9592339570;
2.8000000000;0.9999951939;9.0849225988;1.5087831055;0.0908492260;0.0150878311;0.0900000000;0.0100000000;0.0920931378;0.0920940065;-0.0900001285;0.0908492260;-0.0100000143;0.0150878311;-5316.9997900188;5316.9997900188;-5317.0499440574;5317.0499440574;5316.9997900188;5317.0499440574;0.9832869513;-4.1175565369;0.9999951939;-1.0277093270;
2.9000000000;0.9999958721;9.0849233514;1.5087825806;0.0908492335;0.0150878258;0.0900000000;0.0100000000;0.0920930819;0.0920939506;-0.0900001371;0.0908492335;-0.0100000152;0.0150878258;-5316.9965629425;5316.9965629425;-5317.0467170163;5317.0467170163;5316.9965629425;5317.0467170163;0.9832876415;-4.1882688135;0.9999958721;-1.0984255780;
3.0000000000;0.9999965045;9.0849241345;1.5087821089;0.0908492413;0.0150878211;0.0900000000;0.0100000000;0.0920930306;0.0920938993;-0.0900001459;0.0908492413;-0.0100000162;0.0150878211;-5316.9936016021;5316.9936016021;-5317.0437557088;5317.0437557088;5316.9936016021;5317.0437557088;0.9832882850;-4.2612085592;0.9999965045;-1.1713690021;
3.1000000000;0.9999970903;9.0849249479;1.5087816911;0.0908492495;0.0150878169;0.0900000000;0.0100000000;0.0920929840;0.0920938527;-0.0900001549;0.0908492495;-0.0100000171;0.0150878169;-5316.9909107070;5316.9909107070;-5317.0410648440;5317.0410648440;5316.9909107070;5317.0410648440;0.9832888809;-4.3363620900;0.9999970903;-1.2465259096;
3.2000000000;0.9999976294;9.0849257910;1.5087813273;0.0908492579;0.0150878133;0.0900000000;0.0100000000;0.0920929421;0.0920938108;-0.0900001641;0.0908492579;-0.0100000181;0.0150878133;-5316.9884901720;5316.9884901720;-5317.0386443371;5317.0386443371;5316.9884901720;5317.0386443371;0.9832894290;-4.4137157457;0.9999976294;-1.3238826403;
3.3000000000;0.9999981224;9.0849266631;1.5087810166;0.0908492666;0.0150878102;0.0900000000;0.0100000000;0.0920929048;0.0920937735;-0.0900001735;0.0908492666;-0.0100000192;0.0150878102;-5316.9863359177;5316.9863359177;-5317.0364901084;5317.0364901084;5316.9863359177;5317.0364901084;0.9832899301;-4.4932559011;0.9999981224;-1.4034255734;
3.4000000000;0.9999975530;9.0849090841;1.5087777040;0.0908490908;0.0150877770;0.0900000000;0.0100000000;0.0920927784;0.0920936471;-0.0900000000;0.0908490908;-0.0100000000;0.0150877770;-5316.9790382881;5316.9790382881;-5317.0291924508;5317.0291924508;5316.9790382881;5317.0291924508;0.9832893847;-4.5749690429;0.9999975530;-1.4851412000;
3.5000000000;0.9999979038;9.0849090224;1.5087773334;0.0908490902;0.0150877733;0.0900000000;0.0100000000;0.0920927448;0.0920936135;-0.0900000000;0.0908490902;-0.0100000000;0.0150877733;-5316.9771026805;5316.9771026805;-5317.0272568615;5317.0272568615;5316.9771026805;5317.0272568615;0.9832897427;-4.6588414930;0.9999979038;-1.5690158611;
3.6000000000;0.9999982128;9.0849089681;1.5087770071;0.0908490897;0.0150877701;0.0900000000;0.0100000000;0.0920927153;0.0920935840;-0.0900000000;0.0908490897;-0.0100000000;0.0150877701;-5316.9753979880;5316.9753979880;-5317.0255521851;5317.0255521851;5316.9753979880;5317.0255521851;0.9832900579;-4.7448598682;0.9999982128;-1.6550361834;
3.7000000000;0.9999984823;9.0849089207;1.5087767224;0.0908490892;0.0150877672;0.0900000000;0.0100000000;0.0920926896;0.0920935583;-0.0900000000;0.0908490892;-0.0100000000;0.0150877672;-5316.9739111426;5316.9739111426;-5317.0240653537;5317.0240653537;5316.9739111426;5317.0240653537;0.9832903329;-4.8330107694;0.9999984823;-1.7431887830;
3.8000000000;0.9999987149;9.0849088798;1.5087764767;0.0908490888;0.0150877648;0.0900000000;0.0100000000;0.0920926673;0.0920935360;-0.0900000000;0.0908490888;-0.0100000000;0.0150877648;-5316.9726278032;5316.9726278032;-5317.0227820264;5317.0227820264;5316.9726278032;5317.0227820264;0.9832905702;-4.9232808721;0.9999987149;-1.8334603516;
3.9000000000;0.9999989134;9.0849088449;1.5087762671;0.0908490884;0.0150877627;0.0900000000;0.0100000000;0.0920926484;0.0920935171;-0.0900000000;0.0908490884;-0.0100000000;0.0150877627;-5316.9715329072;5316.9715329072;-5317.0216871407;5317.0216871407;5316.9715329072;5317.0216871407;0.9832907727;-5.0156569298;0.9999989134;-1.9258376599;
4.0000000000;0.9999990805;9.0849088155;1.5087760906;0.0908490882;0.0150877609;0.0900000000;0.0100000000;0.0920926324;0.0920935011;-0.0900000000;0.0908490882;-0.0100000000;0.0150877609;-5316.9706110499;5316.9706110499;-5317.0207652921;5317.0207652921;5316.9706110499;5317.0207652921;0.9832909432;-5.1101257777;0.9999990805;-2.0203075609;
4.1000000000;0.9999992190;9.0849087912;1.5087759443;0.0908490879;0.0150877594;0.0900000000;0.0100000000;0.0920926192;0.0920934879;-0.0900000000;0.0908490879;-0.0100000000;0.0150877594;-5316.9698467825;5316.9698467825;-5317.0200010319;5317.0200010319;5316.9698467825;5317.0200010319;0.9832910845;-5.2066743363;0.9999992190;-2.1168569924;
4.2000000000;0.9999993317;9.0849087714;1.5087758252;0.0908490877;0.0150877583;0.0900000000;0.0100000000;0.0920926084;0.0920934771;-0.0900000000;0.0908490877;-0.0100000000;0.0150877583;-5316.9692248562;5316.9692248562;-5317.0193791115;5317.0193791115;5316.9692248562;5317.0193791115;0.9832911996;-5.3052896130;0.9999993317;-2.2154729795;
4.3000000000;0.9999994213;9.0849087556;1.5087757306;0.0908490876;0.0150877573;0.0900000000;0.0100000000;0.0920925998;0.0920934685;-0.0900000000;0.0908490876;-0.0100000000;0.0150877573;-5316.9687304193;5316.9687304193;-5317.0188846793;5317.0188846793;5316.9687304193;5317.0188846793;0.9832912910;-5.4059587046;0.9999994213;-2.3161426360;
4.4000000000;0.9999994904;9.0849087435;1.5087756576;0.0908490874;0.0150877566;0.0900000000;0.0100000000;0.0920925932;0.0920934619;-0.0900000000;0.0908490874;-0.0100000000;0.0150877566;-5316.9683491759;5316.9683491759;-5317.0185034394;5317.0185034394;5316.9683491759;5317.0185034394;0.9832913615;-5.5086687984;0.9999994904;-2.4188531652;
4.5000000000;0.9999995415;9.0849087345;1.5087756037;0.0908490873;0.0150877560;0.0900000000;0.0100000000;0.0920925884;0.0920934570;-0.0900000000;0.0908490873;-0.0100000000;0.0150877560;-5316.9680675091;5316.9680675091;-5317.0182217753;5317.0182217753;5316.9680675091;5317.0182217753;0.9832914136;-5.6134071727;0.9999995415;-2.5235918612;
4.6000000000;0.9999995768;9.0849087283;1.5087755663;0.0908490873;0.0150877557;0.0900000000;0.0100000000;0.0920925850;0.0920934537;-0.0900000000;0.0908490873;-0.0100000000;0.0150877557;-5316.9678725735;5316.9678725735;-5317.0180268416;5317.0180268416;5316.9678725735;5317.0180268416;0.9832914496;-5.7201611973;0.9999995768;-2.6303461085;
4.7000000000;0.9999995986;9.0849087244;1.5087755433;0.0908490872;0.0150877554;0.0900000000;0.0100000000;0.0920925829;0.0920934516;-0.0900000000;0.0908490872;-0.0100000000;0.0150877554;-5316.9677523605;5316.9677523605;-5317.0179066297;5317.0179066297;5316.9677523605;5317.0179066297;0.9832914719;-5.8289183338;0.9999995986;-2.7391033823;
4.8000000000;0.9999996089;9.0849087226;1.5087755325;0.0908490872;0.0150877553;0.0900000000;0.0100000000;0.0920925819;0.0920934506;-0.0900000000;0.0908490872;-0.0100000000;0.0150877553;-5316.9676957398;5316.9676957398;-5317.0178500095;5317.0178500095;5316.9676957398;5317.0178500095;0.9832914823;-5.9396661349;0.9999996089;-2.8498512481;
4.9000000000;0.9999996095;9.0849087225;1.5087755319;0.0908490872;0.0150877553;0.0900000000;0.0100000000;0.0920925819;0.0920934506;-0.0900000000;0.0908490872;-0.0100000000;0.0150877553;-5316.9676924812;5316.9676924812;-5317.0178467510;5317.0178467510;5316.9676924812;5317.0178467510;0.9832914829;-6.0523922440;0.9999996095;-2.9625773609;
5.0000000000;0.9999996021;9.0849087238;1.5087755397;0.0908490872;0.0150877554;0.0900000000;0.0100000000;0.0920925826;0.0920934513;-0.0900000000;0.0908490872;-0.0100000000;0.0150877554;-5316.9677332588;5316.9677332588;-5317.0178875281;5317.0178875281;5316.9677332588;5317.0178875281;0.9832914754;-6.1670843945;0.9999996021;-3.0772694648;
5.1000000000;0.9999995882;9.0849087263;1.5087755543;0.0908490873;0.0150877555;0.0900000000;0.0100000000;0.0920925839;0.0920934526;-0.0900000000;0.0908490873;-0.0100000000;0.0150877555;-5316.9678096407;5316.9678096407;-5317.0179639093;5317.0179639093;5316.9678096407;5317.0179639093;0.9832914613;-6.2837304086;0.9999995882;-3.1939153917;
5.2000000000;0.9999995693;9.0849087296;1.5087755743;0.0908490873;0.0150877557;0.0900000000;0.0100000000;0.0920925857;0.0920934544;-0.0900000000;0.0908490873;-0.0100000000;0.0150877557;-5316.9679140675;5316.9679140675;-5317.0180683351;5317.0180683351;5316.9679140675;5317.0180683351;0.9832914420;-6.4023181965;0.9999995693;-3.3125030603;
5.3000000000;0.9999995465;9.0849087336;1.5087755984;0.0908490873;0.0150877560;0.0900000000;0.0100000000;0.0920925879;0.0920934566;-0.0900000000;0.0908490873;-0.0100000000;0.0150877560;-5316.9680398206;5316.9680398206;-5317.0181940871;5317.0181940871;5316.9680398206;5317.0181940871;0.9832914187;-6.5228357551;0.9999995465;-3.4330204753;
5.4000000000;0.9999995209;9.0849087381;1.5087756254;0.0908490874;0.0150877563;0.0900000000;0.0100000000;0.0920925903;0.0920934590;-0.0900000000;0.0908490874;-0.0100000000;0.0150877563;-5316.9681809836;5316.9681809836;-5317.0183352487;5317.0183352487;5316.9681809836;5317.0183352487;0.9832913926;-6.6452711667;0.9999995209;-3.5554557256;
5.5000000000;0.9999994935;9.0849087429;1.5087756544;0.0908490874;0.0150877565;0.0900000000;0.0100000000;0.0920925929;0.0920934616;-0.0900000000;0.0908490874;-0.0100000000;0.0150877565;-5316.9683323972;5316.9683323972;-5317.0184866609;5317.0184866609;5316.9683323972;5317.0184866609;0.9832913646;-6.7696125976;0.9999994935;-3.6797969836;
5.6000000000;0.9999994650;9.0849087479;1.5087756845;0.0908490875;0.0150877568;0.0900000000;0.0100000000;0.0920925957;0.0920934644;-0.0900000000;0.0908490875;-0.0100000000;0.0150877568;-5316.9684896117;5316.9684896117;-5317.0186438739;5317.0186438739;5316.9684896117;5317.0186438739;0.9832913355;-6.8958482971;0.9999994650;-3.8060325035;
5.7000000000;0.9999994361;9.0849087530;1.5087757150;0.0908490875;0.0150877571;0.0900000000;0.0100000000;0.0920925984;0.0920934671;-0.0900000000;0.0908490875;-0.0100000000;0.0150877571;-5316.9686488346;5316.9686488346;-5317.0188030953;5317.0188030953;5316.9686488346;5317.0188030953;0.9832913061;-7.0239665958;0.9999994361;-3.9341506203;
5.8000000000;0.9999994075;9.0849087580;1.5087757452;0.0908490876;0.0150877575;0.0900000000;0.0100000000;0.0920926012;0.0920934699;-0.0900000000;0.0908490876;-0.0100000000;0.0150877575;-5316.9688068792;5316.9688068792;-5317.0189611384;5317.0189611384;5316.9688068792;5317.0189611384;0.9832912768;-7.1539559045;0.9999994075;-4.0641397484;
5.9000000000;0.9999993795;9.0849087629;1.5087757747;0.0908490876;0.0150877577;0.0900000000;0.0100000000;0.0920926038;0.0920934725;-0.0900000000;0.0908490876;-0.0100000000;0.0150877577;-5316.9689611110;5316.9689611110;-5317.0191153688;5317.0191153688;5316.9689611110;5317.0191153688;0.9832912483;-7.2858047125;0.9999993795;-4.1959883803;
6.0000000000;0.9999993526;9.0849087676;1.5087758031;0.0908490877;0.0150877580;0.0900000000;0.0100000000;0.0920926064;0.0920934751;-0.0900000000;0.0908490877;-0.0100000000;0.0150877580;-5316.9691093957;5316.9691093957;-5317.0192636521;5317.0192636521;5316.9691093957;5317.0192636521;0.9832912209;-7.4195015871;0.9999993526;-4.3296850855;
6.1000000000;0.9999993271;9.0849087721;1.5087758301;0.0908490877;0.0150877583;0.0900000000;0.0100000000;0.0920926088;0.0920934775;-0.0900000000;0.0908490877;-0.0100000000;0.0150877583;-5316.9692500475;5316.9692500475;-5317.0194043026;5317.0194043026;5316.9692500475;5317.0194043026;0.9832911949;-7.5550351713;0.9999993271;-4.4652185090;
6.2000000000;0.9999993033;9.0849087763;1.5087758553;0.0908490878;0.0150877586;0.0900000000;0.0100000000;0.0920926111;0.0920934798;-0.0900000000;0.0908490878;-0.0100000000;0.0150877586;-5316.9693817801;5316.9693817801;-5317.0195360339;5317.0195360339;5316.9693817801;5317.0195360339;0.9832911705;-7.6923941834;0.9999993033;-4.6025773707;
6.3000000000;0.9999992812;9.0849087802;1.5087758786;0.0908490878;0.0150877588;0.0900000000;0.0100000000;0.0920926132;0.0920934819;-0.0900000000;0.0908490878;-0.0100000000;0.0150877588;-5316.9695036593;5316.9695036593;-5317.0196579120;5317.0196579120;5316.9695036593;5317.0196579120;0.9832911480;-7.8315674157;0.9999992812;-4.7417504637;
6.4000000000;0.9999992610;9.0849087837;1.5087758999;0.0908490878;0.0150877590;0.0900000000;0.0100000000;0.0920926152;0.0920934839;-0.0900000000;0.0908490878;-0.0100000000;0.0150877590;-5316.9696150583;5316.9696150583;-5317.0197693099;5317.0197693099;5316.9696150583;5317.0197693099;0.9832911274;-7.9725437329;0.9999992610;-4.8827266537;
6.5000000000;0.9999992427;9.0849087869;1.5087759192;0.0908490879;0.0150877592;0.0900000000;0.0100000000;0.0920926169;0.0920934856;-0.0900000000;0.0908490879;-0.0100000000;0.0150877592;-5316.9697156157;5316.9697156157;-5317.0198698663;5317.0198698663;5316.9697156157;5317.0198698663;0.9832911088;-8.1153120718;0.9999992427;-5.0254948778;
6.6000000000;0.9999992265;9.0849087898;1.5087759363;0.0908490879;0.0150877594;0.0900000000;0.0100000000;0.0920926184;0.0920934871;-0.0900000000;0.0908490879;-0.0100000000;0.0150877594;-5316.9698051969;5316.9698051969;-5317.0199594467;5317.0199594467;5316.9698051969;5317.0199594467;0.9832910922;-8.2598614397;0.9999992265;-5.1700441433;
6.7000000000;0.9999992123;9.0849087923;1.5087759514;0.0908490879;0.0150877595;0.0900000000;0.0100000000;0.0920926198;0.0920934885;-0.0900000000;0.0908490879;-0.0100000000;0.0150877595;-5316.9698838583;5316.9698838583;-5317.0200381074;5317.0200381074;5316.9698838583;5317.0200381074;0.9832910777;-8.4061809138;0.9999992123;-5.3163635275;
6.8000000000;0.9999991999;9.0849087945;1.5087759644;0.0908490879;0.0150877596;0.0900000000;0.0100000000;0.0920926210;0.0920934897;-0.0900000000;0.0908490879;-0.0100000000;0.0150877596;-5316.9699518142;5316.9699518142;-5317.0201060627;5317.0201060627;5316.9699518142;5317.0201060627;0.9832910651;-8.5542596400;0.9999991999;-5.4644421761;
6.9000000000;0.9999991895;9.0849087963;1.5087759754;0.0908490880;0.0150877598;0.0900000000;0.0100000000;0.0920926220;0.0920934907;-0.0900000000;0.0908490880;-0.0100000000;0.0150877598;-5316.9700094076;5316.9700094076;-5317.0201636555;5317.0201636555;5316.9700094076;5317.0201636555;0.9832910545;-8.7040868326;0.9999991895;-5.6142693029;
7.0000000000;0.9999991809;9.0849087978;1.5087759846;0.0908490880;0.0150877598;0.0900000000;0.0100000000;0.0920926228;0.0920934915;-0.0900000000;0.0908490880;-0.0100000000;0.0150877598;-5316.9700570832;5316.9700570832;-5317.0202113307;5317.0202113307;5316.9700570832;5317.0202113307;0.9832910456;-8.8556517728;0.9999991809;-5.7658341887;
7.1000000000;0.9999991739;9.0849087990;1.5087759919;0.0908490880;0.0150877599;0.0900000000;0.0100000000;0.0920926235;0.0920934922;-0.0900000000;0.0908490880;-0.0100000000;0.0150877599;-5316.9700953640;5316.9700953640;-5317.0202496110;5317.0202496110;5316.9700953640;5317.0202496110;0.9832910386;-9.0089438088;0.9999991739;-5.9191261810;
7.2000000000;0.9999991686;9.0849087999;1.5087759975;0.0908490880;0.0150877600;0.0900000000;0.0100000000;0.0920926240;0.0920934927;-0.0900000000;0.0908490880;-0.0100000000;0.0150877600;-5316.9701248298;5316.9701248298;-5317.0202790766;5317.0202790766;5316.9701248298;5317.0202790766;0.9832910331;-9.1639523543;0.9999991686;-6.0741346928;
